"reference","id","instanceType","synonyms","name","label","uuid:ID"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_2","BiomedicalConcept","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure","61575d06-2d22-4969-beda-c34a422212f4"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_3","BiomedicalConcept","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure","c799075b-2b37-4e2f-9c74-e4349e197782"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_4","BiomedicalConcept","['Temperature']","Body Temperature","Body Temperature","cba0c71a-669b-4646-853c-ff31d48ceb8f"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_5","BiomedicalConcept","['Weight']","Body Weight","Body Weight","f6ac2eb4-ab3c-48ce-8a4b-f2beec97d18d"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_6","BiomedicalConcept","['Height']","Body Height","Body Height","a2e23aca-20aa-44ff-8d22-ac227e7dea73"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_7","BiomedicalConcept","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","9fa2223d-c311-42c9-92b1-be21e5d20a3f"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_8","BiomedicalConcept","['Albumin']","Albumin Measurement","Albumin Measurement","f058cc83-ae02-4c77-9c04-0fb8c966ba03"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_9","BiomedicalConcept","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","01cd7041-0ea9-448f-bd75-b7e05bc6f8df"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_10","BiomedicalConcept","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","69953bcc-9090-41b7-b002-9ed929df8e40"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_11","BiomedicalConcept","['Creatinine']","Creatinine Measurement","Creatinine Measurement","d621ca95-387b-4937-9a78-58f59b961baa"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_12","BiomedicalConcept","['Potassium', 'K']","Potassium Measurement","Potassium Measurement","d4cebdb2-913b-4d36-a073-58e1f3960c4a"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_13","BiomedicalConcept","['Sodium', 'NA']","Sodium Measurement","Sodium Measurement","9659e3b9-0ec9-4d74-81d2-c998dd226426"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_14","BiomedicalConcept","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure","454f2882-974a-44c6-95b3-4b24b7bc1f1d"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_15","BiomedicalConcept","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure","727cfe8e-311d-42c4-8362-72a79d81290c"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept_16","BiomedicalConcept","","Heart Rate","Heart Rate","4c4a1f07-4d26-47a3-bf04-15130873d8b2"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_17","BiomedicalConcept","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure","49d19805-b8a0-4a8a-8a8a-df06acbc6665"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_18","BiomedicalConcept","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure","68a0f8cb-84b3-4244-82ad-36c3c836462d"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept_19","BiomedicalConcept","","Heart Rate","Heart Rate","ff8a77ff-a0c6-40e5-b7ce-3d48153b045c"
