"id","sectionNumber","instanceType","name","uuid:ID","text","sectionTitle"
"NarrativeContent_15","4.2","NarrativeContent","SECTION 4.2","6836a3af-f3e3-45bc-857b-4bd704db876e","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","Rationale for Trial Design"
"NarrativeContent_16","4.2.1","NarrativeContent","SECTION 4.2.1","625db97c-0f5a-4d8d-ae57-48ab04a13962","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","Rationale for Comparator"
"NarrativeContent_17","4.2.2","NarrativeContent","SECTION 4.2.2","5bc39af9-8b40-4f26-b63e-4b4f14b5db33","<div></div>","Rationale for Adaptive or Novel Trial Design"
"NarrativeContent_18","4.2.3","NarrativeContent","SECTION 4.2.3","9c5b179c-e9c5-4e57-be5c-4ea70b294795","<div></div>","Other Trial Design Considerations"
"NarrativeContent_19","4.3","NarrativeContent","SECTION 4.3","fc66fb18-602b-4786-a3e9-efdb52f1840c","<div></div>","Access to Trial Intervention After End of Trial"
"NarrativeContent_20","4.4","NarrativeContent","SECTION 4.4","89f2b9ff-b548-4d6a-8697-2d287ed6a651","<div></div>","Start of Trial and End of Trial"
"NarrativeContent_21","5","NarrativeContent","SECTION 5","24e47a97-0005-41bb-9ba9-b87d3a1cc5ad","<div></div>","TRIAL POPULATION"
"NarrativeContent_22","5.1","NarrativeContent","SECTION 5.1","1a4b7e76-7d16-406d-a4b0-0b48bfcb0178","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","Selection of Trial Population"
"NarrativeContent_23","5.2","NarrativeContent","SECTION 5.2","bf76c06c-efb4-4f01-a69a-c18f84882a15","<div></div>","Rationale for Trial Population"
"NarrativeContent_24","5.3","NarrativeContent","SECTION 5.3","2ce5f311-8a98-42f9-a693-fadda2573878","<div><usdm:section name=""M11-inclusion""></div>","Inclusion Criteria"
"NarrativeContent_25","5.4","NarrativeContent","SECTION 5.4","444792fa-4a26-4dab-a634-039a806cebe0","<div><usdm:section name=""M11-exclusion""></div>","Exclusion Criteria"
"NarrativeContent_26","5.5","NarrativeContent","SECTION 5.5","1eb65842-7edd-47b5-8e9f-23ae1f31e42c","<div></div>","Lifestyle Considerations"
"NarrativeContent_27","5.5.1","NarrativeContent","SECTION 5.5.1","7c6b8c7d-c902-4ca1-86a9-03fb790869ab","<div></div>","Meals and Dietary Restrictions"
"NarrativeContent_28","5.5.2","NarrativeContent","SECTION 5.5.2","620bf768-8e06-46db-aa85-9d9671c4ac46","<div><p>Not applicable</p></div>","Caffeine, Alcohol, Tobacco, and Other Habits"
"NarrativeContent_29","5.5.3","NarrativeContent","SECTION 5.5.3","71e8f034-e72c-4fa4-9d10-0e0306c5273e","<div></div>","Physical Activity"
"NarrativeContent_30","5.5.4","NarrativeContent","SECTION 5.5.4","2ff51ba9-1928-47e9-97b0-e70454398efd","<div></div>","Other Activity"
"NarrativeContent_31","5.6","NarrativeContent","SECTION 5.6","2b6a631c-f277-4b01-ac21-12acc0b81ab4","<div></div>","Screen Failures"
"NarrativeContent_32","6","NarrativeContent","SECTION 6","c251069a-51e1-4d58-912e-51d5cca54dfe","<div></div>","TRIAL INTERVENTION AND CONCOMITANT THERAPY"
"NarrativeContent_33","6.1","NarrativeContent","SECTION 6.1","596e779e-ffae-4612-ae08-f57553b26de5","<div></div>","Description of Trial Intervention"
"NarrativeContent_34","6.2","NarrativeContent","SECTION 6.2","3eedec05-ca3a-4d35-8e46-8f8b50345089","<div></div>","Rationale for Trial Intervention"
"NarrativeContent_35","6.3","NarrativeContent","SECTION 6.3","4582b4a5-307a-46c9-b787-e8506a4a2468","<div></div>","Dosing and Administration"
"NarrativeContent_36","6.3.1","NarrativeContent","SECTION 6.3.1","155df3a3-8f7b-4a2c-b7a3-30e924506437","<div></div>","Trial Intervention Dose Modification"
"NarrativeContent_37","6.4","NarrativeContent","SECTION 6.4","b5bd1f4a-4c33-4a31-a827-8e39ddc26a9d","<div></div>","Treatment of Overdose"
"NarrativeContent_38","6.5","NarrativeContent","SECTION 6.5","6c36c99d-0b77-4ffb-9a58-086fea155019","<div></div>","Preparation, Handling, Storage and Accountability"
"NarrativeContent_39","6.5.1","NarrativeContent","SECTION 6.5.1","18504033-991a-4165-a6df-67ef24cd795b","<div></div>","Preparation of Trial Intervention"
"NarrativeContent_40","6.5.2","NarrativeContent","SECTION 6.5.2","e59132ef-5d68-427e-9b54-9272ef4b1af5","<div></div>","Handling and Storage of Trial Intervention"
"NarrativeContent_41","6.5.3","NarrativeContent","SECTION 6.5.3","e31a6a33-a8d1-4fb7-8d15-cbf555d03e63","<div></div>","Accountability of Trial Intervention"
"NarrativeContent_42","6.6","NarrativeContent","SECTION 6.6","dcdc919c-5fd7-4c3c-9210-848d88fd6309","<div></div>","Participant Assignment, Randomisation and Blinding"
"NarrativeContent_43","6.6.1","NarrativeContent","SECTION 6.6.1","0c381e29-79ee-4371-99cb-672b64b8fc89","<div></div>","Participant Assignment"
"NarrativeContent_44","6.6.2","NarrativeContent","SECTION 6.6.2","dbdda70a-1454-41dd-87cb-3652fa285f02","<div></div>","Randomisation"
"NarrativeContent_45","6.6.3","NarrativeContent","SECTION 6.6.3","f60807e7-63e6-464a-ba24-060251117b9d","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","Blinding and Unblinding"
"NarrativeContent_46","6.7","NarrativeContent","SECTION 6.7","ffb77030-fe7b-4300-87a1-c7a0dbcbd0af","<div></div>","Trial Intervention Compliance"
"NarrativeContent_47","6.8","NarrativeContent","SECTION 6.8","d7089182-8ae2-4735-983a-ad6be43f3aee","<div></div>","Concomitant Therapy"
"NarrativeContent_48","6.8.1","NarrativeContent","SECTION 6.8.1","f0765018-2ff9-4f61-817e-393dbe32eb5b","<div></div>","Prohibited Concomitant Therapy"
"NarrativeContent_49","6.8.2","NarrativeContent","SECTION 6.8.2","f23ecc3f-5734-4d44-886f-6e3ddb0aba88","<div></div>","Permitted Concomitant Therapy"
"NarrativeContent_50","6.8.3","NarrativeContent","SECTION 6.8.3","1879e489-a5b0-442f-ba28-afea4ec5570a","<div></div>","Rescue Therapy"
"NarrativeContent_51","6.8.4","NarrativeContent","SECTION 6.8.4","45fbfc31-0a28-46c0-b9ae-5821d1bc2e90","<div></div>","Other Therapy"
"NarrativeContent_52","7","NarrativeContent","SECTION 7","7b5c6940-c2c2-4b15-9ce3-9dab7c285056","<div></div>","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL"
"NarrativeContent_53","7.1","NarrativeContent","SECTION 7.1","3329c2f9-74fa-45ab-bac0-08e637f67efe","<div></div>","Discontinuation of Trial Intervention"
"NarrativeContent_54","7.1.1","NarrativeContent","SECTION 7.1.1","77130666-0ea6-41b0-af87-c662bd5b8217","<div></div>","Criteria for Permanent Discontinuation of Trial Intervention"
"NarrativeContent_55","7.1.2","NarrativeContent","SECTION 7.1.2","3d5f64b7-ae6d-4e78-802e-b88c35b222c7","<div></div>","Temporary Discontinuation or Interruption of Trial Intervention"
"NarrativeContent_56","7.1.3","NarrativeContent","SECTION 7.1.3","bf16beec-9d40-4451-94f8-844f409e8088","<div></div>","Rechallenge"
"NarrativeContent_57","7.2","NarrativeContent","SECTION 7.2","1c64b9f5-a1a6-4b02-9a6b-c5fe23f1506b","<div></div>","Participant Withdrawal from the Trial"
"NarrativeContent_58","7.3","NarrativeContent","SECTION 7.3","c31519fb-e397-41b0-9eb7-74d039dd662a","<div></div>","Lost to Follow-Up"
"NarrativeContent_59","7.4","NarrativeContent","SECTION 7.4","262b346d-7592-4054-a79d-be55f6afeaa5","<div></div>","Trial Stopping Rules"
"NarrativeContent_60","8","NarrativeContent","SECTION 8","cd8ee80b-f2b3-4fa9-b967-c20321393d79","<div></div>","TRIAL ASSESSMENTS AND PROCEDURES"
"NarrativeContent_61","8.1","NarrativeContent","SECTION 8.1","ff806754-502e-45ab-b7fd-55d3fc959189","<div></div>","Screening/Baseline Assessments and Procedures"
"NarrativeContent_62","8.2","NarrativeContent","SECTION 8.2","3529437c-1044-4ac5-96a0-36b1be0ac268","<div></div>","Efficacy Assessments and Procedures"
"NarrativeContent_63","8.3","NarrativeContent","SECTION 8.3","8eb538ab-7649-4ee2-b82e-fc5ed4d09802","<div></div>","Safety Assessments and Procedures"
"NarrativeContent_64","8.3.1","NarrativeContent","SECTION 8.3.1","fbb34d6d-07bf-4e3c-9a0f-bfb6221c4369","<div></div>","Physical Examination"
"NarrativeContent_65","8.3.2","NarrativeContent","SECTION 8.3.2","a07ea687-cdd3-425f-aace-28a7a08bcad3","<div></div>","Vital Signs"
"NarrativeContent_66","8.3.3","NarrativeContent","SECTION 8.3.3","1ca04411-3e2b-437e-adc1-f65571b1b0c1","<div></div>","Electrocardiograms"
"NarrativeContent_67","8.3.4","NarrativeContent","SECTION 8.3.4","11eeeba9-17cd-4340-8be2-e17e92948b4a","<div></div>","Clinical Laboratory Assessments"
"NarrativeContent_68","8.3.5","NarrativeContent","SECTION 8.3.5","3065fddb-792a-49b9-bb17-64e60a6c02f4","<div></div>","Suicidal Ideation and Behaviour Risk Monitoring"
"NarrativeContent_69","8.4","NarrativeContent","SECTION 8.4","663a7327-7c6b-4032-ad11-95d864ee0328","<div></div>","Adverse Events and Serious Adverse Events"
"NarrativeContent_70","8.4.1","NarrativeContent","SECTION 8.4.1","a9efbe9f-a936-41fd-a5be-b9bfc8093fdd","<div></div>","Definitions of AE and SAE"
"NarrativeContent_71","8.4.2","NarrativeContent","SECTION 8.4.2","92ad6e07-b1ed-44ce-a853-0124b04b37c2","<div></div>","Time Period and Frequency for Collecting AE and SAE Information"
"NarrativeContent_72","8.4.3","NarrativeContent","SECTION 8.4.3","522616c1-24bb-4788-ba0e-efe187431276","<div></div>","Identifying AEs and SAEs"
"NarrativeContent_73","8.4.4","NarrativeContent","SECTION 8.4.4","99a2b90e-115e-48e1-939d-601e005d0b18","<div></div>","Recording of AEs and SAEs"
"NarrativeContent_74","8.4.5","NarrativeContent","SECTION 8.4.5","eec01462-037d-469f-9970-02ae7ce1653a","<div></div>","Follow-up of AEs and SAEs"
"NarrativeContent_75","8.4.6","NarrativeContent","SECTION 8.4.6","92783b89-94b2-447b-a810-595e9d890477","<div></div>","Reporting of SAEs"
"NarrativeContent_76","8.4.7","NarrativeContent","SECTION 8.4.7","28ae09fd-eabd-4374-a2dd-d03239765dc1","<div></div>","Regulatory Reporting Requirements for SAEs"
"NarrativeContent_77","8.4.8","NarrativeContent","SECTION 8.4.8","b1781a31-015b-4232-afce-0dc57b29e501","<div></div>","Serious and Unexpected Adverse Reaction Reporting"
"NarrativeContent_78","8.4.9","NarrativeContent","SECTION 8.4.9","fe993257-8129-4ed7-90b6-39860297500b","<div></div>","Adverse Events of Special Interest"
"NarrativeContent_79","8.4.10","NarrativeContent","SECTION 8.4.10","2a79c6df-ced3-4670-b5fc-f897d2c3af66","<div></div>","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs"
"NarrativeContent_80","8.5","NarrativeContent","SECTION 8.5","41700b8c-662b-4261-a2a8-163d2bde5fc8","<div></div>","Pregnancy and Postpartum Information"
"NarrativeContent_81","8.5.1","NarrativeContent","SECTION 8.5.1","a6f24f19-841a-4652-a8b9-f94679782375","<div></div>","Participants Who Become Pregnant During the Trial"
"NarrativeContent_82","8.5.2","NarrativeContent","SECTION 8.5.2","cd0ac979-bc21-4054-9337-41e6508738a6","<div></div>","Participants Whose Partners Become Pregnant"
"NarrativeContent_83","8.6","NarrativeContent","SECTION 8.6","29595609-da00-490c-bfef-6bda37b6b012","<div></div>","Medical Device Product Complaints for Drug/Device Combination Products"
"NarrativeContent_84","8.6.1","NarrativeContent","SECTION 8.6.1","bd223482-ad4f-45aa-b86d-0e4c2fb748f4","<div></div>","Definition of Medical Device Product Complaints"
"NarrativeContent_85","8.6.2","NarrativeContent","SECTION 8.6.2","7c4408b4-2768-4f2d-8153-213d322caee3","<div></div>","Recording of Medical Device Product Complaints"
"NarrativeContent_86","8.6.3","NarrativeContent","SECTION 8.6.3","a8a6d0bc-3728-48b4-9d38-5f8a9387af39","<div></div>","Time Period and Frequency for Collecting Medical Device Product Complaints ."
"NarrativeContent_87","8.6.4","NarrativeContent","SECTION 8.6.4","4ab8cf2c-a11a-4fa2-80de-300156bb55f0","<div></div>","Follow-Up of Medical Device Product Complaints"
"NarrativeContent_88","8.6.5","NarrativeContent","SECTION 8.6.5","924beeba-2a45-4559-abde-3485d1aa67b1","<div></div>","Regulatory Reporting Requirements for Medical Device Product Complaints"
"NarrativeContent_89","8.7","NarrativeContent","SECTION 8.7","3dff1392-896c-4a04-bcf1-e4f3a2d9253f","<div></div>","Pharmacokinetics"
"NarrativeContent_90","8.8","NarrativeContent","SECTION 8.8","c1c74936-7251-4cf3-94a2-acd4a8285e1b","<div></div>","Genetics"
"NarrativeContent_91","8.9","NarrativeContent","SECTION 8.9","90cd3191-af56-4380-b6d5-13716a021336","<div></div>","Biomarkers"
"NarrativeContent_92","8.1","NarrativeContent","SECTION 8.1","98d3c764-14c8-4739-a8c6-79d99fba0382","<div></div>","Immunogenicity Assessments"
"NarrativeContent_93","8.1.1","NarrativeContent","SECTION 8.1.1","32708adf-cfa3-4fa6-ab67-f422121085dd","<div></div>","Medical Resource Utilisation and Health Economics"
"NarrativeContent_94","9","NarrativeContent","SECTION 9","39838b53-cce5-405a-8944-04c0a3efd66c","<div></div>","STATISTICAL CONSIDERATIONS"
"NarrativeContent_95","9.1","NarrativeContent","SECTION 9.1","df1e65ff-a409-4481-bed3-156bfd7c2001","<div></div>","Analysis Sets"
"NarrativeContent_96","9.2","NarrativeContent","SECTION 9.2","64c7fece-9c9c-42ba-a212-b177d989d0dd","<div></div>","Analyses Supporting Primary Objective(s)"
"NarrativeContent_97","9.2.1","NarrativeContent","SECTION 9.2.1","1f8b9016-9dd2-4ea9-a0bb-2df3384af724","<div></div>","Statistical Model, Hypothesis, and Method of Analysis"
"NarrativeContent_98","9.2.2","NarrativeContent","SECTION 9.2.2","1cb01b24-b239-43fd-8015-973b3a4274ed","<div></div>","Handling of Intercurrent Events of Primary Estimand(s)"
"NarrativeContent_99","9.2.3","NarrativeContent","SECTION 9.2.3","009d76e3-4afb-4b68-9a7f-9c194144801d","<div></div>","Handling of Missing Data"
"NarrativeContent_100","9.2.4","NarrativeContent","SECTION 9.2.4","2709edac-64c5-45d0-b2c7-f2856a71c1e0","<div></div>","Sensitivity Analysis"
"NarrativeContent_101","9.2.5","NarrativeContent","SECTION 9.2.5","f89863bd-80dd-4a2f-ae6f-03b8f7740b8b","<div></div>","Supplementary Analysis"
"NarrativeContent_102","9.3","NarrativeContent","SECTION 9.3","76496d3a-a7e3-4de1-9c2d-c92cedf5d4d5","<div></div>","Analysis Supporting Secondary Objective(s)"
"NarrativeContent_103","9.4","NarrativeContent","SECTION 9.4","d21cc3a4-46fa-4412-ad08-4613d427489c","<div></div>","Analysis of Exploratory Objective(s)"
"NarrativeContent_104","9.5","NarrativeContent","SECTION 9.5","80c72af4-927a-4202-aa4b-77ff05459cf0","<div></div>","Safety Analyses"
"NarrativeContent_105","9.6","NarrativeContent","SECTION 9.6","3470ef42-c06b-46f8-a4a3-8135db5d444b","<div></div>","Other Analyses"
"NarrativeContent_106","9.7","NarrativeContent","SECTION 9.7","19eef84b-555a-418d-8fc7-b9ec691f2573","<div></div>","Interim Analyses"
"NarrativeContent_107","9.8","NarrativeContent","SECTION 9.8","4f8276f1-cb46-4d09-8a89-981787564bd3","<div></div>","Sample Size Determination"
"NarrativeContent_108","9.9","NarrativeContent","SECTION 9.9","fed38d59-36ab-4869-bf8f-ecec2c03052b","<div></div>","Protocol Deviations"
"NarrativeContent_109","10","NarrativeContent","SECTION 10","430abd46-885c-4ea8-8642-158f35e4272f","<div></div>","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT"
"NarrativeContent_110","10.1","NarrativeContent","SECTION 10.1","464a9155-28f4-423f-990f-237f2d946cd8","<div></div>","Regulatory and Ethical Considerations"
"NarrativeContent_111","10.2","NarrativeContent","SECTION 10.2","d0001734-50d7-4e3f-ae30-36e8a92db553","<div></div>","Committees"
"NarrativeContent_112","10.3","NarrativeContent","SECTION 10.3","4500f80a-1d14-4544-bbe8-1a71f713146c","<div></div>","Informed Consent Process"
"NarrativeContent_113","10.4","NarrativeContent","SECTION 10.4","923084a0-ba25-456b-aae9-15b7be2e1a9e","<div></div>","Data Protection"
"NarrativeContent_114","10.5","NarrativeContent","SECTION 10.5","0ec43b86-a82e-491d-abca-14514ac5eb25","<div></div>","Early Site Closure or Trial Termination"
"NarrativeContent_115","11","NarrativeContent","SECTION 11","e325e4fb-b1d1-447f-b380-3a7cc22661b5","<div></div>","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE"
"NarrativeContent_116","11.1","NarrativeContent","SECTION 11.1","8b41adfa-8160-447c-b347-b34ba5cab84b","<div></div>","Quality Tolerance Limits"
"NarrativeContent_117","11.2","NarrativeContent","SECTION 11.2","c0b013d5-4010-4048-87a2-1b762fe98859","<div></div>","Data Quality Assurance"
"NarrativeContent_118","11.3","NarrativeContent","SECTION 11.3","9e6ee643-6140-4dc0-8dcd-49d0868affbc","<div></div>","Source Data"
"NarrativeContent_119","12","NarrativeContent","SECTION 12","1997e08a-0240-409c-ad16-f1c7a8d6410e","<div></div>","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY"
"NarrativeContent_120","12.1","NarrativeContent","SECTION 12.1","5a4fe0c6-26a7-414c-94b4-30ae3d84a662","<div></div>","Further Details and Clarifications on the AE Definition"
"NarrativeContent_121","12.2","NarrativeContent","SECTION 12.2","be253aa0-ae44-4c9a-a354-ba2193a20bcb","<div></div>","Further Details and Clarifications on the SAE Definition"
"NarrativeContent_122","12.3","NarrativeContent","SECTION 12.3","1c01ffe9-5961-4001-8a5a-ae6a3f59c5c9","<div></div>","Severity"
"NarrativeContent_123","12.4","NarrativeContent","SECTION 12.4","b831f131-a81f-46ad-8e15-4d4279a582ae","<div></div>","Causality"
"NarrativeContent_124","13","NarrativeContent","SECTION 13","d5a995bf-a915-429b-8ad9-dac0994956c4","<div></div>","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS"
"NarrativeContent_125","13.1","NarrativeContent","SECTION 13.1","7e0ec4d9-7e39-4d75-b754-a8ca7d619524","<div></div>","Contraception and Pregnancy Testing"
"NarrativeContent_126","13.1.1","NarrativeContent","SECTION 13.1.1","7591841f-c480-4886-a080-0e1a6e96cd90","<div></div>","Definitions Related to Childbearing Potential"
"NarrativeContent_127","13.1.2","NarrativeContent","SECTION 13.1.2","fa9393c5-ba8a-449f-9803-f963c42fc749","<div></div>","Contraception"
"NarrativeContent_128","13.1.3","NarrativeContent","SECTION 13.1.3","98aacd9e-06d7-4949-9bfc-7f0f95644c59","<div></div>","Pregnancy Testing"
"NarrativeContent_129","13.2","NarrativeContent","SECTION 13.2","15a9ab40-ffda-4bfd-999a-17bb33c7acfc","<div></div>","Clinical Laboratory Tests"
"NarrativeContent_130","13.3","NarrativeContent","SECTION 13.3","722a9742-1ab1-4793-9090-b409d4a00223","<div></div>","Country/Region-Specific Differences"
"NarrativeContent_131","13.4","NarrativeContent","SECTION 13.4","a387934b-d4de-4dde-9bca-54fe9a896a59","<div></div>","Prior Protocol Amendments"
"NarrativeContent_132","14","NarrativeContent","SECTION 14","5b107534-eed6-48eb-b9aa-fa03abe3b603","<div></div>","APPENDIX: GLOSSARY OF TERMS"
"NarrativeContent_133","15","NarrativeContent","SECTION 15","b245bac4-89a2-4eba-8bfa-3aff03a0210e","<div></div>","APPENDIX: REFERENCES"
