"label","isRequired","name","uuid:ID","datatype","isEnabled","id","instanceType"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","85a8da64-9d47-41e2-8b11-48580e1b8b76","boolean","True","BiomedicalConceptProperty_126","BiomedicalConceptProperty"
"Molarity Unit","True","Molarity Unit","70f37ff3-5c3e-4319-bb52-5c20068a7e62","string","True","BiomedicalConceptProperty_127","BiomedicalConceptProperty"
"Biospecimen Type","True","Biospecimen Type","415e2de8-e884-407e-b84f-da8550cbb955","string","True","BiomedicalConceptProperty_128","BiomedicalConceptProperty"
"Laboratory Test Result","True","Laboratory Test Result","c7f2a45b-798e-478f-89ce-ba4352fa82d9","decimal","True","BiomedicalConceptProperty_129","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","c102145a-97d4-489b-91bf-a124d1aed444","boolean","True","BiomedicalConceptProperty_130","BiomedicalConceptProperty"
"Molarity Unit","True","Molarity Unit","2c1379aa-e8f4-4d71-8685-8a67bd7e193e","string","True","BiomedicalConceptProperty_131","BiomedicalConceptProperty"
"Biospecimen Type","True","Biospecimen Type","d13bff6e-9c3b-43fd-b3b4-0830e8b08188","string","True","BiomedicalConceptProperty_132","BiomedicalConceptProperty"
"Adverse Event Verbatim Description","True","Adverse Event Verbatim Description","9e64ce20-b523-4843-9cb2-78ac741fb42b","string","True","BiomedicalConceptProperty_1","BiomedicalConceptProperty"
"Adverse Event Dictionary Derived Term","True","Adverse Event Dictionary Derived Term","b007dbb7-bcf3-49c5-8049-f7cf2959bc6f","string","True","BiomedicalConceptProperty_2","BiomedicalConceptProperty"
"Adverse Event Category","True","Adverse Event Category","9b89e4d7-544c-4eed-8b15-631b22b1c6b3","string","True","BiomedicalConceptProperty_3","BiomedicalConceptProperty"
"Adverse Event Subcategory","True","Adverse Event Subcategory","3bf237a6-f367-4764-9936-3631aa625d03","string","True","BiomedicalConceptProperty_4","BiomedicalConceptProperty"
"Adverse Event Pre-specified","True","Adverse Event Pre-specified","ae0ca0e4-280a-4c39-9962-42ada605496c","boolean","True","BiomedicalConceptProperty_5","BiomedicalConceptProperty"
"Severity of Adverse Event","True","Severity of Adverse Event","7c5f4c30-cbc6-4357-a6ae-b12ff80c94e9","string","True","BiomedicalConceptProperty_6","BiomedicalConceptProperty"
"Adverse Event Toxicity Grade","True","Adverse Event Toxicity Grade","22b5aa39-c5b9-411e-830c-a579c7cce258","string","True","BiomedicalConceptProperty_7","BiomedicalConceptProperty"
"Seriousness of Adverse Event","True","Seriousness of Adverse Event","b9b1fcc5-1a40-4ecb-a203-f42cc44e8809","boolean","True","BiomedicalConceptProperty_8","BiomedicalConceptProperty"
"Adverse Event Action Taken with Study Treatment","True","Adverse Event Action Taken with Study Treatment","9318a91c-93ed-439f-bae0-12e3e4e81592","string","True","BiomedicalConceptProperty_9","BiomedicalConceptProperty"
"Adverse Event Attribution to Product or Procedure","True","Adverse Event Attribution to Product or Procedure","0fcee650-d50c-4a48-8b15-0de5b04b4796","string","True","BiomedicalConceptProperty_10","BiomedicalConceptProperty"
"Adverse Event Pattern","True","Adverse Event Pattern","6eac8842-963e-460c-bb10-de686caefcec","string","True","BiomedicalConceptProperty_11","BiomedicalConceptProperty"
"Adverse Event Outcome","True","Adverse Event Outcome","09cedc15-4e2d-4009-a05e-fe0ddbe06d2f","string","True","BiomedicalConceptProperty_12","BiomedicalConceptProperty"
"Adverse Event Start Date Time","True","Adverse Event Start Date Time","4f6448e7-3ba0-42ac-862e-e776d2e822e1","datetime","True","BiomedicalConceptProperty_13","BiomedicalConceptProperty"
"Adverse Event End Date Time","True","Adverse Event End Date Time","67eebad2-536c-4d8f-a6d1-ed577066a0ca","datetime","True","BiomedicalConceptProperty_14","BiomedicalConceptProperty"
"Vital Signs Result","True","Vital Signs Result","ddb2284f-e84f-49e0-b422-95598027660d","decimal","True","BiomedicalConceptProperty_15","BiomedicalConceptProperty"
"Unit of Pressure","True","Unit of Pressure","1a4055ba-f1f5-4961-a847-84303d71c290","string","True","BiomedicalConceptProperty_16","BiomedicalConceptProperty"
"Vital Signs Location","True","Vital Signs Location","a59ee6f2-0228-484a-b611-4c3160cf417e","string","True","BiomedicalConceptProperty_17","BiomedicalConceptProperty"
"Vital Signs Laterality","True","Vital Signs Laterality","ad9ab831-fdf8-4460-85ce-577e2b445751","string","True","BiomedicalConceptProperty_18","BiomedicalConceptProperty"
"Test Method","True","Test Method","9ee10e88-2fa0-4a74-b410-6463e84fde58","string","True","BiomedicalConceptProperty_19","BiomedicalConceptProperty"
"Vital Signs Position","True","Vital Signs Position","2a5cc8c5-8783-4978-b6b9-b3ac80501202","string","True","BiomedicalConceptProperty_20","BiomedicalConceptProperty"
"Vital Signs Result","True","Vital Signs Result","651663d4-da69-4750-bc39-28ed686cbbd5","decimal","True","BiomedicalConceptProperty_21","BiomedicalConceptProperty"
"Unit of Pressure","True","Unit of Pressure","35998513-afe2-4a32-80ce-b6e18375594d","string","True","BiomedicalConceptProperty_22","BiomedicalConceptProperty"
"Vital Signs Location","True","Vital Signs Location","ec07b508-fbb0-479b-942f-bd1b09736633","string","True","BiomedicalConceptProperty_23","BiomedicalConceptProperty"
"Vital Signs Laterality","True","Vital Signs Laterality","282a0968-4586-459f-bb4f-96e29750c51f","string","True","BiomedicalConceptProperty_24","BiomedicalConceptProperty"
"Test Method","True","Test Method","8a0ed457-17f7-4434-984d-a8c60f5edaff","string","True","BiomedicalConceptProperty_25","BiomedicalConceptProperty"
"Vital Signs Position","True","Vital Signs Position","a8c7e8bc-a38b-41a9-b2e0-7db53a411f7f","string","True","BiomedicalConceptProperty_26","BiomedicalConceptProperty"
"Vital Signs Result","True","Vital Signs Result","9d9897a7-df51-43dc-a69b-a9bb29193f17","decimal","True","BiomedicalConceptProperty_27","BiomedicalConceptProperty"
"Unit of Temperature","True","Unit of Temperature","422677c0-0aa9-4bee-82a2-2ca109dd38d7","string","True","BiomedicalConceptProperty_28","BiomedicalConceptProperty"
"Vital Signs Location","True","Vital Signs Location","5a58c74d-4896-4519-8497-6c6e62b41fa4","string","True","BiomedicalConceptProperty_29","BiomedicalConceptProperty"
"Vital Signs Result","True","Vital Signs Result","c84f999a-b61a-44e3-838c-294d35c43bda","decimal","True","BiomedicalConceptProperty_30","BiomedicalConceptProperty"
"Unit of Weight","True","Unit of Weight","fc45d441-e712-499f-a195-b76a8f42f044","string","True","BiomedicalConceptProperty_31","BiomedicalConceptProperty"
"Vital Signs Result","True","Vital Signs Result","d949f3da-62ad-429b-a41c-e33a7106ca7c","decimal","True","BiomedicalConceptProperty_32","BiomedicalConceptProperty"
"Unit of Height","True","Unit of Height","e021bc2e-782e-4c13-b7e0-e415f5673b20","string","True","BiomedicalConceptProperty_33","BiomedicalConceptProperty"
"Laboratory Test Result","True","Laboratory Test Result","82af11bd-154d-438e-8177-399366d362f2","decimal","True","BiomedicalConceptProperty_34","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","dde01271-d938-49e1-9591-c5065e56ebe1","boolean","True","BiomedicalConceptProperty_35","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","3ab5e2cc-35bd-44e9-a9f2-28c7edf6244f","string","True","BiomedicalConceptProperty_36","BiomedicalConceptProperty"
"Biospecimen Type","True","Biospecimen Type","1d1f66af-1c5f-453f-b241-104699e5272b","string","True","BiomedicalConceptProperty_37","BiomedicalConceptProperty"
"Laboratory Test Result","True","Laboratory Test Result","53019f4c-1f14-4458-9320-616bf24f29c6","string","True","BiomedicalConceptProperty_38","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","7a2fe53e-8a86-415d-9f1a-79b757c67f5d","boolean","True","BiomedicalConceptProperty_39","BiomedicalConceptProperty"
"Unit of Concentration","True","Unit of Concentration","552a80b1-fdda-4874-aea2-5c3fdafafc8b","string","True","BiomedicalConceptProperty_40","BiomedicalConceptProperty"
"Biospecimen Type","True","Biospecimen Type","a8417ea4-da58-4419-b03f-fd3f4a7d4a9f","string","True","BiomedicalConceptProperty_41","BiomedicalConceptProperty"
"Laboratory Test Result","True","Laboratory Test Result","75a382e3-2897-48dd-9a2f-d78f45749a05","decimal","True","BiomedicalConceptProperty_42","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","cb4fc3d8-4630-41bf-9374-1a3b48beb11e","boolean","True","BiomedicalConceptProperty_43","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","dbd00016-3ed7-4e90-b942-6a1e1aedcaa5","string","True","BiomedicalConceptProperty_44","BiomedicalConceptProperty"
"Biospecimen Type","True","Biospecimen Type","a901056e-f043-46df-aa5d-24c914bbc893","string","True","BiomedicalConceptProperty_45","BiomedicalConceptProperty"
"Laboratory Test Result","True","Laboratory Test Result","90072923-de84-4e5c-8bc4-60578246b9e9","decimal","True","BiomedicalConceptProperty_46","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","c566284c-f7e9-40a3-bd08-8180f3515f12","boolean","True","BiomedicalConceptProperty_47","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","7f7708da-0d23-4f97-9d7f-aa6e6521a79d","string","True","BiomedicalConceptProperty_48","BiomedicalConceptProperty"
"Biospecimen Type","True","Biospecimen Type","f6397c9b-36ed-4912-b1ba-47a2b5441c06","string","True","BiomedicalConceptProperty_49","BiomedicalConceptProperty"
"Laboratory Test Result","True","Laboratory Test Result","ffe786c7-21ce-4627-8004-41062f2bc1e5","string","True","BiomedicalConceptProperty_50","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","0e8a1a68-26d5-4894-b01e-942d9631e203","boolean","True","BiomedicalConceptProperty_51","BiomedicalConceptProperty"
"Unit of Concentration","True","Unit of Concentration","9628b7b5-ddef-4937-8d9f-1312476231ea","string","True","BiomedicalConceptProperty_52","BiomedicalConceptProperty"
"Biospecimen Type","True","Biospecimen Type","28b616b7-343c-4e3c-825b-d0d77b3d7c17","string","True","BiomedicalConceptProperty_53","BiomedicalConceptProperty"
"Laboratory Test Result","True","Laboratory Test Result","cdb378fa-eb32-4b85-b185-00035a12c3fb","decimal","True","BiomedicalConceptProperty_54","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","80fd3d9c-276f-4044-a8d3-26e8c8f988c9","boolean","True","BiomedicalConceptProperty_55","BiomedicalConceptProperty"
"Molarity Unit","True","Molarity Unit","c3c21e8f-5cab-43da-b475-3fb075432cc2","string","True","BiomedicalConceptProperty_56","BiomedicalConceptProperty"
"Biospecimen Type","True","Biospecimen Type","2a8d00c7-5367-49b7-8656-0870c470917c","string","True","BiomedicalConceptProperty_57","BiomedicalConceptProperty"
"Laboratory Test Result","True","Laboratory Test Result","b91e4686-b2e2-4880-9867-aa98c90463a0","decimal","True","BiomedicalConceptProperty_58","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","cf19b9b8-a321-4495-ba38-3dc9b4b4e924","boolean","True","BiomedicalConceptProperty_59","BiomedicalConceptProperty"
"Molarity Unit","True","Molarity Unit","28e70886-31c1-4ded-9f78-8efd0071da75","string","True","BiomedicalConceptProperty_60","BiomedicalConceptProperty"
"Biospecimen Type","True","Biospecimen Type","074aac07-e6d0-4092-a340-244b20cb91f4","string","True","BiomedicalConceptProperty_61","BiomedicalConceptProperty"
"Vital Signs Result","True","Vital Signs Result","ebea1ba8-ae47-48d8-a20d-b240a22ddc74","decimal","True","BiomedicalConceptProperty_62","BiomedicalConceptProperty"
"Unit of Pressure","True","Unit of Pressure","592c61a7-7002-41a2-9b3d-697aec87b51f","string","True","BiomedicalConceptProperty_63","BiomedicalConceptProperty"
"Vital Signs Location","True","Vital Signs Location","138d8471-e826-4085-9029-654f2fe47cd9","string","True","BiomedicalConceptProperty_64","BiomedicalConceptProperty"
"Vital Signs Laterality","True","Vital Signs Laterality","288169d9-2d9d-46fe-bf10-13fbd4b3ac49","string","True","BiomedicalConceptProperty_65","BiomedicalConceptProperty"
"Test Method","True","Test Method","a19c18ca-f52e-4af8-9e40-ff1707e34174","string","True","BiomedicalConceptProperty_66","BiomedicalConceptProperty"
"Vital Signs Position","True","Vital Signs Position","b971826c-5fbb-49fe-8474-77487a23c3c9","string","True","BiomedicalConceptProperty_67","BiomedicalConceptProperty"
"Vital Signs Result","True","Vital Signs Result","d669b58c-4667-4c4c-8577-f1a9be12b859","decimal","True","BiomedicalConceptProperty_68","BiomedicalConceptProperty"
"Unit of Pressure","True","Unit of Pressure","c7f58e71-aead-4080-8333-66fd5f2d40e4","string","True","BiomedicalConceptProperty_69","BiomedicalConceptProperty"
"Vital Signs Location","True","Vital Signs Location","639b5401-7246-4169-8962-a18f330282c7","string","True","BiomedicalConceptProperty_70","BiomedicalConceptProperty"
"Vital Signs Laterality","True","Vital Signs Laterality","35b76e54-d47f-4af3-b184-ec705c156ec6","string","True","BiomedicalConceptProperty_71","BiomedicalConceptProperty"
"Test Method","True","Test Method","e0a4a03c-678c-49b1-8dc3-80e1cc252755","string","True","BiomedicalConceptProperty_72","BiomedicalConceptProperty"
"Vital Signs Position","True","Vital Signs Position","8ca527b3-286b-4e57-bbbd-8af207071348","string","True","BiomedicalConceptProperty_73","BiomedicalConceptProperty"
"Vital Signs Result","True","Vital Signs Result","a225e366-6be4-4d27-b354-ffa61b2fe24b","integer","True","BiomedicalConceptProperty_74","BiomedicalConceptProperty"
"Count per Minute","True","Count per Minute","854863cb-8ff7-48e7-9046-e4e94d688d69","string","True","BiomedicalConceptProperty_75","BiomedicalConceptProperty"
"Vital Signs Location","True","Vital Signs Location","a732b8a6-533f-428e-a160-3c1ad2de52b1","string","True","BiomedicalConceptProperty_76","BiomedicalConceptProperty"
"Vital Signs Laterality","True","Vital Signs Laterality","e2c28ded-4391-4cfc-85fa-8896ea9754dd","string","True","BiomedicalConceptProperty_77","BiomedicalConceptProperty"
"Test Method","True","Test Method","c621f517-91a5-436d-a3e9-8f6a7a3d390b","string","True","BiomedicalConceptProperty_78","BiomedicalConceptProperty"
"Vital Signs Position","True","Vital Signs Position","608c5f22-4702-4920-9d89-3de47a44eeb4","string","True","BiomedicalConceptProperty_79","BiomedicalConceptProperty"
"Vital Signs Result","True","Vital Signs Result","531eb3d8-5936-41ee-96cd-b6a78dc31a0d","decimal","True","BiomedicalConceptProperty_80","BiomedicalConceptProperty"
"Unit of Pressure","True","Unit of Pressure","e247c55d-0b43-469c-8ff7-3ec896ae714f","string","True","BiomedicalConceptProperty_81","BiomedicalConceptProperty"
"Vital Signs Location","True","Vital Signs Location","8b71c2f1-63f1-4485-987f-c243e4cb08d7","string","True","BiomedicalConceptProperty_82","BiomedicalConceptProperty"
"Vital Signs Laterality","True","Vital Signs Laterality","e65a5414-112c-4e4b-ac86-5b1fb16e8bfe","string","True","BiomedicalConceptProperty_83","BiomedicalConceptProperty"
"Test Method","True","Test Method","50027851-5c44-4a94-b4b4-f9d9b9eee75b","string","True","BiomedicalConceptProperty_84","BiomedicalConceptProperty"
"Vital Signs Position","True","Vital Signs Position","bd12905b-1129-4971-9263-47354a9b76ad","string","True","BiomedicalConceptProperty_85","BiomedicalConceptProperty"
"Vital Signs Result","True","Vital Signs Result","c788ae56-24e5-4487-8b52-4389d28ecc4a","decimal","True","BiomedicalConceptProperty_86","BiomedicalConceptProperty"
"Unit of Pressure","True","Unit of Pressure","b987858a-d6b7-4332-a310-01252488abfe","string","True","BiomedicalConceptProperty_87","BiomedicalConceptProperty"
"Vital Signs Location","True","Vital Signs Location","87a0825e-a973-41f0-8f26-c3a7180a819c","string","True","BiomedicalConceptProperty_88","BiomedicalConceptProperty"
"Vital Signs Laterality","True","Vital Signs Laterality","ec0e75eb-6cb3-4791-ae40-1d1ba9db0442","string","True","BiomedicalConceptProperty_89","BiomedicalConceptProperty"
"Test Method","True","Test Method","5ba434b7-3a55-450b-92e0-03cbc031e2d1","string","True","BiomedicalConceptProperty_90","BiomedicalConceptProperty"
"Vital Signs Position","True","Vital Signs Position","552f6d9d-ff62-42c9-9e1b-2b4408b7746f","string","True","BiomedicalConceptProperty_91","BiomedicalConceptProperty"
"Vital Signs Result","True","Vital Signs Result","b43a4340-356c-485d-83c2-5f05f94213d2","integer","True","BiomedicalConceptProperty_92","BiomedicalConceptProperty"
"Count per Minute","True","Count per Minute","fc3d0394-5e2f-4c7c-9ff5-1016ba56a542","string","True","BiomedicalConceptProperty_93","BiomedicalConceptProperty"
"Vital Signs Location","True","Vital Signs Location","437090e7-7a01-4c02-9451-f7e927199ce3","string","True","BiomedicalConceptProperty_94","BiomedicalConceptProperty"
"Vital Signs Laterality","True","Vital Signs Laterality","397d11a9-52ee-4160-902c-2547d0ae9c9b","string","True","BiomedicalConceptProperty_95","BiomedicalConceptProperty"
"Test Method","True","Test Method","a4039b8d-3caf-407c-92d0-45dd1ec83ee6","string","True","BiomedicalConceptProperty_96","BiomedicalConceptProperty"
"Vital Signs Position","True","Vital Signs Position","d2dbab83-0cf4-48a2-aece-c2f8ef65b46c","string","True","BiomedicalConceptProperty_97","BiomedicalConceptProperty"
