"sectionTitle","text","name","sectionNumber","uuid:ID","id","instanceType"
"Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","SECTION 4.2","4.2","2cd230bc-0e04-4794-860d-4bd512188fa3","NarrativeContent_15","NarrativeContent"
"Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","SECTION 4.2.1","4.2.1","bef65222-94cc-496f-89ed-28575396b454","NarrativeContent_16","NarrativeContent"
"Rationale for Adaptive or Novel Trial Design","<div></div>","SECTION 4.2.2","4.2.2","59175257-c515-4fc9-b42b-129133061810","NarrativeContent_17","NarrativeContent"
"Other Trial Design Considerations","<div></div>","SECTION 4.2.3","4.2.3","ec7a5d4b-ef87-4633-8e28-dc4faf592a5c","NarrativeContent_18","NarrativeContent"
"Access to Trial Intervention After End of Trial","<div></div>","SECTION 4.3","4.3","cb990a79-1786-4a39-ac82-d0ff38fa155d","NarrativeContent_19","NarrativeContent"
"Start of Trial and End of Trial","<div></div>","SECTION 4.4","4.4","4b41d4af-1019-49e2-a701-a2fa744f11e5","NarrativeContent_20","NarrativeContent"
"TRIAL POPULATION","<div></div>","SECTION 5","5","a8eaecde-522e-4e2c-bba5-67d1ae304325","NarrativeContent_21","NarrativeContent"
"Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","SECTION 5.1","5.1","25ca6525-a353-4014-925c-38552f1f5ab7","NarrativeContent_22","NarrativeContent"
"Rationale for Trial Population","<div></div>","SECTION 5.2","5.2","963052b8-82fc-44eb-a6e3-0d431429dd9d","NarrativeContent_23","NarrativeContent"
"Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>","SECTION 5.3","5.3","9b0b133b-150e-49c1-aa1e-6fec1d72e21c","NarrativeContent_24","NarrativeContent"
"Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></div>","SECTION 5.4","5.4","83c7cdca-ea0a-4cf0-826d-55731b7a7f5a","NarrativeContent_25","NarrativeContent"
"Lifestyle Considerations","<div></div>","SECTION 5.5","5.5","1fd1bdca-64dc-4b0a-86f0-1823c6558ce7","NarrativeContent_26","NarrativeContent"
"Meals and Dietary Restrictions","<div></div>","SECTION 5.5.1","5.5.1","25d170ed-5f3d-4b06-a9ac-dbf9b1cdc33b","NarrativeContent_27","NarrativeContent"
"Caffeine, Alcohol, Tobacco, and Other Habits","<div><p>Not applicable</p></div>","SECTION 5.5.2","5.5.2","43b744ff-3c60-4427-a66f-51aaf390f582","NarrativeContent_28","NarrativeContent"
"Physical Activity","<div></div>","SECTION 5.5.3","5.5.3","ea67fb04-1e16-441a-93bd-d9e9f7555319","NarrativeContent_29","NarrativeContent"
"Other Activity","<div></div>","SECTION 5.5.4","5.5.4","e6b35def-68c0-4715-83eb-e4516f78a65b","NarrativeContent_30","NarrativeContent"
"Screen Failures","<div></div>","SECTION 5.6","5.6","b9b836f3-e89c-4efd-83e0-b6c3c0fb8716","NarrativeContent_31","NarrativeContent"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>","SECTION 6","6","a26ad036-dfba-4008-a789-e22680c3d103","NarrativeContent_32","NarrativeContent"
"Description of Trial Intervention","<div></div>","SECTION 6.1","6.1","4c4c8fcf-c4de-474b-b3a5-48af420bda98","NarrativeContent_33","NarrativeContent"
"Rationale for Trial Intervention","<div></div>","SECTION 6.2","6.2","40a9d2b1-a393-483e-959b-12b30759d118","NarrativeContent_34","NarrativeContent"
"Dosing and Administration","<div></div>","SECTION 6.3","6.3","ea68ae54-20e9-47f8-b3f6-3ffb6bc036fb","NarrativeContent_35","NarrativeContent"
"Trial Intervention Dose Modification","<div></div>","SECTION 6.3.1","6.3.1","fbb78881-762e-4dad-b6ea-94a779f82aef","NarrativeContent_36","NarrativeContent"
"Treatment of Overdose","<div></div>","SECTION 6.4","6.4","ba849694-ebe5-4233-ac51-01d07a1ec670","NarrativeContent_37","NarrativeContent"
"Preparation, Handling, Storage and Accountability","<div></div>","SECTION 6.5","6.5","d0850e20-441a-455c-9168-7468c58bdfbb","NarrativeContent_38","NarrativeContent"
"Preparation of Trial Intervention","<div></div>","SECTION 6.5.1","6.5.1","9470588f-0a33-4afa-b1a8-d26a1086fba2","NarrativeContent_39","NarrativeContent"
"Handling and Storage of Trial Intervention","<div></div>","SECTION 6.5.2","6.5.2","34b2a7f3-a45f-47eb-a47a-431702c3aa0f","NarrativeContent_40","NarrativeContent"
"Accountability of Trial Intervention","<div></div>","SECTION 6.5.3","6.5.3","16d75c67-1886-4fcf-bdba-b35494c8bab3","NarrativeContent_41","NarrativeContent"
"Participant Assignment, Randomisation and Blinding","<div></div>","SECTION 6.6","6.6","0bf68930-8086-43af-9fea-6cf46cfc9c53","NarrativeContent_42","NarrativeContent"
"Participant Assignment","<div></div>","SECTION 6.6.1","6.6.1","94dc99f2-4f66-41c1-8159-5ff913556929","NarrativeContent_43","NarrativeContent"
"Randomisation","<div></div>","SECTION 6.6.2","6.6.2","6d4f956b-8462-4be2-8070-5b0a0da92b2f","NarrativeContent_44","NarrativeContent"
"Blinding and Unblinding","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","SECTION 6.6.3","6.6.3","052b9647-7141-4af9-8978-f41e7b6102ab","NarrativeContent_45","NarrativeContent"
"Trial Intervention Compliance","<div></div>","SECTION 6.7","6.7","10a9b09d-9e38-49d0-b172-7fcf9f047721","NarrativeContent_46","NarrativeContent"
"Concomitant Therapy","<div></div>","SECTION 6.8","6.8","40a82a3e-f792-4daf-824a-6223293b18e6","NarrativeContent_47","NarrativeContent"
"Prohibited Concomitant Therapy","<div></div>","SECTION 6.8.1","6.8.1","3be63a9b-be9d-41c2-b8cf-29128b6116f1","NarrativeContent_48","NarrativeContent"
"Permitted Concomitant Therapy","<div></div>","SECTION 6.8.2","6.8.2","27f8a523-efe5-41c9-b24a-efb132cb1d85","NarrativeContent_49","NarrativeContent"
"Rescue Therapy","<div></div>","SECTION 6.8.3","6.8.3","0c2d3bd5-32d0-4884-93b1-d43781680f51","NarrativeContent_50","NarrativeContent"
"Other Therapy","<div></div>","SECTION 6.8.4","6.8.4","ed30729b-7902-44d8-9e7b-0267431d0fd5","NarrativeContent_51","NarrativeContent"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","<div></div>","SECTION 7","7","68abb3cb-2731-4707-b13a-a556161a81f5","NarrativeContent_52","NarrativeContent"
"Discontinuation of Trial Intervention","<div></div>","SECTION 7.1","7.1","992aa376-5fd6-43cb-8550-d782ef9eb8dd","NarrativeContent_53","NarrativeContent"
"Criteria for Permanent Discontinuation of Trial Intervention","<div></div>","SECTION 7.1.1","7.1.1","af2db566-d6e9-48c4-b097-a0f733595769","NarrativeContent_54","NarrativeContent"
"Temporary Discontinuation or Interruption of Trial Intervention","<div></div>","SECTION 7.1.2","7.1.2","78f2d0e9-9f55-450d-8105-d6e4e17c8b8c","NarrativeContent_55","NarrativeContent"
"Rechallenge","<div></div>","SECTION 7.1.3","7.1.3","08bd1827-94fb-4dc2-a332-2ff585fd6452","NarrativeContent_56","NarrativeContent"
"Participant Withdrawal from the Trial","<div></div>","SECTION 7.2","7.2","8c0ec3e5-e36c-4d03-a500-01b3f291348c","NarrativeContent_57","NarrativeContent"
"Lost to Follow-Up","<div></div>","SECTION 7.3","7.3","2190f86e-d354-46ff-850e-6a92d1aa3a73","NarrativeContent_58","NarrativeContent"
"Trial Stopping Rules","<div></div>","SECTION 7.4","7.4","6dfaedce-30e0-45e7-8905-871b3c4a6097","NarrativeContent_59","NarrativeContent"
"TRIAL ASSESSMENTS AND PROCEDURES","<div></div>","SECTION 8","8","2d8358d8-9c84-4656-a4b6-203424f21a61","NarrativeContent_60","NarrativeContent"
"Screening/Baseline Assessments and Procedures","<div></div>","SECTION 8.1","8.1","a063f46c-49b0-498f-a39c-9466478fb4aa","NarrativeContent_61","NarrativeContent"
"Efficacy Assessments and Procedures","<div></div>","SECTION 8.2","8.2","ebf64014-5b90-431e-b40d-ffc4e07dc617","NarrativeContent_62","NarrativeContent"
"Safety Assessments and Procedures","<div></div>","SECTION 8.3","8.3","76e2c0b8-669f-419d-847d-ac97f0b25378","NarrativeContent_63","NarrativeContent"
"Physical Examination","<div></div>","SECTION 8.3.1","8.3.1","994c21c2-3909-402e-9b2d-e6a6efe58a1c","NarrativeContent_64","NarrativeContent"
"Vital Signs","<div></div>","SECTION 8.3.2","8.3.2","4c73cd47-cfd6-4cbf-bfc9-ac2337d9de49","NarrativeContent_65","NarrativeContent"
"Electrocardiograms","<div></div>","SECTION 8.3.3","8.3.3","91e9a1c3-0ffa-43fe-86b0-97f078915859","NarrativeContent_66","NarrativeContent"
"Clinical Laboratory Assessments","<div></div>","SECTION 8.3.4","8.3.4","7edd57ca-5b8a-4d38-a874-39a0f6a1cc51","NarrativeContent_67","NarrativeContent"
"Suicidal Ideation and Behaviour Risk Monitoring","<div></div>","SECTION 8.3.5","8.3.5","1e8610f4-5fcb-46cd-a7a6-04eb898ae465","NarrativeContent_68","NarrativeContent"
"Adverse Events and Serious Adverse Events","<div></div>","SECTION 8.4","8.4","32387d02-d897-4303-b4a8-7203c2d8c19a","NarrativeContent_69","NarrativeContent"
"Definitions of AE and SAE","<div></div>","SECTION 8.4.1","8.4.1","fdae7bcd-a92b-4acd-8b50-1429814eff2a","NarrativeContent_70","NarrativeContent"
"Time Period and Frequency for Collecting AE and SAE Information","<div></div>","SECTION 8.4.2","8.4.2","5253bdce-dfc1-4e1b-94a9-2f06f2f689ee","NarrativeContent_71","NarrativeContent"
"Identifying AEs and SAEs","<div></div>","SECTION 8.4.3","8.4.3","4d1de0bf-4b9f-4de8-a746-c854af96dcc7","NarrativeContent_72","NarrativeContent"
"Recording of AEs and SAEs","<div></div>","SECTION 8.4.4","8.4.4","3a7dc2dd-6552-4344-94c6-4c0ab0b6f98f","NarrativeContent_73","NarrativeContent"
"Follow-up of AEs and SAEs","<div></div>","SECTION 8.4.5","8.4.5","2444e749-0062-4b03-846e-390f57da54e7","NarrativeContent_74","NarrativeContent"
"Reporting of SAEs","<div></div>","SECTION 8.4.6","8.4.6","d6090bbb-8944-4158-a2a4-3e9475fbe526","NarrativeContent_75","NarrativeContent"
"Regulatory Reporting Requirements for SAEs","<div></div>","SECTION 8.4.7","8.4.7","463a7115-e2c7-48ed-a622-5f5a0ee25b12","NarrativeContent_76","NarrativeContent"
"Serious and Unexpected Adverse Reaction Reporting","<div></div>","SECTION 8.4.8","8.4.8","cb7623ec-26c9-4cde-9613-3004a000758b","NarrativeContent_77","NarrativeContent"
"Adverse Events of Special Interest","<div></div>","SECTION 8.4.9","8.4.9","2bc87329-7658-40a3-a5cb-43f0943d9842","NarrativeContent_78","NarrativeContent"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","<div></div>","SECTION 8.4.10","8.4.10","a7d91ee2-a050-44cf-9c29-65d6da08a90c","NarrativeContent_79","NarrativeContent"
"Pregnancy and Postpartum Information","<div></div>","SECTION 8.5","8.5","938aa52a-11d3-45c7-a523-186aecedf840","NarrativeContent_80","NarrativeContent"
"Participants Who Become Pregnant During the Trial","<div></div>","SECTION 8.5.1","8.5.1","86f84ccb-252f-44a7-86c0-12284f8637ac","NarrativeContent_81","NarrativeContent"
"Participants Whose Partners Become Pregnant","<div></div>","SECTION 8.5.2","8.5.2","0437e859-1e10-4b3c-a0fa-a55a1d98ea03","NarrativeContent_82","NarrativeContent"
"Medical Device Product Complaints for Drug/Device Combination Products","<div></div>","SECTION 8.6","8.6","d0363ec5-1aa9-41d6-872a-98986a78969c","NarrativeContent_83","NarrativeContent"
"Definition of Medical Device Product Complaints","<div></div>","SECTION 8.6.1","8.6.1","cdf24384-01af-4e40-b95a-672131671cf1","NarrativeContent_84","NarrativeContent"
"Recording of Medical Device Product Complaints","<div></div>","SECTION 8.6.2","8.6.2","6b055c91-270b-4675-9fe2-ce9fe0d90de7","NarrativeContent_85","NarrativeContent"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","<div></div>","SECTION 8.6.3","8.6.3","f03a0a5d-2f2d-4cb8-aa3a-a57aa028fcf1","NarrativeContent_86","NarrativeContent"
"Follow-Up of Medical Device Product Complaints","<div></div>","SECTION 8.6.4","8.6.4","843b1189-a21b-47cc-8ffe-ee13f000db43","NarrativeContent_87","NarrativeContent"
"Regulatory Reporting Requirements for Medical Device Product Complaints","<div></div>","SECTION 8.6.5","8.6.5","9b4f140c-272a-4eae-bf71-acdbb315569c","NarrativeContent_88","NarrativeContent"
"Pharmacokinetics","<div></div>","SECTION 8.7","8.7","689d9543-1b4d-4c73-a610-536effba8d44","NarrativeContent_89","NarrativeContent"
"Genetics","<div></div>","SECTION 8.8","8.8","4ec3a1ab-ab20-4540-bde6-d3442b5baff3","NarrativeContent_90","NarrativeContent"
"Biomarkers","<div></div>","SECTION 8.9","8.9","eca6193a-728a-4a7c-8e74-dcf1a7301be0","NarrativeContent_91","NarrativeContent"
"Immunogenicity Assessments","<div></div>","SECTION 8.1","8.1","409950d7-dca9-4026-9d57-66e046238c92","NarrativeContent_92","NarrativeContent"
"Medical Resource Utilisation and Health Economics","<div></div>","SECTION 8.1.1","8.1.1","5f0ba90b-ee2e-40c8-91ba-117e6377da49","NarrativeContent_93","NarrativeContent"
"STATISTICAL CONSIDERATIONS","<div></div>","SECTION 9","9","58039f37-1329-4e45-ba20-ce02aee73012","NarrativeContent_94","NarrativeContent"
"Analysis Sets","<div></div>","SECTION 9.1","9.1","c7871625-e3d7-4a96-8dd8-4b0c77b7c613","NarrativeContent_95","NarrativeContent"
"Analyses Supporting Primary Objective(s)","<div></div>","SECTION 9.2","9.2","64110f01-f2e2-412e-a0ed-0b83dba9352f","NarrativeContent_96","NarrativeContent"
"Statistical Model, Hypothesis, and Method of Analysis","<div></div>","SECTION 9.2.1","9.2.1","9cd83e14-5cae-47d0-9abd-e979564fb950","NarrativeContent_97","NarrativeContent"
"Handling of Intercurrent Events of Primary Estimand(s)","<div></div>","SECTION 9.2.2","9.2.2","a530f41c-588e-4951-87cc-7ea9746e6666","NarrativeContent_98","NarrativeContent"
"Handling of Missing Data","<div></div>","SECTION 9.2.3","9.2.3","7424e8a7-6bce-444e-8f69-5bf3208003ce","NarrativeContent_99","NarrativeContent"
"Sensitivity Analysis","<div></div>","SECTION 9.2.4","9.2.4","5347cf6a-df11-4839-8365-1fbbb57193a8","NarrativeContent_100","NarrativeContent"
"Supplementary Analysis","<div></div>","SECTION 9.2.5","9.2.5","1f7f9dab-1fc2-4576-8a75-1bfdbdd5c9d6","NarrativeContent_101","NarrativeContent"
"Analysis Supporting Secondary Objective(s)","<div></div>","SECTION 9.3","9.3","c8fc20a0-944b-4453-83a2-1375e19968d3","NarrativeContent_102","NarrativeContent"
"Analysis of Exploratory Objective(s)","<div></div>","SECTION 9.4","9.4","2aedc58a-f0f6-42aa-8efa-4ba8e559076f","NarrativeContent_103","NarrativeContent"
"Safety Analyses","<div></div>","SECTION 9.5","9.5","97e19aab-3d47-4be6-a74e-24329b90a707","NarrativeContent_104","NarrativeContent"
"Other Analyses","<div></div>","SECTION 9.6","9.6","24de82ea-a4a2-4d2e-9d52-1e8f17908246","NarrativeContent_105","NarrativeContent"
"Interim Analyses","<div></div>","SECTION 9.7","9.7","e7f0a27d-ce39-46cd-b75d-d9d88be9d729","NarrativeContent_106","NarrativeContent"
"Sample Size Determination","<div></div>","SECTION 9.8","9.8","cee6e62f-acad-4ec2-86ca-1342905fa76a","NarrativeContent_107","NarrativeContent"
"Protocol Deviations","<div></div>","SECTION 9.9","9.9","4ddda4b6-bf17-45a5-8b16-9c98e298d568","NarrativeContent_108","NarrativeContent"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","<div></div>","SECTION 10","10","2a7eabd8-a450-4de0-8bbd-5c19102e5a1a","NarrativeContent_109","NarrativeContent"
"Regulatory and Ethical Considerations","<div></div>","SECTION 10.1","10.1","64de2267-3a1e-45e4-ba92-4deb950ae334","NarrativeContent_110","NarrativeContent"
"Committees","<div></div>","SECTION 10.2","10.2","52d3898a-d48a-4acf-8af4-7a47b4aa9e50","NarrativeContent_111","NarrativeContent"
"Informed Consent Process","<div></div>","SECTION 10.3","10.3","07872823-4c51-44f3-8d79-cc1072516960","NarrativeContent_112","NarrativeContent"
"Data Protection","<div></div>","SECTION 10.4","10.4","676b7674-ad96-465a-b300-28add81c41f9","NarrativeContent_113","NarrativeContent"
"Early Site Closure or Trial Termination","<div></div>","SECTION 10.5","10.5","d95af6db-3729-434a-8bc5-b510485392a5","NarrativeContent_114","NarrativeContent"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","<div></div>","SECTION 11","11","937536a5-eb0e-4b01-8bd5-aeac147217c3","NarrativeContent_115","NarrativeContent"
"Quality Tolerance Limits","<div></div>","SECTION 11.1","11.1","d21882e5-52fa-4f1a-b445-c1dab5148060","NarrativeContent_116","NarrativeContent"
"Data Quality Assurance","<div></div>","SECTION 11.2","11.2","1ed8a983-3c54-4a5d-ae2d-5f9f435f64be","NarrativeContent_117","NarrativeContent"
"Source Data","<div></div>","SECTION 11.3","11.3","43e4fbfe-86c4-4037-bcc7-7d2401dc063e","NarrativeContent_118","NarrativeContent"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","<div></div>","SECTION 12","12","53db4a57-fba6-42ab-af61-686d2c0bb765","NarrativeContent_119","NarrativeContent"
"Further Details and Clarifications on the AE Definition","<div></div>","SECTION 12.1","12.1","e529ea16-eb5b-4357-ba78-23e39de32819","NarrativeContent_120","NarrativeContent"
"Further Details and Clarifications on the SAE Definition","<div></div>","SECTION 12.2","12.2","27e21c9b-0b6d-47dc-b244-f8b33e7e5608","NarrativeContent_121","NarrativeContent"
"Severity","<div></div>","SECTION 12.3","12.3","e49dc1ca-0b18-4390-b7bd-984f6072dd8a","NarrativeContent_122","NarrativeContent"
"Causality","<div></div>","SECTION 12.4","12.4","b536b249-462d-4506-88fa-7acc3acc22d5","NarrativeContent_123","NarrativeContent"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","<div></div>","SECTION 13","13","534521e1-f48b-425e-9348-ac875bfefb3b","NarrativeContent_124","NarrativeContent"
"Contraception and Pregnancy Testing","<div></div>","SECTION 13.1","13.1","70217fbd-3dbc-4721-b525-d00d561f3e17","NarrativeContent_125","NarrativeContent"
"Definitions Related to Childbearing Potential","<div></div>","SECTION 13.1.1","13.1.1","41ba50a8-f227-4bdd-b9b0-1d329a28fe32","NarrativeContent_126","NarrativeContent"
"Contraception","<div></div>","SECTION 13.1.2","13.1.2","7d50fe4b-c1e1-46db-8259-12cca45d2922","NarrativeContent_127","NarrativeContent"
"Pregnancy Testing","<div></div>","SECTION 13.1.3","13.1.3","3a3dd78f-d71c-4c22-9cd1-1a71f19a4f3d","NarrativeContent_128","NarrativeContent"
"Clinical Laboratory Tests","<div></div>","SECTION 13.2","13.2","318849f6-7442-4a40-b982-b73f24244daf","NarrativeContent_129","NarrativeContent"
"Country/Region-Specific Differences","<div></div>","SECTION 13.3","13.3","ed834c2a-5cba-452a-a4f5-792a26feb423","NarrativeContent_130","NarrativeContent"
"Prior Protocol Amendments","<div></div>","SECTION 13.4","13.4","2075d2d2-f596-4a00-ad48-1be1e868b806","NarrativeContent_131","NarrativeContent"
"APPENDIX: GLOSSARY OF TERMS","<div></div>","SECTION 14","14","29c82c54-2577-409c-a559-c119f6d1e840","NarrativeContent_132","NarrativeContent"
"APPENDIX: REFERENCES","<div></div>","SECTION 15","15","d6c23bd4-a84d-4c2c-a9ca-32e6db0e1563","NarrativeContent_133","NarrativeContent"
