"label","synonyms","name","reference","uuid:ID","id","instanceType"
"Alanine Aminotransferase Measurement","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","3dca348a-77db-4b10-a81f-b69c5fbcc027","BiomedicalConcept_7","BiomedicalConcept"
"Albumin Measurement","['Albumin']","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","eec78655-7d98-4835-a6fc-5fa26ecb6fcf","BiomedicalConcept_8","BiomedicalConcept"
"Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","aad4da60-aeab-42ce-92f7-257754bc9254","BiomedicalConcept_9","BiomedicalConcept"
"Aspartate Aminotransferase Measurement","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","913827c8-90e7-4824-b710-bb765aeb1fe3","BiomedicalConcept_10","BiomedicalConcept"
"Creatinine Measurement","['Creatinine']","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","1f3ba7de-c342-4439-83c6-8cf7952a1e00","BiomedicalConcept_11","BiomedicalConcept"
"Potassium Measurement","['Potassium', 'K']","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","be869f92-114b-40f8-8c6e-37ba10976172","BiomedicalConcept_12","BiomedicalConcept"
"Sodium Measurement","['Sodium', 'NA']","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","37ede5b5-0350-4210-8c03-3a5e774fa5f5","BiomedicalConcept_13","BiomedicalConcept"
"Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","9de1aae6-0720-463f-9e32-bac7034ae1c1","BiomedicalConcept_14","BiomedicalConcept"
"Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","790a4218-d5f3-4bf3-9e09-725b4c373ae5","BiomedicalConcept_15","BiomedicalConcept"
"Heart Rate","","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","14b99da0-0608-4e2d-8534-41b8c50166e9","BiomedicalConcept_16","BiomedicalConcept"
"Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","c18343cb-a56c-4ba8-a2b9-280d4311aa80","BiomedicalConcept_17","BiomedicalConcept"
"Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","6ac5cead-e24d-4043-9a99-f207ea0efbbf","BiomedicalConcept_18","BiomedicalConcept"
"Heart Rate","","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","2ee9a7f3-e5c7-414f-bd7c-52e413a3463a","BiomedicalConcept_19","BiomedicalConcept"
