"code","codeSystemVersion","id","instanceType","decode","uuid:ID","codeSystem"
"C82639","2023-12-15","Code_141","Code","Parallel Study","fab0e195-dce2-4c19-8f54-10002399cc84","http://www.cdisc.org"
"C25716","2023-12-15","Code_83","Code","Visit","4719ee0b-7104-47fb-9d92-c041d883a10a","http://www.cdisc.org"
"C51282","2023-12-15","Code_84","Code","Clinic","2cf91996-2a97-40a3-a2ab-44ff8c8b33f6","http://www.cdisc.org"
"C175574","2023-12-15","Code_85","Code","In Person","c6f51e31-5f62-439f-9a40-9736751ccc52","http://www.cdisc.org"
"C25716","2023-12-15","Code_86","Code","Visit","6ac800ca-ed84-4356-b131-9f1b0986f991","http://www.cdisc.org"
"C51282","2023-12-15","Code_87","Code","Clinic","04f47fbc-642f-436f-a8e9-77cc971bca00","http://www.cdisc.org"
"C175574","2023-12-15","Code_88","Code","In Person","b167b626-e4cf-493f-a882-7be9416559aa","http://www.cdisc.org"
"C25716","2023-12-15","Code_89","Code","Visit","15e60570-54f7-4abc-a8ab-db35caf54986","http://www.cdisc.org"
"C51282","2023-12-15","Code_90","Code","Clinic","d98646f8-9418-4c02-b597-ef6305bd0955","http://www.cdisc.org"
"C175574","2023-12-15","Code_91","Code","In Person","1837e460-3523-4580-b358-d716c759a5ad","http://www.cdisc.org"
"C25716","2023-12-15","Code_92","Code","Visit","6eb0d885-b296-4c32-adb0-473a5da94374","http://www.cdisc.org"
"C51282","2023-12-15","Code_93","Code","Clinic","08022ac6-5454-4afd-b4ad-a108e8940dde","http://www.cdisc.org"
"C175574","2023-12-15","Code_94","Code","In Person","2e6b2869-1d5a-4502-bd44-6ccb8733a00e","http://www.cdisc.org"
"C25716","2023-12-15","Code_95","Code","Visit","11b63544-783f-4e27-8859-b9352799a1f1","http://www.cdisc.org"
"C51282","2023-12-15","Code_96","Code","Clinic","291a59c2-592f-4d6a-a69e-a50900ae044f","http://www.cdisc.org"
"C175574","2023-12-15","Code_97","Code","In Person","4837115c-ea1a-4773-9330-65fca653260c","http://www.cdisc.org"
"C25716","2023-12-15","Code_98","Code","Visit","855f70af-5f41-4aa1-be31-6ae8507740ec","http://www.cdisc.org"
"C51282","2023-12-15","Code_99","Code","Clinic","015aa5b2-7772-4a8b-9721-9024f9b6121f","http://www.cdisc.org"
"C175574","2023-12-15","Code_100","Code","In Person","19aa4904-59a3-49ce-bc97-7827ca132655","http://www.cdisc.org"
"C25716","2023-12-15","Code_101","Code","Visit","e828c336-5b3c-4848-9a96-d7d06350c143","http://www.cdisc.org"
"C51282","2023-12-15","Code_102","Code","Clinic","75077ea0-188c-41e0-aa15-7477e20b724c","http://www.cdisc.org"
"C175574","2023-12-15","Code_103","Code","In Person","2878fd8d-aac3-44de-b251-696ed642b568","http://www.cdisc.org"
"C171537","2023-12-15","Code_104","Code","Telephone Call","844b326e-4128-4d5b-bd30-a988962c2023","http://www.cdisc.org"
"C25716","2023-12-15","Code_105","Code","Visit","0680a650-46d3-4276-8829-56f6ce6cdf2d","http://www.cdisc.org"
"C51282","2023-12-15","Code_106","Code","Clinic","8ba4f7cf-fac9-4409-879e-661dbf2e1abd","http://www.cdisc.org"
"C175574","2023-12-15","Code_107","Code","In Person","ab1971e0-3774-456e-bbf7-571b17beaac0","http://www.cdisc.org"
"C171537","2023-12-15","Code_108","Code","Telephone Call","5ad44be8-d1a6-4f36-8076-2756a897002a","http://www.cdisc.org"
"C25716","2023-12-15","Code_109","Code","Visit","5c3ba07c-ff71-400c-99e2-9376b5620264","http://www.cdisc.org"
"C51282","2023-12-15","Code_110","Code","Clinic","2aae8655-abc6-4c5e-a7ce-534da3c4f69b","http://www.cdisc.org"
"C175574","2023-12-15","Code_111","Code","In Person","435172f8-7bd4-4636-8937-03ff097f0b8f","http://www.cdisc.org"
"C171537","2023-12-15","Code_112","Code","Telephone Call","1afa985a-a9f1-4111-9bba-7e85d6fc52f3","http://www.cdisc.org"
"C25716","2023-12-15","Code_113","Code","Visit","4a385cd4-5d73-4b6f-a21b-bd6245b1a151","http://www.cdisc.org"
"C51282","2023-12-15","Code_114","Code","Clinic","13a7bd04-5d6b-49e3-9e79-1d2bdae68ec1","http://www.cdisc.org"
"C175574","2023-12-15","Code_115","Code","In Person","1d208155-5de7-40fb-94e4-875653e4b3fc","http://www.cdisc.org"
"C171537","2023-12-15","Code_116","Code","Telephone Call","48aa58b9-19dd-4086-8df0-0757419ac080","http://www.cdisc.org"
"C25716","2023-12-15","Code_117","Code","Visit","951fe653-89a9-4de3-b553-462f0f0ce53d","http://www.cdisc.org"
"C51282","2023-12-15","Code_118","Code","Clinic","18f1745f-57c8-43d7-b14c-f87194faa5a9","http://www.cdisc.org"
"C175574","2023-12-15","Code_119","Code","In Person","d91bacab-70a5-453e-9ec4-941ccc3c91b0","http://www.cdisc.org"
"C25716","2023-12-15","Code_120","Code","Visit","b2e4eaf8-b52b-4a62-8739-6817d50f26ba","http://www.cdisc.org"
"C51282","2023-12-15","Code_121","Code","Clinic","e868b6c6-84e0-4eee-ae5d-2d04c4a5d8b3","http://www.cdisc.org"
"C175574","2023-12-15","Code_122","Code","In Person","4676254e-746b-43d8-bcc7-81c93424f4a7","http://www.cdisc.org"
"383371000119108","January 31, 2018","Code_80","Code","CT of head without contrast","3c12fcce-9c8e-4cb5-bcf5-54501037a91f","SNOMED"
"123","12","Code_81","Code","Subject Supine","14211e52-424a-4bc6-9dc7-a8b4fb3bd383","SPONSOR"
"124","12","Code_82","Code","Subject Standing","1ab4931e-db16-45c8-a650-46da31f14a85","SPONSOR"
"C20197","2023-12-15","Code_429","Code","Male","1f1b238e-d239-4bdb-9450-9d37a2aec4d3","http://www.cdisc.org"
"C16576","2023-12-15","Code_430","Code","Female","872032c2-c6ce-4ac5-819d-f00946bd397a","http://www.cdisc.org"
"C28421","2023-12-15","Code_431","Code","Sex","0bd01d46-16d1-4c6d-86af-3cdecd7d1979","http://www.cdisc.org"
"C28421","2023-12-15","Code_432","Code","Sex","342dce7d-2cf0-49dd-be50-91c7f0eaecdc","http://www.cdisc.org"
"C17049","2023-12-15","Code_433","Code","Race","5d53eff4-5175-475c-a4c3-1adeb246254a","http://www.cdisc.org"
"C17049","2023-12-15","Code_434","Code","Race","7bae9447-92ec-407b-93d6-60f65aa00016","http://www.cdisc.org"
"C174446","2023-12-15","Code_435","Code","TEMP","2da6a5bd-f208-421b-9964-9b1ace38a960","http://www.cdisc.org"
"C77140","2023-12-15","Code_436","Code","Clinical Test Result","a8f9b73b-3336-449e-a4da-fa0b2de8c248","http://www.cdisc.org"
"C42559","2023-12-15","Code_437","Code","Degree Celsius","99553fce-f231-4fe6-8d8f-0ec34dcfc407","http://www.cdisc.org"
"C44277","2023-12-15","Code_438","Code","Degree Fahrenheit","c7d3fd8c-df18-45ef-b89d-b1e86ea9b6f5","http://www.cdisc.org"
"C42537","2023-12-15","Code_439","Code","Kelvin","b3c290b6-fd39-44e4-9250-285046bbb73a","http://www.cdisc.org"
"C44276","2023-12-15","Code_440","Code","Unit of Temperature","bd8c9d77-c06e-425e-98be-1a553c7bde8a","http://www.cdisc.org"
"C12674","2023-12-15","Code_441","Code","Axilla","9ac338d4-ff8b-4df4-989e-365792b6df6d","http://www.cdisc.org"
"C12394","2023-12-15","Code_442","Code","Ear","e408b416-5717-42e7-8192-3659a0c9cc28","http://www.cdisc.org"
"C89803","2023-12-15","Code_443","Code","Forehead","a995e3a8-bfc3-4a79-aa83-3303785a2ffb","http://www.cdisc.org"
"C12421","2023-12-15","Code_444","Code","Oral Cavity","0cf9f690-89c4-4f8f-9e89-43621cab6d27","http://www.cdisc.org"
"C12390","2023-12-15","Code_445","Code","Rectum","bcb2a926-4fff-4381-81c0-7f004d10dd79","http://www.cdisc.org"
"C13717","2023-12-15","Code_446","Code","Anatomic Site","c78ba644-65c8-4e75-ad41-ee387962c17b","http://www.cdisc.org"
"C174446","2023-12-15","Code_447","Code","TEMP","4e5f7b6d-1fd6-4af4-8258-2d38973092fe","http://www.cdisc.org"
"C25208","2023-12-15","Code_448","Code","WEIGHT","d5de2da8-43ee-44b5-903b-e9eb5f9c83bb","http://www.cdisc.org"
"C77140","2023-12-15","Code_449","Code","Clinical Test Result","f2477e32-16c7-4987-a328-6dbd118bfcc1","http://www.cdisc.org"
"C48531","2023-12-15","Code_450","Code","Pound","ea7bf24d-8e9d-4d2b-8e59-30fc9dfc0a98","http://www.cdisc.org"
"C48155","2023-12-15","Code_451","Code","Gram","b27e541d-33fd-4a3e-921f-c7be28ef5c40","http://www.cdisc.org"
"C28252","2023-12-15","Code_452","Code","Kilogram","4cc3af1d-ae37-4048-919b-15a2ae08eeae","http://www.cdisc.org"
"C48208","2023-12-15","Code_453","Code","Unit of Weight","a2622b26-46e4-4162-9019-fb770592dff1","http://www.cdisc.org"
"C25208","2023-12-15","Code_454","Code","WEIGHT","9901982e-2b13-405d-a432-571fb26de85d","http://www.cdisc.org"
"C25347","2023-12-15","Code_455","Code","HEIGHT","b9880f3f-1471-410b-b8f9-08097d9e9a89","http://www.cdisc.org"
"C77140","2023-12-15","Code_456","Code","Clinical Test Result","2b44bda1-c951-44b5-8938-6f7c0d656c21","http://www.cdisc.org"
"C49668","2023-12-15","Code_457","Code","Centimeter","18c235d3-67ee-48bf-95f1-3153b76a517e","http://www.cdisc.org"
"C48500","2023-12-15","Code_458","Code","Inch","26cb411b-3775-406a-aa32-82bfddf36d0c","http://www.cdisc.org"
"C41139","2023-12-15","Code_459","Code","Meter","1d818090-311e-47fe-818d-7a45e3100f32","http://www.cdisc.org"
"C168688","2023-12-15","Code_460","Code","Unit of Height","4ec4d977-a42e-4e99-add3-ded94ffaff78","http://www.cdisc.org"
"C25347","2023-12-15","Code_461","Code","HEIGHT","33c53941-4b73-4de6-be14-8caa9fe17b9d","http://www.cdisc.org"
"C64433","2023-12-15","Code_462","Code","ALT","be58fbad-899c-4d48-8e60-beb657d7e45b","http://www.cdisc.org"
"C36292","2023-12-15","Code_463","Code","Laboratory Test Result","382e5160-6f52-48bd-b6a1-17efde4783e6","http://www.cdisc.org"
"C67456","2023-12-15","Code_464","Code","Unit per Liter","dc932c04-2fff-4463-a7bb-aeef2e998baf","http://www.cdisc.org"
"C67397","2023-12-15","Code_465","Code","Microkatal per Liter","8caaca8b-249c-49f1-a55c-01f1f37e724c","http://www.cdisc.org"
"C67376","2023-12-15","Code_466","Code","International Unit per Liter","922bca68-fbbf-4651-ab51-d931614f3ebe","http://www.cdisc.org"
"C70510","2023-12-15","Code_467","Code","Nanokatal per Liter","9d0155af-9c3c-4552-8a15-99df33cd55a9","http://www.cdisc.org"
"C67365","2023-12-15","Code_468","Code","Unit of Catalytic Activity Concentration","ca3f2f67-dffc-44ac-9ce8-6f53d1e3764b","http://www.cdisc.org"
"C70713","2023-12-15","Code_469","Code","Biospecimen Type","63a9e208-1edc-43b4-8494-27987e3387d6","http://www.cdisc.org"
"C49487","2023-12-15","Code_470","Code","No","0624d91d-7055-4d53-bcc3-94549ab21da7","http://www.cdisc.org"
"C49488","2023-12-15","Code_471","Code","Yes","3b52231a-efba-4452-a909-b2e874dd28b7","http://www.cdisc.org"
"C83309","2023-12-15","Code_472","Code","Laboratory Test Fasting Status","e3681307-5ca6-45a5-8c4b-0b4d75249fc6","http://www.cdisc.org"
"C64433","2023-12-15","Code_473","Code","ALT","1f862b65-c5af-4639-b933-55a8676ef974","http://www.cdisc.org"
"C64431","2023-12-15","Code_474","Code","ALB","ce27f880-f6d0-4a70-aa22-0704c9fb7deb","http://www.cdisc.org"
"C36292","2023-12-15","Code_475","Code","Laboratory Test Result","5f01bf37-5814-455d-8baa-a69774e3492a","http://www.cdisc.org"
"C70713","2023-12-15","Code_476","Code","Biospecimen Type","a7ed07d4-fc13-4811-bb50-2ed9d10f18ad","http://www.cdisc.org"
"C49487","2023-12-15","Code_477","Code","No","946e9134-e3c2-41f7-a32f-773e194f788e","http://www.cdisc.org"
"C49488","2023-12-15","Code_478","Code","Yes","c18f4713-be58-4199-ac9b-f5e8ee3e0950","http://www.cdisc.org"
"C83309","2023-12-15","Code_479","Code","Laboratory Test Fasting Status","1f196c4b-c537-4da9-9221-cd1ca3dab926","http://www.cdisc.org"
"C64431","2023-12-15","Code_480","Code","ALB","643a6d71-3cb7-437c-bb64-754bdc780be1","http://www.cdisc.org"
"C64432","2023-12-15","Code_481","Code","ALP","b1aa27ac-7581-4288-9222-355e33f08df2","http://www.cdisc.org"
"C36292","2023-12-15","Code_482","Code","Laboratory Test Result","70bed360-83d7-4ff1-8c9d-23d6315a180a","http://www.cdisc.org"
"C67456","2023-12-15","Code_483","Code","Unit per Liter","4cb953ec-66f4-4280-8aa0-fe99d1a546f8","http://www.cdisc.org"
"C67397","2023-12-15","Code_484","Code","Microkatal per Liter","e8906501-eae8-49d1-afec-37d938726f83","http://www.cdisc.org"
"C67376","2023-12-15","Code_485","Code","International Unit per Liter","96a79431-3e28-4eaf-b4a7-dd6129080faf","http://www.cdisc.org"
"C67365","2023-12-15","Code_486","Code","Unit of Catalytic Activity Concentration","02f7016a-b658-4765-b71d-e58f27d720a9","http://www.cdisc.org"
"C70713","2023-12-15","Code_487","Code","Biospecimen Type","9c5f0e38-838d-4565-aaa6-cbd5778ea126","http://www.cdisc.org"
"C49487","2023-12-15","Code_488","Code","No","0e272ac8-0681-4139-a98e-767cc2b0f37d","http://www.cdisc.org"
"C49488","2023-12-15","Code_489","Code","Yes","f375decc-9a70-404f-990e-f2e8faebd142","http://www.cdisc.org"
"C83309","2023-12-15","Code_490","Code","Laboratory Test Fasting Status","5da480a3-4bb8-4c9b-adbe-2edf84c0b044","http://www.cdisc.org"
"C64432","2023-12-15","Code_491","Code","ALP","0e8bfdcc-1d2a-472f-b0ce-3263d25d83fb","http://www.cdisc.org"
"C64467","2023-12-15","Code_492","Code","AST","cbb66fec-3fc7-42bf-a2b5-c1b053ffc83e","http://www.cdisc.org"
"C36292","2023-12-15","Code_493","Code","Laboratory Test Result","6cd5bc23-17b4-4642-bfb9-5503e1554d93","http://www.cdisc.org"
"C67456","2023-12-15","Code_494","Code","Unit per Liter","3ec4442a-be88-42eb-972e-0ccd65115cb8","http://www.cdisc.org"
"C67397","2023-12-15","Code_495","Code","Microkatal per Liter","374d58dd-68bc-4b9a-b894-f38c7d2fc033","http://www.cdisc.org"
"C67376","2023-12-15","Code_496","Code","International Unit per Liter","0ecf2551-9459-4d11-97c1-1b30e4d8f7e8","http://www.cdisc.org"
"C67365","2023-12-15","Code_497","Code","Unit of Catalytic Activity Concentration","b82da7a2-a919-4ace-8fc8-a7f9120bdea1","http://www.cdisc.org"
"C70713","2023-12-15","Code_498","Code","Biospecimen Type","02c2aea7-d8b1-42e7-bad1-87847d3fc8da","http://www.cdisc.org"
"C49487","2023-12-15","Code_499","Code","No","0aa798af-1a2b-47b1-b47b-44bbef9ded4a","http://www.cdisc.org"
"C49488","2023-12-15","Code_500","Code","Yes","426233de-1feb-4259-8548-79875fe07563","http://www.cdisc.org"
"C83309","2023-12-15","Code_501","Code","Laboratory Test Fasting Status","9ace287c-8672-4fd7-bb55-1ee7b0f098d0","http://www.cdisc.org"
"C64467","2023-12-15","Code_502","Code","AST","62022102-b8ab-4943-8d8a-0a4c8c40af6a","http://www.cdisc.org"
"C64547","2023-12-15","Code_503","Code","CREAT","32241874-3d57-498d-941d-501935645e4a","http://www.cdisc.org"
"C36292","2023-12-15","Code_504","Code","Laboratory Test Result","74368ebb-0661-43be-be6c-2e8d1fe28cda","http://www.cdisc.org"
"C67015","2023-12-15","Code_505","Code","Milligram per Deciliter","c2579758-c5a5-45d2-8e65-b0d01475cc0a","http://www.cdisc.org"
"C64572","2023-12-15","Code_506","Code","Microgram per Milliliter","2177c200-3ec9-4677-a2de-44692bacd5ba","http://www.cdisc.org"
"C64387","2023-12-15","Code_507","Code","Millimole per Liter","09186fb3-f9de-40b8-aa29-834bffb26d6c","http://www.cdisc.org"
"C48508","2023-12-15","Code_508","Code","Micromole per Liter","cd2377c2-6c6a-4cbb-a468-488b03a950ac","http://www.cdisc.org"
"C48207","2023-12-15","Code_509","Code","Unit of Concentration","cfb349aa-57b2-4e06-bcd7-fa5859ba4e3e","http://www.cdisc.org"
"C70713","2023-12-15","Code_510","Code","Biospecimen Type","df021e56-a0b0-4379-a690-62b067a4ce92","http://www.cdisc.org"
"C49487","2023-12-15","Code_511","Code","No","43a8da9f-819d-4d24-8bef-1e72dcad254c","http://www.cdisc.org"
"C49488","2023-12-15","Code_512","Code","Yes","49f6d002-d213-4d85-87ac-1d26c695d582","http://www.cdisc.org"
"C83309","2023-12-15","Code_513","Code","Laboratory Test Fasting Status","23b381e9-b1ae-4059-8925-76b7242333b1","http://www.cdisc.org"
"C64547","2023-12-15","Code_514","Code","CREAT","d8576f99-214c-4dc4-958e-aaae9bdf707b","http://www.cdisc.org"
"C64853","2023-12-15","Code_515","Code","K","35d667d7-5da7-4ad3-874f-4844ef0787cf","http://www.cdisc.org"
"C36292","2023-12-15","Code_516","Code","Laboratory Test Result","1f82a1ff-c262-426d-9023-78461f490210","http://www.cdisc.org"
"C67474","2023-12-15","Code_517","Code","Milliequivalent per Liter","54fac0dd-0de0-407b-9ef2-c24df6dc0687","http://www.cdisc.org"
"C67473","2023-12-15","Code_518","Code","Milliequivalent per Deciliter","e6315213-82fb-4030-ac1c-79e9e688abcd","http://www.cdisc.org"
"C64387","2023-12-15","Code_519","Code","Millimole per Liter","eb78c611-0039-4132-8f55-ae384519ca16","http://www.cdisc.org"
"C64567","2023-12-15","Code_520","Code","Molarity Unit","87c1da79-3c1f-4ad2-ad9b-c4431b440da7","http://www.cdisc.org"
"C70713","2023-12-15","Code_521","Code","Biospecimen Type","2de79257-b220-40e0-9e9c-3baeaef9470d","http://www.cdisc.org"
"C49487","2023-12-15","Code_522","Code","No","8517e2e4-bc54-4eab-b5ac-337e8e91caa0","http://www.cdisc.org"
"C49488","2023-12-15","Code_523","Code","Yes","25bee0b8-247d-428e-9297-109a29d872b6","http://www.cdisc.org"
"C83309","2023-12-15","Code_524","Code","Laboratory Test Fasting Status","5644e8f0-90a8-4351-8508-95b0e1e3faad","http://www.cdisc.org"
"C64853","2023-12-15","Code_525","Code","K","980d9316-9b7d-4239-9834-9ca937ce0b4d","http://www.cdisc.org"
"C64809","2023-12-15","Code_526","Code","SODIUM","e6c645e8-1ab8-4101-9ea9-ee142605b983","http://www.cdisc.org"
"C36292","2023-12-15","Code_527","Code","Laboratory Test Result","5deb59ab-9d69-4771-b724-d03dba07a196","http://www.cdisc.org"
"C67474","2023-12-15","Code_528","Code","Milliequivalent per Liter","3a2a364c-0c6a-4ad5-9905-9bc5a32fe47d","http://www.cdisc.org"
"C67473","2023-12-15","Code_529","Code","Milliequivalent per Deciliter","356bda6a-0562-46e7-ac1f-fc34278d4ece","http://www.cdisc.org"
"C64387","2023-12-15","Code_530","Code","Millimole per Liter","6eeab925-c65a-48f1-994f-d8e435d6655f","http://www.cdisc.org"
"C64567","2023-12-15","Code_531","Code","Molarity Unit","5f149f37-c8d3-4c65-a97b-5d1d6f6ef185","http://www.cdisc.org"
"C70713","2023-12-15","Code_532","Code","Biospecimen Type","5e8b319b-22ae-46d0-81d6-aead6569ae7f","http://www.cdisc.org"
"C49487","2023-12-15","Code_533","Code","No","a6ecc5ed-15cc-455c-ac83-82f8528861cb","http://www.cdisc.org"
"C49488","2023-12-15","Code_534","Code","Yes","8564c9e2-5cbd-40b5-9de5-9359bfeb997e","http://www.cdisc.org"
"C83309","2023-12-15","Code_535","Code","Laboratory Test Fasting Status","27fbdfa1-6cde-4868-8854-28809218997f","http://www.cdisc.org"
"C64809","2023-12-15","Code_536","Code","SODIUM","fc2e5998-11f5-499b-a382-cfba18ef9278","http://www.cdisc.org"
"C64849","2023-12-15","Code_537","Code","HBA1C","3d59c8ad-586a-4029-b1ab-9a149ce849f4","http://www.cdisc.org"
"C36292","2023-12-15","Code_538","Code","Laboratory Test Result","3d2eaa6b-7a91-4371-b72e-3f6bf9a2bfc0","http://www.cdisc.org"
"C64783","2023-12-15","Code_539","Code","Gram per Deciliter","a7c75ba0-cdf8-4cf1-bc36-168fb8d3cb75","http://www.cdisc.org"
"No Concept Code","2023-12-15","Code_540","Code","LBORRESU","34ecdf73-d448-413a-9033-b30f0522a8bf","http://www.cdisc.org"
"C70713","2023-12-15","Code_541","Code","Biospecimen Type","3055099f-c089-4907-be7d-f3a20ae55372","http://www.cdisc.org"
"C49487","2023-12-15","Code_542","Code","No","7179e2a8-88e2-4d1b-8d3f-c0a24dd9816f","http://www.cdisc.org"
"C49488","2023-12-15","Code_543","Code","Yes","47e96f18-f3ae-434b-acb8-2202239bd2fd","http://www.cdisc.org"
"C83309","2023-12-15","Code_544","Code","Laboratory Test Fasting Status","38884a36-d2ca-4e92-b251-8d68dfdfde28","http://www.cdisc.org"
"C64849","2023-12-15","Code_545","Code","HBA1C","d733590e-a7b0-4449-8dbd-cc945c503ce0","http://www.cdisc.org"
"C78541","2023-12-15","Code_145","Code","Adverse Event Verbatim Description","2a6c338c-a4d1-4c0a-bb48-738517a90ca1","http://www.cdisc.org"
"C83344","2023-12-15","Code_146","Code","Adverse Event Dictionary Derived Term","6341f20f-6e84-4aab-8c8c-67fcc0dd3988","http://www.cdisc.org"
"C49487","2023-12-15","Code_147","Code","No","3f9cb219-4541-4ae9-b7c4-8cf2d624028b","http://www.cdisc.org"
"C49488","2023-12-15","Code_148","Code","Yes","3e018bc6-31ec-40a9-967c-b7d3a8bd98be","http://www.cdisc.org"
"C87840","2023-12-15","Code_149","Code","Adverse Event Pre-specified","c15c032b-d3cd-4b34-916f-7d9df4cf0bf7","http://www.cdisc.org"
"C83205","2023-12-15","Code_150","Code","Adverse Event Location","c3a575fc-fd94-496f-be81-a33bb24656b6","http://www.cdisc.org"
"C53253","2023-12-15","Code_151","Code","Severity of Adverse Event","9da97b07-b443-40b9-865b-8b46a10576d5","http://www.cdisc.org"
"C49487","2023-12-15","Code_152","Code","No","80c63cf0-e977-4613-b403-08f96691f21f","http://www.cdisc.org"
"C49488","2023-12-15","Code_153","Code","Yes","4019a679-4231-433b-808b-83b31d3ec860","http://www.cdisc.org"
"C53252","2023-12-15","Code_154","Code","Seriousness of Adverse Event","273dc98f-5660-4058-b384-c31177daf481","http://www.cdisc.org"
"C83013","2023-12-15","Code_155","Code","Adverse Event Action Taken with Study Treatment","90728691-d545-4d65-aea8-8df8a6d6d7ae","http://www.cdisc.org"
"C83109","2023-12-15","Code_156","Code","Other Actions taken in Response to Adverse Event","389e86e8-c7fb-4c0f-a1c0-e8cd3e7fe2d7","http://www.cdisc.org"
"C41358","2023-12-15","Code_157","Code","Adverse Event Attribution to Product or Procedure","17a89a2d-3b23-4f0b-b9fe-75b0ae7a1ad7","http://www.cdisc.org"
"C83210","2023-12-15","Code_158","Code","Adverse Event Relationship to Non Study Treatment","2a27f657-7abe-48de-962e-02532c49a0bd","http://www.cdisc.org"
"C83208","2023-12-15","Code_159","Code","Adverse Event Pattern","b020bbbb-fbc9-4e4c-89ee-e21ed27339fb","http://www.cdisc.org"
"C49489","2023-12-15","Code_160","Code","Adverse Event Outcome","a11a01d3-9099-4913-b3a1-3f21491c52b0","http://www.cdisc.org"
"C49487","2023-12-15","Code_161","Code","No","0072e9b2-a2d2-4ec3-83ac-8edb7044dfb8","http://www.cdisc.org"
"C49488","2023-12-15","Code_162","Code","Yes","8401c52a-021d-4057-ba77-221cedc42946","http://www.cdisc.org"
"C83211","2023-12-15","Code_163","Code","Adverse Event Involves Cancer","dd48778e-f10d-490b-937b-61d6dd0ed3e7","http://www.cdisc.org"
"C49487","2023-12-15","Code_164","Code","No","8451d5f7-dbb1-4343-9051-705712686a15","http://www.cdisc.org"
"C49488","2023-12-15","Code_165","Code","Yes","c2b05dcd-7982-495f-81a9-d66e4e0ca358","http://www.cdisc.org"
"C83117","2023-12-15","Code_166","Code","Adverse Event Seriousness Due to Congenital Anomaly","a0de0f1b-1efd-4ce0-98f8-87c5b1040ffb","http://www.cdisc.org"
"C49487","2023-12-15","Code_167","Code","No","1142922b-b8f5-4558-bf16-6ecf56c4a408","http://www.cdisc.org"
"C49488","2023-12-15","Code_168","Code","Yes","c1bbe9d4-8a19-4dff-8c03-6435749ce66c","http://www.cdisc.org"
"C113380","2023-12-15","Code_169","Code","Disabling Adverse Event","9d529b47-30a6-47ed-aa49-36cc6b869ca1","http://www.cdisc.org"
"C49487","2023-12-15","Code_170","Code","No","dfc4ade5-accf-461f-910a-b484c54defed","http://www.cdisc.org"
"C49488","2023-12-15","Code_171","Code","Yes","9bb6ad01-bf5c-40a5-ab7a-3642a49daf56","http://www.cdisc.org"
"C48275","2023-12-15","Code_172","Code","Death Related to Adverse Event","3a8aa2f8-acba-4b3e-8920-32706d54e544","http://www.cdisc.org"
