"label","id","name","instanceType","synonyms","uuid:ID","reference"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","54715580-fbbc-46fd-ae8c-281819d3c419","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","BiomedicalConcept_11","Creatinine Concentration in Urine","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","41fc3196-ba5f-480b-a857-23d6084a6e60","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","BiomedicalConcept_12","Potassium Concentration in Urine","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","f3c22ca4-29b7-43ef-bee8-069175d6681a","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","BiomedicalConcept_13","Sodium Concentration in Urine","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","6d653d41-ce2d-453c-a6fc-62f6cc7bb5f6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Systolic Blood Pressure","BiomedicalConcept_14","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","28b63e94-72b2-48a1-a26f-f33e08edb83a","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","BiomedicalConcept_15","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","8978fec1-086e-4ef8-802d-da042f5684d6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","BiomedicalConcept_16","Heart Rate","BiomedicalConcept","['Heart Rate']","ff5be53a-3ba8-4714-aa9f-0415d25b15d2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"Systolic Blood Pressure","BiomedicalConcept_17","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","15c89185-9fc5-4a86-8c7c-64fa6980c149","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","BiomedicalConcept_18","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","37b2cac1-0de5-4067-9450-d3bd2d8ac0c7","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","BiomedicalConcept_19","Heart Rate","BiomedicalConcept","['Heart Rate']","96500eb0-262e-491c-8353-2378f5dee6f7","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
