"name","sectionNumber","id","text","instanceType","uuid:ID","sectionTitle"
"SECTION 5.1","5.1","NarrativeContent_22","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent","cf4eb25c-955a-4324-8f71-0993286521f0","Selection of Trial Population"
"SECTION 5.2","5.2","NarrativeContent_23","<div></div>","NarrativeContent","aaf37862-e2e0-413e-a154-435a4a9885ee","Rationale for Trial Population"
"SECTION 5.3","5.3","NarrativeContent_24","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent","065cf99b-5c4a-4c78-90c4-afbb364ed20b","Inclusion Criteria"
"SECTION 5.4","5.4","NarrativeContent_25","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent","ae701f8d-6530-4d0f-9989-fcfeecdd9591","Exclusion Criteria"
"SECTION 5.5","5.5","NarrativeContent_26","<div></div>","NarrativeContent","bd2e4289-916b-40da-8d1c-995ed034cdf9","Lifestyle Considerations"
"SECTION 5.5.1","5.5.1","NarrativeContent_27","<div></div>","NarrativeContent","84fb4d58-257a-4058-a6dd-d0dd8dc6d0c8","Meals and Dietary Restrictions"
"SECTION 5.5.2","5.5.2","NarrativeContent_28","<div><p>Not applicable</p></div>","NarrativeContent","76e1b6ab-5784-49fa-ac35-16b74764fbd5","Caffeine, Alcohol, Tobacco, and Other Habits"
"SECTION 5.5.3","5.5.3","NarrativeContent_29","<div></div>","NarrativeContent","60682ec1-92bc-48d6-862d-04c7e1d1b254","Physical Activity"
"SECTION 5.5.4","5.5.4","NarrativeContent_30","<div></div>","NarrativeContent","ae77ac3a-eeef-43b7-9b2a-af1b229488e1","Other Activity"
"SECTION 5.6","5.6","NarrativeContent_31","<div></div>","NarrativeContent","86abb7aa-21b6-4799-9d79-ccbe68df4f6a","Screen Failures"
"SECTION 6","6","NarrativeContent_32","<div></div>","NarrativeContent","be7adbbc-d55f-422b-9eef-1bbb94410cb1","TRIAL INTERVENTION AND CONCOMITANT THERAPY"
"SECTION 6.1","6.1","NarrativeContent_33","<div></div>","NarrativeContent","40f6f07d-eab3-49b4-9524-811d6fd48259","Description of Trial Intervention"
"SECTION 6.2","6.2","NarrativeContent_34","<div></div>","NarrativeContent","2cb5a6e1-adac-469e-8051-c7a92e627c60","Rationale for Trial Intervention"
"SECTION 6.3","6.3","NarrativeContent_35","<div></div>","NarrativeContent","70f53f4f-f302-4cf0-8b32-9ce7653f5396","Dosing and Administration"
"SECTION 6.3.1","6.3.1","NarrativeContent_36","<div></div>","NarrativeContent","cff3d077-d821-4165-b883-4f9b2dc32b59","Trial Intervention Dose Modification"
"SECTION 6.4","6.4","NarrativeContent_37","<div></div>","NarrativeContent","bc9c1128-8ca4-4b6e-9f43-545b9f5e8d89","Treatment of Overdose"
"SECTION 6.5","6.5","NarrativeContent_38","<div></div>","NarrativeContent","c86a8c57-521a-4ef2-8930-bc0a7a991cc9","Preparation, Handling, Storage and Accountability"
"SECTION 6.5.1","6.5.1","NarrativeContent_39","<div></div>","NarrativeContent","01f4394d-a411-4046-91e1-3733bef54ebf","Preparation of Trial Intervention"
"SECTION 6.5.2","6.5.2","NarrativeContent_40","<div></div>","NarrativeContent","5dca690a-25da-466b-b4de-4822c63ca587","Handling and Storage of Trial Intervention"
"SECTION 6.5.3","6.5.3","NarrativeContent_41","<div></div>","NarrativeContent","32387beb-9776-40f6-b87b-700044876c42","Accountability of Trial Intervention"
"SECTION 6.6","6.6","NarrativeContent_42","<div></div>","NarrativeContent","39dd8be3-058b-4671-a13f-6864c2b0e777","Participant Assignment, Randomisation and Blinding"
"SECTION 6.6.1","6.6.1","NarrativeContent_43","<div></div>","NarrativeContent","ac4c707c-adf3-4598-8080-94f2b8e758bc","Participant Assignment"
"SECTION 6.6.2","6.6.2","NarrativeContent_44","<div></div>","NarrativeContent","21d4075b-86c2-4eff-a72c-a049bf485278","Randomisation"
"SECTION 6.6.3","6.6.3","NarrativeContent_45","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent","307ceeaa-43c8-4b4b-a3f0-6887eeceaae8","Blinding and Unblinding"
"SECTION 6.7","6.7","NarrativeContent_46","<div></div>","NarrativeContent","e9ac2994-0b93-4147-b0af-9edb60823b5e","Trial Intervention Compliance"
"SECTION 6.8","6.8","NarrativeContent_47","<div></div>","NarrativeContent","8531a409-596f-4de1-8e09-0efd14efa634","Concomitant Therapy"
"SECTION 6.8.1","6.8.1","NarrativeContent_48","<div></div>","NarrativeContent","4dae8741-3c60-4ce6-99f3-458c62dba9c8","Prohibited Concomitant Therapy"
"SECTION 6.8.2","6.8.2","NarrativeContent_49","<div></div>","NarrativeContent","b152f494-0297-4a0c-9724-64efbe46a6a0","Permitted Concomitant Therapy"
"SECTION 6.8.3","6.8.3","NarrativeContent_50","<div></div>","NarrativeContent","896ae6dd-d600-4bbc-a11a-943da4e44393","Rescue Therapy"
"SECTION 6.8.4","6.8.4","NarrativeContent_51","<div></div>","NarrativeContent","148e6fcb-e242-47a2-b30d-65e9a00fb3c0","Other Therapy"
"SECTION 7","7","NarrativeContent_52","<div></div>","NarrativeContent","08cceaad-90c6-4d75-9c9b-44a28b5c9cc7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL"
"SECTION 7.1","7.1","NarrativeContent_53","<div></div>","NarrativeContent","09361675-bd89-4785-95e6-3a943827fa52","Discontinuation of Trial Intervention"
"SECTION 7.1.1","7.1.1","NarrativeContent_54","<div></div>","NarrativeContent","cf316afe-a678-4699-b11e-2d19aa831191","Criteria for Permanent Discontinuation of Trial Intervention"
"SECTION 7.1.2","7.1.2","NarrativeContent_55","<div></div>","NarrativeContent","40998177-9614-450b-aa5d-1a587eb5e508","Temporary Discontinuation or Interruption of Trial Intervention"
"SECTION 7.1.3","7.1.3","NarrativeContent_56","<div></div>","NarrativeContent","8f174b8c-ef55-4a2c-a4d6-e9156380275d","Rechallenge"
"SECTION 7.2","7.2","NarrativeContent_57","<div></div>","NarrativeContent","e7c90e23-e7c0-446a-86fc-cd187281033d","Participant Withdrawal from the Trial"
"SECTION 7.3","7.3","NarrativeContent_58","<div></div>","NarrativeContent","1388b0f2-864a-4b39-a9f6-73ac5e025ee2","Lost to Follow-Up"
"SECTION 7.4","7.4","NarrativeContent_59","<div></div>","NarrativeContent","2e525b80-cf4a-44b8-89d5-3e2ee88dd479","Trial Stopping Rules"
"SECTION 8","8","NarrativeContent_60","<div></div>","NarrativeContent","f3099dec-2789-433d-aa9f-a6e8a377114a","TRIAL ASSESSMENTS AND PROCEDURES"
"SECTION 8.1","8.1","NarrativeContent_61","<div></div>","NarrativeContent","0f5c8ab3-735a-4b11-b3c5-a903f5ce91b3","Screening/Baseline Assessments and Procedures"
"SECTION 8.2","8.2","NarrativeContent_62","<div></div>","NarrativeContent","f75252ad-57bf-4e58-a862-1a37dffd1fe5","Efficacy Assessments and Procedures"
"SECTION 8.3","8.3","NarrativeContent_63","<div></div>","NarrativeContent","0acb2e3d-a5de-4ff5-a3ea-91bc8c848db8","Safety Assessments and Procedures"
"SECTION 8.3.1","8.3.1","NarrativeContent_64","<div></div>","NarrativeContent","dd43ddd7-d995-4b34-a3aa-796a05a388b2","Physical Examination"
"SECTION 8.3.2","8.3.2","NarrativeContent_65","<div></div>","NarrativeContent","54e17f78-8835-4310-975c-4075d5d3457c","Vital Signs"
"SECTION 8.3.3","8.3.3","NarrativeContent_66","<div></div>","NarrativeContent","ceee27ea-532f-40a9-a9b9-a629eaa70475","Electrocardiograms"
"SECTION 8.3.4","8.3.4","NarrativeContent_67","<div></div>","NarrativeContent","a1e7a13b-7679-4e87-b10f-fe6279b155e1","Clinical Laboratory Assessments"
"SECTION 8.3.5","8.3.5","NarrativeContent_68","<div></div>","NarrativeContent","c43740c1-65b4-4ba8-933f-987278ef8d5a","Suicidal Ideation and Behaviour Risk Monitoring"
"SECTION 8.4","8.4","NarrativeContent_69","<div></div>","NarrativeContent","1c9a479a-230c-4341-89d9-b8528fd19119","Adverse Events and Serious Adverse Events"
"SECTION 8.4.1","8.4.1","NarrativeContent_70","<div></div>","NarrativeContent","89752e17-eaf7-486d-a807-ae685c121bb1","Definitions of AE and SAE"
"SECTION 8.4.2","8.4.2","NarrativeContent_71","<div></div>","NarrativeContent","9319d1e9-d89d-4a9f-b7e5-d56c7048d514","Time Period and Frequency for Collecting AE and SAE Information"
"SECTION 8.4.3","8.4.3","NarrativeContent_72","<div></div>","NarrativeContent","11ae53ae-4f6b-4fe6-a538-0c7544d87c1a","Identifying AEs and SAEs"
"SECTION 8.4.4","8.4.4","NarrativeContent_73","<div></div>","NarrativeContent","404526e8-f35f-4772-9662-478fc70e0e5e","Recording of AEs and SAEs"
"SECTION 8.4.5","8.4.5","NarrativeContent_74","<div></div>","NarrativeContent","e23c86d1-012f-4167-820c-93c53fccef74","Follow-up of AEs and SAEs"
"SECTION 8.4.6","8.4.6","NarrativeContent_75","<div></div>","NarrativeContent","651a2f3d-d46b-4508-a974-6062bd67b5b0","Reporting of SAEs"
"SECTION 8.4.7","8.4.7","NarrativeContent_76","<div></div>","NarrativeContent","f224bfec-003d-4fb4-b52c-aa8553908cdf","Regulatory Reporting Requirements for SAEs"
"SECTION 8.4.8","8.4.8","NarrativeContent_77","<div></div>","NarrativeContent","d7c51689-e6e4-468d-ae73-4174cd1cebde","Serious and Unexpected Adverse Reaction Reporting"
"SECTION 8.4.9","8.4.9","NarrativeContent_78","<div></div>","NarrativeContent","da6bff57-3aca-41fe-b319-aeb3e1e7ea0f","Adverse Events of Special Interest"
"SECTION 8.4.10","8.4.10","NarrativeContent_79","<div></div>","NarrativeContent","e51f9dd0-0eb7-446f-893c-917b1934520c","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs"
"SECTION 8.5","8.5","NarrativeContent_80","<div></div>","NarrativeContent","93e102a0-c9a5-4a08-a475-2d232816f6c2","Pregnancy and Postpartum Information"
"SECTION 8.5.1","8.5.1","NarrativeContent_81","<div></div>","NarrativeContent","00b4579f-837e-43cf-a4ef-dd99fa5c1f27","Participants Who Become Pregnant During the Trial"
"SECTION 8.5.2","8.5.2","NarrativeContent_82","<div></div>","NarrativeContent","8f5cb47d-0f41-4b8f-b7be-71b854b658f3","Participants Whose Partners Become Pregnant"
"SECTION 8.6","8.6","NarrativeContent_83","<div></div>","NarrativeContent","eb50ea55-21c8-4beb-837d-cfb588a7a9b1","Medical Device Product Complaints for Drug/Device Combination Products"
"SECTION 8.6.1","8.6.1","NarrativeContent_84","<div></div>","NarrativeContent","979333c3-5448-4758-8d50-6b219f8fa2a7","Definition of Medical Device Product Complaints"
"SECTION 8.6.2","8.6.2","NarrativeContent_85","<div></div>","NarrativeContent","2a7f6404-144b-42d5-87d6-31674293e42f","Recording of Medical Device Product Complaints"
"SECTION 8.6.3","8.6.3","NarrativeContent_86","<div></div>","NarrativeContent","66d50955-d6b1-46ec-89b5-7ba9b7c8bcaa","Time Period and Frequency for Collecting Medical Device Product Complaints ."
"SECTION 8.6.4","8.6.4","NarrativeContent_87","<div></div>","NarrativeContent","5a800cc8-6473-42db-9aa7-1f6e886ef3ce","Follow-Up of Medical Device Product Complaints"
"SECTION 8.6.5","8.6.5","NarrativeContent_88","<div></div>","NarrativeContent","6c152bd2-b51d-44c5-bf71-740af4b321f1","Regulatory Reporting Requirements for Medical Device Product Complaints"
"SECTION 8.7","8.7","NarrativeContent_89","<div></div>","NarrativeContent","e4063014-8754-4b5f-8343-fdabd9e09a7e","Pharmacokinetics"
"SECTION 8.8","8.8","NarrativeContent_90","<div></div>","NarrativeContent","71d0f5c7-298c-48a4-9159-1d772d91f21e","Genetics"
"SECTION 8.9","8.9","NarrativeContent_91","<div></div>","NarrativeContent","46d65017-faa3-46de-9bc6-4b6f833c4de8","Biomarkers"
"SECTION 8.1","8.1","NarrativeContent_92","<div></div>","NarrativeContent","45d8441d-01c0-4f5f-80fc-da670a72d4a6","Immunogenicity Assessments"
"SECTION 8.1.1","8.1.1","NarrativeContent_93","<div></div>","NarrativeContent","6a4b9bf2-9765-4876-8e4a-c2bb81c1a3ac","Medical Resource Utilisation and Health Economics"
"SECTION 9","9","NarrativeContent_94","<div></div>","NarrativeContent","0c31226a-6fb3-4911-9d8c-70373b7645d5","STATISTICAL CONSIDERATIONS"
"SECTION 9.1","9.1","NarrativeContent_95","<div></div>","NarrativeContent","12396b55-d2c1-4fcb-8780-5246d052eda0","Analysis Sets"
"SECTION 9.2","9.2","NarrativeContent_96","<div></div>","NarrativeContent","b13a9fdb-d5ec-4e25-a08c-77a41accb891","Analyses Supporting Primary Objective(s)"
"SECTION 9.2.1","9.2.1","NarrativeContent_97","<div></div>","NarrativeContent","ee3eaacd-0037-49f2-bd4f-daef5a7016db","Statistical Model, Hypothesis, and Method of Analysis"
"SECTION 9.2.2","9.2.2","NarrativeContent_98","<div></div>","NarrativeContent","1667ac84-8d41-4177-8066-48194463850e","Handling of Intercurrent Events of Primary Estimand(s)"
"SECTION 9.2.3","9.2.3","NarrativeContent_99","<div></div>","NarrativeContent","a0a2574f-4201-4c9a-913a-a736a9acf9d7","Handling of Missing Data"
"SECTION 9.2.4","9.2.4","NarrativeContent_100","<div></div>","NarrativeContent","f7d2491d-b8e6-4aaa-85d0-e731de3e4bb6","Sensitivity Analysis"
"SECTION 9.2.5","9.2.5","NarrativeContent_101","<div></div>","NarrativeContent","e0d4dcd7-9fda-4bc7-a2e8-b71267879d9b","Supplementary Analysis"
"SECTION 9.3","9.3","NarrativeContent_102","<div></div>","NarrativeContent","9729a60f-9272-43f8-866c-b056f69e6896","Analysis Supporting Secondary Objective(s)"
"SECTION 9.4","9.4","NarrativeContent_103","<div></div>","NarrativeContent","1d6d707b-4957-4ba1-9df4-bdc325188c09","Analysis of Exploratory Objective(s)"
"SECTION 9.5","9.5","NarrativeContent_104","<div></div>","NarrativeContent","ba61cc51-1dcc-4925-a426-5f9046038759","Safety Analyses"
"SECTION 9.6","9.6","NarrativeContent_105","<div></div>","NarrativeContent","dcbc4f63-7f67-4f66-a796-cf6b9f8b647f","Other Analyses"
"SECTION 9.7","9.7","NarrativeContent_106","<div></div>","NarrativeContent","57933f64-0f1c-40d8-b195-c0576f5f039f","Interim Analyses"
"SECTION 9.8","9.8","NarrativeContent_107","<div></div>","NarrativeContent","d530b829-af91-4bba-b008-7408004d7d30","Sample Size Determination"
"SECTION 9.9","9.9","NarrativeContent_108","<div></div>","NarrativeContent","323f6a1d-a70e-4291-a63d-ad5ab4a61e1f","Protocol Deviations"
"SECTION 10","10","NarrativeContent_109","<div></div>","NarrativeContent","ce369308-3f8e-4540-b31b-b2bb6f487e75","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT"
"SECTION 10.1","10.1","NarrativeContent_110","<div></div>","NarrativeContent","152cbad7-9764-4fa6-86a0-946979da40fa","Regulatory and Ethical Considerations"
"SECTION 10.2","10.2","NarrativeContent_111","<div></div>","NarrativeContent","489d6b20-1362-41f7-be9e-f12a2e82d2dc","Committees"
"SECTION 10.3","10.3","NarrativeContent_112","<div></div>","NarrativeContent","23ebb18b-37e7-4182-9d59-89408c4fb97a","Informed Consent Process"
"SECTION 10.4","10.4","NarrativeContent_113","<div></div>","NarrativeContent","7029e13d-f396-4f4b-95eb-cdcb3183c5d2","Data Protection"
"SECTION 10.5","10.5","NarrativeContent_114","<div></div>","NarrativeContent","57ca17c0-0172-4de2-a328-73c4c75a657c","Early Site Closure or Trial Termination"
"SECTION 11","11","NarrativeContent_115","<div></div>","NarrativeContent","d83a397c-4324-4c27-8cd1-c93a2aabfe07","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE"
"SECTION 11.1","11.1","NarrativeContent_116","<div></div>","NarrativeContent","e75f3c3c-9ef5-4b5c-86fb-b78132f8d762","Quality Tolerance Limits"
"SECTION 11.2","11.2","NarrativeContent_117","<div></div>","NarrativeContent","10a6205b-5760-4edb-a65f-8be40bd9c7a4","Data Quality Assurance"
"SECTION 11.3","11.3","NarrativeContent_118","<div></div>","NarrativeContent","b39bedae-f8a5-4731-b811-1d11ff778e32","Source Data"
"SECTION 12","12","NarrativeContent_119","<div></div>","NarrativeContent","99264bba-1f46-4ba5-97a8-9cb1ba9e14f0","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY"
"SECTION 12.1","12.1","NarrativeContent_120","<div></div>","NarrativeContent","de9d5f90-267e-4d4c-bcde-131fd8e4adf0","Further Details and Clarifications on the AE Definition"
"SECTION 12.2","12.2","NarrativeContent_121","<div></div>","NarrativeContent","2f31f040-ab20-4f83-aa47-1bc117f0d9e4","Further Details and Clarifications on the SAE Definition"
"SECTION 12.3","12.3","NarrativeContent_122","<div></div>","NarrativeContent","71177f4a-65ea-4717-ae5a-a51dcddfc613","Severity"
"SECTION 12.4","12.4","NarrativeContent_123","<div></div>","NarrativeContent","8b8acd1f-5850-4232-a979-70f3e2bc648f","Causality"
"SECTION 13","13","NarrativeContent_124","<div></div>","NarrativeContent","eb30e93a-8990-49df-944d-fa3958fb9e20","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS"
"SECTION 13.1","13.1","NarrativeContent_125","<div></div>","NarrativeContent","400edac3-a81c-4b07-a1b1-dc74367bd0b6","Contraception and Pregnancy Testing"
"SECTION 13.1.1","13.1.1","NarrativeContent_126","<div></div>","NarrativeContent","74b4a1f1-0c91-4fd6-96e4-a8434c84debc","Definitions Related to Childbearing Potential"
"SECTION 13.1.2","13.1.2","NarrativeContent_127","<div></div>","NarrativeContent","5b7505c2-fa57-49dc-ad5c-6b03ee19bf5e","Contraception"
"SECTION 13.1.3","13.1.3","NarrativeContent_128","<div></div>","NarrativeContent","ea0843e0-8701-4bdc-b16f-e4a2f3fd3a7f","Pregnancy Testing"
"SECTION 13.2","13.2","NarrativeContent_129","<div></div>","NarrativeContent","ad3a24cd-ffde-4c20-9f4a-b239fd0db9ca","Clinical Laboratory Tests"
"SECTION 13.3","13.3","NarrativeContent_130","<div></div>","NarrativeContent","aece6084-d463-404a-996b-72dabce660d6","Country/Region-Specific Differences"
"SECTION 13.4","13.4","NarrativeContent_131","<div></div>","NarrativeContent","3a5f737c-daa5-46fe-8f46-581395e064ae","Prior Protocol Amendments"
"SECTION 14","14","NarrativeContent_132","<div></div>","NarrativeContent","aa7b3612-5d97-4fd4-8cff-6aa56274a17d","APPENDIX: GLOSSARY OF TERMS"
"SECTION 15","15","NarrativeContent_133","<div></div>","NarrativeContent","1cf46ec6-b74d-4c26-90ff-88c4c63b1649","APPENDIX: REFERENCES"
