"sectionNumber","instanceType","sectionTitle","name","text","uuid:ID","id"
"4.4","NarrativeContent","Start of Trial and End of Trial","SECTION 4.4","<div></div>","915b023b-dec8-47a1-82d0-0b0880f9bfec","NarrativeContent_20"
"5","NarrativeContent","TRIAL POPULATION","SECTION 5","<div></div>","e4d358a8-1c64-47dc-bcf9-cad1adbfd6d6","NarrativeContent_21"
"5.1","NarrativeContent","Selection of Trial Population","SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","00499994-cdbc-424c-9f40-38838e314650","NarrativeContent_22"
"5.2","NarrativeContent","Rationale for Trial Population","SECTION 5.2","<div></div>","d7ef88ff-72f1-41c8-ad08-3eb788a136bd","NarrativeContent_23"
"5.3","NarrativeContent","Inclusion Criteria","SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>","3fa68748-5729-417f-bc62-c3849e98cbb4","NarrativeContent_24"
"5.4","NarrativeContent","Exclusion Criteria","SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>","c715fcb5-054d-4c0e-ad48-7e90277e8cdf","NarrativeContent_25"
"5.5","NarrativeContent","Lifestyle Considerations","SECTION 5.5","<div></div>","ca02cd2c-f60a-41a1-a5b7-67d473622c1f","NarrativeContent_26"
"5.5.1","NarrativeContent","Meals and Dietary Restrictions","SECTION 5.5.1","<div></div>","30eaee61-c119-406b-9c74-0a32c755b371","NarrativeContent_27"
"5.5.2","NarrativeContent","Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","<div><p>Not applicable</p></div>","7cecf4ea-b1c9-4350-96c9-31bc5215924a","NarrativeContent_28"
"5.5.3","NarrativeContent","Physical Activity","SECTION 5.5.3","<div></div>","c88b8620-8587-44da-ac4d-3f69ee54b432","NarrativeContent_29"
"5.5.4","NarrativeContent","Other Activity","SECTION 5.5.4","<div></div>","d3844acc-0fd5-4a02-a391-a8874c9ef3bf","NarrativeContent_30"
"5.6","NarrativeContent","Screen Failures","SECTION 5.6","<div></div>","8d470251-1d37-485a-81d4-511654f65d4c","NarrativeContent_31"
"6","NarrativeContent","TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","<div></div>","88daea40-3784-496d-a3bf-56bcf72b224e","NarrativeContent_32"
"6.1","NarrativeContent","Description of Trial Intervention","SECTION 6.1","<div></div>","2566b16f-d069-4dfe-b4cf-d38498988e5b","NarrativeContent_33"
"6.2","NarrativeContent","Rationale for Trial Intervention","SECTION 6.2","<div></div>","d9e86ec3-d95b-4883-a878-741743c56c67","NarrativeContent_34"
"6.3","NarrativeContent","Dosing and Administration","SECTION 6.3","<div></div>","699e176d-6e52-4456-8d3d-027a91027df7","NarrativeContent_35"
"6.3.1","NarrativeContent","Trial Intervention Dose Modification","SECTION 6.3.1","<div></div>","51fbf219-7b73-44b5-8404-60219b129d10","NarrativeContent_36"
"6.4","NarrativeContent","Treatment of Overdose","SECTION 6.4","<div></div>","8a7719a5-0224-4cc9-b0c1-2c0fa5d31a01","NarrativeContent_37"
"6.5","NarrativeContent","Preparation, Handling, Storage and Accountability","SECTION 6.5","<div></div>","9f24eea6-7046-42a2-8271-68897833f940","NarrativeContent_38"
"6.5.1","NarrativeContent","Preparation of Trial Intervention","SECTION 6.5.1","<div></div>","41a02473-d2da-4875-947a-8dd9529da886","NarrativeContent_39"
"6.5.2","NarrativeContent","Handling and Storage of Trial Intervention","SECTION 6.5.2","<div></div>","404fd29d-2f25-4b4c-abdf-673708535751","NarrativeContent_40"
"6.5.3","NarrativeContent","Accountability of Trial Intervention","SECTION 6.5.3","<div></div>","324fd6cb-ff2b-4347-99c3-028ff0a45267","NarrativeContent_41"
"6.6","NarrativeContent","Participant Assignment, Randomisation and Blinding","SECTION 6.6","<div></div>","afb15448-88f9-4362-a683-c504db562d11","NarrativeContent_42"
"6.6.1","NarrativeContent","Participant Assignment","SECTION 6.6.1","<div></div>","5ce1196e-9c12-4b88-8fb0-4e28e9172c30","NarrativeContent_43"
"6.6.2","NarrativeContent","Randomisation","SECTION 6.6.2","<div></div>","d3e15986-52f1-428b-933a-9792212d05dd","NarrativeContent_44"
"6.6.3","NarrativeContent","Blinding and Unblinding","SECTION 6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","9b7bf361-2e1b-4f3f-ad8a-cef0eaa424a3","NarrativeContent_45"
"6.7","NarrativeContent","Trial Intervention Compliance","SECTION 6.7","<div></div>","fe2c262a-4187-4d63-990c-425cc7b6384d","NarrativeContent_46"
"6.8","NarrativeContent","Concomitant Therapy","SECTION 6.8","<div></div>","832a5297-9a04-46e8-bcb7-e3adc0eacf45","NarrativeContent_47"
"6.8.1","NarrativeContent","Prohibited Concomitant Therapy","SECTION 6.8.1","<div></div>","08e87773-adf7-40cb-871a-40976a51b7ac","NarrativeContent_48"
"6.8.2","NarrativeContent","Permitted Concomitant Therapy","SECTION 6.8.2","<div></div>","15ce94e6-8e3d-4563-a13b-8508e6bfcc10","NarrativeContent_49"
"6.8.3","NarrativeContent","Rescue Therapy","SECTION 6.8.3","<div></div>","8b18e58b-ca57-4d94-9c44-d91f5e0d82c0","NarrativeContent_50"
"6.8.4","NarrativeContent","Other Therapy","SECTION 6.8.4","<div></div>","54ecc8f8-ca35-4d39-8a2d-2b6766263b20","NarrativeContent_51"
"7","NarrativeContent","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7","<div></div>","4e59a5ff-36f8-427c-a332-0de695d1a1c3","NarrativeContent_52"
"7.1","NarrativeContent","Discontinuation of Trial Intervention","SECTION 7.1","<div></div>","1a4a6bd8-768d-4157-b6bf-7a17ff597875","NarrativeContent_53"
"7.1.1","NarrativeContent","Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1","<div></div>","fb5745aa-de3f-465f-9469-bb952104be25","NarrativeContent_54"
"7.1.2","NarrativeContent","Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2","<div></div>","54ff7875-5c5a-41d6-8aab-61db9bf32b6d","NarrativeContent_55"
"7.1.3","NarrativeContent","Rechallenge","SECTION 7.1.3","<div></div>","fc4c61a7-0d00-42aa-b008-030198e984c1","NarrativeContent_56"
"7.2","NarrativeContent","Participant Withdrawal from the Trial","SECTION 7.2","<div></div>","b15a26f9-46bb-4250-a5e2-3c1ea13bd1ef","NarrativeContent_57"
"7.3","NarrativeContent","Lost to Follow-Up","SECTION 7.3","<div></div>","16430a46-c848-40af-b734-35e9dfa3c868","NarrativeContent_58"
"7.4","NarrativeContent","Trial Stopping Rules","SECTION 7.4","<div></div>","8f2fa885-14e6-46a4-abad-673a77404564","NarrativeContent_59"
"8","NarrativeContent","TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8","<div></div>","565de46a-2102-430c-b116-883dcaf63559","NarrativeContent_60"
"8.1","NarrativeContent","Screening/Baseline Assessments and Procedures","SECTION 8.1","<div></div>","c9334564-2260-4cfe-a1d8-8d51079e3e06","NarrativeContent_61"
"8.2","NarrativeContent","Efficacy Assessments and Procedures","SECTION 8.2","<div></div>","3acfee86-9d81-411a-beae-494c1ab2f6ce","NarrativeContent_62"
"8.3","NarrativeContent","Safety Assessments and Procedures","SECTION 8.3","<div></div>","cefd15b5-3397-4008-903c-ea7ae1925386","NarrativeContent_63"
"8.3.1","NarrativeContent","Physical Examination","SECTION 8.3.1","<div></div>","a088a34c-b8d1-442b-b3b1-64fd3e8d59cf","NarrativeContent_64"
"8.3.2","NarrativeContent","Vital Signs","SECTION 8.3.2","<div></div>","a1330ccd-0ce2-4de3-91f4-5d066d2db921","NarrativeContent_65"
"8.3.3","NarrativeContent","Electrocardiograms","SECTION 8.3.3","<div></div>","cf66b86a-462d-448b-aab2-cbe785ae10aa","NarrativeContent_66"
"8.3.4","NarrativeContent","Clinical Laboratory Assessments","SECTION 8.3.4","<div></div>","60a18a50-8d1c-46ec-b394-f168bac3d316","NarrativeContent_67"
"8.3.5","NarrativeContent","Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5","<div></div>","ba7fcb34-567c-4b98-a76a-4af3d7fcd12f","NarrativeContent_68"
"8.4","NarrativeContent","Adverse Events and Serious Adverse Events","SECTION 8.4","<div></div>","e1c465e6-c223-4c2e-a74c-653b0c1fdd96","NarrativeContent_69"
"8.4.1","NarrativeContent","Definitions of AE and SAE","SECTION 8.4.1","<div></div>","2d9e6aa3-96c9-48c7-ac8a-611081c6a8ce","NarrativeContent_70"
"8.4.2","NarrativeContent","Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2","<div></div>","35d2d2d2-f41f-493d-b2fd-1f828954e349","NarrativeContent_71"
"8.4.3","NarrativeContent","Identifying AEs and SAEs","SECTION 8.4.3","<div></div>","8997a951-2000-4562-a902-dfc894b57e4e","NarrativeContent_72"
"8.4.4","NarrativeContent","Recording of AEs and SAEs","SECTION 8.4.4","<div></div>","154e9e42-30fb-4ed0-8d23-48912b05198f","NarrativeContent_73"
"8.4.5","NarrativeContent","Follow-up of AEs and SAEs","SECTION 8.4.5","<div></div>","eb9a1914-f0bb-47db-bc8a-dce6cc5e6d10","NarrativeContent_74"
"8.4.6","NarrativeContent","Reporting of SAEs","SECTION 8.4.6","<div></div>","98cf3e3a-945d-4c70-8788-038be60be28e","NarrativeContent_75"
"8.4.7","NarrativeContent","Regulatory Reporting Requirements for SAEs","SECTION 8.4.7","<div></div>","0f36ecd5-5f5c-412f-8c22-f54c79362fec","NarrativeContent_76"
"8.4.8","NarrativeContent","Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8","<div></div>","50facd55-14a8-4a1f-a03f-017ad6dc29b5","NarrativeContent_77"
"8.4.9","NarrativeContent","Adverse Events of Special Interest","SECTION 8.4.9","<div></div>","56b8344c-53aa-4ae1-b6b4-4e9de76832fd","NarrativeContent_78"
"8.4.10","NarrativeContent","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10","<div></div>","6ef30845-2116-4f9b-8169-a6427dffed57","NarrativeContent_79"
"8.5","NarrativeContent","Pregnancy and Postpartum Information","SECTION 8.5","<div></div>","bc904c86-1be0-4839-aabf-cb275c5f8bfa","NarrativeContent_80"
"8.5.1","NarrativeContent","Participants Who Become Pregnant During the Trial","SECTION 8.5.1","<div></div>","d76f1a29-9c7a-4ce3-8632-32780a451d2c","NarrativeContent_81"
"8.5.2","NarrativeContent","Participants Whose Partners Become Pregnant","SECTION 8.5.2","<div></div>","9408d396-7b46-4712-b2d5-d9e69b01e099","NarrativeContent_82"
"8.6","NarrativeContent","Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6","<div></div>","b6a03c59-6f49-46ce-b857-50e38af78392","NarrativeContent_83"
"8.6.1","NarrativeContent","Definition of Medical Device Product Complaints","SECTION 8.6.1","<div></div>","b9df432a-15d8-4658-a392-e0f66baed51b","NarrativeContent_84"
"8.6.2","NarrativeContent","Recording of Medical Device Product Complaints","SECTION 8.6.2","<div></div>","5f9fd58a-8ae5-49bf-8f4c-fa755851407b","NarrativeContent_85"
"8.6.3","NarrativeContent","Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3","<div></div>","a4107d31-876e-4739-a94f-a743f6d51e74","NarrativeContent_86"
"8.6.4","NarrativeContent","Follow-Up of Medical Device Product Complaints","SECTION 8.6.4","<div></div>","155bb385-983c-4f8d-90b8-50c55acc1c30","NarrativeContent_87"
"8.6.5","NarrativeContent","Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5","<div></div>","3d2816f7-318a-4d05-8335-72dfff0eecfb","NarrativeContent_88"
"8.7","NarrativeContent","Pharmacokinetics","SECTION 8.7","<div></div>","8dbe1719-4abe-4e33-bc32-a5f8734522b2","NarrativeContent_89"
"8.8","NarrativeContent","Genetics","SECTION 8.8","<div></div>","07f423db-6564-4cdf-9121-9a7b143765f5","NarrativeContent_90"
"8.9","NarrativeContent","Biomarkers","SECTION 8.9","<div></div>","b5fc67a9-17a7-426f-81da-e065b7e78c74","NarrativeContent_91"
"8.1","NarrativeContent","Immunogenicity Assessments","SECTION 8.1","<div></div>","edb78717-bf49-4c4a-972f-2a1f64091846","NarrativeContent_92"
"8.1.1","NarrativeContent","Medical Resource Utilisation and Health Economics","SECTION 8.1.1","<div></div>","7961620e-2ce0-4aa0-874b-5825c40d4c51","NarrativeContent_93"
"9","NarrativeContent","STATISTICAL CONSIDERATIONS","SECTION 9","<div></div>","f4bab307-a5cb-4f22-8ef9-4a0cf85fc89f","NarrativeContent_94"
"9.1","NarrativeContent","Analysis Sets","SECTION 9.1","<div></div>","e3b865a6-c6a8-4d23-bace-35dfdb7340e7","NarrativeContent_95"
"9.2","NarrativeContent","Analyses Supporting Primary Objective(s)","SECTION 9.2","<div></div>","b877cdad-9628-4bc4-92d7-5847087ba263","NarrativeContent_96"
"9.2.1","NarrativeContent","Statistical Model, Hypothesis, and Method of Analysis","SECTION 9.2.1","<div></div>","da28ea91-7b3c-4e92-b868-5d7e30176283","NarrativeContent_97"
"9.2.2","NarrativeContent","Handling of Intercurrent Events of Primary Estimand(s)","SECTION 9.2.2","<div></div>","e6400396-fa15-44cf-8ab6-e872c63fc6aa","NarrativeContent_98"
"9.2.3","NarrativeContent","Handling of Missing Data","SECTION 9.2.3","<div></div>","5e082fce-a65f-4b8a-b867-1fbf79729f7d","NarrativeContent_99"
"9.2.4","NarrativeContent","Sensitivity Analysis","SECTION 9.2.4","<div></div>","c7b7e320-8483-4b1d-8d3b-d996c1e69cc0","NarrativeContent_100"
"9.2.5","NarrativeContent","Supplementary Analysis","SECTION 9.2.5","<div></div>","e170b418-a80a-4f4f-aaf2-101457ac4d58","NarrativeContent_101"
"9.3","NarrativeContent","Analysis Supporting Secondary Objective(s)","SECTION 9.3","<div></div>","47020306-19a6-4698-9531-d011e4c5de9f","NarrativeContent_102"
"9.4","NarrativeContent","Analysis of Exploratory Objective(s)","SECTION 9.4","<div></div>","10979c31-3f5f-4873-b2e5-4718ced4c25f","NarrativeContent_103"
"9.5","NarrativeContent","Safety Analyses","SECTION 9.5","<div></div>","1703505f-47a9-485c-89aa-bc856021a4b0","NarrativeContent_104"
"9.6","NarrativeContent","Other Analyses","SECTION 9.6","<div></div>","f72553fb-b61c-4446-a635-ab5a8eb5d082","NarrativeContent_105"
"9.7","NarrativeContent","Interim Analyses","SECTION 9.7","<div></div>","f3bd5a49-ae86-4f54-b6ff-a76f7ff0120f","NarrativeContent_106"
"9.8","NarrativeContent","Sample Size Determination","SECTION 9.8","<div></div>","f671f600-e684-4352-a52a-02a6d1e98d6c","NarrativeContent_107"
"9.9","NarrativeContent","Protocol Deviations","SECTION 9.9","<div></div>","33ea060e-bc3f-48d3-8e93-7d1c5f340bda","NarrativeContent_108"
"10","NarrativeContent","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","SECTION 10","<div></div>","e5f49d07-a7c9-4182-be0e-a0fb7a776532","NarrativeContent_109"
"10.1","NarrativeContent","Regulatory and Ethical Considerations","SECTION 10.1","<div></div>","ec45026d-77b9-4600-bac7-8efa3edbe3ec","NarrativeContent_110"
"10.2","NarrativeContent","Committees","SECTION 10.2","<div></div>","db19f6d0-ccba-4542-9361-8aa27582096a","NarrativeContent_111"
"10.3","NarrativeContent","Informed Consent Process","SECTION 10.3","<div></div>","19dbf8c5-b3e6-446e-ab0a-dbdd4d4d18d9","NarrativeContent_112"
"10.4","NarrativeContent","Data Protection","SECTION 10.4","<div></div>","f7daed21-30cc-47ea-ba06-7a11f71b0ce5","NarrativeContent_113"
"10.5","NarrativeContent","Early Site Closure or Trial Termination","SECTION 10.5","<div></div>","0a79e535-7b19-4d38-9701-51aac9ac32cb","NarrativeContent_114"
"11","NarrativeContent","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","SECTION 11","<div></div>","664e593f-55ad-4776-9314-272ec817cb02","NarrativeContent_115"
"11.1","NarrativeContent","Quality Tolerance Limits","SECTION 11.1","<div></div>","524441cc-2ff2-4033-9e55-252f3501b227","NarrativeContent_116"
"11.2","NarrativeContent","Data Quality Assurance","SECTION 11.2","<div></div>","4493fd0a-0302-4012-b8f4-faec6f8f2ba7","NarrativeContent_117"
"11.3","NarrativeContent","Source Data","SECTION 11.3","<div></div>","c281b4f0-b159-45fe-9682-b5b5da9e450a","NarrativeContent_118"
"12","NarrativeContent","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","SECTION 12","<div></div>","a4470b05-8edb-4bd4-ad6b-dfbcd31baaa4","NarrativeContent_119"
"12.1","NarrativeContent","Further Details and Clarifications on the AE Definition","SECTION 12.1","<div></div>","1cc499d6-3df3-4734-a2c8-391cc854b266","NarrativeContent_120"
"12.2","NarrativeContent","Further Details and Clarifications on the SAE Definition","SECTION 12.2","<div></div>","90caab46-d86e-4600-98a2-b079d7546341","NarrativeContent_121"
"12.3","NarrativeContent","Severity","SECTION 12.3","<div></div>","c67b36b4-0518-42f1-9fc9-a8452ad1d91c","NarrativeContent_122"
"12.4","NarrativeContent","Causality","SECTION 12.4","<div></div>","c63c8303-f4bb-41de-8dce-098b53f983c3","NarrativeContent_123"
"13","NarrativeContent","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","SECTION 13","<div></div>","8e781acb-a292-464c-805a-33cc5ea871e4","NarrativeContent_124"
"13.1","NarrativeContent","Contraception and Pregnancy Testing","SECTION 13.1","<div></div>","15cb31a4-9450-4d6f-8107-d39ecee86345","NarrativeContent_125"
"13.1.1","NarrativeContent","Definitions Related to Childbearing Potential","SECTION 13.1.1","<div></div>","509dc5ea-a946-466b-9c63-fc7f26d70b7b","NarrativeContent_126"
"13.1.2","NarrativeContent","Contraception","SECTION 13.1.2","<div></div>","4b709c45-14ac-4142-bcf6-e65ed1ddbcdc","NarrativeContent_127"
"13.1.3","NarrativeContent","Pregnancy Testing","SECTION 13.1.3","<div></div>","69d93c20-74f8-427b-9326-78168ae8d8d3","NarrativeContent_128"
"13.2","NarrativeContent","Clinical Laboratory Tests","SECTION 13.2","<div></div>","375ead77-fcb2-4279-9cca-aea5a3a0d2f3","NarrativeContent_129"
"13.3","NarrativeContent","Country/Region-Specific Differences","SECTION 13.3","<div></div>","7a8b0a47-b3f3-4851-8327-29a48e1d8a2e","NarrativeContent_130"
"13.4","NarrativeContent","Prior Protocol Amendments","SECTION 13.4","<div></div>","b655dbe9-106d-44b7-94db-811bce68e2b4","NarrativeContent_131"
"14","NarrativeContent","APPENDIX: GLOSSARY OF TERMS","SECTION 14","<div></div>","059b9e79-8f33-4408-bb70-3a521dc88a35","NarrativeContent_132"
"15","NarrativeContent","APPENDIX: REFERENCES","SECTION 15","<div></div>","407cbb59-039d-447c-a449-74535944e979","NarrativeContent_133"
