"isRequired","instanceType","isEnabled","name","label","datatype","uuid:ID","id"
"True","BiomedicalConceptProperty","True","Biospecimen Type","Biospecimen Type","string","9818b31b-9b11-486e-94f2-f89253ffcee9","BiomedicalConceptProperty_120"
"True","BiomedicalConceptProperty","True","Laboratory Test Result","Laboratory Test Result","string","141c15e3-a9d9-4057-95bb-97be48f230fe","BiomedicalConceptProperty_121"
"True","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","93f3c439-ad9e-49e9-b6fd-4f4b3e52b0e6","BiomedicalConceptProperty_122"
"True","BiomedicalConceptProperty","True","Unit of Concentration","Unit of Concentration","string","27e5ecbd-6eac-4912-8d44-52f3e122a1f3","BiomedicalConceptProperty_123"
"True","BiomedicalConceptProperty","True","Biospecimen Type","Biospecimen Type","string","3274c049-50df-4d24-8ec0-07483eb2c78d","BiomedicalConceptProperty_124"
"True","BiomedicalConceptProperty","True","Laboratory Test Result","Laboratory Test Result","decimal","531c1d19-e7ba-478b-8050-087c364e0fda","BiomedicalConceptProperty_125"
"True","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","db3c444b-db6b-4ab4-9488-5223a830755b","BiomedicalConceptProperty_126"
"True","BiomedicalConceptProperty","True","Molarity Unit","Molarity Unit","string","48cf5f36-1160-4d35-a89d-b60aabd9de72","BiomedicalConceptProperty_127"
"True","BiomedicalConceptProperty","True","Biospecimen Type","Biospecimen Type","string","ed28b2f4-7409-4391-ba93-26ac5d542c5a","BiomedicalConceptProperty_128"
"True","BiomedicalConceptProperty","True","Laboratory Test Result","Laboratory Test Result","decimal","5328cb1d-3fa7-4f0f-997d-1a7a9d852d34","BiomedicalConceptProperty_129"
"True","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","60104b57-f491-4571-85c4-73bf80784b14","BiomedicalConceptProperty_130"
"True","BiomedicalConceptProperty","True","Molarity Unit","Molarity Unit","string","7d24364c-d194-4537-8d86-b08d99510e3e","BiomedicalConceptProperty_131"
"True","BiomedicalConceptProperty","True","Biospecimen Type","Biospecimen Type","string","b02127d9-3ee8-4f18-8448-e17e6b43d575","BiomedicalConceptProperty_132"
"True","BiomedicalConceptProperty","True","Adverse Event Verbatim Description","Adverse Event Verbatim Description","string","36928938-069e-4c37-835b-3a8fea912403","BiomedicalConceptProperty_1"
"True","BiomedicalConceptProperty","True","Adverse Event Dictionary Derived Term","Adverse Event Dictionary Derived Term","string","5854bbec-bed5-43f5-b352-fef7195065e9","BiomedicalConceptProperty_2"
"True","BiomedicalConceptProperty","True","Adverse Event Category","Adverse Event Category","string","c1f1cc00-e815-4513-b3bb-2c97fb0c56be","BiomedicalConceptProperty_3"
"True","BiomedicalConceptProperty","True","Adverse Event Subcategory","Adverse Event Subcategory","string","003f3c75-ece9-446a-bd0c-aab3ef5cd695","BiomedicalConceptProperty_4"
"True","BiomedicalConceptProperty","True","Adverse Event Pre-specified","Adverse Event Pre-specified","boolean","9bd78bd7-2f83-4665-9837-0d51485cf764","BiomedicalConceptProperty_5"
"True","BiomedicalConceptProperty","True","Severity of Adverse Event","Severity of Adverse Event","string","bd351601-c7e4-4550-ba3b-7d4dcc73b3b3","BiomedicalConceptProperty_6"
"True","BiomedicalConceptProperty","True","Adverse Event Toxicity Grade","Adverse Event Toxicity Grade","string","c7e18c2c-3b69-462a-937a-0d5d94f67e08","BiomedicalConceptProperty_7"
"True","BiomedicalConceptProperty","True","Seriousness of Adverse Event","Seriousness of Adverse Event","boolean","fa840714-5795-494a-b64b-40338dc905af","BiomedicalConceptProperty_8"
"True","BiomedicalConceptProperty","True","Adverse Event Action Taken with Study Treatment","Adverse Event Action Taken with Study Treatment","string","0f28552a-5a9f-436d-ac07-0f77f4a9adbd","BiomedicalConceptProperty_9"
"True","BiomedicalConceptProperty","True","Adverse Event Attribution to Product or Procedure","Adverse Event Attribution to Product or Procedure","string","db6dc7e0-00e4-4329-929c-509fd61c85bc","BiomedicalConceptProperty_10"
"True","BiomedicalConceptProperty","True","Adverse Event Pattern","Adverse Event Pattern","string","5e6cd8bd-27c9-4e9a-b321-b86c1d7e9a19","BiomedicalConceptProperty_11"
"True","BiomedicalConceptProperty","True","Adverse Event Outcome","Adverse Event Outcome","string","c41cfb3f-b36c-4936-b757-c37e5e10c6b3","BiomedicalConceptProperty_12"
"True","BiomedicalConceptProperty","True","Adverse Event Start Date Time","Adverse Event Start Date Time","datetime","afc94602-d64e-487a-ba53-5aed18cc3f6e","BiomedicalConceptProperty_13"
"True","BiomedicalConceptProperty","True","Adverse Event End Date Time","Adverse Event End Date Time","datetime","6c78fb52-4285-4df5-8107-5c9ecd338237","BiomedicalConceptProperty_14"
"True","BiomedicalConceptProperty","True","Vital Signs Result","Vital Signs Result","decimal","bfceeef6-6054-4b83-b936-dc6f76016ad0","BiomedicalConceptProperty_15"
"True","BiomedicalConceptProperty","True","Unit of Pressure","Unit of Pressure","string","7dc98654-473e-4dd6-9f53-5531306450d8","BiomedicalConceptProperty_16"
"True","BiomedicalConceptProperty","True","Vital Signs Location","Vital Signs Location","string","3591a3e7-1b95-4dc2-b099-28a7c7270316","BiomedicalConceptProperty_17"
"True","BiomedicalConceptProperty","True","Vital Signs Laterality","Vital Signs Laterality","string","853ed418-8910-4d99-b430-fb24a31d734c","BiomedicalConceptProperty_18"
"True","BiomedicalConceptProperty","True","Test Method","Test Method","string","928ba358-0f05-4306-9d81-320f459e8fe9","BiomedicalConceptProperty_19"
"True","BiomedicalConceptProperty","True","Vital Signs Position","Vital Signs Position","string","145a8286-1b75-4279-bb27-69287b76df99","BiomedicalConceptProperty_20"
"True","BiomedicalConceptProperty","True","Vital Signs Result","Vital Signs Result","decimal","79c2b2e8-7cc4-46a7-bc86-2049e8c9bf0d","BiomedicalConceptProperty_21"
"True","BiomedicalConceptProperty","True","Unit of Pressure","Unit of Pressure","string","44b78f98-3cad-4dff-b15e-76dcba212605","BiomedicalConceptProperty_22"
"True","BiomedicalConceptProperty","True","Vital Signs Location","Vital Signs Location","string","ef8f2709-318e-4159-b792-868d7fded15a","BiomedicalConceptProperty_23"
"True","BiomedicalConceptProperty","True","Vital Signs Laterality","Vital Signs Laterality","string","11e61603-945d-4cde-821d-4583e639168e","BiomedicalConceptProperty_24"
"True","BiomedicalConceptProperty","True","Test Method","Test Method","string","fff9e4ef-dc6f-4ba6-9034-f4cf3548801c","BiomedicalConceptProperty_25"
"True","BiomedicalConceptProperty","True","Vital Signs Position","Vital Signs Position","string","1904208c-124a-432a-bea7-4b7df3cfa3e7","BiomedicalConceptProperty_26"
"True","BiomedicalConceptProperty","True","Vital Signs Result","Vital Signs Result","decimal","d6e3cc00-2b23-4e2d-86d8-6fbea3e1ce51","BiomedicalConceptProperty_27"
"True","BiomedicalConceptProperty","True","Unit of Temperature","Unit of Temperature","string","20b45eb3-f614-48de-8f86-93db44dc0743","BiomedicalConceptProperty_28"
"True","BiomedicalConceptProperty","True","Vital Signs Location","Vital Signs Location","string","ebefa3dd-7dd8-441b-a793-0f0e496e1306","BiomedicalConceptProperty_29"
"True","BiomedicalConceptProperty","True","Vital Signs Result","Vital Signs Result","decimal","d8b16edf-be5d-443e-8f4e-351e9b20bed5","BiomedicalConceptProperty_30"
"True","BiomedicalConceptProperty","True","Unit of Weight","Unit of Weight","string","c862fda1-49de-4038-8dbf-7f7fc1d8e512","BiomedicalConceptProperty_31"
"True","BiomedicalConceptProperty","True","Vital Signs Result","Vital Signs Result","decimal","d014e15f-5a8c-4940-8508-9068afd90781","BiomedicalConceptProperty_32"
"True","BiomedicalConceptProperty","True","Unit of Height","Unit of Height","string","7a837184-229b-49b8-a78e-4274dd6a5f0a","BiomedicalConceptProperty_33"
"True","BiomedicalConceptProperty","True","Laboratory Test Result","Laboratory Test Result","decimal","31afa062-a2b7-4f5a-98fb-778fade93cc9","BiomedicalConceptProperty_34"
"True","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","9826a5a3-9ba9-4c58-ad44-75a3b1f6acd3","BiomedicalConceptProperty_35"
"True","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","26a07699-b540-4cd1-aa62-07783e311d71","BiomedicalConceptProperty_36"
"True","BiomedicalConceptProperty","True","Biospecimen Type","Biospecimen Type","string","279116ab-cf91-47e1-8628-ed35992c2737","BiomedicalConceptProperty_37"
"True","BiomedicalConceptProperty","True","Laboratory Test Result","Laboratory Test Result","string","9a69ddc3-3d64-43bb-ab41-0f9abdbb7e2c","BiomedicalConceptProperty_38"
"True","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","958e0ca5-e7bd-4a0c-9726-2a1c6a9361f3","BiomedicalConceptProperty_39"
"True","BiomedicalConceptProperty","True","Unit of Concentration","Unit of Concentration","string","04ab93fd-4cee-4739-a077-9e0175f456c1","BiomedicalConceptProperty_40"
"True","BiomedicalConceptProperty","True","Biospecimen Type","Biospecimen Type","string","fd44207c-f05e-4a10-99f4-eaf3c368d66e","BiomedicalConceptProperty_41"
"True","BiomedicalConceptProperty","True","Laboratory Test Result","Laboratory Test Result","decimal","0dae905a-b4d3-4e94-a8b7-2cce640d0136","BiomedicalConceptProperty_42"
"True","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","62cb4ffc-effa-40b2-9468-5f966eb4b244","BiomedicalConceptProperty_43"
"True","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","bd03a376-b75c-4710-9740-369a109856d2","BiomedicalConceptProperty_44"
"True","BiomedicalConceptProperty","True","Biospecimen Type","Biospecimen Type","string","8f4048a5-7f8c-4af2-b4c1-727c266aff39","BiomedicalConceptProperty_45"
"True","BiomedicalConceptProperty","True","Laboratory Test Result","Laboratory Test Result","decimal","d2eab64e-3dd4-4ca1-87e2-7b45fc9d6f85","BiomedicalConceptProperty_46"
"True","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","13ea525a-51d3-4ee0-acd3-4ca266f044bf","BiomedicalConceptProperty_47"
"True","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","e5d2f555-9866-4f68-b41a-ba490e3d4c8b","BiomedicalConceptProperty_48"
"True","BiomedicalConceptProperty","True","Biospecimen Type","Biospecimen Type","string","1c802188-73ca-4c4e-8c30-b5acffee25be","BiomedicalConceptProperty_49"
"True","BiomedicalConceptProperty","True","Laboratory Test Result","Laboratory Test Result","string","ce27d66f-84f4-4b59-a7a2-60ccc0cc6239","BiomedicalConceptProperty_50"
"True","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","9158233d-2aef-4b91-ab9c-4660930b1ff6","BiomedicalConceptProperty_51"
"True","BiomedicalConceptProperty","True","Unit of Concentration","Unit of Concentration","string","c1b36da3-9f6b-42d7-9e7b-a42d9f197cee","BiomedicalConceptProperty_52"
"True","BiomedicalConceptProperty","True","Biospecimen Type","Biospecimen Type","string","31b57870-6f47-4fca-98a3-d910142171f0","BiomedicalConceptProperty_53"
"True","BiomedicalConceptProperty","True","Laboratory Test Result","Laboratory Test Result","decimal","37613f96-6912-488c-b86d-ffcc5a099dc8","BiomedicalConceptProperty_54"
"True","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","cd460996-f365-473f-85c0-9c98b2cd07e4","BiomedicalConceptProperty_55"
"True","BiomedicalConceptProperty","True","Molarity Unit","Molarity Unit","string","72aa65e6-5e6e-4abe-a74a-d3903b3f92bc","BiomedicalConceptProperty_56"
"True","BiomedicalConceptProperty","True","Biospecimen Type","Biospecimen Type","string","83a2aea7-45c4-42c0-b6c1-6d14248cfcbb","BiomedicalConceptProperty_57"
"True","BiomedicalConceptProperty","True","Laboratory Test Result","Laboratory Test Result","decimal","c944b14d-95fd-4b6f-8611-4e57cf4f63b7","BiomedicalConceptProperty_58"
"True","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","a7b9e555-f5b3-4719-9435-63f32efcb74b","BiomedicalConceptProperty_59"
"True","BiomedicalConceptProperty","True","Molarity Unit","Molarity Unit","string","209d66b2-3339-4ae6-a12b-6e8485ffb6d4","BiomedicalConceptProperty_60"
"True","BiomedicalConceptProperty","True","Biospecimen Type","Biospecimen Type","string","39bfd411-bcd7-4420-8087-3aa0eaf915b6","BiomedicalConceptProperty_61"
"True","BiomedicalConceptProperty","True","Vital Signs Result","Vital Signs Result","decimal","2a9ba59c-1caa-46d4-ab39-454b019b2789","BiomedicalConceptProperty_62"
"True","BiomedicalConceptProperty","True","Unit of Pressure","Unit of Pressure","string","dbf8e8a4-64a1-4702-a801-a6f47d62100d","BiomedicalConceptProperty_63"
"True","BiomedicalConceptProperty","True","Vital Signs Location","Vital Signs Location","string","10407ecd-8ead-4f95-ac58-7738c9e0c252","BiomedicalConceptProperty_64"
"True","BiomedicalConceptProperty","True","Vital Signs Laterality","Vital Signs Laterality","string","0f844a71-9c08-47e6-a99b-7c7f1680e9e8","BiomedicalConceptProperty_65"
"True","BiomedicalConceptProperty","True","Test Method","Test Method","string","9352d14f-d521-4e08-914e-63dfaf0d7f53","BiomedicalConceptProperty_66"
"True","BiomedicalConceptProperty","True","Vital Signs Position","Vital Signs Position","string","96fba018-fc38-4385-9354-1173dc35a26e","BiomedicalConceptProperty_67"
"True","BiomedicalConceptProperty","True","Vital Signs Result","Vital Signs Result","decimal","aee6943b-3843-4a90-851e-06e9dea4f49f","BiomedicalConceptProperty_68"
"True","BiomedicalConceptProperty","True","Unit of Pressure","Unit of Pressure","string","5a7ea23f-f9ba-49ea-8b76-ac601dce6545","BiomedicalConceptProperty_69"
"True","BiomedicalConceptProperty","True","Vital Signs Location","Vital Signs Location","string","fecaeafb-a17d-461a-90c4-167f321cca32","BiomedicalConceptProperty_70"
"True","BiomedicalConceptProperty","True","Vital Signs Laterality","Vital Signs Laterality","string","5882bab7-31c3-4f69-8a47-f758ee7ab555","BiomedicalConceptProperty_71"
"True","BiomedicalConceptProperty","True","Test Method","Test Method","string","cb789fbf-81e6-4fdb-97c9-5fd9565cb28d","BiomedicalConceptProperty_72"
"True","BiomedicalConceptProperty","True","Vital Signs Position","Vital Signs Position","string","84b27f6b-0263-4d49-a458-f996f95212c6","BiomedicalConceptProperty_73"
"True","BiomedicalConceptProperty","True","Vital Signs Result","Vital Signs Result","integer","e650f5ca-4e91-42e9-9b1c-964b3adc3897","BiomedicalConceptProperty_74"
"True","BiomedicalConceptProperty","True","Count per Minute","Count per Minute","string","bf2a0f77-5686-4c2c-88f4-c2d4267218d7","BiomedicalConceptProperty_75"
"True","BiomedicalConceptProperty","True","Vital Signs Location","Vital Signs Location","string","e93fc449-f635-4486-ab91-9efec90c79ce","BiomedicalConceptProperty_76"
"True","BiomedicalConceptProperty","True","Vital Signs Laterality","Vital Signs Laterality","string","7e356acd-9707-4de9-8c25-aacdba5939a8","BiomedicalConceptProperty_77"
"True","BiomedicalConceptProperty","True","Test Method","Test Method","string","6c644ef5-9169-43d0-807d-b28e3e621c43","BiomedicalConceptProperty_78"
"True","BiomedicalConceptProperty","True","Vital Signs Position","Vital Signs Position","string","8df71427-6216-4e7a-9630-409cde1f17d8","BiomedicalConceptProperty_79"
"True","BiomedicalConceptProperty","True","Vital Signs Result","Vital Signs Result","decimal","0fbf1788-d410-4ac3-bd16-525c5ff43e1b","BiomedicalConceptProperty_80"
"True","BiomedicalConceptProperty","True","Unit of Pressure","Unit of Pressure","string","c8ab194d-090f-4d0d-b273-0ce99e9b9003","BiomedicalConceptProperty_81"
"True","BiomedicalConceptProperty","True","Vital Signs Location","Vital Signs Location","string","affbb4c2-fb03-4b1d-aa64-4699c4753a03","BiomedicalConceptProperty_82"
"True","BiomedicalConceptProperty","True","Vital Signs Laterality","Vital Signs Laterality","string","175bb7c8-a316-4c21-b5a7-8904d5f14d1a","BiomedicalConceptProperty_83"
"True","BiomedicalConceptProperty","True","Test Method","Test Method","string","ce5afa8a-0618-4971-9b95-3f485d649639","BiomedicalConceptProperty_84"
"True","BiomedicalConceptProperty","True","Vital Signs Position","Vital Signs Position","string","de79f09d-ee04-4ad3-b6f9-596db30441e8","BiomedicalConceptProperty_85"
"True","BiomedicalConceptProperty","True","Vital Signs Result","Vital Signs Result","decimal","ea9e80a5-b544-43cc-a980-7c094e3d2642","BiomedicalConceptProperty_86"
"True","BiomedicalConceptProperty","True","Unit of Pressure","Unit of Pressure","string","6a2bab69-dea0-4a87-98ee-07c8349211c9","BiomedicalConceptProperty_87"
"True","BiomedicalConceptProperty","True","Vital Signs Location","Vital Signs Location","string","f3b23371-9dfc-4308-994a-e86293485542","BiomedicalConceptProperty_88"
"True","BiomedicalConceptProperty","True","Vital Signs Laterality","Vital Signs Laterality","string","dd25d178-4483-4010-8d5b-c8ef3abb39d2","BiomedicalConceptProperty_89"
"True","BiomedicalConceptProperty","True","Test Method","Test Method","string","1aef1373-5838-4df5-a0b1-bb42f35218d2","BiomedicalConceptProperty_90"
"True","BiomedicalConceptProperty","True","Vital Signs Position","Vital Signs Position","string","3aa12d2e-4c06-4edd-98c0-bdcc23bc92a2","BiomedicalConceptProperty_91"
"True","BiomedicalConceptProperty","True","Vital Signs Result","Vital Signs Result","integer","e2f41386-dd7e-4ef6-b0a6-4669251f2fb6","BiomedicalConceptProperty_92"
"True","BiomedicalConceptProperty","True","Count per Minute","Count per Minute","string","cf0fe24d-5060-4090-b4bb-4e6a403bb4bf","BiomedicalConceptProperty_93"
"True","BiomedicalConceptProperty","True","Vital Signs Location","Vital Signs Location","string","b5fac8e6-15b5-49e5-9dcd-16673bed0072","BiomedicalConceptProperty_94"
"True","BiomedicalConceptProperty","True","Vital Signs Laterality","Vital Signs Laterality","string","d005bd31-b811-40a3-830a-f4cd4a884b42","BiomedicalConceptProperty_95"
"True","BiomedicalConceptProperty","True","Test Method","Test Method","string","08e54bc2-4624-41c6-bdff-5c05b33048d5","BiomedicalConceptProperty_96"
"True","BiomedicalConceptProperty","True","Vital Signs Position","Vital Signs Position","string","410e2842-f6e9-4d8d-b511-663312567df6","BiomedicalConceptProperty_97"
