"instanceType","uuid:ID","codeSystem","id","decode","code","codeSystemVersion"
"Code","386cbcb4-5719-47c0-9e2c-f4c1ebca9e25","NCI Thesaurus","Code_160","Clinical Test Result","C77140",""
"Code","a8ea6ea2-e096-4d13-817c-4dddb5da957a","http://www.cdisc.org","Code_161","Pascal","C42547","2023-09-29"
"Code","0e9c0b43-f874-4ff5-8125-7c6556b2a639","NCI Thesaurus","Code_162","Unit of Pressure","C49669",""
"Code","a51e03bc-7530-4c26-8dc9-7e371e464d6c","NCI Thesaurus","Code_163","Anatomic Site","C13717",""
"Code","9089a75f-5f3d-4ef0-bdb7-77bd9d29d703","NCI Thesaurus","Code_164","Laterality","C25185",""
"Code","5d2e033f-f4da-442f-a105-575651fb3358","NCI Thesaurus","Code_165","Test Method","C82535",""
"Code","3b458029-7ffa-4e69-a6fb-0b134f34e985","NCI Thesaurus","Code_166","Body Position","C62164",""
"Code","908c71dc-e203-43e2-9186-66d8bdd0c0b0","NCI Thesaurus","Code_159","Diastolic Blood Pressure","C25299",""
"Code","83fcfd20-00a5-4133-8bef-ef7892105688","NCI Thesaurus","Code_168","Clinical Test Result","C77140",""
"Code","16a26232-adfd-4d26-8d92-4154b63c8692","http://www.cdisc.org","Code_169","Kelvin","C42537","2023-09-29"
"Code","df8565dd-7e9f-400c-89b0-f54cf49aa23d","NCI Thesaurus","Code_170","Unit of Temperature","C44276",""
"Code","28c1aff4-025b-41f4-abc1-e99b3b1db468","NCI Thesaurus","Code_171","Anatomic Site","C13717",""
"Code","771592b7-8ba2-4945-bfb5-3b2719488526","NCI Thesaurus","Code_167","Body Temperature","C174446",""
"Code","e18761f0-a33e-4d86-b349-689b92138879","NCI Thesaurus","Code_173","Clinical Test Result","C77140",""
"Code","d102ee4c-c248-4319-a4ef-d07b0adf58fd","http://www.cdisc.org","Code_174","Kilogram","C28252","2023-09-29"
"Code","99944d96-85e9-45d8-aed9-98db6b2908af","http://www.cdisc.org","Code_175","Gram","C48155","2023-09-29"
"Code","407580a8-161a-42b4-b64c-77fbfd59a455","http://www.cdisc.org","Code_176","Pound","C48531","2023-09-29"
"Code","6696e721-563d-4e40-93c5-e728607aae95","NCI Thesaurus","Code_177","Unit of Weight","C48208",""
"Code","5f05b4b0-59e4-4fd8-90c6-b64bd304de4f","NCI Thesaurus","Code_172","Body Weight","C81328",""
"Code","ba62924d-9ee2-4542-9c8b-7278b39fec3d","NCI Thesaurus","Code_179","Clinical Test Result","C77140",""
"Code","39975a87-89e3-46ba-b4f6-3b49927ef3d7","http://www.cdisc.org","Code_180","Centimeter","C49668","2023-09-29"
"Code","32cda284-f5b6-49e6-a392-a462876ee89c","http://www.cdisc.org","Code_181","Inch","C48500","2023-09-29"
"Code","14c5d78d-62a3-449f-a9e3-a0fc810f3448","http://www.cdisc.org","Code_182","Millimeter","C28251","2023-09-29"
"Code","b58a2051-5dc5-4fca-8fad-227c87138665","http://www.cdisc.org","Code_183","Meter","C41139","2023-09-29"
"Code","814c5e50-f795-4586-a37c-293a79e449e1","NCI Thesaurus","Code_184","Unit of Height","C168688",""
"Code","3c89d323-0d04-43c7-9f86-3df8054ff4cd","NCI Thesaurus","Code_178","Body Height","C164634",""
"Code","d18e7a8a-74cd-4c4d-a4a6-58da9a64abf6","NCI Thesaurus","Code_186","Laboratory Test Result","C36292",""
"Code","9f8b1000-4d84-428a-9b05-9e8b25eb1652","NCI Thesaurus","Code_187","Laboratory Test Fasting Status","C83309",""
"Code","99b815d7-a5c0-4073-8b71-9eb38bd9f7e9","NCI Thesaurus","Code_188","Unit of Catalytic Activity Concentration","C67365",""
"Code","2dc818f5-2433-42e3-a9d8-cb4e7baa08cb","NCI Thesaurus","Code_189","Biospecimen Type","C70713",""
"Code","b40d8b67-19dc-496e-9b87-aae9eb9dbc49","NCI Thesaurus","Code_185","Alanine Aminotransferase Measurement","C64433",""
"Code","1d5fd596-b1ae-4775-a24b-49c31cfb706d","NCI Thesaurus","Code_191","Laboratory Test Result","C36292",""
"Code","67725f19-bde7-419d-8db8-1a048c3258b7","NCI Thesaurus","Code_192","Laboratory Test Fasting Status","C83309",""
"Code","bb41f224-c2cf-4bba-b2fc-0a8963353e66","NCI Thesaurus","Code_193","Unit of Concentration","C48207",""
"Code","f0694eed-43b4-4c2a-9934-ca3f7e92ba62","NCI Thesaurus","Code_194","Biospecimen Type","C70713",""
"Code","b69b8f94-9e61-44fb-bd5b-75cca6297b54","NCI Thesaurus","Code_190","Albumin Measurement","C64431",""
"Code","64d60059-ec47-4143-91c6-32d24adb07ca","NCI Thesaurus","Code_196","Laboratory Test Result","C36292",""
"Code","e0fb5e8c-37f0-4f75-a7b7-fd72efcfa054","NCI Thesaurus","Code_197","Laboratory Test Fasting Status","C83309",""
"Code","60c813b9-76de-48b2-9e52-1ff5547f8a11","NCI Thesaurus","Code_198","Unit of Catalytic Activity Concentration","C67365",""
"Code","702860d6-c271-4d76-bddb-cf90f1c809c2","NCI Thesaurus","Code_199","Biospecimen Type","C70713",""
"Code","3e7d4eeb-87d7-4fc1-b0f5-baad7608c8d6","NCI Thesaurus","Code_195","Alkaline Phosphatase Measurement","C64432",""
"Code","c35a6b2f-c70a-43d0-8f15-81e0a0743873","NCI Thesaurus","Code_201","Laboratory Test Result","C36292",""
"Code","c0a50f4e-b4ae-43db-99ce-7bef5fab69f3","NCI Thesaurus","Code_202","Laboratory Test Fasting Status","C83309",""
"Code","da805b7b-862e-4adb-a24d-880edddec47e","NCI Thesaurus","Code_203","Unit of Catalytic Activity Concentration","C67365",""
"Code","4501e0f7-e468-4c2b-9cd0-7ee483294b19","NCI Thesaurus","Code_204","Biospecimen Type","C70713",""
"Code","20dbd8ac-56ff-41a2-b731-afddd932e59d","NCI Thesaurus","Code_200","Aspartate Aminotransferase Measurement","C64467",""
"Code","9e28c0f0-0b6f-4cc2-915d-d1b84ed163c4","NCI Thesaurus","Code_206","Laboratory Test Result","C36292",""
"Code","646c0254-1686-4758-ab47-074f6cb3816d","NCI Thesaurus","Code_207","Laboratory Test Fasting Status","C83309",""
"Code","21b736da-7279-410b-afe4-34b9a23330e6","NCI Thesaurus","Code_208","Unit of Concentration","C48207",""
"Code","8cb92a89-f780-406f-8d35-fb34b1322daf","NCI Thesaurus","Code_209","Biospecimen Type","C70713",""
"Code","495df28d-ef58-4286-9d22-35935eb6d97d","NCI Thesaurus","Code_205","Creatinine Measurement","C64547",""
"Code","8f5c689c-f7e0-47b6-9c48-94537e615cf0","NCI Thesaurus","Code_211","Laboratory Test Result","C36292",""
"Code","575d0c7c-5d31-4717-a72b-4f560a51356a","NCI Thesaurus","Code_212","Laboratory Test Fasting Status","C83309",""
"Code","c40fd9f2-b7d1-44ca-a637-78d00ba26705","NCI Thesaurus","Code_213","Molarity Unit","C64567",""
"Code","db7f3245-8a91-4b19-b877-1b753904243b","NCI Thesaurus","Code_214","Biospecimen Type","C70713",""
"Code","0a163c76-9bb4-4938-ac44-9f6ddde882ab","NCI Thesaurus","Code_210","Potassium Measurement","C64853",""
"Code","dfa3d79b-121c-4e74-8598-d9a54da18d15","NCI Thesaurus","Code_216","Laboratory Test Result","C36292",""
"Code","5b096384-ed41-4274-81f7-b76a41a02745","NCI Thesaurus","Code_217","Laboratory Test Fasting Status","C83309",""
"Code","534511a0-d15d-4f17-bde2-946dd56a6073","NCI Thesaurus","Code_218","Molarity Unit","C64567",""
"Code","4002fc46-13dc-4643-8818-300efa0bfc81","NCI Thesaurus","Code_219","Biospecimen Type","C70713",""
"Code","224407e9-7dfc-46aa-b65f-d8d0f17653ad","NCI Thesaurus","Code_215","Sodium Measurement","C64809",""
"Code","75cb4576-074e-4a62-9fe8-02bc06e7c16a","NCI Thesaurus","Code_221","Clinical Test Result","C77140",""
"Code","ef7b66c0-a5a6-44fb-8a1e-7e9a0c4039ed","http://www.cdisc.org","Code_222","Pascal","C42547","2023-09-29"
"Code","ad038c3b-c4e9-4e4d-857f-79dc6ee9cf7f","NCI Thesaurus","Code_223","Unit of Pressure","C49669",""
"Code","534eec73-087e-486f-8b6b-199ff565870b","NCI Thesaurus","Code_224","Anatomic Site","C13717",""
"Code","d130f5ac-ed0b-4b53-a58e-ab3d3c21a88a","NCI Thesaurus","Code_225","Laterality","C25185",""
"Code","7f913e9e-9061-479a-93c8-67d85c560035","NCI Thesaurus","Code_226","Test Method","C82535",""
"Code","9c38b135-5d9c-4b8f-880f-52541d791da3","NCI Thesaurus","Code_227","Body Position","C62164",""
"Code","46f59527-912c-4043-8778-44d8eb5685ad","NCI Thesaurus","Code_220","Systolic Blood Pressure","C25298",""
"Code","be8536be-392b-4461-b77e-8112a6ac5cd7","NCI Thesaurus","Code_229","Clinical Test Result","C77140",""
"Code","ba6481f9-6ae9-460a-872e-bcad8d4c8efe","http://www.cdisc.org","Code_230","Pascal","C42547","2023-09-29"
"Code","6c1a0d6b-da44-43ca-a533-185f4ac523b5","NCI Thesaurus","Code_231","Unit of Pressure","C49669",""
"Code","e3e8fb05-6bca-4755-986b-416bdac58aee","NCI Thesaurus","Code_232","Anatomic Site","C13717",""
"Code","66348138-af81-4abb-9f4e-591c6686fce1","NCI Thesaurus","Code_233","Laterality","C25185",""
"Code","d7848bd5-e52d-4808-bd47-f7a566a19690","NCI Thesaurus","Code_234","Test Method","C82535",""
"Code","c4d4adad-b0f3-480c-8fbb-b5c6c9d84396","NCI Thesaurus","Code_235","Body Position","C62164",""
"Code","96ab65e6-7237-490d-bb23-d518f9e1af9f","NCI Thesaurus","Code_228","Diastolic Blood Pressure","C25299",""
"Code","46a134b7-fc64-4881-9e41-6404affc623e","NCI Thesaurus","Code_237","Clinical Test Result","C77140",""
"Code","039a8ce6-4872-4623-8956-f10dade750b8","http://www.cdisc.org","Code_238","Beats per Minute","C49673","2023-09-29"
"Code","caf25e1a-82e6-4329-aaec-3f89b80e6e0c","NCI Thesaurus","Code_239","Count per Minute","C73688",""
"Code","417a0be5-629a-4240-a529-9025a117dffa","NCI Thesaurus","Code_240","Anatomic Site","C13717",""
"Code","35292440-5cdd-4625-8c74-b326114feea5","NCI Thesaurus","Code_241","Laterality","C25185",""
"Code","8e929427-d9a7-4836-8090-363497d4e29e","NCI Thesaurus","Code_242","Test Method","C82535",""
