"sectionNumber","sectionTitle","uuid:ID","name","id","text"
"7.3","Lost to Follow-Up","05c0b891-d277-49b1-b16a-6fc4056a8ec0","SECTION 7.3","NarrativeContent_58","<div></div>"
"7.4","Trial Stopping Rules","59b27e4d-87a6-4f76-a690-79b7434617a1","SECTION 7.4","NarrativeContent_59","<div></div>"
"8","TRIAL ASSESSMENTS AND PROCEDURES","d08d88c3-a2f3-4bd6-be16-3cdf97c4bc9c","SECTION 8","NarrativeContent_60","<div></div>"
"8.1","Screening/Baseline Assessments and Procedures","ae218214-96d5-4c79-9bbd-18916a89dae0","SECTION 8.1","NarrativeContent_61","<div></div>"
"8.2","Efficacy Assessments and Procedures","87385e2f-0ec7-4cc9-afdf-e0f27d445cd5","SECTION 8.2","NarrativeContent_62","<div></div>"
"8.3","Safety Assessments and Procedures","205fd338-8df2-4956-a250-a9f5f33ce0b3","SECTION 8.3","NarrativeContent_63","<div></div>"
"8.3.1","Physical Examination","510d1ea4-9f64-4617-aae2-e48fe0b8942e","SECTION 8.3.1","NarrativeContent_64","<div></div>"
"8.3.2","Vital Signs","f54b1447-a2a9-46b0-b90e-fdf408d1f9c9","SECTION 8.3.2","NarrativeContent_65","<div></div>"
"8.3.3","Electrocardiograms","5ed5eae4-2f10-4168-94a4-4d29b6352bb8","SECTION 8.3.3","NarrativeContent_66","<div></div>"
"8.3.4","Clinical Laboratory Assessments","2e8ef08a-d1f4-4217-8fa2-526a22e4b91a","SECTION 8.3.4","NarrativeContent_67","<div></div>"
"8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","f0ceca65-be2b-4957-898a-caa5689da87a","SECTION 8.3.5","NarrativeContent_68","<div></div>"
"8.4","Adverse Events and Serious Adverse Events","a8d60983-dbf5-459e-9e57-4210d0606195","SECTION 8.4","NarrativeContent_69","<div></div>"
"8.4.1","Definitions of AE and SAE","cd4cfb8b-5d6c-4fc3-be96-37104831780b","SECTION 8.4.1","NarrativeContent_70","<div></div>"
"8.4.2","Time Period and Frequency for Collecting AE and SAE Information","b3755382-fd68-47f5-972a-ac67a7564faa","SECTION 8.4.2","NarrativeContent_71","<div></div>"
"8.4.3","Identifying AEs and SAEs","6e115670-9efd-4be3-ba20-34ee76939992","SECTION 8.4.3","NarrativeContent_72","<div></div>"
"8.4.4","Recording of AEs and SAEs","921c762d-c09c-440f-b799-47a64b0c3b66","SECTION 8.4.4","NarrativeContent_73","<div></div>"
"8.4.5","Follow-up of AEs and SAEs","40e23a37-cdc5-48cd-9476-16ec0604bc5c","SECTION 8.4.5","NarrativeContent_74","<div></div>"
"8.4.6","Reporting of SAEs","6d0edca1-eef5-4af0-81fc-e7556f4be7b3","SECTION 8.4.6","NarrativeContent_75","<div></div>"
"8.4.7","Regulatory Reporting Requirements for SAEs","16472751-7fc8-43e8-bcdf-96be19eb9464","SECTION 8.4.7","NarrativeContent_76","<div></div>"
"8.4.8","Serious and Unexpected Adverse Reaction Reporting","d33975d2-fc3f-4c26-bce4-835cc670dd21","SECTION 8.4.8","NarrativeContent_77","<div></div>"
"8.4.9","Adverse Events of Special Interest","dd3a2e58-a7f2-43b5-b2b1-80c011060d5d","SECTION 8.4.9","NarrativeContent_78","<div></div>"
"8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","b33e746a-ccf2-432d-a0e0-146a34dacc7b","SECTION 8.4.10","NarrativeContent_79","<div></div>"
"8.5","Pregnancy and Postpartum Information","fbfb975d-296c-4a92-bd7f-d415ba604f9d","SECTION 8.5","NarrativeContent_80","<div></div>"
"8.5.1","Participants Who Become Pregnant During the Trial","9630c015-abe0-4ca3-9a47-756e6aa97e09","SECTION 8.5.1","NarrativeContent_81","<div></div>"
"8.5.2","Participants Whose Partners Become Pregnant","afbdc22c-d04f-4ea2-bce9-bfff88cc4698","SECTION 8.5.2","NarrativeContent_82","<div></div>"
"8.6","Medical Device Product Complaints for Drug/Device Combination Products","2c499aab-75aa-4a22-b359-6893e7f186de","SECTION 8.6","NarrativeContent_83","<div></div>"
"8.6.1","Definition of Medical Device Product Complaints","92ea91c3-7c61-47c3-a7ce-8c1ec3354a38","SECTION 8.6.1","NarrativeContent_84","<div></div>"
"8.6.2","Recording of Medical Device Product Complaints","5a5de29b-55b1-43a0-82db-1f7ce23610c0","SECTION 8.6.2","NarrativeContent_85","<div></div>"
"8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","6e6ed322-68ba-4fce-ab89-d03c6cb360f3","SECTION 8.6.3","NarrativeContent_86","<div></div>"
"8.6.4","Follow-Up of Medical Device Product Complaints","e90aaf01-e4d6-46d3-b8c6-00c59a7e16af","SECTION 8.6.4","NarrativeContent_87","<div></div>"
"8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","48106b28-c350-4c52-b8bd-f4c4ad0fbe5d","SECTION 8.6.5","NarrativeContent_88","<div></div>"
"8.7","Pharmacokinetics","5be9f327-8134-4295-b10f-524253b0f982","SECTION 8.7","NarrativeContent_89","<div></div>"
"8.8","Genetics","246e29fd-c82d-4aad-9e1a-63df9e54987f","SECTION 8.8","NarrativeContent_90","<div></div>"
"8.9","Biomarkers","5c498d37-abd3-425f-9fad-43553be68a79","SECTION 8.9","NarrativeContent_91","<div></div>"
"8.1","Immunogenicity Assessments","1dc2276d-0eac-4747-ae4e-941cf352fe90","SECTION 8.1","NarrativeContent_92","<div></div>"
"8.1.1","Medical Resource Utilisation and Health Economics","64bd5829-6036-4313-a58c-96b0ed27ffc9","SECTION 8.1.1","NarrativeContent_93","<div></div>"
"9","STATISTICAL CONSIDERATIONS","872ebbb6-dbad-4c50-b57a-e7ebaabf9640","SECTION 9","NarrativeContent_94","<div></div>"
"9.1","Analysis Sets","1a5d6de7-f8d1-4faa-95c0-c5a9fcb6ae34","SECTION 9.1","NarrativeContent_95","<div></div>"
"9.2","Analyses Supporting Primary Objective(s)","de2d8f57-49bf-4d48-87f9-b4fa438df03d","SECTION 9.2","NarrativeContent_96","<div></div>"
"9.2.1","Statistical Model, Hypothesis, and Method of Analysis","066910a5-90a3-4a9d-afd7-9bf5312182f1","SECTION 9.2.1","NarrativeContent_97","<div></div>"
"9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","c918833d-77ab-4266-bca4-8f4be0d343a3","SECTION 9.2.2","NarrativeContent_98","<div></div>"
"9.2.3","Handling of Missing Data","5c6f837c-adb1-4220-82c7-2593987f8281","SECTION 9.2.3","NarrativeContent_99","<div></div>"
"9.2.4","Sensitivity Analysis","e12cdc59-9803-47c2-8218-d0e0f1140574","SECTION 9.2.4","NarrativeContent_100","<div></div>"
"9.2.5","Supplementary Analysis","a5808d68-3395-48dc-a9f8-f3d10126b8a3","SECTION 9.2.5","NarrativeContent_101","<div></div>"
"9.3","Analysis Supporting Secondary Objective(s)","2a5810a8-dc7b-4743-9dfd-0d2bac7ff041","SECTION 9.3","NarrativeContent_102","<div></div>"
"9.4","Analysis of Exploratory Objective(s)","9f1d7ed3-a687-40f5-b5b2-6ccf5dbcdbaf","SECTION 9.4","NarrativeContent_103","<div></div>"
"9.5","Safety Analyses","6fd92fd9-20e4-4ff8-b9d5-ce1b37b1e265","SECTION 9.5","NarrativeContent_104","<div></div>"
"9.6","Other Analyses","f5cd867e-7f78-499a-8175-11e651c20f46","SECTION 9.6","NarrativeContent_105","<div></div>"
"9.7","Interim Analyses","dbbc6851-ed57-4e12-80f9-a9fdd1aec080","SECTION 9.7","NarrativeContent_106","<div></div>"
"9.8","Sample Size Determination","bf85c336-2715-453f-b316-9854460847c3","SECTION 9.8","NarrativeContent_107","<div></div>"
"9.9","Protocol Deviations","51d82db9-29f9-4f1d-95d2-f302db2e78ef","SECTION 9.9","NarrativeContent_108","<div></div>"
"10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","933ade6d-834b-49ce-9ddd-e8f502e974a5","SECTION 10","NarrativeContent_109","<div></div>"
"10.1","Regulatory and Ethical Considerations","86a710b9-c58d-4e72-bdea-bfe81e668ff2","SECTION 10.1","NarrativeContent_110","<div></div>"
"10.2","Committees","8df8b57a-04f8-4e72-93de-eaadc3575671","SECTION 10.2","NarrativeContent_111","<div></div>"
"10.3","Informed Consent Process","43a3aa0c-fcfc-4c62-869b-f5187b00f928","SECTION 10.3","NarrativeContent_112","<div></div>"
"10.4","Data Protection","6aa6a9da-8bb8-422e-948d-181726d52039","SECTION 10.4","NarrativeContent_113","<div></div>"
"10.5","Early Site Closure or Trial Termination","c8a3c3b1-c4c2-4f89-8fdc-175363181313","SECTION 10.5","NarrativeContent_114","<div></div>"
"11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","1a00d501-fcfc-4d46-9761-75366af50f29","SECTION 11","NarrativeContent_115","<div></div>"
"11.1","Quality Tolerance Limits","cf37ca67-949d-4385-afdd-593982e4fd26","SECTION 11.1","NarrativeContent_116","<div></div>"
"11.2","Data Quality Assurance","ecfc9567-0fb1-4f59-9769-f84bdee255f9","SECTION 11.2","NarrativeContent_117","<div></div>"
"11.3","Source Data","4e7be97d-01b3-4ce9-8be9-30b9e219802b","SECTION 11.3","NarrativeContent_118","<div></div>"
"12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","605d408f-4b1a-4cd1-99db-3a8f7e4678b4","SECTION 12","NarrativeContent_119","<div></div>"
"12.1","Further Details and Clarifications on the AE Definition","1ec0a660-d6a0-4391-b746-8957fc3f0e11","SECTION 12.1","NarrativeContent_120","<div></div>"
"12.2","Further Details and Clarifications on the SAE Definition","97cd270f-1fe9-4c70-a443-ba62251404d3","SECTION 12.2","NarrativeContent_121","<div></div>"
"12.3","Severity","d5dee194-6d11-4990-ac0e-030bde9a9bec","SECTION 12.3","NarrativeContent_122","<div></div>"
"12.4","Causality","53a02724-46d5-4fcc-8506-e6d9719e7c8e","SECTION 12.4","NarrativeContent_123","<div></div>"
"13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","313621a4-7a93-4013-b1da-7e10d8aad8c8","SECTION 13","NarrativeContent_124","<div></div>"
"13.1","Contraception and Pregnancy Testing","5953f10c-f9a7-4633-ab9a-aba011bf4610","SECTION 13.1","NarrativeContent_125","<div></div>"
"13.1.1","Definitions Related to Childbearing Potential","540bd17f-d7f1-416c-a46a-da83a4538e0e","SECTION 13.1.1","NarrativeContent_126","<div></div>"
"13.1.2","Contraception","67dfebe5-4a3e-4ecf-a8a1-648c0e02f562","SECTION 13.1.2","NarrativeContent_127","<div></div>"
"13.1.3","Pregnancy Testing","d283bce7-4a38-47a6-a663-0dc999ad1d9a","SECTION 13.1.3","NarrativeContent_128","<div></div>"
"13.2","Clinical Laboratory Tests","4853a1a1-a4c5-4858-8fb5-73444f7b5432","SECTION 13.2","NarrativeContent_129","<div></div>"
"13.3","Country/Region-Specific Differences","c5bbb924-b77c-4eb4-8b9f-b5b3f354df70","SECTION 13.3","NarrativeContent_130","<div></div>"
"13.4","Prior Protocol Amendments","688fae55-2a12-4bd0-9987-126a145632e0","SECTION 13.4","NarrativeContent_131","<div></div>"
"14","APPENDIX: GLOSSARY OF TERMS","17fa8c02-cabf-451e-87a8-a20ccb93cab9","SECTION 14","NarrativeContent_132","<div></div>"
"15","APPENDIX: REFERENCES","24d5c982-492e-4b89-ace8-3de62b4f3fac","SECTION 15","NarrativeContent_133","<div></div>"
