"name","uuid:ID","text","id","sectionNumber","instanceType","sectionTitle"
"SECTION 5.4","cafddf21-7cba-4514-b334-27d01203da7b","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent_25","5.4","NarrativeContent","Exclusion Criteria"
"SECTION 5.5","d8643cd6-3660-4d40-9c64-23977c83ca2f","<div></div>","NarrativeContent_26","5.5","NarrativeContent","Lifestyle Considerations"
"SECTION 5.5.1","771a4704-43a7-4a69-8c36-62fcfa1b432b","<div></div>","NarrativeContent_27","5.5.1","NarrativeContent","Meals and Dietary Restrictions"
"SECTION 5.5.2","e033b19e-cd5f-40c7-96bd-d9977599d535","<div><p>Not applicable</p></div>","NarrativeContent_28","5.5.2","NarrativeContent","Caffeine, Alcohol, Tobacco, and Other Habits"
"SECTION 5.5.3","71de11b4-2375-446c-b82a-6187b5f058a8","<div></div>","NarrativeContent_29","5.5.3","NarrativeContent","Physical Activity"
"SECTION 5.5.4","9e4e0e0c-9421-4094-87ab-4b9e3524b1bc","<div></div>","NarrativeContent_30","5.5.4","NarrativeContent","Other Activity"
"SECTION 5.6","8598ac08-d735-492f-978b-4dfe679c20c5","<div></div>","NarrativeContent_31","5.6","NarrativeContent","Screen Failures"
"SECTION 6","9b122e49-bb9d-4d92-9fdb-7bcf2f22186e","<div></div>","NarrativeContent_32","6","NarrativeContent","TRIAL INTERVENTION AND CONCOMITANT THERAPY"
"SECTION 6.1","a3e06551-0895-4691-90e1-35f0fd6baf7c","<div></div>","NarrativeContent_33","6.1","NarrativeContent","Description of Trial Intervention"
"SECTION 6.2","3bc8c7a9-7e4d-47f3-a25c-8ffaf1dc1af3","<div></div>","NarrativeContent_34","6.2","NarrativeContent","Rationale for Trial Intervention"
"SECTION 6.3","4f86967d-eb48-4aa5-8ccc-3c5b67cef8ed","<div></div>","NarrativeContent_35","6.3","NarrativeContent","Dosing and Administration"
"SECTION 6.3.1","e72be091-369b-42da-a9c7-feb65a05c29f","<div></div>","NarrativeContent_36","6.3.1","NarrativeContent","Trial Intervention Dose Modification"
"SECTION 6.4","01c31e03-d018-4fa3-ac69-cd008845a6b5","<div></div>","NarrativeContent_37","6.4","NarrativeContent","Treatment of Overdose"
"SECTION 6.5","d6445c2a-4142-4229-8d04-b2a50d8341c7","<div></div>","NarrativeContent_38","6.5","NarrativeContent","Preparation, Handling, Storage and Accountability"
"SECTION 6.5.1","b4c62426-73ad-4af8-bbb1-f3fcacb78060","<div></div>","NarrativeContent_39","6.5.1","NarrativeContent","Preparation of Trial Intervention"
"SECTION 6.5.2","5911192a-1108-4b17-8804-986f5981a516","<div></div>","NarrativeContent_40","6.5.2","NarrativeContent","Handling and Storage of Trial Intervention"
"SECTION 6.5.3","0fed7ca9-60f8-4e68-b388-f829e9d315a7","<div></div>","NarrativeContent_41","6.5.3","NarrativeContent","Accountability of Trial Intervention"
"SECTION 6.6","ccb00852-d626-4cbc-a1e1-fd90688720c4","<div></div>","NarrativeContent_42","6.6","NarrativeContent","Participant Assignment, Randomisation and Blinding"
"SECTION 6.6.1","e1fd41d4-d844-4e98-b003-94d426158e07","<div></div>","NarrativeContent_43","6.6.1","NarrativeContent","Participant Assignment"
"SECTION 6.6.2","1184d030-2344-420f-a2ef-09d42428a6e4","<div></div>","NarrativeContent_44","6.6.2","NarrativeContent","Randomisation"
"SECTION 6.6.3","bd0da279-8033-4bf8-8d6e-b7b70e5e6dbb","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent_45","6.6.3","NarrativeContent","Blinding and Unblinding"
"SECTION 6.7","1b4a09a7-4984-4f7d-b7ce-7381925a3358","<div></div>","NarrativeContent_46","6.7","NarrativeContent","Trial Intervention Compliance"
"SECTION 6.8","f2e7a81c-43ac-4165-a0b3-075bd58a726e","<div></div>","NarrativeContent_47","6.8","NarrativeContent","Concomitant Therapy"
"SECTION 6.8.1","d4c9087a-6a00-440a-bf31-78b9013fe57e","<div></div>","NarrativeContent_48","6.8.1","NarrativeContent","Prohibited Concomitant Therapy"
"SECTION 6.8.2","602af6c7-e26a-4d81-8d9f-d814a0ec4cbf","<div></div>","NarrativeContent_49","6.8.2","NarrativeContent","Permitted Concomitant Therapy"
"SECTION 6.8.3","5be92133-77fe-4fc5-9ddc-bfbc7364c00f","<div></div>","NarrativeContent_50","6.8.3","NarrativeContent","Rescue Therapy"
"SECTION 6.8.4","4ec8d850-dfb9-498a-88a4-2d94c1f89d99","<div></div>","NarrativeContent_51","6.8.4","NarrativeContent","Other Therapy"
"SECTION 7","0b96bdcb-2e7a-424d-b145-c1a4ef58231a","<div></div>","NarrativeContent_52","7","NarrativeContent","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL"
"SECTION 7.1","e889fcec-149b-4c0e-88b3-03a430c32c2a","<div></div>","NarrativeContent_53","7.1","NarrativeContent","Discontinuation of Trial Intervention"
"SECTION 7.1.1","93b60b9e-0fe8-4934-b31c-7862e50e1fc2","<div></div>","NarrativeContent_54","7.1.1","NarrativeContent","Criteria for Permanent Discontinuation of Trial Intervention"
"SECTION 7.1.2","9b1090eb-0aac-425e-8a4e-a370b21cbf71","<div></div>","NarrativeContent_55","7.1.2","NarrativeContent","Temporary Discontinuation or Interruption of Trial Intervention"
"SECTION 7.1.3","778c75f4-4689-422c-b8f0-4e6b5c0a0dd5","<div></div>","NarrativeContent_56","7.1.3","NarrativeContent","Rechallenge"
"SECTION 7.2","36f4ffe0-632b-4b7c-8b6e-c437ab370792","<div></div>","NarrativeContent_57","7.2","NarrativeContent","Participant Withdrawal from the Trial"
"SECTION 7.3","e0423112-8b60-42e6-8a98-674baec19fc6","<div></div>","NarrativeContent_58","7.3","NarrativeContent","Lost to Follow-Up"
"SECTION 7.4","2fcb67e9-25de-44b0-a62a-5d54e7037987","<div></div>","NarrativeContent_59","7.4","NarrativeContent","Trial Stopping Rules"
"SECTION 8","15de3857-e043-4a11-bf11-ba3307b9aa78","<div></div>","NarrativeContent_60","8","NarrativeContent","TRIAL ASSESSMENTS AND PROCEDURES"
"SECTION 8.1","9160724c-2bfd-4817-afba-3fe83b062fee","<div></div>","NarrativeContent_61","8.1","NarrativeContent","Screening/Baseline Assessments and Procedures"
"SECTION 8.2","67b421c2-2c22-459f-8584-02e05cb84f49","<div></div>","NarrativeContent_62","8.2","NarrativeContent","Efficacy Assessments and Procedures"
"SECTION 8.3","6d258bb3-9957-4e87-9ddf-8e11b2049baf","<div></div>","NarrativeContent_63","8.3","NarrativeContent","Safety Assessments and Procedures"
"SECTION 8.3.1","2bbfbfcb-f2bd-4861-957a-e4c55e5412b2","<div></div>","NarrativeContent_64","8.3.1","NarrativeContent","Physical Examination"
"SECTION 8.3.2","192b8677-b610-41fe-9b2a-5637e3f9386a","<div></div>","NarrativeContent_65","8.3.2","NarrativeContent","Vital Signs"
"SECTION 8.3.3","546d6b6b-c597-43df-9b70-0ec988583bb3","<div></div>","NarrativeContent_66","8.3.3","NarrativeContent","Electrocardiograms"
"SECTION 8.3.4","c19f8421-6dae-4798-8aa7-086e420dcc7d","<div></div>","NarrativeContent_67","8.3.4","NarrativeContent","Clinical Laboratory Assessments"
"SECTION 8.3.5","cea9f14d-de7c-4a0b-8a68-45c9addca434","<div></div>","NarrativeContent_68","8.3.5","NarrativeContent","Suicidal Ideation and Behaviour Risk Monitoring"
"SECTION 8.4","db7fdb8d-b3f7-43da-b028-fed6f787949b","<div></div>","NarrativeContent_69","8.4","NarrativeContent","Adverse Events and Serious Adverse Events"
"SECTION 8.4.1","4c7506a7-45d5-450e-987c-486f83139537","<div></div>","NarrativeContent_70","8.4.1","NarrativeContent","Definitions of AE and SAE"
"SECTION 8.4.2","e5aabba0-7bdf-4ce4-ad03-245c730c3e9c","<div></div>","NarrativeContent_71","8.4.2","NarrativeContent","Time Period and Frequency for Collecting AE and SAE Information"
"SECTION 8.4.3","91538925-d6f7-4112-9a0d-7c5be51d88cf","<div></div>","NarrativeContent_72","8.4.3","NarrativeContent","Identifying AEs and SAEs"
"SECTION 8.4.4","5f5d87cb-b5e8-4815-8ba9-d1c78e6ebe44","<div></div>","NarrativeContent_73","8.4.4","NarrativeContent","Recording of AEs and SAEs"
"SECTION 8.4.5","f4e7e723-26da-4a0f-a6c3-8a7f494cd7c4","<div></div>","NarrativeContent_74","8.4.5","NarrativeContent","Follow-up of AEs and SAEs"
"SECTION 8.4.6","252a4852-ea9a-43a7-9722-08f0c48b3286","<div></div>","NarrativeContent_75","8.4.6","NarrativeContent","Reporting of SAEs"
"SECTION 8.4.7","3b97e304-1fe0-4263-8000-494953d4674a","<div></div>","NarrativeContent_76","8.4.7","NarrativeContent","Regulatory Reporting Requirements for SAEs"
"SECTION 8.4.8","0027d503-c438-4ea8-b33f-47897435b020","<div></div>","NarrativeContent_77","8.4.8","NarrativeContent","Serious and Unexpected Adverse Reaction Reporting"
"SECTION 8.4.9","11ed4983-9a75-4b4e-b45b-b741dce2c291","<div></div>","NarrativeContent_78","8.4.9","NarrativeContent","Adverse Events of Special Interest"
"SECTION 8.4.10","e13918da-f3e8-4d96-b73c-0aea7af85cdd","<div></div>","NarrativeContent_79","8.4.10","NarrativeContent","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs"
"SECTION 8.5","30840c78-81dc-4e41-875b-ac257697d7cb","<div></div>","NarrativeContent_80","8.5","NarrativeContent","Pregnancy and Postpartum Information"
"SECTION 8.5.1","39e5e457-aefb-4c2c-b3c8-1b9563d1f453","<div></div>","NarrativeContent_81","8.5.1","NarrativeContent","Participants Who Become Pregnant During the Trial"
"SECTION 8.5.2","d959d1c5-7f88-42f4-b3a0-6eb11ce84881","<div></div>","NarrativeContent_82","8.5.2","NarrativeContent","Participants Whose Partners Become Pregnant"
"SECTION 8.6","25246d48-87c3-403e-b934-65a599adf9ad","<div></div>","NarrativeContent_83","8.6","NarrativeContent","Medical Device Product Complaints for Drug/Device Combination Products"
"SECTION 8.6.1","72adf9ba-5f08-441a-9b0e-2d145a6130ef","<div></div>","NarrativeContent_84","8.6.1","NarrativeContent","Definition of Medical Device Product Complaints"
"SECTION 8.6.2","898e3f0f-e8bf-4070-9b9b-08b19f66ee17","<div></div>","NarrativeContent_85","8.6.2","NarrativeContent","Recording of Medical Device Product Complaints"
"SECTION 8.6.3","49745abd-6751-4621-aeb4-44f913991139","<div></div>","NarrativeContent_86","8.6.3","NarrativeContent","Time Period and Frequency for Collecting Medical Device Product Complaints ."
"SECTION 8.6.4","7288abd1-ca00-4161-9c1f-55c6de5d31c3","<div></div>","NarrativeContent_87","8.6.4","NarrativeContent","Follow-Up of Medical Device Product Complaints"
"SECTION 8.6.5","dc8bff60-48a1-4bdc-8408-a42ef600ff8d","<div></div>","NarrativeContent_88","8.6.5","NarrativeContent","Regulatory Reporting Requirements for Medical Device Product Complaints"
"SECTION 8.7","642ceead-0ca4-4ac4-b6c9-8cf01e404813","<div></div>","NarrativeContent_89","8.7","NarrativeContent","Pharmacokinetics"
"SECTION 8.8","81ac6d50-8b67-49d8-8b5a-8786b8d9182f","<div></div>","NarrativeContent_90","8.8","NarrativeContent","Genetics"
"SECTION 8.9","e94ab667-2c6f-4e42-8247-a95950ae2d73","<div></div>","NarrativeContent_91","8.9","NarrativeContent","Biomarkers"
"SECTION 8.1","b0572732-d8bf-473c-afc5-d3a1485d5a80","<div></div>","NarrativeContent_92","8.1","NarrativeContent","Immunogenicity Assessments"
"SECTION 8.1.1","16718f46-5e83-47d1-bb01-6c432d8c9091","<div></div>","NarrativeContent_93","8.1.1","NarrativeContent","Medical Resource Utilisation and Health Economics"
"SECTION 9","a6b11a72-5145-4baf-a6c0-2088a0926f55","<div></div>","NarrativeContent_94","9","NarrativeContent","STATISTICAL CONSIDERATIONS"
"SECTION 9.1","17cce46e-6586-4556-8906-90b193291eb1","<div></div>","NarrativeContent_95","9.1","NarrativeContent","Analysis Sets"
"SECTION 9.2","b1cb289e-0abc-4b99-87ee-bf1749b7c292","<div></div>","NarrativeContent_96","9.2","NarrativeContent","Analyses Supporting Primary Objective(s)"
"SECTION 9.2.1","69c1d3fe-d550-4881-8abe-f234ea77a0b7","<div></div>","NarrativeContent_97","9.2.1","NarrativeContent","Statistical Model, Hypothesis, and Method of Analysis"
"SECTION 9.2.2","8a25ea77-6b59-4ea6-8435-d8e2029fc715","<div></div>","NarrativeContent_98","9.2.2","NarrativeContent","Handling of Intercurrent Events of Primary Estimand(s)"
"SECTION 9.2.3","234bb7f0-b48f-4aa0-b503-d0ddd9c490f4","<div></div>","NarrativeContent_99","9.2.3","NarrativeContent","Handling of Missing Data"
"SECTION 9.2.4","a3ab87dc-fdc0-4032-81fa-bae6761c0f02","<div></div>","NarrativeContent_100","9.2.4","NarrativeContent","Sensitivity Analysis"
"SECTION 9.2.5","ab0a344d-bfe0-48b1-93d2-581fdf3e9d71","<div></div>","NarrativeContent_101","9.2.5","NarrativeContent","Supplementary Analysis"
"SECTION 9.3","f62ed4ac-548b-4e99-a4d3-e8f6b3865dfb","<div></div>","NarrativeContent_102","9.3","NarrativeContent","Analysis Supporting Secondary Objective(s)"
"SECTION 9.4","41691563-6b91-40b0-9583-2eecc1232cb4","<div></div>","NarrativeContent_103","9.4","NarrativeContent","Analysis of Exploratory Objective(s)"
"SECTION 9.5","be9cb06f-94df-460f-aea1-d9d4931be190","<div></div>","NarrativeContent_104","9.5","NarrativeContent","Safety Analyses"
"SECTION 9.6","404bfed6-d0e0-4873-875c-0a08029c8b5e","<div></div>","NarrativeContent_105","9.6","NarrativeContent","Other Analyses"
"SECTION 9.7","8330a923-9379-4b6a-9c3a-551b4641a2e9","<div></div>","NarrativeContent_106","9.7","NarrativeContent","Interim Analyses"
"SECTION 9.8","a0cbac83-6492-4d21-b30f-d329a3f5560b","<div></div>","NarrativeContent_107","9.8","NarrativeContent","Sample Size Determination"
"SECTION 9.9","75ba2cb8-6c78-4a11-9061-4a7bdb306734","<div></div>","NarrativeContent_108","9.9","NarrativeContent","Protocol Deviations"
"SECTION 10","afafb293-ba78-45cb-86ba-b7a9842d3a99","<div></div>","NarrativeContent_109","10","NarrativeContent","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT"
"SECTION 10.1","b6abf7c7-46ff-44da-8515-8c6284adff6d","<div></div>","NarrativeContent_110","10.1","NarrativeContent","Regulatory and Ethical Considerations"
"SECTION 10.2","f6e16240-9c46-4730-8002-a12ab5831dfe","<div></div>","NarrativeContent_111","10.2","NarrativeContent","Committees"
"SECTION 10.3","c0d7a61d-c930-4048-8fb2-96852b8fd981","<div></div>","NarrativeContent_112","10.3","NarrativeContent","Informed Consent Process"
"SECTION 10.4","a0870225-47e2-430a-8afe-3dfe43ec5c78","<div></div>","NarrativeContent_113","10.4","NarrativeContent","Data Protection"
"SECTION 10.5","d04338d4-36c4-4bb5-bc62-c7e750a1494d","<div></div>","NarrativeContent_114","10.5","NarrativeContent","Early Site Closure or Trial Termination"
"SECTION 11","cf73aa9c-4392-48ac-8e25-64b3baa76af2","<div></div>","NarrativeContent_115","11","NarrativeContent","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE"
"SECTION 11.1","b6bbe340-17cd-40f9-9f98-af45738d1b14","<div></div>","NarrativeContent_116","11.1","NarrativeContent","Quality Tolerance Limits"
"SECTION 11.2","1388a6ba-5c9c-43b3-b576-5ece9639a480","<div></div>","NarrativeContent_117","11.2","NarrativeContent","Data Quality Assurance"
"SECTION 11.3","92510299-e216-4784-8cca-922de5bb7b36","<div></div>","NarrativeContent_118","11.3","NarrativeContent","Source Data"
"SECTION 12","3ebe1afc-81cc-43ec-bad0-2b0f75b04192","<div></div>","NarrativeContent_119","12","NarrativeContent","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY"
"SECTION 12.1","798a6902-f5da-4e29-8eec-b74a3a00bd90","<div></div>","NarrativeContent_120","12.1","NarrativeContent","Further Details and Clarifications on the AE Definition"
"SECTION 12.2","20a68e60-9136-4f45-a0e2-f3f259e57190","<div></div>","NarrativeContent_121","12.2","NarrativeContent","Further Details and Clarifications on the SAE Definition"
"SECTION 12.3","c2e2fcc0-4305-4860-8eed-b65f90a15ac8","<div></div>","NarrativeContent_122","12.3","NarrativeContent","Severity"
"SECTION 12.4","34a8d77d-9edc-47ba-ae87-3d57a2a3d02a","<div></div>","NarrativeContent_123","12.4","NarrativeContent","Causality"
"SECTION 13","730af08e-322a-4e7c-9a16-e60dc89c80d3","<div></div>","NarrativeContent_124","13","NarrativeContent","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS"
"SECTION 13.1","1a0ee992-6bdc-4974-bb51-71f19d674b93","<div></div>","NarrativeContent_125","13.1","NarrativeContent","Contraception and Pregnancy Testing"
"SECTION 13.1.1","e2cd3456-561e-4c4f-b643-8cfc016b62d4","<div></div>","NarrativeContent_126","13.1.1","NarrativeContent","Definitions Related to Childbearing Potential"
"SECTION 13.1.2","44f82cbd-ad55-4930-b079-37658cd6a3e1","<div></div>","NarrativeContent_127","13.1.2","NarrativeContent","Contraception"
"SECTION 13.1.3","f33c92fa-e629-4131-bf35-84f020de6844","<div></div>","NarrativeContent_128","13.1.3","NarrativeContent","Pregnancy Testing"
"SECTION 13.2","9d05307c-0f44-4966-b033-9dbb50e6be88","<div></div>","NarrativeContent_129","13.2","NarrativeContent","Clinical Laboratory Tests"
"SECTION 13.3","026758ef-1fdd-4f4d-8e0f-b0e9fc746060","<div></div>","NarrativeContent_130","13.3","NarrativeContent","Country/Region-Specific Differences"
"SECTION 13.4","0ffaa284-687f-4d94-96b1-f766d0fbee4d","<div></div>","NarrativeContent_131","13.4","NarrativeContent","Prior Protocol Amendments"
"SECTION 14","90c04a79-5644-411a-b3cc-fa3ad28981e0","<div></div>","NarrativeContent_132","14","NarrativeContent","APPENDIX: GLOSSARY OF TERMS"
"SECTION 15","02c5446d-d668-40dc-adc0-62fb82d7ba89","<div></div>","NarrativeContent_133","15","NarrativeContent","APPENDIX: REFERENCES"
