"label","name","isRequired","uuid:ID","datatype","id","isEnabled","instanceType"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","b31612ff-e28d-40ea-93ea-0c07c34db8e4","boolean","BiomedicalConceptProperty_122","True","BiomedicalConceptProperty"
"Unit of Concentration","Unit of Concentration","True","eeb7ae04-02e0-45bc-a82b-8b018ac45766","string","BiomedicalConceptProperty_123","True","BiomedicalConceptProperty"
"Biospecimen Type","Biospecimen Type","True","ebc230cd-44f0-4289-8d30-65828cbbec07","string","BiomedicalConceptProperty_124","True","BiomedicalConceptProperty"
"Laboratory Test Result","Laboratory Test Result","True","788def2e-f7b0-477c-b0d5-8f624f25dfd2","decimal","BiomedicalConceptProperty_125","True","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","78cbe9ec-d750-4da7-a9ef-c64f872d1bfb","boolean","BiomedicalConceptProperty_126","True","BiomedicalConceptProperty"
"Molarity Unit","Molarity Unit","True","1343967d-812f-4926-91bd-a8683292d8fb","string","BiomedicalConceptProperty_127","True","BiomedicalConceptProperty"
"Biospecimen Type","Biospecimen Type","True","dd58c528-0957-4c25-92e1-fdc77c454b7d","string","BiomedicalConceptProperty_128","True","BiomedicalConceptProperty"
"Laboratory Test Result","Laboratory Test Result","True","1b82a1dd-5dc8-45a8-9196-cece93a0edea","decimal","BiomedicalConceptProperty_129","True","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","be9e8103-e4d4-4796-9937-6def908a391b","boolean","BiomedicalConceptProperty_130","True","BiomedicalConceptProperty"
"Molarity Unit","Molarity Unit","True","addbdbd5-3ffa-4588-8129-6978f1fbcfac","string","BiomedicalConceptProperty_131","True","BiomedicalConceptProperty"
"Biospecimen Type","Biospecimen Type","True","5eec72fe-695c-4838-bae2-e469f158380a","string","BiomedicalConceptProperty_132","True","BiomedicalConceptProperty"
"Adverse Event Verbatim Description","Adverse Event Verbatim Description","True","7066c254-1446-4ba5-9456-d0b0654350d8","string","BiomedicalConceptProperty_1","True","BiomedicalConceptProperty"
"Adverse Event Dictionary Derived Term","Adverse Event Dictionary Derived Term","True","0d8117d2-0e14-4a66-8cea-a4ad8412d7d8","string","BiomedicalConceptProperty_2","True","BiomedicalConceptProperty"
"Adverse Event Category","Adverse Event Category","True","8baa5635-1fe1-4d00-aee5-a5a1962d15d0","string","BiomedicalConceptProperty_3","True","BiomedicalConceptProperty"
"Adverse Event Subcategory","Adverse Event Subcategory","True","168e5102-8b99-4229-b0fe-96e9152c3591","string","BiomedicalConceptProperty_4","True","BiomedicalConceptProperty"
"Adverse Event Pre-specified","Adverse Event Pre-specified","True","15d8cc5e-14ff-4484-8ffb-65cc0508bb36","boolean","BiomedicalConceptProperty_5","True","BiomedicalConceptProperty"
"Severity of Adverse Event","Severity of Adverse Event","True","7f84cb69-4a7c-4cb6-a323-4aae243f6172","string","BiomedicalConceptProperty_6","True","BiomedicalConceptProperty"
"Adverse Event Toxicity Grade","Adverse Event Toxicity Grade","True","0a7f9654-400e-44c0-a31a-d448bae2e851","string","BiomedicalConceptProperty_7","True","BiomedicalConceptProperty"
"Seriousness of Adverse Event","Seriousness of Adverse Event","True","7067b20f-8c64-4b9e-9790-54a8947ddec8","boolean","BiomedicalConceptProperty_8","True","BiomedicalConceptProperty"
"Adverse Event Action Taken with Study Treatment","Adverse Event Action Taken with Study Treatment","True","88f20ca6-7c6a-4fa5-9bd9-5911e0d7dc18","string","BiomedicalConceptProperty_9","True","BiomedicalConceptProperty"
"Adverse Event Attribution to Product or Procedure","Adverse Event Attribution to Product or Procedure","True","22193162-9049-4de5-8430-c64ad9c85f24","string","BiomedicalConceptProperty_10","True","BiomedicalConceptProperty"
"Adverse Event Pattern","Adverse Event Pattern","True","6be4655b-d50b-4815-87fb-6665d0ff8e6d","string","BiomedicalConceptProperty_11","True","BiomedicalConceptProperty"
"Adverse Event Outcome","Adverse Event Outcome","True","eeec8e9f-0f06-4472-83da-19b2bfd46684","string","BiomedicalConceptProperty_12","True","BiomedicalConceptProperty"
"Adverse Event Start Date Time","Adverse Event Start Date Time","True","287c2f1b-db51-4505-8777-00cd38b0d2d9","datetime","BiomedicalConceptProperty_13","True","BiomedicalConceptProperty"
"Adverse Event End Date Time","Adverse Event End Date Time","True","ed3d7f10-b74f-484e-a1a2-fc90447521f0","datetime","BiomedicalConceptProperty_14","True","BiomedicalConceptProperty"
"Vital Signs Result","Vital Signs Result","True","e7866959-c1dd-4de8-96b9-0a31d16faaf8","decimal","BiomedicalConceptProperty_15","True","BiomedicalConceptProperty"
"Unit of Pressure","Unit of Pressure","True","c8fb791f-e73e-476e-b509-399ec34d5891","string","BiomedicalConceptProperty_16","True","BiomedicalConceptProperty"
"Vital Signs Location","Vital Signs Location","True","76ef653e-10c3-4cb5-8a9e-91aca848674c","string","BiomedicalConceptProperty_17","True","BiomedicalConceptProperty"
"Vital Signs Laterality","Vital Signs Laterality","True","9efa774b-9368-40c7-a835-6c15fef1a255","string","BiomedicalConceptProperty_18","True","BiomedicalConceptProperty"
"Test Method","Test Method","True","b58b13f4-4fb0-419e-90ac-51fefb593bfa","string","BiomedicalConceptProperty_19","True","BiomedicalConceptProperty"
"Vital Signs Position","Vital Signs Position","True","bbd537f3-b753-4f7e-a7ef-cf7432a4af60","string","BiomedicalConceptProperty_20","True","BiomedicalConceptProperty"
"Vital Signs Result","Vital Signs Result","True","902cfee7-51dc-4ba7-82f7-a14d0b7c276e","decimal","BiomedicalConceptProperty_21","True","BiomedicalConceptProperty"
"Unit of Pressure","Unit of Pressure","True","a7ec1e67-e9df-407f-8abd-49e186bedd84","string","BiomedicalConceptProperty_22","True","BiomedicalConceptProperty"
"Vital Signs Location","Vital Signs Location","True","13dda52d-0b12-4d6e-81b0-7f14aefc9c30","string","BiomedicalConceptProperty_23","True","BiomedicalConceptProperty"
"Vital Signs Laterality","Vital Signs Laterality","True","4658ece5-a1ea-43de-af07-ffdb7b06bb00","string","BiomedicalConceptProperty_24","True","BiomedicalConceptProperty"
"Test Method","Test Method","True","0c812bb4-dbec-4691-8ddf-7e6943a3ca2f","string","BiomedicalConceptProperty_25","True","BiomedicalConceptProperty"
"Vital Signs Position","Vital Signs Position","True","e6fd9449-2c5f-4cba-a52e-6b26012f2168","string","BiomedicalConceptProperty_26","True","BiomedicalConceptProperty"
"Vital Signs Result","Vital Signs Result","True","686e84e8-07af-4542-a095-f161fd2f4c86","decimal","BiomedicalConceptProperty_27","True","BiomedicalConceptProperty"
"Unit of Temperature","Unit of Temperature","True","b84270a1-d1d5-4259-9d0d-d77819df8488","string","BiomedicalConceptProperty_28","True","BiomedicalConceptProperty"
"Vital Signs Location","Vital Signs Location","True","8977fe60-4efa-4dcb-bc4e-8a2924b2f5b4","string","BiomedicalConceptProperty_29","True","BiomedicalConceptProperty"
"Vital Signs Result","Vital Signs Result","True","2b0eaab0-a157-4dda-845d-186e29fc22f9","decimal","BiomedicalConceptProperty_30","True","BiomedicalConceptProperty"
"Unit of Weight","Unit of Weight","True","a0fbab4e-932b-4e3e-95a2-9f7110e05dc4","string","BiomedicalConceptProperty_31","True","BiomedicalConceptProperty"
"Vital Signs Result","Vital Signs Result","True","e1f2f154-0e0a-4c71-9499-133783c56940","decimal","BiomedicalConceptProperty_32","True","BiomedicalConceptProperty"
"Unit of Height","Unit of Height","True","63978f95-be65-42cf-abb1-e366aaef6a74","string","BiomedicalConceptProperty_33","True","BiomedicalConceptProperty"
"Laboratory Test Result","Laboratory Test Result","True","6e4b52df-4192-4b4b-87f9-be75499f9d23","decimal","BiomedicalConceptProperty_34","True","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","fe1cc7fa-50f3-4652-b1af-f0a8fe75f6fb","boolean","BiomedicalConceptProperty_35","True","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","4b2c6977-c862-4454-a0ba-e185c47bc7f6","string","BiomedicalConceptProperty_36","True","BiomedicalConceptProperty"
"Biospecimen Type","Biospecimen Type","True","ebae4b20-34a5-43e1-be50-d5618ec1e65e","string","BiomedicalConceptProperty_37","True","BiomedicalConceptProperty"
"Laboratory Test Result","Laboratory Test Result","True","5dcbe503-5348-4688-a873-302b980e8651","string","BiomedicalConceptProperty_38","True","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","cefecb2d-533d-477a-b6ef-ae342f6af2b5","boolean","BiomedicalConceptProperty_39","True","BiomedicalConceptProperty"
"Unit of Concentration","Unit of Concentration","True","d44ed2d5-e85a-4b06-88e1-b7915c9e113d","string","BiomedicalConceptProperty_40","True","BiomedicalConceptProperty"
"Biospecimen Type","Biospecimen Type","True","5c6181a0-093b-47c4-af3f-bb4a5316c6e7","string","BiomedicalConceptProperty_41","True","BiomedicalConceptProperty"
"Laboratory Test Result","Laboratory Test Result","True","ecbbf9ab-4590-4079-998c-b50c6ad1945b","decimal","BiomedicalConceptProperty_42","True","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","7f6acefa-670c-44a8-a4eb-dd5bfded34e0","boolean","BiomedicalConceptProperty_43","True","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","8a1d8950-a399-4c38-82ff-34e0a42ea2bf","string","BiomedicalConceptProperty_44","True","BiomedicalConceptProperty"
"Biospecimen Type","Biospecimen Type","True","49f48a20-b0a2-42ea-bf6f-9483689262ae","string","BiomedicalConceptProperty_45","True","BiomedicalConceptProperty"
"Laboratory Test Result","Laboratory Test Result","True","26eb09bf-ea28-4a3d-b510-b5aa92b67a75","decimal","BiomedicalConceptProperty_46","True","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","c4aebe5e-671a-4e2d-afca-a720ece34f10","boolean","BiomedicalConceptProperty_47","True","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","07c80703-04c7-4dc2-902f-5d1033a13c1a","string","BiomedicalConceptProperty_48","True","BiomedicalConceptProperty"
"Biospecimen Type","Biospecimen Type","True","506ba6b3-acb8-4e45-a877-70238c17231d","string","BiomedicalConceptProperty_49","True","BiomedicalConceptProperty"
"Laboratory Test Result","Laboratory Test Result","True","9e0225b7-582a-4ff3-9804-6dd1387bf02b","string","BiomedicalConceptProperty_50","True","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","34f7f5fa-9330-4129-8edc-a5873527cca3","boolean","BiomedicalConceptProperty_51","True","BiomedicalConceptProperty"
"Unit of Concentration","Unit of Concentration","True","72c1cbaa-9dfa-4353-8adf-a8014b630048","string","BiomedicalConceptProperty_52","True","BiomedicalConceptProperty"
"Biospecimen Type","Biospecimen Type","True","7eb72b35-7b52-426b-b131-a726b7546c78","string","BiomedicalConceptProperty_53","True","BiomedicalConceptProperty"
"Laboratory Test Result","Laboratory Test Result","True","740f8020-1701-46b7-a1b0-d05698b9f96b","decimal","BiomedicalConceptProperty_54","True","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","4db15c18-8311-421c-80af-aee8789463ef","boolean","BiomedicalConceptProperty_55","True","BiomedicalConceptProperty"
"Molarity Unit","Molarity Unit","True","d4cf05fd-f37c-4e94-8fbb-cff4d97345a5","string","BiomedicalConceptProperty_56","True","BiomedicalConceptProperty"
"Biospecimen Type","Biospecimen Type","True","e800b0e0-eed9-4024-85a7-45d0090682d2","string","BiomedicalConceptProperty_57","True","BiomedicalConceptProperty"
"Laboratory Test Result","Laboratory Test Result","True","83aa339e-0dee-4320-90f2-47ab4851665d","decimal","BiomedicalConceptProperty_58","True","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","69a5dfe1-8e32-48b7-b9b8-a28ae2e29efe","boolean","BiomedicalConceptProperty_59","True","BiomedicalConceptProperty"
"Molarity Unit","Molarity Unit","True","dff62c94-5b76-40b6-8625-d137e4fd1afd","string","BiomedicalConceptProperty_60","True","BiomedicalConceptProperty"
"Biospecimen Type","Biospecimen Type","True","270ada25-c945-4a6e-8dfe-2720aac513aa","string","BiomedicalConceptProperty_61","True","BiomedicalConceptProperty"
"Vital Signs Result","Vital Signs Result","True","48bf014c-dc54-4ce0-ad08-8f9d3d8af03a","decimal","BiomedicalConceptProperty_62","True","BiomedicalConceptProperty"
"Unit of Pressure","Unit of Pressure","True","08fb1f99-1012-4517-aead-e91121ab7fb5","string","BiomedicalConceptProperty_63","True","BiomedicalConceptProperty"
"Vital Signs Location","Vital Signs Location","True","84eafd0f-e294-4d78-a47f-e6d2edef93b8","string","BiomedicalConceptProperty_64","True","BiomedicalConceptProperty"
"Vital Signs Laterality","Vital Signs Laterality","True","666cbe51-5edb-47e6-b9f6-6e51be9b401c","string","BiomedicalConceptProperty_65","True","BiomedicalConceptProperty"
"Test Method","Test Method","True","d8e3517a-2e3f-4053-90e6-d9f0b7aa1b2c","string","BiomedicalConceptProperty_66","True","BiomedicalConceptProperty"
"Vital Signs Position","Vital Signs Position","True","619ae423-d657-4d84-a067-2d63d410d76a","string","BiomedicalConceptProperty_67","True","BiomedicalConceptProperty"
"Vital Signs Result","Vital Signs Result","True","e03e15b1-75c5-40e3-b74e-c5e63438c47b","decimal","BiomedicalConceptProperty_68","True","BiomedicalConceptProperty"
"Unit of Pressure","Unit of Pressure","True","b77953eb-741b-462f-9985-c50c27b78a7b","string","BiomedicalConceptProperty_69","True","BiomedicalConceptProperty"
"Vital Signs Location","Vital Signs Location","True","c4d8586e-5f60-40d9-8ed2-eeb815d873ac","string","BiomedicalConceptProperty_70","True","BiomedicalConceptProperty"
"Vital Signs Laterality","Vital Signs Laterality","True","872d9890-0765-4b0c-bd46-026e05a6150f","string","BiomedicalConceptProperty_71","True","BiomedicalConceptProperty"
"Test Method","Test Method","True","15bf6cd5-f562-4107-bda6-73021bf7e127","string","BiomedicalConceptProperty_72","True","BiomedicalConceptProperty"
"Vital Signs Position","Vital Signs Position","True","ba00aee4-0e0b-45fb-9b58-0ae14e228750","string","BiomedicalConceptProperty_73","True","BiomedicalConceptProperty"
"Vital Signs Result","Vital Signs Result","True","3a5b49d8-1627-4c5f-b9d2-055ca91af503","integer","BiomedicalConceptProperty_74","True","BiomedicalConceptProperty"
"Count per Minute","Count per Minute","True","b5dee4d1-a12a-4154-9cb4-8ac308c54618","string","BiomedicalConceptProperty_75","True","BiomedicalConceptProperty"
"Vital Signs Location","Vital Signs Location","True","c610fe45-2e93-4bf2-9277-039d756d9a39","string","BiomedicalConceptProperty_76","True","BiomedicalConceptProperty"
"Vital Signs Laterality","Vital Signs Laterality","True","19a7fcec-06db-4202-badf-770a6352266e","string","BiomedicalConceptProperty_77","True","BiomedicalConceptProperty"
"Test Method","Test Method","True","70fb804f-2e34-4da3-b2c4-5c88dd99cb79","string","BiomedicalConceptProperty_78","True","BiomedicalConceptProperty"
"Vital Signs Position","Vital Signs Position","True","e88426e1-e5ce-4320-9561-9028711fc312","string","BiomedicalConceptProperty_79","True","BiomedicalConceptProperty"
"Vital Signs Result","Vital Signs Result","True","3702e12f-390b-47bb-9192-4d01d9bdd80a","decimal","BiomedicalConceptProperty_80","True","BiomedicalConceptProperty"
"Unit of Pressure","Unit of Pressure","True","e1798531-48db-4782-9d07-1d60a8d67a26","string","BiomedicalConceptProperty_81","True","BiomedicalConceptProperty"
"Vital Signs Location","Vital Signs Location","True","e2000814-fb97-43b4-ab94-0ef9d63f426a","string","BiomedicalConceptProperty_82","True","BiomedicalConceptProperty"
"Vital Signs Laterality","Vital Signs Laterality","True","f21b63b4-51f3-4edc-818a-3727b11a054e","string","BiomedicalConceptProperty_83","True","BiomedicalConceptProperty"
"Test Method","Test Method","True","03d76791-a5c1-4b2a-ae36-4ce845117db0","string","BiomedicalConceptProperty_84","True","BiomedicalConceptProperty"
"Vital Signs Position","Vital Signs Position","True","104689df-27e8-4ee6-a9ba-cdb193e35aa6","string","BiomedicalConceptProperty_85","True","BiomedicalConceptProperty"
"Vital Signs Result","Vital Signs Result","True","564ae2b4-4ef9-4d42-8001-32c60f898158","decimal","BiomedicalConceptProperty_86","True","BiomedicalConceptProperty"
"Unit of Pressure","Unit of Pressure","True","882c8db0-4570-4950-b1bd-4222d6dd02e4","string","BiomedicalConceptProperty_87","True","BiomedicalConceptProperty"
"Vital Signs Location","Vital Signs Location","True","ef7dc831-17ec-42d5-9493-2a125a357665","string","BiomedicalConceptProperty_88","True","BiomedicalConceptProperty"
"Vital Signs Laterality","Vital Signs Laterality","True","6fc57ea7-3f7c-41a4-b35b-cc4993eee763","string","BiomedicalConceptProperty_89","True","BiomedicalConceptProperty"
"Test Method","Test Method","True","e55acb50-dfc4-4f49-8367-74bfcf7830c3","string","BiomedicalConceptProperty_90","True","BiomedicalConceptProperty"
"Vital Signs Position","Vital Signs Position","True","b3d7cfa5-4922-4749-87fe-63e90177ff20","string","BiomedicalConceptProperty_91","True","BiomedicalConceptProperty"
"Vital Signs Result","Vital Signs Result","True","ad0b33e8-9148-487d-bbe8-a3b69242c771","integer","BiomedicalConceptProperty_92","True","BiomedicalConceptProperty"
"Count per Minute","Count per Minute","True","faf3f87c-83a8-4bd1-8c31-b0547168569a","string","BiomedicalConceptProperty_93","True","BiomedicalConceptProperty"
"Vital Signs Location","Vital Signs Location","True","e3b66cfb-ea58-42ac-b06c-184fedbddeb2","string","BiomedicalConceptProperty_94","True","BiomedicalConceptProperty"
"Vital Signs Laterality","Vital Signs Laterality","True","81fb86b8-abe4-4545-b6e6-f9a00564d8eb","string","BiomedicalConceptProperty_95","True","BiomedicalConceptProperty"
"Test Method","Test Method","True","73473386-78df-4be1-8329-f2d4d14585f8","string","BiomedicalConceptProperty_96","True","BiomedicalConceptProperty"
"Vital Signs Position","Vital Signs Position","True","b706d384-d1c2-4f7a-a8f4-e9c591776466","string","BiomedicalConceptProperty_97","True","BiomedicalConceptProperty"
