"decode","uuid:ID","codeSystemVersion","id","instanceType","codeSystem","code"
"Subject Supine","a2e1fb5d-25db-452f-9ada-3fd07a7381ef","12","Code_80","Code","SPONSOR","123"
"Subject Standing","4ad6b9e4-5214-4821-8191-1ad761194de4","12","Code_81","Code","SPONSOR","124"
"Vital Signs Result","d56feb65-f8dd-4e51-bd5c-738a5d1ac620","","Code_278","Code","NCI Thesaurus","C173522"
"Kelvin","0e52b241-bb2b-4cf4-a00e-57e5b6c2686e","2023-09-29","Code_279","Code","http://www.cdisc.org","C42537"
"Unit of Temperature","7bc59a5a-cfe2-4827-bfa3-0c0e59732f69","","Code_280","Code","NCI Thesaurus","C44276"
"Vital Signs Location","9cd0c7e6-9930-41d7-9028-8100df669e61","","Code_281","Code","NCI Thesaurus","C83088"
"Body Temperature","b87b7523-6de4-4edd-8bfa-b390e2c96a3f","","Code_277","Code","NCI Thesaurus","C174446"
"Vital Signs Result","f8f2777d-cfb9-4f98-aca5-4a207c100887","","Code_283","Code","NCI Thesaurus","C173522"
"Kilogram","62ce0c35-3891-4055-a291-1e0bb8151307","2023-09-29","Code_284","Code","http://www.cdisc.org","C28252"
"Gram","62a49b25-f2ac-464d-bf43-53f5b0fd3492","2023-09-29","Code_285","Code","http://www.cdisc.org","C48155"
"Pound","241c3d39-f87c-4700-8e0c-f9f37fdd13af","2023-09-29","Code_286","Code","http://www.cdisc.org","C48531"
"Unit of Weight","7869f162-5d4c-46c2-b648-c64147ae1a50","","Code_287","Code","NCI Thesaurus","C48208"
"Body Weight","e7db48f0-fc81-42ee-9fe4-d79976c3e101","","Code_282","Code","NCI Thesaurus","C81328"
"Vital Signs Result","685b1065-3603-461d-a5fa-516c201d54a6","","Code_289","Code","NCI Thesaurus","C173522"
"Centimeter","97bcff39-3a43-4ac0-a6bc-024be3fd2ef8","2023-09-29","Code_290","Code","http://www.cdisc.org","C49668"
"Inch","6fefdc27-5286-40ce-9898-7186f69266a8","2023-09-29","Code_291","Code","http://www.cdisc.org","C48500"
"Millimeter","6671b36f-d7a5-49d2-8700-625d9c4b8171","2023-09-29","Code_292","Code","http://www.cdisc.org","C28251"
"Meter","4b97d84d-4050-400c-8cd5-49430c24ea48","2023-09-29","Code_293","Code","http://www.cdisc.org","C41139"
"Unit of Height","842a79d4-95c1-452f-8486-a187cf204111","","Code_294","Code","NCI Thesaurus","C168688"
"Body Height","fa99f358-2841-4d5d-a3bc-9a04b4dc3307","","Code_288","Code","NCI Thesaurus","C164634"
"Laboratory Test Result","a0c0006a-35d4-4793-ac90-0e98bd5806c8","","Code_296","Code","NCI Thesaurus","C36292"
"Laboratory Test Fasting Status","ea77954d-59c8-43ab-a327-7606c40605e4","","Code_297","Code","NCI Thesaurus","C83309"
"Unit of Catalytic Activity Concentration","544c6e95-a6f0-4b78-8108-cd0be9f6c876","","Code_298","Code","NCI Thesaurus","C67365"
"Biospecimen Type","86107943-520e-4dd9-b439-0e39a72917e8","","Code_299","Code","NCI Thesaurus","C70713"
"Alanine Aminotransferase Measurement","525b4d4f-190c-4556-b8bf-6ea44427063c","","Code_295","Code","NCI Thesaurus","C64433"
"Laboratory Test Result","3ad2bf6c-8d48-4f63-9e9d-23d5e47a94ac","","Code_301","Code","NCI Thesaurus","C36292"
"Laboratory Test Fasting Status","ca51ecc9-188c-436f-b61e-c9878dda516d","","Code_302","Code","NCI Thesaurus","C83309"
"Unit of Concentration","b0fb49d5-7fec-4d8c-8662-603444266394","","Code_303","Code","NCI Thesaurus","C48207"
"Biospecimen Type","7655d9f1-6898-4560-96d1-9a596fd2720a","","Code_304","Code","NCI Thesaurus","C70713"
"Albumin Measurement","50cb0d9e-0958-496a-8055-1bbaea47b5ec","","Code_300","Code","NCI Thesaurus","C64431"
"Laboratory Test Result","20dfadb9-da6c-4d6c-bfbd-536cfb74d784","","Code_306","Code","NCI Thesaurus","C36292"
"Laboratory Test Fasting Status","93d2557d-8fe7-4a87-bea1-6332f17b2133","","Code_307","Code","NCI Thesaurus","C83309"
"Unit of Catalytic Activity Concentration","1e6ddc5e-1604-4e45-a38f-c96d75f24378","","Code_308","Code","NCI Thesaurus","C67365"
"Biospecimen Type","ab55cfad-5df0-4522-ab42-6a0efdbd5e71","","Code_309","Code","NCI Thesaurus","C70713"
"Alkaline Phosphatase Measurement","2ec6ad49-6c8f-4e3e-93a6-bf4108ff3cf2","","Code_305","Code","NCI Thesaurus","C64432"
"Laboratory Test Result","b95fd0b3-249a-4a93-8fd1-8fe9e77b77d1","","Code_311","Code","NCI Thesaurus","C36292"
"Laboratory Test Fasting Status","79778017-20e1-40d2-845f-ed0b9982dcd2","","Code_312","Code","NCI Thesaurus","C83309"
"Unit of Catalytic Activity Concentration","10008582-1032-4ab1-94a0-cb11320e1e63","","Code_313","Code","NCI Thesaurus","C67365"
"Biospecimen Type","33716b78-d405-4afe-a2ab-52dff78ecd0d","","Code_314","Code","NCI Thesaurus","C70713"
"Aspartate Aminotransferase Measurement","ecbea128-8ae6-4f3b-8700-cd4ddf97844f","","Code_310","Code","NCI Thesaurus","C64467"
"Laboratory Test Result","b1eac547-3df3-407f-94dd-879e8a713dd7","","Code_316","Code","NCI Thesaurus","C36292"
"Laboratory Test Fasting Status","ec307e1f-888e-421e-a226-8a146577fc99","","Code_317","Code","NCI Thesaurus","C83309"
"Unit of Concentration","8b6430c9-0096-431b-95d2-3d3d24a7d0eb","","Code_318","Code","NCI Thesaurus","C48207"
"Biospecimen Type","67848ce6-419c-4016-9c2d-204108186a0c","","Code_319","Code","NCI Thesaurus","C70713"
"Creatinine Measurement","255e54a2-a7fe-4bae-b377-f33856388fd9","","Code_315","Code","NCI Thesaurus","C64547"
"Laboratory Test Result","7a1fbcfb-fe86-4e29-961f-9a64e87e8706","","Code_321","Code","NCI Thesaurus","C36292"
"Laboratory Test Fasting Status","7f9f6ef4-acb2-4b38-bbf5-ba5a85a7b6d6","","Code_322","Code","NCI Thesaurus","C83309"
"Molarity Unit","6740e902-7942-4eb2-b6b7-9d1937066e96","","Code_323","Code","NCI Thesaurus","C64567"
"Biospecimen Type","676d7474-484c-4eee-b910-91653ef0c73b","","Code_324","Code","NCI Thesaurus","C70713"
"Potassium Measurement","7708faa9-2016-4306-98e9-ccfbf01a90dc","","Code_320","Code","NCI Thesaurus","C64853"
"Laboratory Test Result","3586ad7d-1e1b-4da4-ac25-1143ec1b130a","","Code_326","Code","NCI Thesaurus","C36292"
"Laboratory Test Fasting Status","b01e7e68-4c86-4106-ab6f-5a3f560b160c","","Code_327","Code","NCI Thesaurus","C83309"
"Molarity Unit","84bf1634-4027-4318-918f-dbc0b4f7bcd2","","Code_328","Code","NCI Thesaurus","C64567"
"Biospecimen Type","917f83b9-9d56-4e55-bbbe-590abb04159b","","Code_329","Code","NCI Thesaurus","C70713"
"Sodium Measurement","cbd572ad-f349-4d90-b7c6-528c385a709d","","Code_325","Code","NCI Thesaurus","C64809"
"Adverse Event Verbatim Description","7ba0831b-d3b6-450e-bd6e-fa4d0263d3f2","","Code_145","Code","NCI Thesaurus","C78541"
"Adverse Event Dictionary Derived Term","95c7d853-43e7-4e6f-b9cc-fb7d791eecb3","","Code_146","Code","NCI Thesaurus","C83344"
"Adverse Event Category","7220ec79-8f8c-4d2e-a37b-a09352134e58","","Code_147","Code","NCI Thesaurus","C83198"
"Adverse Event Subcategory","5c9c84f6-a801-4717-ad1e-ffdccb6520f7","","Code_148","Code","NCI Thesaurus","C83212"
"Adverse Event Pre-specified","bb3ee006-ca5c-4526-89d2-c40cf5ff7ed6","","Code_149","Code","NCI Thesaurus","C87840"
"Severity of Adverse Event","35aadddf-a22f-495a-a4ad-1989d508f40f","","Code_150","Code","NCI Thesaurus","C53253"
"Adverse Event Toxicity Grade","c524268a-c7c3-47f9-8d47-b86d78a45f36","","Code_151","Code","NCI Thesaurus","C78605"
"Seriousness of Adverse Event","f0ee3d0e-c292-42b3-bacf-70acba7569c8","","Code_152","Code","NCI Thesaurus","C53252"
"Adverse Event Action Taken with Study Treatment","adce13c5-dd96-4815-a2e8-e6e4b39e9fa6","","Code_153","Code","NCI Thesaurus","C83013"
"Adverse Event Attribution to Product or Procedure","d3362157-3d69-4195-8d4a-78c4b5618513","","Code_154","Code","NCI Thesaurus","C41358"
"Intermittent","f3b8fd3e-858b-4012-9c5e-aa351a69125e","2023-09-29","Code_155","Code","http://www.cdisc.org","C71325"
"Adverse Event Pattern","f6b7bac9-590d-49b9-8988-dd6a783b79d2","","Code_156","Code","NCI Thesaurus","C83208"
"Adverse Event Outcome","ccaea0f9-9f20-48b4-aa7d-9d2373785288","","Code_157","Code","NCI Thesaurus","C49489"
"Adverse Event Start Date Time","88db46b0-99e4-4780-87f9-21b49343f77c","","Code_158","Code","NCI Thesaurus","C83215"
"Adverse Event End Date Time","bd0be375-a84b-4857-a745-c713103586bf","","Code_159","Code","NCI Thesaurus","C83201"
"Adverse Event","8f6ecb35-82fc-4f37-80ff-62803a8e9aaf","","Code_144","Code","NCI Thesaurus","C41331"
"Vital Signs Result","bb01fb66-a255-4ee9-881f-5b43f2d0e299","","Code_161","Code","NCI Thesaurus","C173522"
"Pascal","5bd44d9e-2904-4557-8c49-5ff80a03270e","2023-09-29","Code_162","Code","http://www.cdisc.org","C42547"
"Unit of Pressure","88094096-1aa6-4357-b59d-30fd561891f7","","Code_163","Code","NCI Thesaurus","C49669"
"Vital Signs Location","f12c93cb-8cca-4bda-a934-1d43c402d2f3","","Code_164","Code","NCI Thesaurus","C83088"
"Vital Signs Laterality","75c96a4f-86a4-4177-bb5c-cbe8d9cdc8fc","","Code_165","Code","NCI Thesaurus","C123975"
"Test Method","fbfb296a-4ca1-4093-9fb4-8a92535585e4","","Code_166","Code","NCI Thesaurus","C82535"
"Vital Signs Position","9129bb78-7af5-449b-af93-129cb7b47cbb","","Code_167","Code","NCI Thesaurus","C83114"
"Systolic Blood Pressure","885b07c5-53a7-4558-bdba-5cdf470124d3","","Code_160","Code","NCI Thesaurus","C25298"
"Vital Signs Result","c1fa265f-4021-4100-87fc-77aac1f539e5","","Code_169","Code","NCI Thesaurus","C173522"
"Pascal","6ded9a2c-a567-4867-a6fb-e5fbad18c65a","2023-09-29","Code_170","Code","http://www.cdisc.org","C42547"
"Unit of Pressure","14272a36-1853-46b1-aa12-9fe7d22181bf","","Code_171","Code","NCI Thesaurus","C49669"
"Vital Signs Location","4f575133-7da0-49e3-b7d4-d7d61718feec","","Code_172","Code","NCI Thesaurus","C83088"
"Vital Signs Laterality","511173ef-cdcd-4659-a4d4-5ebdc2600bc5","","Code_173","Code","NCI Thesaurus","C123975"
"Test Method","347ae26e-ff2f-4221-a198-1f76a0370dc7","","Code_174","Code","NCI Thesaurus","C82535"
"Vital Signs Position","8cfcc2b3-272e-4d89-9381-98fbc4ffbc4b","","Code_175","Code","NCI Thesaurus","C83114"
"Diastolic Blood Pressure","867dfabd-6568-4783-9e6f-23a5deca0520","","Code_168","Code","NCI Thesaurus","C25299"
"Vital Signs Result","05731332-06f9-4ee9-8dc2-1cd25110b272","","Code_177","Code","NCI Thesaurus","C173522"
"Kelvin","d3ff3dcc-34c6-4ddd-a459-a0f4ac717d10","2023-09-29","Code_178","Code","http://www.cdisc.org","C42537"
"Unit of Temperature","93e9063e-77af-42e2-b1ea-5bee37d055dc","","Code_179","Code","NCI Thesaurus","C44276"
"Vital Signs Location","3a664205-a552-4e81-885d-397a1480f9b7","","Code_180","Code","NCI Thesaurus","C83088"
"Body Temperature","a6ffac95-1279-44e6-8da8-3620e8250b10","","Code_176","Code","NCI Thesaurus","C174446"
"Vital Signs Result","e8e5730b-1e8e-4349-9081-0e3c7d531f80","","Code_182","Code","NCI Thesaurus","C173522"
"Kilogram","77126643-8768-41a2-b2f7-7154bb35ca0b","2023-09-29","Code_183","Code","http://www.cdisc.org","C28252"
"Gram","d7d37ec6-c410-44a5-ab35-e6d6dc86c222","2023-09-29","Code_184","Code","http://www.cdisc.org","C48155"
"Pound","1e525ec6-ad53-4c9d-885c-3533b0da24bc","2023-09-29","Code_185","Code","http://www.cdisc.org","C48531"
"Unit of Weight","51bb4e93-6ea6-41fe-be9e-c2772c73dc86","","Code_186","Code","NCI Thesaurus","C48208"
"Body Weight","85e45cad-f65f-4581-ac50-cab015f9e7fd","","Code_181","Code","NCI Thesaurus","C81328"
"Vital Signs Result","e8bb3c9b-8594-4b85-940c-0a86e855e4dc","","Code_188","Code","NCI Thesaurus","C173522"
"Centimeter","e00a8be2-0731-4c6c-9066-9332f245d07d","2023-09-29","Code_189","Code","http://www.cdisc.org","C49668"
"Inch","489224e4-44b2-4875-9e47-92f3b55755d1","2023-09-29","Code_190","Code","http://www.cdisc.org","C48500"
"Millimeter","e4410bab-99b9-4556-b349-7794de70bf12","2023-09-29","Code_191","Code","http://www.cdisc.org","C28251"
"Meter","f4699b2c-c837-45de-9ecd-b9556aec7c22","2023-09-29","Code_192","Code","http://www.cdisc.org","C41139"
"Unit of Height","fb8519b0-059f-4593-ac6b-6abb78b9c8d3","","Code_193","Code","NCI Thesaurus","C168688"
"Body Height","05844e7e-4c9a-454f-8ad2-5cd74805306d","","Code_187","Code","NCI Thesaurus","C164634"
"Laboratory Test Result","6aca31a2-dd6d-4e27-8c7d-b77885e5c3a9","","Code_195","Code","NCI Thesaurus","C36292"
"Laboratory Test Fasting Status","785562a3-6a5d-4479-8eeb-db02c9e7f226","","Code_196","Code","NCI Thesaurus","C83309"
"Unit of Catalytic Activity Concentration","31165a98-037e-4593-b858-b6f9c28618f3","","Code_197","Code","NCI Thesaurus","C67365"
"Biospecimen Type","e0987116-ee63-4204-b547-1c3c788d2952","","Code_198","Code","NCI Thesaurus","C70713"
"Alanine Aminotransferase Measurement","1f1b973d-cc12-46c6-a160-2aa10f35deb4","","Code_194","Code","NCI Thesaurus","C64433"
"Laboratory Test Result","de260530-08eb-48b2-82c2-7e17e3390116","","Code_200","Code","NCI Thesaurus","C36292"
"Laboratory Test Fasting Status","c797d8c0-7e0b-4c53-bcb7-a66a0e8738c1","","Code_201","Code","NCI Thesaurus","C83309"
"Unit of Concentration","d3cc5d12-8b2b-4415-a29b-4baaef2965a2","","Code_202","Code","NCI Thesaurus","C48207"
"Biospecimen Type","d5644112-db58-4ccf-8e7f-628477e8a7d7","","Code_203","Code","NCI Thesaurus","C70713"
"Albumin Measurement","2c1d8e7f-2870-426c-9458-bf3af8bb1398","","Code_199","Code","NCI Thesaurus","C64431"
"Laboratory Test Result","eda57f30-23bb-44ab-8d2c-a75c9bf09da7","","Code_205","Code","NCI Thesaurus","C36292"
"Laboratory Test Fasting Status","8ba7ff20-473b-49f3-814c-9692dc6f177d","","Code_206","Code","NCI Thesaurus","C83309"
"Unit of Catalytic Activity Concentration","c3ccc20e-7c0b-4261-bdd9-e3a48222b3dc","","Code_207","Code","NCI Thesaurus","C67365"
"Biospecimen Type","47319711-6a93-4bbb-ac0f-139a105e3d8b","","Code_208","Code","NCI Thesaurus","C70713"
"Alkaline Phosphatase Measurement","35ec1bfb-7198-4739-b036-3b2bff1591f6","","Code_204","Code","NCI Thesaurus","C64432"
"Laboratory Test Result","ce7bdcb8-c5b9-4bd2-8a1e-e7fe8e085982","","Code_210","Code","NCI Thesaurus","C36292"
"Laboratory Test Fasting Status","f5512a41-6296-4e10-b15d-d299adde4167","","Code_211","Code","NCI Thesaurus","C83309"
"Unit of Catalytic Activity Concentration","3bb57241-8325-4aea-87ba-413ac0964682","","Code_212","Code","NCI Thesaurus","C67365"
"Biospecimen Type","aed96dc3-4bec-4b6a-a8e9-db63cfba1f37","","Code_213","Code","NCI Thesaurus","C70713"
"Aspartate Aminotransferase Measurement","15d8a0c6-40f9-418c-9269-c9ef5ac80f4b","","Code_209","Code","NCI Thesaurus","C64467"
"Laboratory Test Result","ab427032-cc04-4bd1-ad18-32e75f034bb1","","Code_215","Code","NCI Thesaurus","C36292"
"Laboratory Test Fasting Status","6d79d812-cd36-4914-8485-a77a4c4d9d03","","Code_216","Code","NCI Thesaurus","C83309"
"Unit of Concentration","5a1773f3-a7d0-4e87-b9fd-615406e24ebb","","Code_217","Code","NCI Thesaurus","C48207"
"Biospecimen Type","baf8ae05-5b82-4235-9c1e-672e819f9516","","Code_218","Code","NCI Thesaurus","C70713"
"Creatinine Measurement","b697cd3a-951a-4990-ae27-69966e3dc4ca","","Code_214","Code","NCI Thesaurus","C64547"
"Laboratory Test Result","b14fd340-b834-4f72-83c8-7783106831a9","","Code_220","Code","NCI Thesaurus","C36292"
"Laboratory Test Fasting Status","354b1121-d3e1-40af-ab98-a2c8aff2b002","","Code_221","Code","NCI Thesaurus","C83309"
"Molarity Unit","8c83413b-bf3f-4b5f-9e48-f09d4a69280e","","Code_222","Code","NCI Thesaurus","C64567"
"Biospecimen Type","1a7de2aa-82b9-4eed-a4b5-d03261e9e900","","Code_223","Code","NCI Thesaurus","C70713"
"Potassium Measurement","ad293821-ea59-465d-b194-e738ba07fd0c","","Code_219","Code","NCI Thesaurus","C64853"
"Laboratory Test Result","aaac4d5d-3bac-4899-b0c2-ca186d9687e6","","Code_225","Code","NCI Thesaurus","C36292"
"Laboratory Test Fasting Status","44e16018-7d58-4218-bf00-21a0a7ca19d9","","Code_226","Code","NCI Thesaurus","C83309"
"Molarity Unit","ffab37c0-7a20-4cd2-b34d-8cdeaeb97dbd","","Code_227","Code","NCI Thesaurus","C64567"
"Biospecimen Type","f7edaca9-2eee-44ed-b6a6-5543eae1672f","","Code_228","Code","NCI Thesaurus","C70713"
"Sodium Measurement","a583a837-a6df-44e7-a2a0-d41eb266a80f","","Code_224","Code","NCI Thesaurus","C64809"
"Vital Signs Result","aa2bf945-ee29-473d-a0de-fd01a1e792cd","","Code_230","Code","NCI Thesaurus","C173522"
"Pascal","f15a8692-5bea-4a23-9a63-a96ba47c0c3c","2023-09-29","Code_231","Code","http://www.cdisc.org","C42547"
"Unit of Pressure","62ad3f4a-bacc-49d4-a366-1ffab2633094","","Code_232","Code","NCI Thesaurus","C49669"
"Vital Signs Location","2794c305-c477-4807-b504-b65092a16b86","","Code_233","Code","NCI Thesaurus","C83088"
"Vital Signs Laterality","4087875e-c58a-499b-9e9c-c9b98fecbb19","","Code_234","Code","NCI Thesaurus","C123975"
"Test Method","f2e1c3a4-18d9-451b-8484-a25596186c61","","Code_235","Code","NCI Thesaurus","C82535"
"Vital Signs Position","b2f2a2cb-0290-49c9-a9da-661f95e1d67c","","Code_236","Code","NCI Thesaurus","C83114"
"Systolic Blood Pressure","d09494e2-9e11-4289-999f-f00c4a06ee76","","Code_229","Code","NCI Thesaurus","C25298"
"Vital Signs Result","c1320f0f-b0c1-408f-9ee8-4a58c0c11ae6","","Code_238","Code","NCI Thesaurus","C173522"
"Pascal","2f2f3367-245d-4af8-be53-6ae120b956c6","2023-09-29","Code_239","Code","http://www.cdisc.org","C42547"
"Unit of Pressure","46c2e98d-1e51-4dce-b68e-b81f56ac0642","","Code_240","Code","NCI Thesaurus","C49669"
"Vital Signs Location","026827a3-d3b8-40e4-ac2d-11074da99165","","Code_241","Code","NCI Thesaurus","C83088"
"Vital Signs Laterality","ec857fd7-b4da-4957-a046-2d1c64c70828","","Code_242","Code","NCI Thesaurus","C123975"
"Test Method","f19c340d-9131-4b3c-831f-11a75bfe2ef8","","Code_243","Code","NCI Thesaurus","C82535"
"Vital Signs Position","eb72f881-659b-40e3-bb8d-a83500f6b1f4","","Code_244","Code","NCI Thesaurus","C83114"
"Diastolic Blood Pressure","71d78bf2-42db-4c6f-8921-671a3d61d165","","Code_237","Code","NCI Thesaurus","C25299"
