"sectionTitle","uuid:ID","text","name","id","instanceType","sectionNumber"
"Selection of Trial Population","a8d337e0-3730-440b-879b-49d35ee68a80","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","SECTION 5.1","NarrativeContent_22","NarrativeContent","5.1"
"Rationale for Trial Population","4db6fa8c-aaa6-4a21-8ce9-b6e888a0c1ec","<div></div>","SECTION 5.2","NarrativeContent_23","NarrativeContent","5.2"
"Inclusion Criteria","415e636a-237b-4b0c-bfe3-5fa33362a8a0","<div><usdm:section name=""M11-inclusion""></div>","SECTION 5.3","NarrativeContent_24","NarrativeContent","5.3"
"Exclusion Criteria","a5419dd2-f228-4abe-b466-e86e7b354074","<div><usdm:section name=""M11-exclusion""></div>","SECTION 5.4","NarrativeContent_25","NarrativeContent","5.4"
"Lifestyle Considerations","647f5fb0-28a3-4115-8e06-fac0fcf3b8b5","<div></div>","SECTION 5.5","NarrativeContent_26","NarrativeContent","5.5"
"Meals and Dietary Restrictions","7b31b763-2b6c-4380-b741-973e0a912b53","<div></div>","SECTION 5.5.1","NarrativeContent_27","NarrativeContent","5.5.1"
"Caffeine, Alcohol, Tobacco, and Other Habits","4281562c-a06b-4cdf-b2b6-7de8b3ac7efb","<div><p>Not applicable</p></div>","SECTION 5.5.2","NarrativeContent_28","NarrativeContent","5.5.2"
"Physical Activity","a3ddc118-9fcf-438e-97ac-19138a9c72e1","<div></div>","SECTION 5.5.3","NarrativeContent_29","NarrativeContent","5.5.3"
"Other Activity","b8579326-23d1-47d8-9af5-7333c69520d8","<div></div>","SECTION 5.5.4","NarrativeContent_30","NarrativeContent","5.5.4"
"Screen Failures","9c80a669-39b5-48e5-8855-cff73b991302","<div></div>","SECTION 5.6","NarrativeContent_31","NarrativeContent","5.6"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","61075d62-a46a-4a6b-ae6f-431750109d85","<div></div>","SECTION 6","NarrativeContent_32","NarrativeContent","6"
"Description of Trial Intervention","5349f4d3-bea7-4f5c-b1e2-3cc60144c151","<div></div>","SECTION 6.1","NarrativeContent_33","NarrativeContent","6.1"
"Rationale for Trial Intervention","c96c52fb-c430-4d53-b283-af1d6c510762","<div></div>","SECTION 6.2","NarrativeContent_34","NarrativeContent","6.2"
"Dosing and Administration","ecba873a-b6ae-4404-b16b-58a7d744f444","<div></div>","SECTION 6.3","NarrativeContent_35","NarrativeContent","6.3"
"Trial Intervention Dose Modification","ee6b23d2-5667-4673-8789-bd667e4aeaa1","<div></div>","SECTION 6.3.1","NarrativeContent_36","NarrativeContent","6.3.1"
"Treatment of Overdose","004b7ca2-5765-41de-95b5-8cba65e2e9ab","<div></div>","SECTION 6.4","NarrativeContent_37","NarrativeContent","6.4"
"Preparation, Handling, Storage and Accountability","a39e7f3e-ebb1-402c-8556-b79d38667e84","<div></div>","SECTION 6.5","NarrativeContent_38","NarrativeContent","6.5"
"Preparation of Trial Intervention","d625cf7d-0eb3-4a51-bec0-71a576cb7b7a","<div></div>","SECTION 6.5.1","NarrativeContent_39","NarrativeContent","6.5.1"
"Handling and Storage of Trial Intervention","33f8675b-9874-43a1-a963-62f7d914d9a3","<div></div>","SECTION 6.5.2","NarrativeContent_40","NarrativeContent","6.5.2"
"Accountability of Trial Intervention","1f0ee6aa-b52b-40bf-8292-d8a624a86a5f","<div></div>","SECTION 6.5.3","NarrativeContent_41","NarrativeContent","6.5.3"
"Participant Assignment, Randomisation and Blinding","e28ae0d4-0a0e-4c61-a6a0-ddaf9d4b1599","<div></div>","SECTION 6.6","NarrativeContent_42","NarrativeContent","6.6"
"Participant Assignment","15d8211d-7026-4dbb-b700-63317eff1049","<div></div>","SECTION 6.6.1","NarrativeContent_43","NarrativeContent","6.6.1"
"Randomisation","25e74053-c1a7-478e-93c9-5de7485ded37","<div></div>","SECTION 6.6.2","NarrativeContent_44","NarrativeContent","6.6.2"
"Blinding and Unblinding","8f9dc172-eca4-448c-9657-67de4f5d7aae","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","SECTION 6.6.3","NarrativeContent_45","NarrativeContent","6.6.3"
"Trial Intervention Compliance","54552cbc-a7a0-43aa-80a8-2cad336bd234","<div></div>","SECTION 6.7","NarrativeContent_46","NarrativeContent","6.7"
"Concomitant Therapy","ce5c8b38-1c01-41a1-8d02-cea1b68d46b8","<div></div>","SECTION 6.8","NarrativeContent_47","NarrativeContent","6.8"
"Prohibited Concomitant Therapy","1d1f40f1-e75d-4b54-864c-e3fbb55c52eb","<div></div>","SECTION 6.8.1","NarrativeContent_48","NarrativeContent","6.8.1"
"Permitted Concomitant Therapy","80f691ff-2668-49ec-9610-bf8948b9dc43","<div></div>","SECTION 6.8.2","NarrativeContent_49","NarrativeContent","6.8.2"
"Rescue Therapy","5cf139c6-77d0-46a7-a764-8ee2b0f94fd2","<div></div>","SECTION 6.8.3","NarrativeContent_50","NarrativeContent","6.8.3"
"Other Therapy","26e76a3f-62c1-4fa4-aacb-71f4c1d9145a","<div></div>","SECTION 6.8.4","NarrativeContent_51","NarrativeContent","6.8.4"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","01e84fea-412c-4513-a810-6cfd4c110f0b","<div></div>","SECTION 7","NarrativeContent_52","NarrativeContent","7"
"Discontinuation of Trial Intervention","2fd0bf41-01ee-49ca-a10f-cde3fba71c5d","<div></div>","SECTION 7.1","NarrativeContent_53","NarrativeContent","7.1"
"Criteria for Permanent Discontinuation of Trial Intervention","7a8242fb-e226-4e90-8c41-70ba8fe480c7","<div></div>","SECTION 7.1.1","NarrativeContent_54","NarrativeContent","7.1.1"
"Temporary Discontinuation or Interruption of Trial Intervention","e924e16b-d41b-49f4-a966-dfaa1b37a674","<div></div>","SECTION 7.1.2","NarrativeContent_55","NarrativeContent","7.1.2"
"Rechallenge","2cdae3ec-a024-4d74-a90a-91eb2a1b426a","<div></div>","SECTION 7.1.3","NarrativeContent_56","NarrativeContent","7.1.3"
"Participant Withdrawal from the Trial","d016a8f1-387c-4a1b-8d07-248b49060ad5","<div></div>","SECTION 7.2","NarrativeContent_57","NarrativeContent","7.2"
"Lost to Follow-Up","f2e0cf32-2581-4827-a9e7-b283a9ca0948","<div></div>","SECTION 7.3","NarrativeContent_58","NarrativeContent","7.3"
"Trial Stopping Rules","45f65d9a-c01c-4a69-9902-bf9c677d2a23","<div></div>","SECTION 7.4","NarrativeContent_59","NarrativeContent","7.4"
"TRIAL ASSESSMENTS AND PROCEDURES","c6c0d1d0-6726-40a4-9689-6aad12e6cbe4","<div></div>","SECTION 8","NarrativeContent_60","NarrativeContent","8"
"Screening/Baseline Assessments and Procedures","38c097fb-8eb7-48f5-afe9-8448b60592f1","<div></div>","SECTION 8.1","NarrativeContent_61","NarrativeContent","8.1"
"Efficacy Assessments and Procedures","6adf9346-e8f4-4cd0-a4b7-bad0bb597c7a","<div></div>","SECTION 8.2","NarrativeContent_62","NarrativeContent","8.2"
"Safety Assessments and Procedures","44bf6a1a-14e4-4654-9ef7-3e5b3ca07a01","<div></div>","SECTION 8.3","NarrativeContent_63","NarrativeContent","8.3"
"Physical Examination","0b402198-eb38-4ffa-8957-824101103195","<div></div>","SECTION 8.3.1","NarrativeContent_64","NarrativeContent","8.3.1"
"Vital Signs","4d4b7c9a-6392-4ed2-bba8-3ee4ac3c8820","<div></div>","SECTION 8.3.2","NarrativeContent_65","NarrativeContent","8.3.2"
"Electrocardiograms","74674d60-df06-41df-b799-65ef5426477e","<div></div>","SECTION 8.3.3","NarrativeContent_66","NarrativeContent","8.3.3"
"Clinical Laboratory Assessments","15ba09d6-9aff-4a4e-9c08-82dba104eca6","<div></div>","SECTION 8.3.4","NarrativeContent_67","NarrativeContent","8.3.4"
"Suicidal Ideation and Behaviour Risk Monitoring","56568724-4dc6-4eb2-a116-c1d126580431","<div></div>","SECTION 8.3.5","NarrativeContent_68","NarrativeContent","8.3.5"
"Adverse Events and Serious Adverse Events","71b4a04b-d6fa-463e-94fc-edb87a4939e3","<div></div>","SECTION 8.4","NarrativeContent_69","NarrativeContent","8.4"
"Definitions of AE and SAE","32bb5f7a-c871-41f9-9f6b-18a9dd2b6bfd","<div></div>","SECTION 8.4.1","NarrativeContent_70","NarrativeContent","8.4.1"
"Time Period and Frequency for Collecting AE and SAE Information","c66d1fa6-45db-48c4-b3d7-30f8e489f570","<div></div>","SECTION 8.4.2","NarrativeContent_71","NarrativeContent","8.4.2"
"Identifying AEs and SAEs","cee78507-3a59-4d03-89ac-6dfe13405a2b","<div></div>","SECTION 8.4.3","NarrativeContent_72","NarrativeContent","8.4.3"
"Recording of AEs and SAEs","2d8597c2-6160-4e37-bd84-ece6651b2d3c","<div></div>","SECTION 8.4.4","NarrativeContent_73","NarrativeContent","8.4.4"
"Follow-up of AEs and SAEs","99ab71aa-3bbe-4e51-8f56-d8ae8788f302","<div></div>","SECTION 8.4.5","NarrativeContent_74","NarrativeContent","8.4.5"
"Reporting of SAEs","f8d896cf-d3e2-422b-a05a-5ed9cfde5175","<div></div>","SECTION 8.4.6","NarrativeContent_75","NarrativeContent","8.4.6"
"Regulatory Reporting Requirements for SAEs","b676f439-ec2f-4cf8-9d2b-bcfe578a5098","<div></div>","SECTION 8.4.7","NarrativeContent_76","NarrativeContent","8.4.7"
"Serious and Unexpected Adverse Reaction Reporting","9481fd42-e3f7-4bbd-903a-ea0893c74314","<div></div>","SECTION 8.4.8","NarrativeContent_77","NarrativeContent","8.4.8"
"Adverse Events of Special Interest","f9843b8a-42fb-452b-87c5-c842968d1321","<div></div>","SECTION 8.4.9","NarrativeContent_78","NarrativeContent","8.4.9"
"Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","de1ae36c-2b47-40f7-b860-326d60e3294b","<div></div>","SECTION 8.4.10","NarrativeContent_79","NarrativeContent","8.4.10"
"Pregnancy and Postpartum Information","bab10dd2-2b07-490e-9947-377d3ea48071","<div></div>","SECTION 8.5","NarrativeContent_80","NarrativeContent","8.5"
"Participants Who Become Pregnant During the Trial","b91e77ee-08dd-43a9-aad2-4db93ce8ed24","<div></div>","SECTION 8.5.1","NarrativeContent_81","NarrativeContent","8.5.1"
"Participants Whose Partners Become Pregnant","28dd6627-38cd-4dac-b0a9-d34c3892a595","<div></div>","SECTION 8.5.2","NarrativeContent_82","NarrativeContent","8.5.2"
"Medical Device Product Complaints for Drug/Device Combination Products","cde910a7-8c96-4c62-95d3-c8d6aefa0268","<div></div>","SECTION 8.6","NarrativeContent_83","NarrativeContent","8.6"
"Definition of Medical Device Product Complaints","6295cfc2-74ff-4ecb-ac37-444980878713","<div></div>","SECTION 8.6.1","NarrativeContent_84","NarrativeContent","8.6.1"
"Recording of Medical Device Product Complaints","5443298c-a4a3-4822-a47b-8ed1ded741be","<div></div>","SECTION 8.6.2","NarrativeContent_85","NarrativeContent","8.6.2"
"Time Period and Frequency for Collecting Medical Device Product Complaints .","3f310857-d306-4d9a-9837-2bcbbf362d28","<div></div>","SECTION 8.6.3","NarrativeContent_86","NarrativeContent","8.6.3"
"Follow-Up of Medical Device Product Complaints","da357b5b-a80a-489c-a1ba-d3841d3a8ee7","<div></div>","SECTION 8.6.4","NarrativeContent_87","NarrativeContent","8.6.4"
"Regulatory Reporting Requirements for Medical Device Product Complaints","ab3cb7c1-ca3b-4a54-ba31-c90fd97793bd","<div></div>","SECTION 8.6.5","NarrativeContent_88","NarrativeContent","8.6.5"
"Pharmacokinetics","62338369-b108-428c-b9b6-264610403d28","<div></div>","SECTION 8.7","NarrativeContent_89","NarrativeContent","8.7"
"Genetics","23ecf2cc-40d0-41bb-b581-33d79a327adf","<div></div>","SECTION 8.8","NarrativeContent_90","NarrativeContent","8.8"
"Biomarkers","847e5e4b-34e6-46a8-84d4-438126c149ac","<div></div>","SECTION 8.9","NarrativeContent_91","NarrativeContent","8.9"
"Immunogenicity Assessments","24be889e-dde9-49fd-ac63-0f067a4cce52","<div></div>","SECTION 8.1","NarrativeContent_92","NarrativeContent","8.1"
"Medical Resource Utilisation and Health Economics","87db8c98-9a13-471d-a03c-6def159c2a43","<div></div>","SECTION 8.1.1","NarrativeContent_93","NarrativeContent","8.1.1"
"STATISTICAL CONSIDERATIONS","dddcfaea-8918-4ae1-a69f-404d7dcbc878","<div></div>","SECTION 9","NarrativeContent_94","NarrativeContent","9"
"Analysis Sets","95f4d3da-dc25-4397-be5c-b85d9ad2aa0b","<div></div>","SECTION 9.1","NarrativeContent_95","NarrativeContent","9.1"
"Analyses Supporting Primary Objective(s)","8e64dfa6-1910-4092-8aa1-8d82fbf8fbbb","<div></div>","SECTION 9.2","NarrativeContent_96","NarrativeContent","9.2"
"Statistical Model, Hypothesis, and Method of Analysis","4ce767c2-fae3-47c9-a7ad-6d0f7b60cce6","<div></div>","SECTION 9.2.1","NarrativeContent_97","NarrativeContent","9.2.1"
"Handling of Intercurrent Events of Primary Estimand(s)","62607eb1-33dd-4c5e-b7a6-0f4e80af6130","<div></div>","SECTION 9.2.2","NarrativeContent_98","NarrativeContent","9.2.2"
"Handling of Missing Data","45922a89-45e6-419e-aea1-fee8a59fa943","<div></div>","SECTION 9.2.3","NarrativeContent_99","NarrativeContent","9.2.3"
"Sensitivity Analysis","8c974363-b298-4886-8b31-f9c934d80f38","<div></div>","SECTION 9.2.4","NarrativeContent_100","NarrativeContent","9.2.4"
"Supplementary Analysis","37a4299a-977d-4ff1-9fbf-50cd9f87070a","<div></div>","SECTION 9.2.5","NarrativeContent_101","NarrativeContent","9.2.5"
"Analysis Supporting Secondary Objective(s)","d052a633-99a1-4c4c-8bee-c3e5c3c68567","<div></div>","SECTION 9.3","NarrativeContent_102","NarrativeContent","9.3"
"Analysis of Exploratory Objective(s)","e3ebf556-e9f7-476f-beee-320ca64f8886","<div></div>","SECTION 9.4","NarrativeContent_103","NarrativeContent","9.4"
"Safety Analyses","fa053d4d-4d75-49a9-a9ee-c167effb7e18","<div></div>","SECTION 9.5","NarrativeContent_104","NarrativeContent","9.5"
"Other Analyses","bcfcb32a-792a-4b13-a336-adca240cf6ac","<div></div>","SECTION 9.6","NarrativeContent_105","NarrativeContent","9.6"
"Interim Analyses","532d12fc-a875-4903-9485-97b7298f6295","<div></div>","SECTION 9.7","NarrativeContent_106","NarrativeContent","9.7"
"Sample Size Determination","a5e6311e-a324-4339-9843-4d6c2d56d6e1","<div></div>","SECTION 9.8","NarrativeContent_107","NarrativeContent","9.8"
"Protocol Deviations","e4024438-5f13-4a62-94d0-15cbb4220899","<div></div>","SECTION 9.9","NarrativeContent_108","NarrativeContent","9.9"
"GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","2d35bef5-7579-4eba-9dcd-7f182dfbef71","<div></div>","SECTION 10","NarrativeContent_109","NarrativeContent","10"
"Regulatory and Ethical Considerations","0096ae92-9405-4063-b896-fe5915a426df","<div></div>","SECTION 10.1","NarrativeContent_110","NarrativeContent","10.1"
"Committees","d12e082a-31c3-47bd-a5b6-1740a0238d18","<div></div>","SECTION 10.2","NarrativeContent_111","NarrativeContent","10.2"
"Informed Consent Process","581d3385-7c5c-48ae-9ca0-7e6724607281","<div></div>","SECTION 10.3","NarrativeContent_112","NarrativeContent","10.3"
"Data Protection","a3d1f4fd-fcad-41f5-b146-4327c0e86da4","<div></div>","SECTION 10.4","NarrativeContent_113","NarrativeContent","10.4"
"Early Site Closure or Trial Termination","286326e2-af7c-4d31-9ba7-75ef3e3396e7","<div></div>","SECTION 10.5","NarrativeContent_114","NarrativeContent","10.5"
"GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","5b1cf854-1e12-418b-8d26-bfa8ee37447e","<div></div>","SECTION 11","NarrativeContent_115","NarrativeContent","11"
"Quality Tolerance Limits","a28e6e0e-9253-461a-bc56-e4ff89402835","<div></div>","SECTION 11.1","NarrativeContent_116","NarrativeContent","11.1"
"Data Quality Assurance","9db51eed-cc0d-4b53-ac57-3ba6e13627ed","<div></div>","SECTION 11.2","NarrativeContent_117","NarrativeContent","11.2"
"Source Data","53c183e1-a5b3-4d76-b8d2-7ec495c5aefc","<div></div>","SECTION 11.3","NarrativeContent_118","NarrativeContent","11.3"
"APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","bdfd965d-18de-4f85-a8de-7f185c3d60d8","<div></div>","SECTION 12","NarrativeContent_119","NarrativeContent","12"
"Further Details and Clarifications on the AE Definition","1144bd1e-e252-4f91-9a9f-0ff2b9f2c663","<div></div>","SECTION 12.1","NarrativeContent_120","NarrativeContent","12.1"
"Further Details and Clarifications on the SAE Definition","559e79ce-3209-4c6f-96ca-4bf489a546ca","<div></div>","SECTION 12.2","NarrativeContent_121","NarrativeContent","12.2"
"Severity","e64f5c5e-919f-4643-b4e1-664192e14752","<div></div>","SECTION 12.3","NarrativeContent_122","NarrativeContent","12.3"
"Causality","ca440312-3a93-401a-ba19-9796d1ac6f4a","<div></div>","SECTION 12.4","NarrativeContent_123","NarrativeContent","12.4"
"APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","40d4537a-6de4-4e7b-bdae-8fc5b42b7983","<div></div>","SECTION 13","NarrativeContent_124","NarrativeContent","13"
"Contraception and Pregnancy Testing","a75c4afd-b999-414f-b884-1c1fc9d5fc02","<div></div>","SECTION 13.1","NarrativeContent_125","NarrativeContent","13.1"
"Definitions Related to Childbearing Potential","dd0830dc-902f-4f9a-8dea-ce6d0f52e08d","<div></div>","SECTION 13.1.1","NarrativeContent_126","NarrativeContent","13.1.1"
"Contraception","d105cfb4-89ce-4f5f-8f1b-7afea845ef15","<div></div>","SECTION 13.1.2","NarrativeContent_127","NarrativeContent","13.1.2"
"Pregnancy Testing","0bb668d9-a18e-41ce-b40b-0a59542214bd","<div></div>","SECTION 13.1.3","NarrativeContent_128","NarrativeContent","13.1.3"
"Clinical Laboratory Tests","ee24321e-6b73-4a3e-9ec4-1a78ec0ed2c6","<div></div>","SECTION 13.2","NarrativeContent_129","NarrativeContent","13.2"
"Country/Region-Specific Differences","21f64fe1-68aa-4192-b3a8-321f5cecb235","<div></div>","SECTION 13.3","NarrativeContent_130","NarrativeContent","13.3"
"Prior Protocol Amendments","13703bef-685b-4c30-b077-0a2ef69c7f7d","<div></div>","SECTION 13.4","NarrativeContent_131","NarrativeContent","13.4"
"APPENDIX: GLOSSARY OF TERMS","5c8d05da-824b-4c44-92fe-f947356f4c40","<div></div>","SECTION 14","NarrativeContent_132","NarrativeContent","14"
"APPENDIX: REFERENCES","740d2f62-c24f-45da-8ac7-d9f988bf1720","<div></div>","SECTION 15","NarrativeContent_133","NarrativeContent","15"
