"decode","id","codeSystem","instanceType","codeSystemVersion","code","uuid:ID"
"Visit","Code_88","http://www.cdisc.org","Code","2023-09-29","C25716","c549124d-a270-477a-a0c7-7b8c672da182"
"Clinic","Code_89","http://www.cdisc.org","Code","2023-09-29","C51282","1c2d665e-c7db-4055-9ccf-dbdc3159fefa"
"In Person","Code_90","http://www.cdisc.org","Code","2023-09-29","C175574","668a8ae7-cc8a-4523-b7e5-983be35f885d"
"Visit","Code_91","http://www.cdisc.org","Code","2023-09-29","C25716","2984bbd1-eaf3-4a4e-90d0-979eee31bfd2"
"Clinic","Code_92","http://www.cdisc.org","Code","2023-09-29","C51282","b06ca7b3-8880-452f-83a1-980fd0172b4b"
"In Person","Code_93","http://www.cdisc.org","Code","2023-09-29","C175574","b5fd2419-58b8-40f2-9fdd-19e5f57ed342"
"Visit","Code_94","http://www.cdisc.org","Code","2023-09-29","C25716","61a969a7-bf29-4cc6-9696-b3efafdb275f"
"Clinic","Code_95","http://www.cdisc.org","Code","2023-09-29","C51282","3df68b12-dd99-40f4-a73e-7d0546578d83"
"In Person","Code_96","http://www.cdisc.org","Code","2023-09-29","C175574","17b72dec-84a6-4f48-a51a-579edfe5ede3"
"Visit","Code_97","http://www.cdisc.org","Code","2023-09-29","C25716","b789150c-fe0d-473c-9fe4-46249ab61eb1"
"Clinic","Code_98","http://www.cdisc.org","Code","2023-09-29","C51282","0481db9c-b090-4244-85cd-830b80e3c2f6"
"In Person","Code_99","http://www.cdisc.org","Code","2023-09-29","C175574","09bcd9dd-8d38-43ff-bce3-c051b47f7550"
"Visit","Code_100","http://www.cdisc.org","Code","2023-09-29","C25716","4298d635-a94c-4814-95eb-52bfa13ed17d"
"Clinic","Code_101","http://www.cdisc.org","Code","2023-09-29","C51282","32133222-e3fe-40e3-92c6-f543a58e599e"
"In Person","Code_102","http://www.cdisc.org","Code","2023-09-29","C175574","d7c23fad-b2dc-41fc-97b4-69e74db60549"
"Telephone Call","Code_103","http://www.cdisc.org","Code","2023-09-29","C171537","4caadc72-7b60-4182-b3b5-67b4577a9a00"
"Visit","Code_104","http://www.cdisc.org","Code","2023-09-29","C25716","1a36cf0b-3798-4df9-aa74-f83ab3b17290"
"Clinic","Code_105","http://www.cdisc.org","Code","2023-09-29","C51282","fcf65d1b-b63e-4b7f-82b4-07ee9569d8e4"
"In Person","Code_106","http://www.cdisc.org","Code","2023-09-29","C175574","a28cf3f0-bf73-42cc-94b5-1e0779c2ef80"
"Telephone Call","Code_107","http://www.cdisc.org","Code","2023-09-29","C171537","59441377-5f67-43f2-aeba-fe051011775f"
"Visit","Code_108","http://www.cdisc.org","Code","2023-09-29","C25716","5c0697c9-a4b5-461b-9c12-0125e0ecc011"
"Clinic","Code_109","http://www.cdisc.org","Code","2023-09-29","C51282","aa312f6d-e8b8-49f9-903a-c31520299f68"
"In Person","Code_110","http://www.cdisc.org","Code","2023-09-29","C175574","2974c2c8-948d-4ffd-b051-bc7f6570f20f"
"Telephone Call","Code_111","http://www.cdisc.org","Code","2023-09-29","C171537","f1e19080-a53c-46f7-a1a9-92c09942f9fe"
"Visit","Code_112","http://www.cdisc.org","Code","2023-09-29","C25716","e731897b-59c4-474f-b215-1dd5de5f59b4"
"Clinic","Code_113","http://www.cdisc.org","Code","2023-09-29","C51282","68f39f7a-1648-4bf5-8c78-66ac76e96ebb"
"In Person","Code_114","http://www.cdisc.org","Code","2023-09-29","C175574","90d94d5f-9838-4e93-b208-7ee86b0f8eba"
"Telephone Call","Code_115","http://www.cdisc.org","Code","2023-09-29","C171537","763daaaa-b3d1-47b7-8063-5109b6df7416"
"Visit","Code_116","http://www.cdisc.org","Code","2023-09-29","C25716","3fe3035a-6566-4d0c-b7b2-e9513732d951"
"Clinic","Code_117","http://www.cdisc.org","Code","2023-09-29","C51282","834ead79-d40d-4903-8b6d-81fab2042169"
"In Person","Code_118","http://www.cdisc.org","Code","2023-09-29","C175574","931432ed-c6ed-4272-9795-317fc9c49874"
"Visit","Code_119","http://www.cdisc.org","Code","2023-09-29","C25716","c4bac526-c931-4a34-a852-710093482095"
"Clinic","Code_120","http://www.cdisc.org","Code","2023-09-29","C51282","8093b02f-a223-4620-a1cf-297aaa4dda8f"
"In Person","Code_121","http://www.cdisc.org","Code","2023-09-29","C175574","e068c5cf-7eb1-4325-8245-c8bf1a225da7"
"CT of head without contrast","Code_79","SNOMED","Code","January 31, 2018","383371000119108","7931ebe0-1804-435e-a452-a8f13955e9fb"
"Subject Supine","Code_80","SPONSOR","Code","12","123","6ba4f503-850a-4226-8ec9-40a0f899bf63"
"Subject Standing","Code_81","SPONSOR","Code","12","124","a129902c-791c-49e9-a7b0-5841459caebe"
"Vital Signs Result","Code_278","NCI Thesaurus","Code","","C173522","e4e868b6-48dc-44bb-bb26-78c41fbc1770"
"Kelvin","Code_279","http://www.cdisc.org","Code","2023-09-29","C42537","9f87bb77-222a-4b39-a8a7-30e0e5fd3f4a"
"Unit of Temperature","Code_280","NCI Thesaurus","Code","","C44276","643c2512-d057-4613-b814-02373f715df6"
"Vital Signs Location","Code_281","NCI Thesaurus","Code","","C83088","dbd602ae-ad97-4a6f-89f5-323286afa2de"
"Body Temperature","Code_277","NCI Thesaurus","Code","","C174446","af90e593-8fd9-44b3-8f85-9a35697d16a3"
"Vital Signs Result","Code_283","NCI Thesaurus","Code","","C173522","3b611448-9863-474a-be7a-fed9a47c713e"
"Kilogram","Code_284","http://www.cdisc.org","Code","2023-09-29","C28252","d8821886-e74d-4387-bfe6-71c6b3a2707d"
"Gram","Code_285","http://www.cdisc.org","Code","2023-09-29","C48155","1165a582-0543-44d4-a7fa-5212664e6a14"
"Pound","Code_286","http://www.cdisc.org","Code","2023-09-29","C48531","2092e3b2-71c9-4975-bdea-c6a801abc164"
"Unit of Weight","Code_287","NCI Thesaurus","Code","","C48208","12270beb-2c4a-4844-a22d-0e73f57f79a2"
"Body Weight","Code_282","NCI Thesaurus","Code","","C81328","a1f4b844-49b0-4b51-aef6-bb4ba5049593"
"Vital Signs Result","Code_289","NCI Thesaurus","Code","","C173522","aa1a7478-c112-42ba-a632-7179f16cb9eb"
"Centimeter","Code_290","http://www.cdisc.org","Code","2023-09-29","C49668","c156ad8c-1927-49fe-aedb-3e9ac702720a"
"Inch","Code_291","http://www.cdisc.org","Code","2023-09-29","C48500","1f6ca88c-ffcd-4bb9-8ef2-8ac3e3886ad5"
"Millimeter","Code_292","http://www.cdisc.org","Code","2023-09-29","C28251","326b451f-c815-405b-abbf-4debb701b06d"
"Meter","Code_293","http://www.cdisc.org","Code","2023-09-29","C41139","09d29118-6fe2-46fe-8c31-87ab458ff00e"
"Unit of Height","Code_294","NCI Thesaurus","Code","","C168688","121e3c25-20f7-46a7-a614-28eca30359fc"
"Body Height","Code_288","NCI Thesaurus","Code","","C164634","83c62d8b-7931-4dd8-8d13-6851a0d99c8a"
"Laboratory Test Result","Code_296","NCI Thesaurus","Code","","C36292","56252153-6a7f-430e-abf6-8051b776fecb"
"Laboratory Test Fasting Status","Code_297","NCI Thesaurus","Code","","C83309","fc7a1d7b-9b21-435e-a85d-b46d82b62345"
"Unit of Catalytic Activity Concentration","Code_298","NCI Thesaurus","Code","","C67365","520c36f4-b0a9-4805-9ca7-267080713e01"
"Biospecimen Type","Code_299","NCI Thesaurus","Code","","C70713","6f7ed1a8-0be7-4732-afd1-ff5d5775cca6"
"Alanine Aminotransferase Measurement","Code_295","NCI Thesaurus","Code","","C64433","2057252e-e1ed-4a97-9426-687d158b040f"
"Laboratory Test Result","Code_301","NCI Thesaurus","Code","","C36292","f6beb6a0-9423-4918-b556-ab97574b52b1"
"Laboratory Test Fasting Status","Code_302","NCI Thesaurus","Code","","C83309","3a252181-9b8d-43d2-914e-a1ed602087b7"
"Unit of Concentration","Code_303","NCI Thesaurus","Code","","C48207","c0b9aefa-1fee-4a70-abbc-28ff3def093e"
"Biospecimen Type","Code_304","NCI Thesaurus","Code","","C70713","d09936bd-2cf4-4db1-9cf2-629f5ceb365e"
"Albumin Measurement","Code_300","NCI Thesaurus","Code","","C64431","cda6db35-5d74-4cc7-a303-f3ac8f9d131d"
"Laboratory Test Result","Code_306","NCI Thesaurus","Code","","C36292","a2a4e0d8-9c53-468c-be9a-7054bcff26c8"
"Laboratory Test Fasting Status","Code_307","NCI Thesaurus","Code","","C83309","df2f8569-1338-45a8-a22a-1d7b51b92dfd"
"Unit of Catalytic Activity Concentration","Code_308","NCI Thesaurus","Code","","C67365","18b3b641-0a49-49be-ac7c-3d91c7bb0be5"
"Biospecimen Type","Code_309","NCI Thesaurus","Code","","C70713","722e7f1c-e38c-4e45-ac4f-28735ce81486"
"Alkaline Phosphatase Measurement","Code_305","NCI Thesaurus","Code","","C64432","da7b4adf-d42c-46ed-88b3-0a890e1be3eb"
"Laboratory Test Result","Code_311","NCI Thesaurus","Code","","C36292","dd432104-4f6e-43d7-a3ba-eb5db4e1d572"
"Laboratory Test Fasting Status","Code_312","NCI Thesaurus","Code","","C83309","36efcf7d-0ef7-47cc-b624-d06bd3fdb49c"
"Unit of Catalytic Activity Concentration","Code_313","NCI Thesaurus","Code","","C67365","9bd688a8-23c3-42cb-9ffa-f16604074698"
"Biospecimen Type","Code_314","NCI Thesaurus","Code","","C70713","eaeaabd1-cbf9-48fb-917e-35f5dc931a81"
"Aspartate Aminotransferase Measurement","Code_310","NCI Thesaurus","Code","","C64467","9bef05a3-f9ba-4a1e-8d1a-f4df8a8c69de"
"Laboratory Test Result","Code_316","NCI Thesaurus","Code","","C36292","dadf9893-8f19-4b31-92e3-b6e5711d7ab6"
"Laboratory Test Fasting Status","Code_317","NCI Thesaurus","Code","","C83309","f2142b7a-20fa-47c0-ae1b-bbaf1e239355"
"Unit of Concentration","Code_318","NCI Thesaurus","Code","","C48207","73ac53db-b4fb-4d01-876c-a2228d2747bc"
"Biospecimen Type","Code_319","NCI Thesaurus","Code","","C70713","17394963-0013-43db-b4be-4bb96f51ce5d"
"Creatinine Measurement","Code_315","NCI Thesaurus","Code","","C64547","4042790f-65b4-4b8c-ba6c-2bca21e079e1"
"Laboratory Test Result","Code_321","NCI Thesaurus","Code","","C36292","c6983110-3378-41ca-b76f-0886e3a6ffe1"
"Laboratory Test Fasting Status","Code_322","NCI Thesaurus","Code","","C83309","8d41b74f-b24f-40bc-8395-2ec73ec15bde"
"Molarity Unit","Code_323","NCI Thesaurus","Code","","C64567","576445c7-5fca-455e-8c67-47ef736f4b43"
"Biospecimen Type","Code_324","NCI Thesaurus","Code","","C70713","9c40f57a-4fd9-476e-aba0-991cae747c27"
"Potassium Measurement","Code_320","NCI Thesaurus","Code","","C64853","9fe9d014-6b7b-4838-857c-7106329f54f6"
"Laboratory Test Result","Code_326","NCI Thesaurus","Code","","C36292","00f892bc-a27c-4d4d-ac6a-50d45487e5d0"
"Laboratory Test Fasting Status","Code_327","NCI Thesaurus","Code","","C83309","17d3e78a-8fab-4cde-aad4-59612f56a7fb"
"Molarity Unit","Code_328","NCI Thesaurus","Code","","C64567","0ff66408-e6bf-43e4-bd97-8a15d6b3bdc5"
"Biospecimen Type","Code_329","NCI Thesaurus","Code","","C70713","cfd7cdb1-d8fd-4f7c-8542-e4c7af054d0d"
"Sodium Measurement","Code_325","NCI Thesaurus","Code","","C64809","c8081884-1c5c-4e55-ae6c-097eda2f1ce5"
"Adverse Event Verbatim Description","Code_145","NCI Thesaurus","Code","","C78541","1fb7e2b9-b3a6-4be7-a09a-59d37a635192"
"Adverse Event Dictionary Derived Term","Code_146","NCI Thesaurus","Code","","C83344","f994d4c9-dde4-4e9e-bf50-1abf529bd3e6"
"Adverse Event Category","Code_147","NCI Thesaurus","Code","","C83198","c4c1603a-cd93-4a70-a76c-c761ceae0588"
"Adverse Event Subcategory","Code_148","NCI Thesaurus","Code","","C83212","fe5bd2d1-3862-40f0-9b70-5e445bd78d00"
"Adverse Event Pre-specified","Code_149","NCI Thesaurus","Code","","C87840","dc3b31cc-3177-4e7e-a4e5-4022664ad598"
"Severity of Adverse Event","Code_150","NCI Thesaurus","Code","","C53253","66e2a5b5-9769-45a9-86f7-76b8db993a85"
"Adverse Event Toxicity Grade","Code_151","NCI Thesaurus","Code","","C78605","e1b75507-9e0a-4547-ae40-8ee663c50256"
"Seriousness of Adverse Event","Code_152","NCI Thesaurus","Code","","C53252","32867b44-632d-43ca-b753-05cd56dae94b"
"Adverse Event Action Taken with Study Treatment","Code_153","NCI Thesaurus","Code","","C83013","ea26d51e-81cf-4318-851a-dc0d3cf664e4"
"Adverse Event Attribution to Product or Procedure","Code_154","NCI Thesaurus","Code","","C41358","5c550175-6900-43fb-adaf-6ad8418d7179"
"Intermittent","Code_155","http://www.cdisc.org","Code","2023-09-29","C71325","fc8f3255-f697-4582-a098-8ffb2cf23ce2"
"Adverse Event Pattern","Code_156","NCI Thesaurus","Code","","C83208","5e30d585-74f9-4185-b887-4d5b1c4b60d5"
"Adverse Event Outcome","Code_157","NCI Thesaurus","Code","","C49489","0d5feae7-c9b7-4523-a0a1-df48d1906c67"
"Adverse Event Start Date Time","Code_158","NCI Thesaurus","Code","","C83215","375b4aa7-9353-4201-bca3-f5033dd0aa3d"
"Adverse Event End Date Time","Code_159","NCI Thesaurus","Code","","C83201","08fda01e-ca8c-4ce1-912b-fa30f57adf53"
"Adverse Event","Code_144","NCI Thesaurus","Code","","C41331","4b1f405d-4c79-47d1-90ac-b22ac9176fe6"
"Vital Signs Result","Code_161","NCI Thesaurus","Code","","C173522","5e12faae-88ea-45a7-984f-12bca9c20527"
"Pascal","Code_162","http://www.cdisc.org","Code","2023-09-29","C42547","a43e389e-a7b6-4ecf-9c4e-9207a05573e9"
"Unit of Pressure","Code_163","NCI Thesaurus","Code","","C49669","b303d4c0-9330-4c02-8d61-33a6c7ab62c9"
"Vital Signs Location","Code_164","NCI Thesaurus","Code","","C83088","126b1e28-4e06-4dab-ad93-6bca2fdf2aa9"
"Vital Signs Laterality","Code_165","NCI Thesaurus","Code","","C123975","d70e73c4-d1da-4a2c-ba17-7b80680a0910"
"Test Method","Code_166","NCI Thesaurus","Code","","C82535","d2faddb1-230d-4e1e-918c-3b81192211d5"
"Vital Signs Position","Code_167","NCI Thesaurus","Code","","C83114","5a024416-0436-42a8-aead-c0ca852ecf49"
"Systolic Blood Pressure","Code_160","NCI Thesaurus","Code","","C25298","75a6e3b3-faa5-4394-b56d-83e69a0224b3"
"Vital Signs Result","Code_169","NCI Thesaurus","Code","","C173522","b01c5fdf-1225-40d2-aead-4642a6ca1769"
"Pascal","Code_170","http://www.cdisc.org","Code","2023-09-29","C42547","e43e687e-ab99-4df1-b27c-00d2689c401d"
"Unit of Pressure","Code_171","NCI Thesaurus","Code","","C49669","4e42ffe0-7c4d-4d50-9f5f-9d13eac6c7af"
"Vital Signs Location","Code_172","NCI Thesaurus","Code","","C83088","ff50b3d1-7599-4ff9-b50b-d518c312b411"
"Vital Signs Laterality","Code_173","NCI Thesaurus","Code","","C123975","048884b2-28a9-4e42-b6b4-601491acc226"
"Test Method","Code_174","NCI Thesaurus","Code","","C82535","733e6eac-b525-4b01-ad8e-e6e31e499623"
"Vital Signs Position","Code_175","NCI Thesaurus","Code","","C83114","e6dba6ca-4579-4a5f-a6dd-5c62cd5b0a7c"
"Diastolic Blood Pressure","Code_168","NCI Thesaurus","Code","","C25299","1591a0e6-9034-412d-b51a-ec8f1c7ab95a"
"Vital Signs Result","Code_177","NCI Thesaurus","Code","","C173522","b895dde4-42d6-42ab-a607-451ba8598549"
"Kelvin","Code_178","http://www.cdisc.org","Code","2023-09-29","C42537","3e3fd180-be34-43f3-88d7-8742d38c3166"
"Unit of Temperature","Code_179","NCI Thesaurus","Code","","C44276","29e07376-a31c-4030-aa30-f998a1480663"
"Vital Signs Location","Code_180","NCI Thesaurus","Code","","C83088","8d7f7937-b80b-4e67-86db-90a74cb9ac47"
"Body Temperature","Code_176","NCI Thesaurus","Code","","C174446","15c1db6d-26b7-4924-90df-359befe4d679"
"Vital Signs Result","Code_182","NCI Thesaurus","Code","","C173522","eec903f3-1c6d-4d61-ae05-8b577af9de0a"
"Kilogram","Code_183","http://www.cdisc.org","Code","2023-09-29","C28252","4475b824-2a62-4506-8f1a-adbd211a395e"
"Gram","Code_184","http://www.cdisc.org","Code","2023-09-29","C48155","5fcc0ad4-127e-4f8f-a116-b6d1139bc15b"
"Pound","Code_185","http://www.cdisc.org","Code","2023-09-29","C48531","c898119e-66fa-47e7-ad36-76d3861c9a2f"
"Unit of Weight","Code_186","NCI Thesaurus","Code","","C48208","c8e40544-d9ab-4f05-849c-9216cd939888"
"Body Weight","Code_181","NCI Thesaurus","Code","","C81328","6ec403c2-508c-458f-b8ac-b0c19679747a"
"Vital Signs Result","Code_188","NCI Thesaurus","Code","","C173522","a4b544e0-3e94-49f0-8674-4d584c6848ce"
"Centimeter","Code_189","http://www.cdisc.org","Code","2023-09-29","C49668","7162b357-4f4f-4b99-8e76-7db79d6148d7"
"Inch","Code_190","http://www.cdisc.org","Code","2023-09-29","C48500","bfd685f6-0c00-48f5-99ef-179d8ae65692"
"Millimeter","Code_191","http://www.cdisc.org","Code","2023-09-29","C28251","e19ebc5c-dddf-4c42-994d-6bc3c34f3899"
"Meter","Code_192","http://www.cdisc.org","Code","2023-09-29","C41139","807bf259-c9c6-473b-bd27-1ea45332c800"
"Unit of Height","Code_193","NCI Thesaurus","Code","","C168688","ed8e79d4-cb11-4b4e-9ce4-d5d2ee40b7b5"
"Body Height","Code_187","NCI Thesaurus","Code","","C164634","6ee4f705-4e5f-4dfb-90eb-1bc22ab03e1f"
"Laboratory Test Result","Code_195","NCI Thesaurus","Code","","C36292","c842522e-5b4a-4508-a86b-1acc8a209745"
"Laboratory Test Fasting Status","Code_196","NCI Thesaurus","Code","","C83309","3a87fbb1-8251-414e-a4cc-6f0fc1e2534d"
"Unit of Catalytic Activity Concentration","Code_197","NCI Thesaurus","Code","","C67365","ef104d3e-b634-4dfe-8892-900ee8ac5ea2"
"Biospecimen Type","Code_198","NCI Thesaurus","Code","","C70713","7f2a2fe6-cf3f-4ec3-a9cb-b0eb03d8a949"
"Alanine Aminotransferase Measurement","Code_194","NCI Thesaurus","Code","","C64433","d84284ae-d928-4d6a-9721-a218066f612a"
"Laboratory Test Result","Code_200","NCI Thesaurus","Code","","C36292","bcf4dd5f-1077-45fe-b53a-dbfe4f0731a2"
"Laboratory Test Fasting Status","Code_201","NCI Thesaurus","Code","","C83309","2e38c57e-2ddc-4f76-bb60-9e036939aebf"
"Unit of Concentration","Code_202","NCI Thesaurus","Code","","C48207","9eac4962-0e20-40bf-be08-827b0d0878e5"
"Biospecimen Type","Code_203","NCI Thesaurus","Code","","C70713","32c0391e-1a0e-45e3-a937-aa43afbf1c9b"
"Albumin Measurement","Code_199","NCI Thesaurus","Code","","C64431","4c48e5b8-2ffa-48e2-b3d5-28e072373ce7"
"Laboratory Test Result","Code_205","NCI Thesaurus","Code","","C36292","9fe50ea8-fb7d-4746-a252-3dcdabe19924"
"Laboratory Test Fasting Status","Code_206","NCI Thesaurus","Code","","C83309","0e8342e7-8897-41f8-bba0-611894b5e2c6"
"Unit of Catalytic Activity Concentration","Code_207","NCI Thesaurus","Code","","C67365","1e53e49b-751a-45e3-a9e8-ebd9440efb75"
"Biospecimen Type","Code_208","NCI Thesaurus","Code","","C70713","88361c0b-2ab1-4e7c-b371-99fe03418c60"
"Alkaline Phosphatase Measurement","Code_204","NCI Thesaurus","Code","","C64432","84a1b752-f668-4933-a251-80c9994d756e"
"Laboratory Test Result","Code_210","NCI Thesaurus","Code","","C36292","3df8a6a4-d429-45b1-a8e6-45ee1cc854e8"
"Laboratory Test Fasting Status","Code_211","NCI Thesaurus","Code","","C83309","6b9a43d7-7c3c-45a4-9531-16c081be86c2"
"Unit of Catalytic Activity Concentration","Code_212","NCI Thesaurus","Code","","C67365","e0c7a93f-3af8-44c8-9917-481041eb5c26"
"Biospecimen Type","Code_213","NCI Thesaurus","Code","","C70713","5e1d88ed-9ce3-4853-bbc3-ad793fd1efc0"
"Aspartate Aminotransferase Measurement","Code_209","NCI Thesaurus","Code","","C64467","25aa1ed2-f3fc-4003-9a03-ffcd3c5f73c1"
"Laboratory Test Result","Code_215","NCI Thesaurus","Code","","C36292","2845cf88-a404-4cc5-b501-30d421cfa2e7"
"Laboratory Test Fasting Status","Code_216","NCI Thesaurus","Code","","C83309","0fd0ed14-3de4-43a3-b0a7-40009b06045b"
"Unit of Concentration","Code_217","NCI Thesaurus","Code","","C48207","34936da2-6234-4443-a262-24f749b0b374"
"Biospecimen Type","Code_218","NCI Thesaurus","Code","","C70713","ae88a39f-2ec2-46cc-b70e-982fb327d560"
"Creatinine Measurement","Code_214","NCI Thesaurus","Code","","C64547","11f0a6d2-55ee-4a51-b5a3-38bbe56b4c4d"
"Laboratory Test Result","Code_220","NCI Thesaurus","Code","","C36292","6fab678e-6302-4304-be50-b97e402d892b"
"Laboratory Test Fasting Status","Code_221","NCI Thesaurus","Code","","C83309","006a6f14-9da6-4a96-a59b-a10b5e758171"
"Molarity Unit","Code_222","NCI Thesaurus","Code","","C64567","c24cd310-fbe2-4496-ad03-41074ce1c5d1"
"Biospecimen Type","Code_223","NCI Thesaurus","Code","","C70713","5852c2ff-f428-462e-9143-0ba7812ba673"
"Potassium Measurement","Code_219","NCI Thesaurus","Code","","C64853","fd2dda85-3525-40cd-bcc8-6b6b74bbdc1c"
"Laboratory Test Result","Code_225","NCI Thesaurus","Code","","C36292","88f1c3da-a8df-40b8-88ae-3b51851de8a1"
"Laboratory Test Fasting Status","Code_226","NCI Thesaurus","Code","","C83309","597c07fe-06ba-4970-9570-15841cebe8d5"
"Molarity Unit","Code_227","NCI Thesaurus","Code","","C64567","b82ff37d-0628-4e8c-9a9c-e46ec9961080"
"Biospecimen Type","Code_228","NCI Thesaurus","Code","","C70713","5dd4ab99-f4ff-4247-96c9-0b5638928353"
"Sodium Measurement","Code_224","NCI Thesaurus","Code","","C64809","ce482a1d-9220-4d13-a078-d2a4854bb3c2"
"Vital Signs Result","Code_230","NCI Thesaurus","Code","","C173522","614348bf-7cbf-4ac5-9e89-f21fffb9fd63"
"Pascal","Code_231","http://www.cdisc.org","Code","2023-09-29","C42547","a5d7183f-7774-4cf1-afca-0bdc47a3ba61"
"Unit of Pressure","Code_232","NCI Thesaurus","Code","","C49669","636dc78f-05d5-4369-8052-9509cdb5f31a"
"Vital Signs Location","Code_233","NCI Thesaurus","Code","","C83088","57e4a3b7-6ce8-4511-9ac8-c4840a5d6cfc"
"Vital Signs Laterality","Code_234","NCI Thesaurus","Code","","C123975","7676e285-cce6-489b-a59c-673d477ef32a"
"Test Method","Code_235","NCI Thesaurus","Code","","C82535","e0c492a1-44f8-4b6f-96e6-5d0e8cf959d9"
"Vital Signs Position","Code_236","NCI Thesaurus","Code","","C83114","2604eead-5b94-42bd-bff8-517b516dd4da"
"Systolic Blood Pressure","Code_229","NCI Thesaurus","Code","","C25298","39c6e06b-ee83-438e-a5ce-f8c8fc82919a"
"Vital Signs Result","Code_238","NCI Thesaurus","Code","","C173522","21233ab6-da84-48ff-a2b9-81b05c37a836"
"Pascal","Code_239","http://www.cdisc.org","Code","2023-09-29","C42547","aba9e3c6-8909-42cc-9268-df7715962867"
"Unit of Pressure","Code_240","NCI Thesaurus","Code","","C49669","3a4f6b31-c09a-433c-b807-2b694471f7a8"
"Vital Signs Location","Code_241","NCI Thesaurus","Code","","C83088","f66a7b05-3e19-4f45-8403-02458d1d14b6"
"Vital Signs Laterality","Code_242","NCI Thesaurus","Code","","C123975","6a9d2c8f-d363-453b-86ca-8b7cf46cc52a"
"Test Method","Code_243","NCI Thesaurus","Code","","C82535","24a2433f-6e50-4b08-9e1e-03d2a3776569"
"Vital Signs Position","Code_244","NCI Thesaurus","Code","","C83114","6472815d-a5fc-4da2-ade4-e19140b5d206"
"Diastolic Blood Pressure","Code_237","NCI Thesaurus","Code","","C25299","23d53573-b4e4-454b-9de9-0a3f3c3ba56c"
