"id","codeSystemVersion","decode","code","codeSystem","uuid:ID","instanceType"
"Code_468","2023-12-15","Unit per Liter","C67456","http://www.cdisc.org","4d6a5161-362d-4f55-ad1f-3e24936b84fd","Code"
"Code_469","2023-12-15","Microkatal per Liter","C67397","http://www.cdisc.org","a74f5774-9ba1-4c91-86dd-4c7acee9aec6","Code"
"Code_470","2023-12-15","International Unit per Liter","C67376","http://www.cdisc.org","487d6fec-4732-4691-a26c-abb3fc319d21","Code"
"Code_471","2023-12-15","Nanokatal per Liter","C70510","http://www.cdisc.org","5135c7c7-6904-47be-a3f5-e7e9a53b4c44","Code"
"Code_472","2023-12-15","Unit of Catalytic Activity Concentration","C67365","http://www.cdisc.org","05f40732-e49e-434e-aad0-ef94f88890e8","Code"
"Code_473","2023-12-15","Biospecimen Type","C70713","http://www.cdisc.org","421b99db-4e8b-4a4d-84de-95df1334d8cf","Code"
"Code_474","2023-12-15","No","C49487","http://www.cdisc.org","e62e4147-2759-4bc6-bd6a-440b77a09bfb","Code"
"Code_475","2023-12-15","Yes","C49488","http://www.cdisc.org","2642337c-640b-4479-9dbf-a4b7f6f61dcd","Code"
"Code_476","2023-12-15","Laboratory Test Fasting Status","C83309","http://www.cdisc.org","1e9c6977-a7cb-4c88-a171-6629e0d94bcd","Code"
"Code_477","2023-12-15","ALT","C64433","http://www.cdisc.org","af95fc18-3347-4de0-ba1c-14ff1814b6ed","Code"
"Code_478","2023-12-15","ALB","C64431","http://www.cdisc.org","ccb7a784-c3dc-4acb-b801-c0395044f36a","Code"
"Code_479","2023-12-15","Laboratory Test Result","C36292","http://www.cdisc.org","c3a5e440-0cda-469a-b38e-c5b2afb3eb63","Code"
"Code_480","2023-12-15","Biospecimen Type","C70713","http://www.cdisc.org","4ad9bec7-cb7a-46eb-824f-d813fd9a3d6a","Code"
"Code_481","2023-12-15","No","C49487","http://www.cdisc.org","61f2434b-fec7-410e-8e45-4f328e5e937d","Code"
"Code_482","2023-12-15","Yes","C49488","http://www.cdisc.org","1705faa6-bef1-4940-8907-29ea93d0c65a","Code"
"Code_483","2023-12-15","Laboratory Test Fasting Status","C83309","http://www.cdisc.org","e7f4bbdd-adea-4c87-a491-0fb0625dc493","Code"
"Code_484","2023-12-15","ALB","C64431","http://www.cdisc.org","5ea9204f-f3bc-4ce7-8dfa-2c1f4543f213","Code"
"Code_485","2023-12-15","ALP","C64432","http://www.cdisc.org","d5c10351-ad73-43ad-a6e2-fe56a45b1446","Code"
"Code_486","2023-12-15","Laboratory Test Result","C36292","http://www.cdisc.org","608a505c-c223-4dd4-ab4d-15bd2b9302b6","Code"
"Code_487","2023-12-15","Unit per Liter","C67456","http://www.cdisc.org","9075b957-24b1-4303-87a7-a3d0775807cb","Code"
"Code_488","2023-12-15","Microkatal per Liter","C67397","http://www.cdisc.org","45af12bd-8030-4de2-b20b-43ef765e80a4","Code"
"Code_489","2023-12-15","International Unit per Liter","C67376","http://www.cdisc.org","3cc1d988-1ee8-46b3-bed9-a4f98b582d71","Code"
"Code_490","2023-12-15","Unit of Catalytic Activity Concentration","C67365","http://www.cdisc.org","4dee95aa-43fa-4780-9cd9-984a738b3b39","Code"
"Code_491","2023-12-15","Biospecimen Type","C70713","http://www.cdisc.org","0a2ab2dc-f97c-4dd1-a12a-27d33e5a9cc6","Code"
"Code_492","2023-12-15","No","C49487","http://www.cdisc.org","0f2a2a0d-ffb6-43e0-afba-feed1e941e4e","Code"
"Code_493","2023-12-15","Yes","C49488","http://www.cdisc.org","65f97ceb-625b-4a16-be88-a38628c3d6b8","Code"
"Code_494","2023-12-15","Laboratory Test Fasting Status","C83309","http://www.cdisc.org","c28fda11-4aa6-4f65-9571-8f56703fb369","Code"
"Code_495","2023-12-15","ALP","C64432","http://www.cdisc.org","1be7cece-3510-4530-b3f6-d7a58db45875","Code"
"Code_496","2023-12-15","AST","C64467","http://www.cdisc.org","adf2f92b-fdc9-4674-9264-bc78082d56a6","Code"
"Code_497","2023-12-15","Laboratory Test Result","C36292","http://www.cdisc.org","950e2479-ebc2-4514-bcbf-6ce11864970b","Code"
"Code_498","2023-12-15","Unit per Liter","C67456","http://www.cdisc.org","3ed3f689-6b7d-47d2-919b-35901d4e0bc3","Code"
"Code_499","2023-12-15","Microkatal per Liter","C67397","http://www.cdisc.org","1ac76c51-74be-4a44-bca4-38c4dd40f22f","Code"
"Code_500","2023-12-15","International Unit per Liter","C67376","http://www.cdisc.org","895af3f9-5d54-4e8f-ab08-1dbb656231be","Code"
"Code_501","2023-12-15","Unit of Catalytic Activity Concentration","C67365","http://www.cdisc.org","19aba039-13e1-4c1e-a103-2178ba4d529b","Code"
"Code_502","2023-12-15","Biospecimen Type","C70713","http://www.cdisc.org","e7d25441-8709-468a-be1d-e7fcdf56ff53","Code"
"Code_503","2023-12-15","No","C49487","http://www.cdisc.org","3467473a-2a04-4265-b6ae-794e6289e4dd","Code"
"Code_504","2023-12-15","Yes","C49488","http://www.cdisc.org","bf29870c-5816-48f4-8a32-2a6b934c97e0","Code"
"Code_505","2023-12-15","Laboratory Test Fasting Status","C83309","http://www.cdisc.org","691aca4e-6317-46e0-898b-abb3238750f7","Code"
"Code_506","2023-12-15","AST","C64467","http://www.cdisc.org","60d96758-1f7a-4b0a-be25-a85730494cb6","Code"
"Code_507","2023-12-15","CREAT","C64547","http://www.cdisc.org","a44ebf05-9d6e-4bee-83c5-5aec061a0967","Code"
"Code_508","2023-12-15","Laboratory Test Result","C36292","http://www.cdisc.org","ab932215-8fb7-42d9-800b-10c9ccc02ad4","Code"
"Code_509","2023-12-15","Milligram per Deciliter","C67015","http://www.cdisc.org","54363b4b-9bcc-418e-a9cd-588bf5027d6a","Code"
"Code_510","2023-12-15","Microgram per Milliliter","C64572","http://www.cdisc.org","27f9dfb6-0e7d-4047-9e72-db948ee9b14a","Code"
"Code_511","2023-12-15","Millimole per Liter","C64387","http://www.cdisc.org","1ff59067-efbf-40cc-99e8-dcc23d681131","Code"
"Code_512","2023-12-15","Micromole per Liter","C48508","http://www.cdisc.org","03045a66-be4c-42bf-b322-2fe8de1f17fb","Code"
"Code_513","2023-12-15","Unit of Concentration","C48207","http://www.cdisc.org","fe6ca3c4-2cad-4049-aea8-efae2531ef8f","Code"
"Code_514","2023-12-15","Biospecimen Type","C70713","http://www.cdisc.org","cf9646e6-de4e-4b0e-a1d4-d182b7adf6f3","Code"
"Code_515","2023-12-15","No","C49487","http://www.cdisc.org","daf52a02-dbb0-48c1-90ee-cd14dd3e1acd","Code"
"Code_516","2023-12-15","Yes","C49488","http://www.cdisc.org","617b80b0-aba0-4739-8865-adebe1e27313","Code"
"Code_517","2023-12-15","Laboratory Test Fasting Status","C83309","http://www.cdisc.org","364ab852-dd51-41ba-850c-51965e7f4fc4","Code"
"Code_518","2023-12-15","CREAT","C64547","http://www.cdisc.org","80a29839-a6b3-46cc-a217-33ab515ab402","Code"
"Code_519","2023-12-15","K","C64853","http://www.cdisc.org","2e3efa4e-50d5-4b04-ab72-4de1d07e5151","Code"
"Code_520","2023-12-15","Laboratory Test Result","C36292","http://www.cdisc.org","6aa5bbf5-3a20-4dee-a7b6-2ecee96a6e8a","Code"
"Code_521","2023-12-15","Milliequivalent per Liter","C67474","http://www.cdisc.org","a3ffa3ef-fec5-4729-9f8d-7856dd0f6692","Code"
"Code_522","2023-12-15","Milliequivalent per Deciliter","C67473","http://www.cdisc.org","098daca4-2cf2-46b3-81ab-1161b4c2cf59","Code"
"Code_523","2023-12-15","Millimole per Liter","C64387","http://www.cdisc.org","69979de4-0268-4022-994a-079a477e633f","Code"
"Code_524","2023-12-15","Molarity Unit","C64567","http://www.cdisc.org","5852eac5-0df6-4734-9f6f-29ba08705a56","Code"
"Code_525","2023-12-15","Biospecimen Type","C70713","http://www.cdisc.org","316b5b0f-4925-413f-ab92-2b1fccd10dd5","Code"
"Code_526","2023-12-15","No","C49487","http://www.cdisc.org","69ea2ef7-62c3-4958-b429-3c857b642fe3","Code"
"Code_527","2023-12-15","Yes","C49488","http://www.cdisc.org","51c00b5a-960c-4958-b940-7f3c66d679ab","Code"
"Code_528","2023-12-15","Laboratory Test Fasting Status","C83309","http://www.cdisc.org","b9dfc5d8-9eaf-4289-934c-012ec1451569","Code"
"Code_529","2023-12-15","K","C64853","http://www.cdisc.org","197b64a7-1d38-4c12-b873-692d5ce69e4f","Code"
"Code_530","2023-12-15","SODIUM","C64809","http://www.cdisc.org","bbc89361-4958-4260-a3ae-c77ee27b6ffa","Code"
"Code_531","2023-12-15","Laboratory Test Result","C36292","http://www.cdisc.org","94cb2572-910e-48e4-bcae-141ca519c7a0","Code"
"Code_532","2023-12-15","Milliequivalent per Liter","C67474","http://www.cdisc.org","e69e3ba1-391d-46e9-9b40-cf7e3d56b690","Code"
"Code_533","2023-12-15","Milliequivalent per Deciliter","C67473","http://www.cdisc.org","fa699920-9bf6-4880-bcee-9f657ce8dc86","Code"
"Code_534","2023-12-15","Millimole per Liter","C64387","http://www.cdisc.org","df3adc80-080b-4599-b4c2-cd07306e7d7f","Code"
"Code_535","2023-12-15","Molarity Unit","C64567","http://www.cdisc.org","44b48136-3f56-4fd2-9ea0-2e11547bf4f8","Code"
"Code_536","2023-12-15","Biospecimen Type","C70713","http://www.cdisc.org","02ecdf3a-d1cd-435d-ae63-922462538319","Code"
"Code_537","2023-12-15","No","C49487","http://www.cdisc.org","7841db56-d03d-47f5-9a7e-5c1a7771b9c0","Code"
"Code_538","2023-12-15","Yes","C49488","http://www.cdisc.org","9e8d89a7-3726-45ac-b96d-e20d2c0c2c75","Code"
"Code_539","2023-12-15","Laboratory Test Fasting Status","C83309","http://www.cdisc.org","ac839718-0949-41c6-860c-a669f58dbde2","Code"
"Code_540","2023-12-15","SODIUM","C64809","http://www.cdisc.org","2befc63b-fc1a-4f34-b4d4-ba20529c9b59","Code"
"Code_541","2023-12-15","HBA1C","C64849","http://www.cdisc.org","23aa28ab-4550-4810-8793-2c101180ac26","Code"
"Code_542","2023-12-15","Laboratory Test Result","C36292","http://www.cdisc.org","993c522d-f777-4137-b466-9bbf31100a38","Code"
"Code_543","2023-12-15","Gram per Deciliter","C64783","http://www.cdisc.org","68d7b8d3-8eef-408f-965c-fbad23b1954a","Code"
"Code_544","2023-12-15","LBORRESU","No Concept Code","http://www.cdisc.org","44d9fd24-cc98-4030-8339-44230b2b50ff","Code"
"Code_545","2023-12-15","Biospecimen Type","C70713","http://www.cdisc.org","b9b29766-9bfc-4387-b133-aa5b5491571f","Code"
"Code_546","2023-12-15","No","C49487","http://www.cdisc.org","3fdbced9-929c-4717-a36a-64bf0454f6b8","Code"
"Code_547","2023-12-15","Yes","C49488","http://www.cdisc.org","aa92c6ff-9cf6-48c8-96f3-bf4641fa05de","Code"
"Code_548","2023-12-15","Laboratory Test Fasting Status","C83309","http://www.cdisc.org","be3ca489-ed74-417e-ab18-339b2fce1f31","Code"
"Code_549","2023-12-15","HBA1C","C64849","http://www.cdisc.org","578ed1f4-6bc6-4a94-a3f0-6cb9c5c6a7e8","Code"
"Code_145","2023-12-15","Adverse Event Verbatim Description","C78541","http://www.cdisc.org","af606b48-e546-4a70-ae3e-dc8e3ed35d36","Code"
"Code_146","2023-12-15","Adverse Event Dictionary Derived Term","C83344","http://www.cdisc.org","6f858668-802b-4bd1-ae85-59dbba994a7a","Code"
"Code_147","2023-12-15","No","C49487","http://www.cdisc.org","c2dacd1f-a190-468e-ad57-d6fdb17f2a4c","Code"
"Code_148","2023-12-15","Yes","C49488","http://www.cdisc.org","cbe4ae78-cd46-4b3e-9daa-af54e1cb6b46","Code"
"Code_149","2023-12-15","Adverse Event Pre-specified","C87840","http://www.cdisc.org","77255712-f3da-4ac9-b1ce-efa701882e04","Code"
"Code_150","2023-12-15","Adverse Event Location","C83205","http://www.cdisc.org","3ed041d0-50a2-4938-b0f7-4efd9d8f533a","Code"
"Code_151","2023-12-15","Severity of Adverse Event","C53253","http://www.cdisc.org","8a05ff7f-a972-4480-9802-563ebbe42bdc","Code"
"Code_152","2023-12-15","No","C49487","http://www.cdisc.org","93b3c9c3-7a4b-483b-b39b-5fe72ce4788c","Code"
"Code_153","2023-12-15","Yes","C49488","http://www.cdisc.org","fc783cd9-db29-468e-9450-c5340421b086","Code"
"Code_154","2023-12-15","Seriousness of Adverse Event","C53252","http://www.cdisc.org","115e19be-3ef1-468d-932a-e91a1cf7d601","Code"
"Code_155","2023-12-15","Adverse Event Action Taken with Study Treatment","C83013","http://www.cdisc.org","76018f7a-be63-4b31-a606-b8a1f4a493f4","Code"
"Code_156","2023-12-15","Other Actions taken in Response to Adverse Event","C83109","http://www.cdisc.org","63ebd284-752f-401a-bca4-99182d10556d","Code"
"Code_157","2023-12-15","Adverse Event Attribution to Product or Procedure","C41358","http://www.cdisc.org","db31da83-5044-4224-84aa-7fd349222337","Code"
"Code_158","2023-12-15","Adverse Event Relationship to Non Study Treatment","C83210","http://www.cdisc.org","966cb0c9-ea95-491c-b6c0-34fb0dfef092","Code"
"Code_159","2023-12-15","Adverse Event Pattern","C83208","http://www.cdisc.org","537e5ae9-4801-4341-a266-2610646932be","Code"
"Code_160","2023-12-15","Adverse Event Outcome","C49489","http://www.cdisc.org","83fea704-f95a-4daf-8d61-f017bf432839","Code"
"Code_161","2023-12-15","No","C49487","http://www.cdisc.org","c6b08611-67a8-4c88-90f0-b88fff107bf7","Code"
"Code_162","2023-12-15","Yes","C49488","http://www.cdisc.org","fae5cfcb-3188-44be-b3a3-75610a0e8580","Code"
"Code_163","2023-12-15","Adverse Event Involves Cancer","C83211","http://www.cdisc.org","9662e95e-ce8f-4fe4-9095-cf71af14c5ed","Code"
"Code_164","2023-12-15","No","C49487","http://www.cdisc.org","c595c10b-64b1-4299-b7a3-8a20c5ccfa9f","Code"
"Code_165","2023-12-15","Yes","C49488","http://www.cdisc.org","6715ca56-2253-4ef1-bb1d-6d17811cd009","Code"
"Code_166","2023-12-15","Adverse Event Seriousness Due to Congenital Anomaly","C83117","http://www.cdisc.org","066e1195-1f8a-440b-b727-3f973e03820c","Code"
