"id","label","reference","synonyms","name","uuid:ID","instanceType"
"BiomedicalConcept_30","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","6d835357-5b0b-4871-83a6-dd3b89958717","BiomedicalConcept"
"BiomedicalConcept_31","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","6d28006e-52ad-4983-a7e9-a766a79c3f20","BiomedicalConcept"
"BiomedicalConcept_32","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","eee093a9-68c1-4c64-8753-3a384d9823b1","BiomedicalConcept"
"BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","16a10238-83b7-448d-9801-70751d85af92","BiomedicalConcept"
"BiomedicalConcept_1","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","e1dfec45-ba42-4836-96cf-3e94df24d56f","BiomedicalConcept"
"BiomedicalConcept_2","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","16d95526-d078-4dd7-928f-b277d40bce1f","BiomedicalConcept"
"BiomedicalConcept_3","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","c3afcee8-4447-4d36-abf4-1ec9e871092b","BiomedicalConcept"
"BiomedicalConcept_4","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","Temperature","939015d6-58e8-4e4f-94b5-ac11abdd3cca","BiomedicalConcept"
"BiomedicalConcept_5","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","Weight","b0b8e8e2-4d45-4cbe-a6c5-bb82645643fa","BiomedicalConcept"
"BiomedicalConcept_6","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","Height","7479b1a1-710d-4ceb-9ddf-1bc96edb82ee","BiomedicalConcept"
"BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","4824d553-8274-431f-8703-55d9645a82c8","BiomedicalConcept"
"BiomedicalConcept_8","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","09fda5c4-43c9-4eda-8077-df7f2da9531e","BiomedicalConcept"
"BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","b9b300bf-0322-4b33-8fb1-6ea2171b9cfa","BiomedicalConcept"
"BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","d6bbcab0-aa08-4e08-b4e7-546bd94d7001","BiomedicalConcept"
"BiomedicalConcept_11","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","e0d19463-5fdc-4b9b-8708-5fc890f004bf","BiomedicalConcept"
"BiomedicalConcept_12","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","d5471ff2-18c6-44f0-94ce-f24915e1ccc1","BiomedicalConcept"
"BiomedicalConcept_13","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","9e31a57d-b3a3-4295-af13-0ad51abd40d8","BiomedicalConcept"
"BiomedicalConcept_14","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","1d509af2-91f6-4335-b483-110bc8559e44","BiomedicalConcept"
"BiomedicalConcept_15","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","50394db7-33d4-45a2-8402-e24198edff37","BiomedicalConcept"
"BiomedicalConcept_16","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","Heart Rate","aeb78a79-ecbc-47ca-ab1d-e4b433d3d0a7","BiomedicalConcept"
"BiomedicalConcept_17","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","739ba379-8bbc-4d2b-be59-673bf6fc5c35","BiomedicalConcept"
"BiomedicalConcept_18","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","ab39143f-7c76-4faa-a36e-d5fc6800788f","BiomedicalConcept"
"BiomedicalConcept_19","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","Heart Rate","8a8a1020-22dc-4c86-92ad-310e980405d5","BiomedicalConcept"
