"synonyms","label","id","name","uuid:ID","reference","instanceType"
"['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept_30","Potassium Concentration in Urine","8a77a1c2-5658-4668-a865-fb154e9fdb1b","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept"
"['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept_31","Sodium Concentration in Urine","d55d29b8-ef0b-4d79-a20e-8896a38c9004","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept"
"['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_32","Hemoglobin A1C Concentration in Blood","0b7403c1-7191-44ca-ab3b-9cc4d1b6be8e","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept"
"['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","BiomedicalConcept_1","Adverse Event Prespecified","23db129e-01cf-465d-afdf-76bef425084c","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept"
"['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept_2","Systolic Blood Pressure","d36656d4-226c-4b5b-910b-733e1c571e6a","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept_3","Diastolic Blood Pressure","cb3ed306-9e9d-46ad-9bb1-5c6570790036","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept_4","Temperature","03c7c81b-490a-4b70-9e39-7fd3373ab8b4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept"
"['Weight', 'Body Weight']","Weight","BiomedicalConcept_5","Weight","0ea18a6c-c8e7-4269-9873-16445c3e8c61","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept"
"['Height', 'Body Height']","Height","BiomedicalConcept_6","Height","5d38f1ab-30b3-4a9f-a2ab-e312457b5eac","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept"
"['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","a8711a2a-7158-4950-8fb1-7fb2b6710862","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept"
"['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept_8","Albumin Presence in Urine","149869f5-6faa-4c7d-b4c9-71cf480f517d","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept"
"['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","f74cf5f9-baf6-463f-a8a8-83cd981dbcb8","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept"
"['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","ed15d932-e3e4-4b75-b983-cf27be6eb94f","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept"
"['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept_11","Creatinine Concentration in Urine","43b0e314-f139-4a6f-98d8-f1d48cdf0a8c","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept"
"['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept_12","Potassium Concentration in Urine","807983f0-2be8-4a56-85fa-99d3304c5905","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept"
"['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept_13","Sodium Concentration in Urine","ccc4ecf3-5ec4-4bd1-ae35-0543ec607afa","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept"
"['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept_14","Systolic Blood Pressure","e2acb63e-74b2-43bc-adbf-d02262f2f9bc","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept_15","Diastolic Blood Pressure","3477f030-9c5a-4bfe-8dd1-4c6cc3b2301f","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"['Heart Rate']","Heart Rate","BiomedicalConcept_16","Heart Rate","989bb811-dbee-4174-8a2b-c405a51b4ce7","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept"
"['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept_17","Systolic Blood Pressure","fdd330d5-dd2c-44e6-8ae4-bffbe6dec77f","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept_18","Diastolic Blood Pressure","4a2735b5-32f0-421b-8aa9-5ebdf8f16b4f","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"['Heart Rate']","Heart Rate","BiomedicalConcept_19","Heart Rate","135127a9-c4f5-4c03-9994-91d2d0f5d784","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept"
