"decode","id","codeSystem","code","uuid:ID","codeSystemVersion","instanceType"
"Visit","Code_92","http://www.cdisc.org","C25716","839b5c29-06b5-4584-84c7-c8109aaf250b","2023-12-15","Code"
"Clinic","Code_93","http://www.cdisc.org","C51282","04051cad-d6ab-42c7-a34c-9dc6d345a0dc","2023-12-15","Code"
"In Person","Code_94","http://www.cdisc.org","C175574","d46945cc-a4ad-492a-81ca-efd6fd659d53","2023-12-15","Code"
"Visit","Code_95","http://www.cdisc.org","C25716","9365ad27-7059-4c94-bdb2-dfcec8bdd8bf","2023-12-15","Code"
"Clinic","Code_96","http://www.cdisc.org","C51282","2629adbe-e4dd-45cb-b34a-5a398046f72a","2023-12-15","Code"
"In Person","Code_97","http://www.cdisc.org","C175574","be2c2c8e-199f-4463-baea-1bf9051a197b","2023-12-15","Code"
"Visit","Code_98","http://www.cdisc.org","C25716","df77fedb-7439-47d4-9305-bf2bd83b3f80","2023-12-15","Code"
"Clinic","Code_99","http://www.cdisc.org","C51282","8424869b-863d-4d58-bf03-ecd17ddfe08d","2023-12-15","Code"
"In Person","Code_100","http://www.cdisc.org","C175574","2d2f3227-7424-438f-82b8-251a804edc3a","2023-12-15","Code"
"Visit","Code_101","http://www.cdisc.org","C25716","a397fcb9-8b8b-417d-8a97-bbec1af3e336","2023-12-15","Code"
"Clinic","Code_102","http://www.cdisc.org","C51282","58902476-fab7-4184-a326-6a213e47a5af","2023-12-15","Code"
"In Person","Code_103","http://www.cdisc.org","C175574","a722c35f-7b45-4111-ad44-4897b7b78452","2023-12-15","Code"
"Telephone Call","Code_104","http://www.cdisc.org","C171537","b500b67f-0b74-47b5-a68d-a0c110a90dd0","2023-12-15","Code"
"Visit","Code_105","http://www.cdisc.org","C25716","908b888f-2329-40b2-a318-09780ffc4d4e","2023-12-15","Code"
"Clinic","Code_106","http://www.cdisc.org","C51282","0d226f35-82cc-41d6-9f5f-954be9f2912b","2023-12-15","Code"
"In Person","Code_107","http://www.cdisc.org","C175574","4c4ac4ef-d82d-4161-b552-f0c32f5d9872","2023-12-15","Code"
"Telephone Call","Code_108","http://www.cdisc.org","C171537","93b71b9e-0090-41cc-b033-23723520d409","2023-12-15","Code"
"Visit","Code_109","http://www.cdisc.org","C25716","87a4f281-b8c3-4f8b-81ec-9f254be156e1","2023-12-15","Code"
"Clinic","Code_110","http://www.cdisc.org","C51282","7e1ee4f1-734a-4132-92de-171e2b1e243d","2023-12-15","Code"
"In Person","Code_111","http://www.cdisc.org","C175574","28d40758-4052-4a45-94ff-6f53d1df1942","2023-12-15","Code"
"Telephone Call","Code_112","http://www.cdisc.org","C171537","6e15b0f7-3963-427e-aebc-86fd1ec19b2b","2023-12-15","Code"
"Visit","Code_113","http://www.cdisc.org","C25716","8f874b5b-e730-42ba-b994-51d23d628a9b","2023-12-15","Code"
"Clinic","Code_114","http://www.cdisc.org","C51282","3d19156d-9ab2-42b4-9b79-5c8a10b95743","2023-12-15","Code"
"In Person","Code_115","http://www.cdisc.org","C175574","89aa9bbf-0cf2-4937-b8af-bac246b634af","2023-12-15","Code"
"Telephone Call","Code_116","http://www.cdisc.org","C171537","37306e7a-f9dc-4304-9c4a-8cae395db897","2023-12-15","Code"
"Visit","Code_117","http://www.cdisc.org","C25716","49c007ed-533d-4d13-ab8a-5d6b06d90e59","2023-12-15","Code"
"Clinic","Code_118","http://www.cdisc.org","C51282","d2530e33-9efd-4009-aa0b-d57ae93ebd61","2023-12-15","Code"
"In Person","Code_119","http://www.cdisc.org","C175574","5107f1e4-07d9-48d6-9f41-35b4449aef22","2023-12-15","Code"
"Visit","Code_120","http://www.cdisc.org","C25716","4caec94d-7b05-4caa-88c0-51971e282aa0","2023-12-15","Code"
"Clinic","Code_121","http://www.cdisc.org","C51282","09f8eaf1-0db0-4f6b-abed-8111190cb2af","2023-12-15","Code"
"In Person","Code_122","http://www.cdisc.org","C175574","7c90ace7-9df7-4e59-afa0-6394c58dcee7","2023-12-15","Code"
"CT of head without contrast","Code_80","SNOMED","383371000119108","c0912ef5-692e-4f86-a810-71f9db0a3e91","January 31, 2018","Code"
"Subject Supine","Code_81","SPONSOR","123","e28ce8e4-9a05-45f6-a42a-e8d4c7df0c6f","12","Code"
"Subject Standing","Code_82","SPONSOR","124","14baa817-e235-446a-b280-30cfcdc3cb7d","12","Code"
"Male","Code_429","http://www.cdisc.org","C20197","84592cb7-631d-48d1-ac19-23a7b577a95f","2023-12-15","Code"
"Female","Code_430","http://www.cdisc.org","C16576","5b60588a-498c-4003-9c4d-4cb50914ee2a","2023-12-15","Code"
"Sex","Code_431","http://www.cdisc.org","C28421","b569b7d6-3517-4416-b36a-b46b444ee772","2023-12-15","Code"
"Sex","Code_432","http://www.cdisc.org","C28421","54f6d7ae-b074-4adc-b80d-ecb4d10f5528","2023-12-15","Code"
"Race","Code_433","http://www.cdisc.org","C17049","ee3d4b0f-c67d-4151-8066-92c6c5ee2000","2023-12-15","Code"
"Race","Code_434","http://www.cdisc.org","C17049","971d2c26-d5a8-4770-9287-69e8b9fa609f","2023-12-15","Code"
"TEMP","Code_435","http://www.cdisc.org","C174446","5acbd065-d19b-44df-9853-1feb7341021e","2023-12-15","Code"
"Clinical Test Result","Code_436","http://www.cdisc.org","C77140","76200cde-cce3-4cef-9175-0f46c7f65547","2023-12-15","Code"
"Degree Celsius","Code_437","http://www.cdisc.org","C42559","f6d68044-30c7-41e9-a404-85b5016efe22","2023-12-15","Code"
"Degree Fahrenheit","Code_438","http://www.cdisc.org","C44277","6b2321fb-ff25-45b8-976c-b52d4531a6e4","2023-12-15","Code"
"Kelvin","Code_439","http://www.cdisc.org","C42537","e2eeb296-2ac0-450c-b712-7648f5e11e8d","2023-12-15","Code"
"Unit of Temperature","Code_440","http://www.cdisc.org","C44276","f75f740e-a7fb-4797-bcd7-42da9e1bf0ff","2023-12-15","Code"
"Axilla","Code_441","http://www.cdisc.org","C12674","b0b1b67f-e137-4687-8ab7-5640983a6d8f","2023-12-15","Code"
"Ear","Code_442","http://www.cdisc.org","C12394","6a695513-9262-4316-a536-0393a1f2f13e","2023-12-15","Code"
"Forehead","Code_443","http://www.cdisc.org","C89803","2df6c9bd-2e37-474c-85d4-cafb79f3262c","2023-12-15","Code"
"Oral Cavity","Code_444","http://www.cdisc.org","C12421","764289e5-3143-4f85-90f7-51926ec6c820","2023-12-15","Code"
"Rectum","Code_445","http://www.cdisc.org","C12390","f3f70e1f-6fd9-4b42-b59d-2a03f78aeca3","2023-12-15","Code"
"Anatomic Site","Code_446","http://www.cdisc.org","C13717","dabb2ef4-460b-4d24-8280-e0854c8a6be8","2023-12-15","Code"
"TEMP","Code_447","http://www.cdisc.org","C174446","bd64f3df-c83d-4afd-91a3-be7543862aaa","2023-12-15","Code"
"WEIGHT","Code_448","http://www.cdisc.org","C25208","ecc97d7c-f719-4910-a41f-ad085ff3d64c","2023-12-15","Code"
"Clinical Test Result","Code_449","http://www.cdisc.org","C77140","665320b3-0373-4365-ad21-9bfaf0bbaaa8","2023-12-15","Code"
"Pound","Code_450","http://www.cdisc.org","C48531","0c3f5611-45d2-4ee6-b985-8a46a2a20bab","2023-12-15","Code"
"Gram","Code_451","http://www.cdisc.org","C48155","ac6e4043-eed9-45f1-93ce-d5bbf8e52f34","2023-12-15","Code"
"Kilogram","Code_452","http://www.cdisc.org","C28252","0362d279-7101-4e71-be13-a25f27ae34cc","2023-12-15","Code"
"Unit of Weight","Code_453","http://www.cdisc.org","C48208","0d431e08-ae33-4a6c-bca1-13290d547c37","2023-12-15","Code"
"WEIGHT","Code_454","http://www.cdisc.org","C25208","39f8b1c1-2294-4539-8e72-ef8fd267f917","2023-12-15","Code"
"HEIGHT","Code_455","http://www.cdisc.org","C25347","2ab8a54f-1895-488b-b212-46c5b511f801","2023-12-15","Code"
"Clinical Test Result","Code_456","http://www.cdisc.org","C77140","aca7d976-b6a5-4c80-aeef-b2065bb64f80","2023-12-15","Code"
"Centimeter","Code_457","http://www.cdisc.org","C49668","62b6f645-40d1-45b0-988d-727f1968aeec","2023-12-15","Code"
"Inch","Code_458","http://www.cdisc.org","C48500","e443d084-e5f6-47d5-a251-48c9958926be","2023-12-15","Code"
"Meter","Code_459","http://www.cdisc.org","C41139","a55ec1a7-e1d3-428a-94ae-7c2c630ba266","2023-12-15","Code"
"Unit of Height","Code_460","http://www.cdisc.org","C168688","d6daecb6-5811-4229-b7e5-cd91fb2fd403","2023-12-15","Code"
"HEIGHT","Code_461","http://www.cdisc.org","C25347","a960c68d-7427-4e52-b34c-08b695b45cca","2023-12-15","Code"
"ALT","Code_462","http://www.cdisc.org","C64433","5880ed49-575b-4db5-bf43-dc56c0b157ff","2023-12-15","Code"
"Laboratory Test Result","Code_463","http://www.cdisc.org","C36292","ec807003-62fb-4d12-b551-0546209f7c6b","2023-12-15","Code"
"Unit per Liter","Code_464","http://www.cdisc.org","C67456","6eb3068b-cdca-40a5-b809-96d2a5889e13","2023-12-15","Code"
"Microkatal per Liter","Code_465","http://www.cdisc.org","C67397","196a38ec-df06-4942-87c7-25d4be20d366","2023-12-15","Code"
"International Unit per Liter","Code_466","http://www.cdisc.org","C67376","8357e8d8-3d05-4cd3-a584-dfb8702d0de6","2023-12-15","Code"
"Nanokatal per Liter","Code_467","http://www.cdisc.org","C70510","33512db6-471f-4a3e-ac85-0316914e640f","2023-12-15","Code"
"Unit of Catalytic Activity Concentration","Code_468","http://www.cdisc.org","C67365","1170d63e-fbc9-45b9-9f62-28d9209cc951","2023-12-15","Code"
"Biospecimen Type","Code_469","http://www.cdisc.org","C70713","c63fe1a5-159a-4fb4-b58b-9b9b8a18ba8e","2023-12-15","Code"
"No","Code_470","http://www.cdisc.org","C49487","bfb0c277-4b2a-4ada-aabf-6ddde88a8604","2023-12-15","Code"
"Yes","Code_471","http://www.cdisc.org","C49488","c463dd9a-41e9-42de-9334-2f2c08c779cb","2023-12-15","Code"
"Laboratory Test Fasting Status","Code_472","http://www.cdisc.org","C83309","5c5f0a51-a55d-4bcb-b611-d71d24566a33","2023-12-15","Code"
"ALT","Code_473","http://www.cdisc.org","C64433","956866d8-94a8-4b1a-993a-6b33958cb555","2023-12-15","Code"
"ALB","Code_474","http://www.cdisc.org","C64431","525969bb-72a3-4efc-abde-e366b4598169","2023-12-15","Code"
"Laboratory Test Result","Code_475","http://www.cdisc.org","C36292","c2b6fee1-3d1d-4092-bfaa-5579263dbef0","2023-12-15","Code"
"Biospecimen Type","Code_476","http://www.cdisc.org","C70713","21c7d92f-1cb2-448e-af84-f2a96fdde54f","2023-12-15","Code"
"No","Code_477","http://www.cdisc.org","C49487","4d1a42cd-212f-4f09-b215-a0372e4b1ced","2023-12-15","Code"
"Yes","Code_478","http://www.cdisc.org","C49488","d7003240-8848-485b-be94-efb6924fe351","2023-12-15","Code"
"Laboratory Test Fasting Status","Code_479","http://www.cdisc.org","C83309","72ac28e7-6461-4178-8257-5e99bef04fb1","2023-12-15","Code"
"ALB","Code_480","http://www.cdisc.org","C64431","8a694123-74c8-474c-a089-5d060a32708a","2023-12-15","Code"
"ALP","Code_481","http://www.cdisc.org","C64432","1c10d5c8-51fb-4bbf-a695-32e5e8062abe","2023-12-15","Code"
"Laboratory Test Result","Code_482","http://www.cdisc.org","C36292","52557d32-0328-4b3f-aa8b-9b6104d515c6","2023-12-15","Code"
"Unit per Liter","Code_483","http://www.cdisc.org","C67456","11082386-727b-4d2f-a174-67eac3834c42","2023-12-15","Code"
"Microkatal per Liter","Code_484","http://www.cdisc.org","C67397","577007a5-fc32-4c24-bec5-c51c96bea681","2023-12-15","Code"
"International Unit per Liter","Code_485","http://www.cdisc.org","C67376","47758a9b-fb20-4fba-b9ce-2233e0604b25","2023-12-15","Code"
"Unit of Catalytic Activity Concentration","Code_486","http://www.cdisc.org","C67365","91cc8c2d-abb1-47ed-b990-f1c68542b790","2023-12-15","Code"
"Biospecimen Type","Code_487","http://www.cdisc.org","C70713","aba08486-5dc7-4544-bd9f-ed2604d98832","2023-12-15","Code"
"No","Code_488","http://www.cdisc.org","C49487","5365edad-ae71-43d5-9f87-9d33c704ad62","2023-12-15","Code"
"Yes","Code_489","http://www.cdisc.org","C49488","746d4cc4-9622-4389-90d3-549ef618c4f7","2023-12-15","Code"
"Laboratory Test Fasting Status","Code_490","http://www.cdisc.org","C83309","21008e43-bbee-4cbb-a5c6-3f3034fbc24a","2023-12-15","Code"
"ALP","Code_491","http://www.cdisc.org","C64432","641a68d3-09b7-4484-8738-2507d0447d0a","2023-12-15","Code"
"AST","Code_492","http://www.cdisc.org","C64467","3d8f6418-eaf9-4276-9d59-25d259ef23a5","2023-12-15","Code"
"Laboratory Test Result","Code_493","http://www.cdisc.org","C36292","c2b81563-1bc5-40d8-8d68-a3b61b8eb80e","2023-12-15","Code"
"Unit per Liter","Code_494","http://www.cdisc.org","C67456","8ba5ac9b-c3d5-43cb-800e-0787212c7a87","2023-12-15","Code"
"Microkatal per Liter","Code_495","http://www.cdisc.org","C67397","5305b6b9-6d51-424f-bc80-cf23f34fcf8d","2023-12-15","Code"
"International Unit per Liter","Code_496","http://www.cdisc.org","C67376","c4ce7c9d-17a8-4a40-b223-841e76fb2bf6","2023-12-15","Code"
"Unit of Catalytic Activity Concentration","Code_497","http://www.cdisc.org","C67365","32c40856-b7c7-4b9e-ad2b-926719d8df03","2023-12-15","Code"
"Biospecimen Type","Code_498","http://www.cdisc.org","C70713","b126f560-3bb7-4e00-a019-927c816bf459","2023-12-15","Code"
"No","Code_499","http://www.cdisc.org","C49487","cf24c5ef-cf4b-4480-8076-87e0a813f4df","2023-12-15","Code"
"Yes","Code_500","http://www.cdisc.org","C49488","bb9c747b-0729-4edd-bdf1-32fe440093da","2023-12-15","Code"
"Laboratory Test Fasting Status","Code_501","http://www.cdisc.org","C83309","a9d91ef6-40e1-42cd-b0f2-43b964663dd3","2023-12-15","Code"
"AST","Code_502","http://www.cdisc.org","C64467","ef15697a-2148-4360-9035-e4bf8b3c9be9","2023-12-15","Code"
"CREAT","Code_503","http://www.cdisc.org","C64547","03177413-bfe0-496e-9f65-2a076f14fff1","2023-12-15","Code"
"Laboratory Test Result","Code_504","http://www.cdisc.org","C36292","9cf7fc63-f0ba-4540-bb42-21c6b943411a","2023-12-15","Code"
"Milligram per Deciliter","Code_505","http://www.cdisc.org","C67015","32f5abd1-a2fd-4ad0-88f6-0a2b05b3d845","2023-12-15","Code"
"Microgram per Milliliter","Code_506","http://www.cdisc.org","C64572","17de9211-f394-4ab5-a85b-7b93a0324164","2023-12-15","Code"
"Millimole per Liter","Code_507","http://www.cdisc.org","C64387","8095bc40-bcd7-4d52-b7b5-d9d571285aee","2023-12-15","Code"
"Micromole per Liter","Code_508","http://www.cdisc.org","C48508","84e03b81-556a-42af-a08c-960b3544a2f5","2023-12-15","Code"
"Unit of Concentration","Code_509","http://www.cdisc.org","C48207","b6046805-fdad-4551-8638-87549b04cf0c","2023-12-15","Code"
"Biospecimen Type","Code_510","http://www.cdisc.org","C70713","d3668286-6787-4418-8dea-cba57a31395f","2023-12-15","Code"
"No","Code_511","http://www.cdisc.org","C49487","99694b98-f978-4642-b14f-63bdd02238de","2023-12-15","Code"
"Yes","Code_512","http://www.cdisc.org","C49488","d04a3e83-0431-4e72-8ff9-0f89fcd75b49","2023-12-15","Code"
"Laboratory Test Fasting Status","Code_513","http://www.cdisc.org","C83309","822a898d-28d7-4a50-b030-2eebf8376357","2023-12-15","Code"
"CREAT","Code_514","http://www.cdisc.org","C64547","3cafd5f2-f3b7-43d2-b8b0-07448526bbfa","2023-12-15","Code"
"K","Code_515","http://www.cdisc.org","C64853","4660af8f-6e77-4bed-a989-420d04176dc0","2023-12-15","Code"
"Laboratory Test Result","Code_516","http://www.cdisc.org","C36292","d4e6b356-fb7d-4990-85ac-196ac86c85a3","2023-12-15","Code"
"Milliequivalent per Liter","Code_517","http://www.cdisc.org","C67474","1d7d286f-98d0-4bf9-b0cc-807505fcf387","2023-12-15","Code"
"Milliequivalent per Deciliter","Code_518","http://www.cdisc.org","C67473","4d338426-a8e6-4115-b9a6-b2553cf20eeb","2023-12-15","Code"
"Millimole per Liter","Code_519","http://www.cdisc.org","C64387","e7259dd2-8e5e-497c-9d3b-733fed5d1054","2023-12-15","Code"
"Molarity Unit","Code_520","http://www.cdisc.org","C64567","0ec3492e-401d-4a0e-9da0-3dcf8ad0bafc","2023-12-15","Code"
"Biospecimen Type","Code_521","http://www.cdisc.org","C70713","b9f3b5cb-2eb8-45c6-b8ed-1e20837e539b","2023-12-15","Code"
"No","Code_522","http://www.cdisc.org","C49487","07c16e19-9a77-4d01-9164-705d8d56356a","2023-12-15","Code"
"Yes","Code_523","http://www.cdisc.org","C49488","7921c3aa-e558-4cf1-b690-75aea0cefea6","2023-12-15","Code"
"Laboratory Test Fasting Status","Code_524","http://www.cdisc.org","C83309","b9d32378-7676-4ab9-a8e0-e55a684971e9","2023-12-15","Code"
"K","Code_525","http://www.cdisc.org","C64853","fe4efd93-902e-4bb4-8c0a-457f33862fc7","2023-12-15","Code"
"SODIUM","Code_526","http://www.cdisc.org","C64809","61d2b899-dddd-4b18-aad4-4937bec8f05c","2023-12-15","Code"
"Laboratory Test Result","Code_527","http://www.cdisc.org","C36292","34e9ecfc-2e80-4da3-b260-e3d7721473d7","2023-12-15","Code"
"Milliequivalent per Liter","Code_528","http://www.cdisc.org","C67474","ff0c43e4-7c80-4c35-967a-9465131478e3","2023-12-15","Code"
"Milliequivalent per Deciliter","Code_529","http://www.cdisc.org","C67473","34202f26-be1a-4d52-ba8a-3d2940c5b334","2023-12-15","Code"
"Millimole per Liter","Code_530","http://www.cdisc.org","C64387","a8db6672-c6d2-4787-943c-3d6b960638c7","2023-12-15","Code"
"Molarity Unit","Code_531","http://www.cdisc.org","C64567","84ceb452-000b-4d8e-97bb-fc663a6a4847","2023-12-15","Code"
"Biospecimen Type","Code_532","http://www.cdisc.org","C70713","07c57b9c-bb0a-45db-9fe7-114db597003c","2023-12-15","Code"
"No","Code_533","http://www.cdisc.org","C49487","0254f4be-e20e-442b-a3e1-003f53c56797","2023-12-15","Code"
"Yes","Code_534","http://www.cdisc.org","C49488","190ef264-d812-4271-b232-f864bf88b8da","2023-12-15","Code"
"Laboratory Test Fasting Status","Code_535","http://www.cdisc.org","C83309","79d9e856-8abd-47c4-b79a-61843fe70ba1","2023-12-15","Code"
"SODIUM","Code_536","http://www.cdisc.org","C64809","4816fd91-720c-460c-b94b-26609d262d5b","2023-12-15","Code"
"HBA1C","Code_537","http://www.cdisc.org","C64849","9dcccc4c-6fe5-4af3-a0e0-792f5ee9b3e2","2023-12-15","Code"
"Laboratory Test Result","Code_538","http://www.cdisc.org","C36292","7517e8a6-74c8-42b8-99c3-14f3ba1e1471","2023-12-15","Code"
"Gram per Deciliter","Code_539","http://www.cdisc.org","C64783","88bf0048-8a33-4036-957d-0d463f193d55","2023-12-15","Code"
"LBORRESU","Code_540","http://www.cdisc.org","No Concept Code","1d284d5b-94b4-49ba-979f-cad4fa286c48","2023-12-15","Code"
"Biospecimen Type","Code_541","http://www.cdisc.org","C70713","55eb881e-c02a-412d-8c5d-193e31b59eb2","2023-12-15","Code"
"No","Code_542","http://www.cdisc.org","C49487","0ef492a7-0724-4812-86da-5c0749d360aa","2023-12-15","Code"
"Yes","Code_543","http://www.cdisc.org","C49488","2aa72d53-966b-42d2-8689-062b50b077b6","2023-12-15","Code"
"Laboratory Test Fasting Status","Code_544","http://www.cdisc.org","C83309","e54ac5b0-b723-4090-bc1f-768b7aef1e41","2023-12-15","Code"
"HBA1C","Code_545","http://www.cdisc.org","C64849","69886214-b694-4eaa-90ab-c349dd2c9fe3","2023-12-15","Code"
"Adverse Event Verbatim Description","Code_145","http://www.cdisc.org","C78541","f21626d2-a04b-4595-85b7-a1af8d978b67","2023-12-15","Code"
"Adverse Event Dictionary Derived Term","Code_146","http://www.cdisc.org","C83344","6c3ba9e0-6f3c-4d54-8bf1-223a7b81d673","2023-12-15","Code"
"No","Code_147","http://www.cdisc.org","C49487","23d01e90-7434-49ca-9669-a323c6973f8b","2023-12-15","Code"
"Yes","Code_148","http://www.cdisc.org","C49488","29a9ff48-cf2e-46ee-9176-0c813be45508","2023-12-15","Code"
"Adverse Event Pre-specified","Code_149","http://www.cdisc.org","C87840","1c67c80b-85ee-4179-a3de-4406d76acb78","2023-12-15","Code"
"Adverse Event Location","Code_150","http://www.cdisc.org","C83205","ac764691-aba5-46f3-8d99-07da642710c0","2023-12-15","Code"
"Severity of Adverse Event","Code_151","http://www.cdisc.org","C53253","1bcd644c-060a-4c28-9996-7cca5cf86341","2023-12-15","Code"
"No","Code_152","http://www.cdisc.org","C49487","ac673d77-119b-4a92-814f-6bd66fedbd0e","2023-12-15","Code"
"Yes","Code_153","http://www.cdisc.org","C49488","0974cd35-d950-41d2-a62c-c5392e5bfcf3","2023-12-15","Code"
"Seriousness of Adverse Event","Code_154","http://www.cdisc.org","C53252","6dfb9a2a-30d9-4e1c-b897-7aebbba46264","2023-12-15","Code"
"Adverse Event Action Taken with Study Treatment","Code_155","http://www.cdisc.org","C83013","f2b0d8e0-e78e-4acf-af2d-409e5af6c7c1","2023-12-15","Code"
"Other Actions taken in Response to Adverse Event","Code_156","http://www.cdisc.org","C83109","dc9cc47b-0056-43a0-b7a5-22bdd24093a8","2023-12-15","Code"
"Adverse Event Attribution to Product or Procedure","Code_157","http://www.cdisc.org","C41358","5b0a5f42-a243-4b8d-a058-83dab9b52087","2023-12-15","Code"
"Adverse Event Relationship to Non Study Treatment","Code_158","http://www.cdisc.org","C83210","2ad50c8b-44f8-4279-968f-5c83749bcf1e","2023-12-15","Code"
"Adverse Event Pattern","Code_159","http://www.cdisc.org","C83208","a76e8bde-e87f-4056-9873-d0413b4f09c9","2023-12-15","Code"
"Adverse Event Outcome","Code_160","http://www.cdisc.org","C49489","3712fd36-e06c-4e4d-9e4e-18f91120ebeb","2023-12-15","Code"
"No","Code_161","http://www.cdisc.org","C49487","a901a526-407f-44aa-969d-06e5e24883f8","2023-12-15","Code"
"Yes","Code_162","http://www.cdisc.org","C49488","352496db-5a6d-4b87-b58f-cd3b4c6689a1","2023-12-15","Code"
"Adverse Event Involves Cancer","Code_163","http://www.cdisc.org","C83211","4333c2d8-1eaa-48d2-a365-2a3a621c7fe2","2023-12-15","Code"
"No","Code_164","http://www.cdisc.org","C49487","701a9efc-b893-4169-b8b7-9011ac819645","2023-12-15","Code"
"Yes","Code_165","http://www.cdisc.org","C49488","ec4e067b-3b03-41ff-973f-d733b8630e80","2023-12-15","Code"
"Adverse Event Seriousness Due to Congenital Anomaly","Code_166","http://www.cdisc.org","C83117","7de8a855-b649-4a60-ac06-278bf0f1fe80","2023-12-15","Code"
"No","Code_167","http://www.cdisc.org","C49487","c804e4ae-8a93-4d1f-835b-e1ad379c5ccf","2023-12-15","Code"
"Yes","Code_168","http://www.cdisc.org","C49488","5e68a3c4-5902-43ef-95d5-742572ca1307","2023-12-15","Code"
"Disabling Adverse Event","Code_169","http://www.cdisc.org","C113380","80e744e1-66a6-45ed-a5e1-56301f914d73","2023-12-15","Code"
"No","Code_170","http://www.cdisc.org","C49487","154b2bf3-40b0-440f-b4b2-2f1e72b90a1e","2023-12-15","Code"
"Yes","Code_171","http://www.cdisc.org","C49488","42c4bfbb-24b6-42e6-932f-8a7164d98f1f","2023-12-15","Code"
"Death Related to Adverse Event","Code_172","http://www.cdisc.org","C48275","8fa72d0f-b94b-4bd5-a3cf-f0f281ac7ee1","2023-12-15","Code"
