"reference","synonyms","instanceType","name","id","label","uuid:ID"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_8","Albumin Presence in Urine","11600c91-f69c-4a51-8cb8-aca5d38148b2"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","8f0f15be-aa57-4ed9-8b31-ecceac649609"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","d0c74b9e-ef34-4189-bd32-5299f49d9172"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_11","Creatinine Concentration in Urine","b3a2b5f9-8855-4e26-9f53-39562a24d5ec"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_12","Potassium Concentration in Urine","c12c8a04-e01a-4256-8116-46e422262eaf"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_13","Sodium Concentration in Urine","6fce6594-33d2-471f-b91c-b104404c1f83"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_14","Systolic Blood Pressure","5d3a10a8-449c-4a15-8b33-5d4dcb56be02"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_15","Diastolic Blood Pressure","35567009-1172-4840-8d4a-c370a73c6c3e"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","BiomedicalConcept","Heart Rate","BiomedicalConcept_16","Heart Rate","46ebc2f7-879b-4c08-88cc-db056fccc3e1"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_17","Systolic Blood Pressure","feeb6e92-528c-40ff-a61e-60006fc98ac8"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_18","Diastolic Blood Pressure","0c1e5ae1-d7fe-47b3-9207-833bedacf4b7"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","BiomedicalConcept","Heart Rate","BiomedicalConcept_19","Heart Rate","1834d1da-74ae-4b1b-82f7-bbe3e46d4244"
