"label","isRequired","datatype","id","name","isEnabled","uuid:ID","instanceType"
"Adverse Event Subcategory","True","string","BiomedicalConceptProperty_4","Adverse Event Subcategory","True","c9f3a8b8-c35e-4b48-bdae-8655bb08a73a","BiomedicalConceptProperty"
"Adverse Event Pre-specified","True","boolean","BiomedicalConceptProperty_5","Adverse Event Pre-specified","True","53d823ba-ac8a-4913-8424-c072d8953e05","BiomedicalConceptProperty"
"Severity of Adverse Event","True","string","BiomedicalConceptProperty_6","Severity of Adverse Event","True","9150fc18-f967-40f3-b317-a6c8c8ba5bbf","BiomedicalConceptProperty"
"Adverse Event Toxicity Grade","True","string","BiomedicalConceptProperty_7","Adverse Event Toxicity Grade","True","c90b9e4b-38a2-43c1-99d3-6cdffd3f9dbd","BiomedicalConceptProperty"
"Seriousness of Adverse Event","True","boolean","BiomedicalConceptProperty_8","Seriousness of Adverse Event","True","02825124-d190-47f6-b76f-827e7dae06c5","BiomedicalConceptProperty"
"Adverse Event Action Taken with Study Treatment","True","string","BiomedicalConceptProperty_9","Adverse Event Action Taken with Study Treatment","True","89e706aa-d537-46c5-b23f-b4d91daab2c8","BiomedicalConceptProperty"
"Adverse Event Attribution to Product or Procedure","True","string","BiomedicalConceptProperty_10","Adverse Event Attribution to Product or Procedure","True","3e892b61-8ae3-4373-ae12-583cbe3065b3","BiomedicalConceptProperty"
"Adverse Event Pattern","True","string","BiomedicalConceptProperty_11","Adverse Event Pattern","True","92c24d7d-ebee-4709-a0c4-5244cc391bf6","BiomedicalConceptProperty"
"Adverse Event Outcome","True","string","BiomedicalConceptProperty_12","Adverse Event Outcome","True","fcedb6cb-0b84-456b-a78c-e111c80f09f6","BiomedicalConceptProperty"
"Adverse Event Start Date Time","True","datetime","BiomedicalConceptProperty_13","Adverse Event Start Date Time","True","dd39fec0-2676-4b8b-aee6-a507f37759f5","BiomedicalConceptProperty"
"Adverse Event End Date Time","True","datetime","BiomedicalConceptProperty_14","Adverse Event End Date Time","True","cee37b0a-244e-4128-bc91-2f78dc05e45d","BiomedicalConceptProperty"
"Vital Signs Result","True","decimal","BiomedicalConceptProperty_15","Vital Signs Result","True","752aab89-5180-4ac4-b538-8b99a8376af2","BiomedicalConceptProperty"
"Unit of Pressure","True","string","BiomedicalConceptProperty_16","Unit of Pressure","True","1713b6b5-e04a-46e9-99e2-d4015a273af3","BiomedicalConceptProperty"
"Vital Signs Location","True","string","BiomedicalConceptProperty_17","Vital Signs Location","True","8140e11d-a5af-486f-892a-508aa43505ae","BiomedicalConceptProperty"
"Vital Signs Laterality","True","string","BiomedicalConceptProperty_18","Vital Signs Laterality","True","4db1f93e-eb3f-40d1-80d7-625cd00bba23","BiomedicalConceptProperty"
"Test Method","True","string","BiomedicalConceptProperty_19","Test Method","True","1d114413-ecf6-4575-930e-a1a78b4750a0","BiomedicalConceptProperty"
"Vital Signs Position","True","string","BiomedicalConceptProperty_20","Vital Signs Position","True","a0ee41b1-301c-4d09-a607-59b3b5c650de","BiomedicalConceptProperty"
"Vital Signs Result","True","decimal","BiomedicalConceptProperty_21","Vital Signs Result","True","a6f1661a-e7c7-4a09-a4fd-0b3b76bf86c3","BiomedicalConceptProperty"
"Unit of Pressure","True","string","BiomedicalConceptProperty_22","Unit of Pressure","True","e8915cc6-c179-44a1-bbc8-e7b82d792be9","BiomedicalConceptProperty"
"Vital Signs Location","True","string","BiomedicalConceptProperty_23","Vital Signs Location","True","64a2c31f-a0c5-4c9b-9031-3dd096d861b5","BiomedicalConceptProperty"
"Vital Signs Laterality","True","string","BiomedicalConceptProperty_24","Vital Signs Laterality","True","3d5cf5b7-b790-481f-9d7c-b03c55f8d5d8","BiomedicalConceptProperty"
"Test Method","True","string","BiomedicalConceptProperty_25","Test Method","True","860758b3-7dde-479f-a5e3-7aecdfb7d113","BiomedicalConceptProperty"
"Vital Signs Position","True","string","BiomedicalConceptProperty_26","Vital Signs Position","True","246ebd7e-65d6-40c2-bdfc-3a2b8483e652","BiomedicalConceptProperty"
"Vital Signs Result","True","decimal","BiomedicalConceptProperty_27","Vital Signs Result","True","6d21d26c-ac9c-4a00-8ce4-002b5f39cb24","BiomedicalConceptProperty"
"Unit of Temperature","True","string","BiomedicalConceptProperty_28","Unit of Temperature","True","32da3ff9-c2c9-443c-8afd-a825c6c62a9e","BiomedicalConceptProperty"
"Vital Signs Location","True","string","BiomedicalConceptProperty_29","Vital Signs Location","True","164d7154-2a00-43d7-a988-34df5796dabb","BiomedicalConceptProperty"
"Vital Signs Result","True","decimal","BiomedicalConceptProperty_30","Vital Signs Result","True","9feb031d-5d2b-49dc-8dfb-ab3e46748754","BiomedicalConceptProperty"
"Unit of Weight","True","string","BiomedicalConceptProperty_31","Unit of Weight","True","3f49e31b-439d-4a6c-9f1c-ccf4940ec09a","BiomedicalConceptProperty"
"Vital Signs Result","True","decimal","BiomedicalConceptProperty_32","Vital Signs Result","True","80285e6e-33aa-4ba5-9886-1ff05fb09e8a","BiomedicalConceptProperty"
"Unit of Height","True","string","BiomedicalConceptProperty_33","Unit of Height","True","9a7f1192-db2e-4028-85aa-7dd1e28d79b0","BiomedicalConceptProperty"
"Laboratory Test Result","True","decimal","BiomedicalConceptProperty_34","Laboratory Test Result","True","3f5567e5-3def-4d83-b950-fa8089d9004e","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","boolean","BiomedicalConceptProperty_35","Laboratory Test Fasting Status","True","4eaf3057-2df9-4c07-a3d7-ec3fdc215510","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","string","BiomedicalConceptProperty_36","Unit of Catalytic Activity Concentration","True","428fe3e7-fceb-4ead-ba4d-448e413c34c8","BiomedicalConceptProperty"
"Biospecimen Type","True","string","BiomedicalConceptProperty_37","Biospecimen Type","True","c309c537-8402-42f2-82db-44c6b1f6c62a","BiomedicalConceptProperty"
"Laboratory Test Result","True","string","BiomedicalConceptProperty_38","Laboratory Test Result","True","9475fc3a-873f-40e7-b1a3-0954a8fdce61","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","boolean","BiomedicalConceptProperty_39","Laboratory Test Fasting Status","True","ac4a4a67-bda0-441b-9cab-b4e7dc0b365b","BiomedicalConceptProperty"
"Unit of Concentration","True","string","BiomedicalConceptProperty_40","Unit of Concentration","True","0879dfe3-c974-42c5-97ac-57675c975bba","BiomedicalConceptProperty"
"Biospecimen Type","True","string","BiomedicalConceptProperty_41","Biospecimen Type","True","7a0c9aea-55df-42d9-b01e-a61c57e6b272","BiomedicalConceptProperty"
"Laboratory Test Result","True","decimal","BiomedicalConceptProperty_42","Laboratory Test Result","True","e6b5b5c5-926c-46df-b8d0-1159aae00fb8","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","boolean","BiomedicalConceptProperty_43","Laboratory Test Fasting Status","True","0a6bbd38-e81a-481b-a688-16413c0eee23","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","string","BiomedicalConceptProperty_44","Unit of Catalytic Activity Concentration","True","9c9fb9c6-8859-4a88-8466-6fb01149956d","BiomedicalConceptProperty"
"Biospecimen Type","True","string","BiomedicalConceptProperty_45","Biospecimen Type","True","cf359675-4108-4ed8-aeb5-0e4de3b8c717","BiomedicalConceptProperty"
"Laboratory Test Result","True","decimal","BiomedicalConceptProperty_46","Laboratory Test Result","True","2d827597-eac1-4618-891a-7530d4b36a52","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","boolean","BiomedicalConceptProperty_47","Laboratory Test Fasting Status","True","0fc2d86a-203c-48b9-ab19-aa29861fccb4","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","string","BiomedicalConceptProperty_48","Unit of Catalytic Activity Concentration","True","b24a7fd8-d306-48dc-abbe-fd224a670819","BiomedicalConceptProperty"
"Biospecimen Type","True","string","BiomedicalConceptProperty_49","Biospecimen Type","True","5d2e4c98-fcee-4c50-b40b-f15652335b74","BiomedicalConceptProperty"
"Laboratory Test Result","True","string","BiomedicalConceptProperty_50","Laboratory Test Result","True","7ea4fa29-5f7c-4cae-8798-4ed7814f360e","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","boolean","BiomedicalConceptProperty_51","Laboratory Test Fasting Status","True","bf807ff0-66c8-4665-9ada-bf74fdb4b1f3","BiomedicalConceptProperty"
"Unit of Concentration","True","string","BiomedicalConceptProperty_52","Unit of Concentration","True","21bb83fb-35e4-4001-9b1f-b653111f84d2","BiomedicalConceptProperty"
"Biospecimen Type","True","string","BiomedicalConceptProperty_53","Biospecimen Type","True","b5f800bf-d861-43fc-bcb2-5152d713c096","BiomedicalConceptProperty"
"Laboratory Test Result","True","decimal","BiomedicalConceptProperty_54","Laboratory Test Result","True","655cb45b-aeb9-40a1-906a-19eed01ce6f2","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","boolean","BiomedicalConceptProperty_55","Laboratory Test Fasting Status","True","375694d1-2ddd-4646-9583-a8f0bfdcceb1","BiomedicalConceptProperty"
"Molarity Unit","True","string","BiomedicalConceptProperty_56","Molarity Unit","True","146a676f-0271-4b6f-9e7a-73a7c2893370","BiomedicalConceptProperty"
"Biospecimen Type","True","string","BiomedicalConceptProperty_57","Biospecimen Type","True","b1f3bb5b-bf15-413d-bd36-fbf0c7b361c0","BiomedicalConceptProperty"
"Laboratory Test Result","True","decimal","BiomedicalConceptProperty_58","Laboratory Test Result","True","1a53d200-41e1-40e9-9c0b-b99840ef030f","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","boolean","BiomedicalConceptProperty_59","Laboratory Test Fasting Status","True","f5a90e4e-76a9-45d4-8796-aecea4563e63","BiomedicalConceptProperty"
"Molarity Unit","True","string","BiomedicalConceptProperty_60","Molarity Unit","True","ef933c2a-5232-499e-82a6-4c52ce602f2b","BiomedicalConceptProperty"
"Biospecimen Type","True","string","BiomedicalConceptProperty_61","Biospecimen Type","True","1bae5c94-a614-4b28-80d1-41292d120fbd","BiomedicalConceptProperty"
"Vital Signs Result","True","decimal","BiomedicalConceptProperty_62","Vital Signs Result","True","187fabbf-6719-46b0-8400-8acd92c8c64a","BiomedicalConceptProperty"
"Unit of Pressure","True","string","BiomedicalConceptProperty_63","Unit of Pressure","True","089cc448-4a41-40f9-a573-6d6b87a3ed88","BiomedicalConceptProperty"
"Vital Signs Location","True","string","BiomedicalConceptProperty_64","Vital Signs Location","True","fef810ea-30b5-40cc-b9d7-61ebea6bddc6","BiomedicalConceptProperty"
"Vital Signs Laterality","True","string","BiomedicalConceptProperty_65","Vital Signs Laterality","True","e0cec533-8471-46e8-b554-bbd5bb85df30","BiomedicalConceptProperty"
"Test Method","True","string","BiomedicalConceptProperty_66","Test Method","True","b0cd2663-52d0-4504-af05-eaccbe5f6f18","BiomedicalConceptProperty"
"Vital Signs Position","True","string","BiomedicalConceptProperty_67","Vital Signs Position","True","a5b42895-19cc-43c1-b722-9afe46d53156","BiomedicalConceptProperty"
"Vital Signs Result","True","decimal","BiomedicalConceptProperty_68","Vital Signs Result","True","a6aabf80-db0b-452b-981c-fb2b2804c381","BiomedicalConceptProperty"
"Unit of Pressure","True","string","BiomedicalConceptProperty_69","Unit of Pressure","True","f5918d2b-c806-45b3-81c4-80d741e0f8c3","BiomedicalConceptProperty"
"Vital Signs Location","True","string","BiomedicalConceptProperty_70","Vital Signs Location","True","16b8d320-1ac6-49a3-af7e-bfae1dac63f4","BiomedicalConceptProperty"
"Vital Signs Laterality","True","string","BiomedicalConceptProperty_71","Vital Signs Laterality","True","2941186d-6cc2-49bc-8cbf-2059039bf31b","BiomedicalConceptProperty"
"Test Method","True","string","BiomedicalConceptProperty_72","Test Method","True","5e929cdd-ddf9-47d6-b99b-0c07332f3b14","BiomedicalConceptProperty"
"Vital Signs Position","True","string","BiomedicalConceptProperty_73","Vital Signs Position","True","9ee5b78e-5861-4bae-a7df-35a92bb96f7a","BiomedicalConceptProperty"
"Vital Signs Result","True","integer","BiomedicalConceptProperty_74","Vital Signs Result","True","5563e6e5-5f5b-4f44-9114-e0728126d17d","BiomedicalConceptProperty"
"Count per Minute","True","string","BiomedicalConceptProperty_75","Count per Minute","True","9cbdfe6f-bc99-4d2e-bb5e-8d13f3a445f6","BiomedicalConceptProperty"
"Vital Signs Location","True","string","BiomedicalConceptProperty_76","Vital Signs Location","True","e27a1f72-b98d-43e3-a6e1-dc2ca3ef09b4","BiomedicalConceptProperty"
"Vital Signs Laterality","True","string","BiomedicalConceptProperty_77","Vital Signs Laterality","True","b6cef957-ed54-4908-958f-65ec182ea8f2","BiomedicalConceptProperty"
"Test Method","True","string","BiomedicalConceptProperty_78","Test Method","True","c1b6f36e-8378-4ad4-bd2c-e2e5f2b612f7","BiomedicalConceptProperty"
"Vital Signs Position","True","string","BiomedicalConceptProperty_79","Vital Signs Position","True","c95afc75-1649-41f1-af6c-53f480874af0","BiomedicalConceptProperty"
"Vital Signs Result","True","decimal","BiomedicalConceptProperty_80","Vital Signs Result","True","630af0f8-476a-4116-850f-37a6b1c09a1a","BiomedicalConceptProperty"
"Unit of Pressure","True","string","BiomedicalConceptProperty_81","Unit of Pressure","True","ef8e794d-9265-43dd-b2c3-df239306877b","BiomedicalConceptProperty"
"Vital Signs Location","True","string","BiomedicalConceptProperty_82","Vital Signs Location","True","805c7986-f6e7-4f8d-9854-8103059736b0","BiomedicalConceptProperty"
"Vital Signs Laterality","True","string","BiomedicalConceptProperty_83","Vital Signs Laterality","True","e9ceed89-a07c-41ec-a05c-24b514f5433a","BiomedicalConceptProperty"
"Test Method","True","string","BiomedicalConceptProperty_84","Test Method","True","e8837571-7c0c-42dd-85e2-e651788f4bb4","BiomedicalConceptProperty"
"Vital Signs Position","True","string","BiomedicalConceptProperty_85","Vital Signs Position","True","87bb0721-e045-4e99-b689-ac794e0c9bb4","BiomedicalConceptProperty"
"Vital Signs Result","True","decimal","BiomedicalConceptProperty_86","Vital Signs Result","True","ca14beda-de02-48f8-95f1-7b1d7067ba5c","BiomedicalConceptProperty"
"Unit of Pressure","True","string","BiomedicalConceptProperty_87","Unit of Pressure","True","a238c695-69ef-4ac5-a3c4-baa6daa78285","BiomedicalConceptProperty"
"Vital Signs Location","True","string","BiomedicalConceptProperty_88","Vital Signs Location","True","f6218cad-8787-4e03-93c4-49c7d86ff131","BiomedicalConceptProperty"
"Vital Signs Laterality","True","string","BiomedicalConceptProperty_89","Vital Signs Laterality","True","d6f5184d-5be7-4b04-bf7f-1317eb6f0b4e","BiomedicalConceptProperty"
"Test Method","True","string","BiomedicalConceptProperty_90","Test Method","True","98d4c3f5-8c1c-422d-a5ec-67d3622ad9ed","BiomedicalConceptProperty"
"Vital Signs Position","True","string","BiomedicalConceptProperty_91","Vital Signs Position","True","85cd96a2-f209-49f1-a834-44f600721660","BiomedicalConceptProperty"
"Vital Signs Result","True","integer","BiomedicalConceptProperty_92","Vital Signs Result","True","c73f0479-7d6b-4d07-a286-f444ffc5f46e","BiomedicalConceptProperty"
"Count per Minute","True","string","BiomedicalConceptProperty_93","Count per Minute","True","8153efe3-3f20-48a5-b115-b7cdea7d116c","BiomedicalConceptProperty"
"Vital Signs Location","True","string","BiomedicalConceptProperty_94","Vital Signs Location","True","5b6692da-a45f-47bb-84d4-60b886921b76","BiomedicalConceptProperty"
"Vital Signs Laterality","True","string","BiomedicalConceptProperty_95","Vital Signs Laterality","True","8a31ed84-7fbc-4f13-b48d-5c87f408634e","BiomedicalConceptProperty"
"Test Method","True","string","BiomedicalConceptProperty_96","Test Method","True","a96f24eb-638e-49a0-b4d1-8c5b91e61e86","BiomedicalConceptProperty"
"Vital Signs Position","True","string","BiomedicalConceptProperty_97","Vital Signs Position","True","0082e039-4d40-4da7-af47-509b77c5d12b","BiomedicalConceptProperty"
