"text","sectionNumber","sectionTitle","id","name","uuid:ID","instanceType"
"<div></div>","4.1","Description of Trial Design","NarrativeContent_13","SECTION 4.1","32c0de4b-131a-483c-8152-eee19dae7627","NarrativeContent"
"<div></div>","4.1.1","Participant Input into Design","NarrativeContent_14","SECTION 4.1.1","45be7578-ea44-4c79-92b9-040caa0b6328","NarrativeContent"
"<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2","Rationale for Trial Design","NarrativeContent_15","SECTION 4.2","a5069afd-1c51-4e4e-ab24-50f7fdb9c3c9","NarrativeContent"
"<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","4.2.1","Rationale for Comparator","NarrativeContent_16","SECTION 4.2.1","24611f7a-ff60-449e-a496-6104fa614278","NarrativeContent"
"<div></div>","4.2.2","Rationale for Adaptive or Novel Trial Design","NarrativeContent_17","SECTION 4.2.2","00fce3da-84d9-46a5-a9da-591633f19e6f","NarrativeContent"
"<div></div>","4.2.3","Other Trial Design Considerations","NarrativeContent_18","SECTION 4.2.3","1e7f66d2-d102-4c48-a805-a5b4f9a45461","NarrativeContent"
"<div></div>","4.3","Access to Trial Intervention After End of Trial","NarrativeContent_19","SECTION 4.3","6d83e003-ad86-4519-80ea-0b938de1b486","NarrativeContent"
"<div></div>","4.4","Start of Trial and End of Trial","NarrativeContent_20","SECTION 4.4","ef1d40d9-93e6-414d-a137-0f182cf8d4ea","NarrativeContent"
"<div></div>","5","TRIAL POPULATION","NarrativeContent_21","SECTION 5","86f1e8d6-02c9-4719-8789-7b0695a40de2","NarrativeContent"
"<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","5.1","Selection of Trial Population","NarrativeContent_22","SECTION 5.1","9edc02c6-c055-46f4-adc3-679f214d6ab8","NarrativeContent"
"<div></div>","5.2","Rationale for Trial Population","NarrativeContent_23","SECTION 5.2","6aba48d8-29be-440c-a776-c9f2ccdc5d2e","NarrativeContent"
"<div><usdm:section name=""M11-inclusion""></div>","5.3","Inclusion Criteria","NarrativeContent_24","SECTION 5.3","f5e87e70-63a4-4335-b133-c05a912e4d39","NarrativeContent"
"<div><usdm:section name=""M11-exclusion""></div>","5.4","Exclusion Criteria","NarrativeContent_25","SECTION 5.4","1eb0b282-6b5f-4879-9c61-561fbf395529","NarrativeContent"
"<div></div>","5.5","Lifestyle Considerations","NarrativeContent_26","SECTION 5.5","4720b6ad-0cb4-4a94-b718-5d07bc0cff15","NarrativeContent"
"<div></div>","5.5.1","Meals and Dietary Restrictions","NarrativeContent_27","SECTION 5.5.1","cb3bc639-c927-405c-bf11-ede2b7ac94a2","NarrativeContent"
"<div><p>Not applicable</p></div>","5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent_28","SECTION 5.5.2","333db79c-e02e-4ac5-8a54-9f8bb987d5d0","NarrativeContent"
"<div></div>","5.5.3","Physical Activity","NarrativeContent_29","SECTION 5.5.3","be05d3fe-adee-45dc-9861-73ee2ea86acd","NarrativeContent"
"<div></div>","5.5.4","Other Activity","NarrativeContent_30","SECTION 5.5.4","6b470ed1-affc-40e6-b903-3432c052192a","NarrativeContent"
"<div></div>","5.6","Screen Failures","NarrativeContent_31","SECTION 5.6","2cbd9129-3814-458e-826c-a068632b38e2","NarrativeContent"
"<div></div>","6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent_32","SECTION 6","08a67e79-1b98-416d-a1b3-aa8f2fceea7d","NarrativeContent"
"<div></div>","6.1","Description of Trial Intervention","NarrativeContent_33","SECTION 6.1","7225f584-db5a-4304-aade-1ae436778c46","NarrativeContent"
"<div></div>","6.2","Rationale for Trial Intervention","NarrativeContent_34","SECTION 6.2","a23ebb89-9bd7-47dd-9ab7-a7c44692a993","NarrativeContent"
"<div></div>","6.3","Dosing and Administration","NarrativeContent_35","SECTION 6.3","e6c29ee7-a0af-42c4-a76c-567a440ddf63","NarrativeContent"
"<div></div>","6.3.1","Trial Intervention Dose Modification","NarrativeContent_36","SECTION 6.3.1","4df98170-ff44-4b0e-a1c1-d87f2387e110","NarrativeContent"
"<div></div>","6.4","Treatment of Overdose","NarrativeContent_37","SECTION 6.4","bd3d3f6d-aa19-4261-bc33-fc02a724e92a","NarrativeContent"
"<div></div>","6.5","Preparation, Handling, Storage and Accountability","NarrativeContent_38","SECTION 6.5","b9c434d9-1ac2-4948-83d3-c48026992bf7","NarrativeContent"
"<div></div>","6.5.1","Preparation of Trial Intervention","NarrativeContent_39","SECTION 6.5.1","a4c903c2-84c2-4a15-ae6f-a972288a0d29","NarrativeContent"
"<div></div>","6.5.2","Handling and Storage of Trial Intervention","NarrativeContent_40","SECTION 6.5.2","9247ff47-4dd9-48ad-bd11-dd6b111fc841","NarrativeContent"
"<div></div>","6.5.3","Accountability of Trial Intervention","NarrativeContent_41","SECTION 6.5.3","bba77aee-ce02-42a7-a172-38ee96963389","NarrativeContent"
"<div></div>","6.6","Participant Assignment, Randomisation and Blinding","NarrativeContent_42","SECTION 6.6","3b96b640-00f9-4193-aef7-4a16cafc93e9","NarrativeContent"
"<div></div>","6.6.1","Participant Assignment","NarrativeContent_43","SECTION 6.6.1","3861a01d-2870-477e-8fb9-bd5de5f189e5","NarrativeContent"
"<div></div>","6.6.2","Randomisation","NarrativeContent_44","SECTION 6.6.2","3fbcb24d-31d4-4895-994d-42297df439aa","NarrativeContent"
"<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","6.6.3","Blinding and Unblinding","NarrativeContent_45","SECTION 6.6.3","dbaa92e2-6083-4cab-979d-db874da68e0a","NarrativeContent"
"<div></div>","6.7","Trial Intervention Compliance","NarrativeContent_46","SECTION 6.7","c0dc1fd8-4ae8-4248-a324-c29eeca8a1f8","NarrativeContent"
"<div></div>","6.8","Concomitant Therapy","NarrativeContent_47","SECTION 6.8","d2362643-35e4-4d80-862c-60996641d95f","NarrativeContent"
"<div></div>","6.8.1","Prohibited Concomitant Therapy","NarrativeContent_48","SECTION 6.8.1","5a7ac9c1-4fdf-4a8e-a91f-1d2473507c1a","NarrativeContent"
"<div></div>","6.8.2","Permitted Concomitant Therapy","NarrativeContent_49","SECTION 6.8.2","bbcdc530-2a02-4cbb-aa2c-a3723b4c6b0c","NarrativeContent"
"<div></div>","6.8.3","Rescue Therapy","NarrativeContent_50","SECTION 6.8.3","d646972c-09c3-4042-9747-44cb26e6662d","NarrativeContent"
"<div></div>","6.8.4","Other Therapy","NarrativeContent_51","SECTION 6.8.4","cdc9837c-b8fd-4539-8a72-aa46a1ab5bff","NarrativeContent"
"<div></div>","7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent_52","SECTION 7","4c1e9405-1358-4d3a-89eb-22d8a4a5abb5","NarrativeContent"
"<div></div>","7.1","Discontinuation of Trial Intervention","NarrativeContent_53","SECTION 7.1","89c239cb-6713-4961-96de-cc1a9bd6c4ee","NarrativeContent"
"<div></div>","7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent_54","SECTION 7.1.1","6b71d9cb-90b4-486e-a7f3-421b90c946be","NarrativeContent"
"<div></div>","7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent_55","SECTION 7.1.2","a33ad257-e81a-42ff-886b-479b96cc4539","NarrativeContent"
"<div></div>","7.1.3","Rechallenge","NarrativeContent_56","SECTION 7.1.3","905a8e98-8cc7-4039-864b-84fee68df388","NarrativeContent"
"<div></div>","7.2","Participant Withdrawal from the Trial","NarrativeContent_57","SECTION 7.2","9c92be3d-42ac-457f-b13b-76f283584c02","NarrativeContent"
"<div></div>","7.3","Lost to Follow-Up","NarrativeContent_58","SECTION 7.3","578ced24-f8d8-47f0-94cb-cacd38184388","NarrativeContent"
"<div></div>","7.4","Trial Stopping Rules","NarrativeContent_59","SECTION 7.4","a7947b0e-aa7c-482a-ad09-c263ad01f29a","NarrativeContent"
"<div></div>","8","TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent_60","SECTION 8","023a6064-03d5-41ef-8952-08ad59fae411","NarrativeContent"
"<div></div>","8.1","Screening/Baseline Assessments and Procedures","NarrativeContent_61","SECTION 8.1","3cac8109-b553-413a-a97e-99cf51702ea2","NarrativeContent"
"<div></div>","8.2","Efficacy Assessments and Procedures","NarrativeContent_62","SECTION 8.2","6fba5139-4281-4c27-819f-34e9ac8cbde3","NarrativeContent"
"<div></div>","8.3","Safety Assessments and Procedures","NarrativeContent_63","SECTION 8.3","5e694f53-7389-4a33-8a7f-ba38c65d1b75","NarrativeContent"
"<div></div>","8.3.1","Physical Examination","NarrativeContent_64","SECTION 8.3.1","044f936e-00cf-4e7e-ae8f-b6371ed51899","NarrativeContent"
"<div></div>","8.3.2","Vital Signs","NarrativeContent_65","SECTION 8.3.2","9ed9c3cf-b386-4385-af3b-eefc1bdc7e27","NarrativeContent"
"<div></div>","8.3.3","Electrocardiograms","NarrativeContent_66","SECTION 8.3.3","ee8d8702-8e7b-4c5e-b89e-215d81729e1c","NarrativeContent"
"<div></div>","8.3.4","Clinical Laboratory Assessments","NarrativeContent_67","SECTION 8.3.4","0a44c4e0-546f-4a34-8171-d7f529a0d4bb","NarrativeContent"
"<div></div>","8.3.5","Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent_68","SECTION 8.3.5","60ef460e-5994-44d8-b7a0-74517472d96c","NarrativeContent"
"<div></div>","8.4","Adverse Events and Serious Adverse Events","NarrativeContent_69","SECTION 8.4","accc465c-de10-4e1d-9ff4-3316f8016adc","NarrativeContent"
"<div></div>","8.4.1","Definitions of AE and SAE","NarrativeContent_70","SECTION 8.4.1","4c520a1c-d62c-4127-9c84-1fa5034a4b19","NarrativeContent"
"<div></div>","8.4.2","Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent_71","SECTION 8.4.2","c4a9026b-65d4-42c7-a83f-40dcbb121332","NarrativeContent"
"<div></div>","8.4.3","Identifying AEs and SAEs","NarrativeContent_72","SECTION 8.4.3","08adfab1-2682-42fa-a3ef-5fa6aa6f50a9","NarrativeContent"
"<div></div>","8.4.4","Recording of AEs and SAEs","NarrativeContent_73","SECTION 8.4.4","f9f5724c-4bb3-43a3-bcb6-9e0efd2171c1","NarrativeContent"
"<div></div>","8.4.5","Follow-up of AEs and SAEs","NarrativeContent_74","SECTION 8.4.5","f574ae4b-7512-4585-9e82-cda223b8f1ff","NarrativeContent"
"<div></div>","8.4.6","Reporting of SAEs","NarrativeContent_75","SECTION 8.4.6","31309ba1-e6c7-42cc-81fc-0ec48c8c34e0","NarrativeContent"
"<div></div>","8.4.7","Regulatory Reporting Requirements for SAEs","NarrativeContent_76","SECTION 8.4.7","888ec28d-8040-4487-8b91-ea32be54155c","NarrativeContent"
"<div></div>","8.4.8","Serious and Unexpected Adverse Reaction Reporting","NarrativeContent_77","SECTION 8.4.8","5df91786-bd2c-4086-b53e-7fb84a7c0823","NarrativeContent"
"<div></div>","8.4.9","Adverse Events of Special Interest","NarrativeContent_78","SECTION 8.4.9","e2ad15a7-48d8-43c7-a393-b1d020701307","NarrativeContent"
"<div></div>","8.4.10","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent_79","SECTION 8.4.10","864c4665-c496-479e-84a1-84ee6acf7a81","NarrativeContent"
"<div></div>","8.5","Pregnancy and Postpartum Information","NarrativeContent_80","SECTION 8.5","de786ded-f7e3-4e98-8b7d-75ba5559a056","NarrativeContent"
"<div></div>","8.5.1","Participants Who Become Pregnant During the Trial","NarrativeContent_81","SECTION 8.5.1","dfb0fb77-3b0b-4349-a0e7-f465eb778c55","NarrativeContent"
"<div></div>","8.5.2","Participants Whose Partners Become Pregnant","NarrativeContent_82","SECTION 8.5.2","8668e1f8-cae3-4363-9d1d-ce4f5414e471","NarrativeContent"
"<div></div>","8.6","Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent_83","SECTION 8.6","f88ddc0e-71ea-4a50-bb78-9a9b16961baa","NarrativeContent"
"<div></div>","8.6.1","Definition of Medical Device Product Complaints","NarrativeContent_84","SECTION 8.6.1","82fdbf62-fb81-40eb-8ef9-46a372aa39d5","NarrativeContent"
"<div></div>","8.6.2","Recording of Medical Device Product Complaints","NarrativeContent_85","SECTION 8.6.2","3c34021f-6554-454a-a785-f7e1fc5a0082","NarrativeContent"
"<div></div>","8.6.3","Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent_86","SECTION 8.6.3","dfdeba2f-6c2b-4491-ae2c-526d2385e97e","NarrativeContent"
"<div></div>","8.6.4","Follow-Up of Medical Device Product Complaints","NarrativeContent_87","SECTION 8.6.4","f551d0c3-a63a-42f8-b979-e285f0cc8e0d","NarrativeContent"
"<div></div>","8.6.5","Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent_88","SECTION 8.6.5","a5e0522f-585e-43eb-9bbd-745d919208e7","NarrativeContent"
"<div></div>","8.7","Pharmacokinetics","NarrativeContent_89","SECTION 8.7","7b6c34b1-4d47-4de0-8368-e16b679fd674","NarrativeContent"
"<div></div>","8.8","Genetics","NarrativeContent_90","SECTION 8.8","ea1db98b-fba6-4d4c-8146-71e77ba3a2d6","NarrativeContent"
"<div></div>","8.9","Biomarkers","NarrativeContent_91","SECTION 8.9","b2c14d83-ec79-41af-824a-3a00ceefd7ed","NarrativeContent"
"<div></div>","8.1","Immunogenicity Assessments","NarrativeContent_92","SECTION 8.1","052c55f0-246c-4cfe-a76b-b92e797dfee1","NarrativeContent"
"<div></div>","8.1.1","Medical Resource Utilisation and Health Economics","NarrativeContent_93","SECTION 8.1.1","eb5d0f0c-6d04-416e-832f-e1c159794783","NarrativeContent"
"<div></div>","9","STATISTICAL CONSIDERATIONS","NarrativeContent_94","SECTION 9","a9f3fe31-18b9-4613-9f8b-c74381e16c1d","NarrativeContent"
"<div></div>","9.1","Analysis Sets","NarrativeContent_95","SECTION 9.1","f981269f-40e3-46f7-9d14-e218d10bf49a","NarrativeContent"
"<div></div>","9.2","Analyses Supporting Primary Objective(s)","NarrativeContent_96","SECTION 9.2","9860953b-ba66-4151-9d05-094e5f3f1431","NarrativeContent"
"<div></div>","9.2.1","Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent_97","SECTION 9.2.1","eda4f253-798a-4fa4-9870-a34378cacf6c","NarrativeContent"
"<div></div>","9.2.2","Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent_98","SECTION 9.2.2","3f806654-82ec-4a72-9603-a12fccfa2696","NarrativeContent"
"<div></div>","9.2.3","Handling of Missing Data","NarrativeContent_99","SECTION 9.2.3","873474c6-eb92-4415-a16a-db8173c6188b","NarrativeContent"
"<div></div>","9.2.4","Sensitivity Analysis","NarrativeContent_100","SECTION 9.2.4","dccb8b9e-3c6b-4db2-8afa-0619cc8de9f8","NarrativeContent"
"<div></div>","9.2.5","Supplementary Analysis","NarrativeContent_101","SECTION 9.2.5","2cc39c84-79bf-42a2-89c1-76aab0de4d94","NarrativeContent"
"<div></div>","9.3","Analysis Supporting Secondary Objective(s)","NarrativeContent_102","SECTION 9.3","692f8c38-8025-48d1-a633-8fbba49d9ecd","NarrativeContent"
"<div></div>","9.4","Analysis of Exploratory Objective(s)","NarrativeContent_103","SECTION 9.4","8c6ca797-833f-4c22-8708-9ad0663fe5a0","NarrativeContent"
"<div></div>","9.5","Safety Analyses","NarrativeContent_104","SECTION 9.5","338ef8fc-74ee-4170-9e30-1d9733d094a1","NarrativeContent"
"<div></div>","9.6","Other Analyses","NarrativeContent_105","SECTION 9.6","f4df0483-260e-448c-9074-445a5fd34c1c","NarrativeContent"
"<div></div>","9.7","Interim Analyses","NarrativeContent_106","SECTION 9.7","a6d41561-671d-4cf0-bd5e-dd91f42737c8","NarrativeContent"
"<div></div>","9.8","Sample Size Determination","NarrativeContent_107","SECTION 9.8","31564948-2b54-41e3-bb9c-3e29173acfe7","NarrativeContent"
"<div></div>","9.9","Protocol Deviations","NarrativeContent_108","SECTION 9.9","52edb80c-effd-4088-9a07-39eef6f39d25","NarrativeContent"
"<div></div>","10","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent_109","SECTION 10","dc2430c7-5ec7-4417-998d-dc86cddc6b89","NarrativeContent"
"<div></div>","10.1","Regulatory and Ethical Considerations","NarrativeContent_110","SECTION 10.1","dad5bfe3-dd83-47c1-8696-d74cbea062bf","NarrativeContent"
"<div></div>","10.2","Committees","NarrativeContent_111","SECTION 10.2","af794185-4103-4510-82c2-b1fa765d897f","NarrativeContent"
"<div></div>","10.3","Informed Consent Process","NarrativeContent_112","SECTION 10.3","d62d76d9-b12c-4fad-ba89-d4f497bf1586","NarrativeContent"
"<div></div>","10.4","Data Protection","NarrativeContent_113","SECTION 10.4","f3c5e6f1-4dd6-4983-acf7-9694d29a2cad","NarrativeContent"
"<div></div>","10.5","Early Site Closure or Trial Termination","NarrativeContent_114","SECTION 10.5","fe228923-bd40-42b4-baca-b4fc205e7953","NarrativeContent"
"<div></div>","11","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent_115","SECTION 11","695d6570-229d-496d-9130-23fc81b9d3c3","NarrativeContent"
"<div></div>","11.1","Quality Tolerance Limits","NarrativeContent_116","SECTION 11.1","2c3f7f57-2c2b-4690-b90e-4f004e229886","NarrativeContent"
"<div></div>","11.2","Data Quality Assurance","NarrativeContent_117","SECTION 11.2","2f7645bf-a924-40e6-93dc-76eb4ef49cd3","NarrativeContent"
"<div></div>","11.3","Source Data","NarrativeContent_118","SECTION 11.3","16d2d97a-228f-49fb-bbb1-9f29e69b0135","NarrativeContent"
"<div></div>","12","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent_119","SECTION 12","c7f0fa20-484c-4b2d-86f0-687d9de6a967","NarrativeContent"
"<div></div>","12.1","Further Details and Clarifications on the AE Definition","NarrativeContent_120","SECTION 12.1","26b9b27b-3495-4504-a743-6cc2c2c49dc4","NarrativeContent"
"<div></div>","12.2","Further Details and Clarifications on the SAE Definition","NarrativeContent_121","SECTION 12.2","af59ec27-2c9a-406f-8d3f-01f255d916ef","NarrativeContent"
"<div></div>","12.3","Severity","NarrativeContent_122","SECTION 12.3","b4248e0c-d545-41b1-b68c-f57c01a9cb59","NarrativeContent"
"<div></div>","12.4","Causality","NarrativeContent_123","SECTION 12.4","167af250-1134-4c12-98d6-8b9ca7af7b85","NarrativeContent"
"<div></div>","13","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent_124","SECTION 13","1cc7e5a0-74ef-4569-9c35-e81e7da8c52b","NarrativeContent"
"<div></div>","13.1","Contraception and Pregnancy Testing","NarrativeContent_125","SECTION 13.1","57b9d1fc-6f85-47b6-87dc-31446fae055f","NarrativeContent"
"<div></div>","13.1.1","Definitions Related to Childbearing Potential","NarrativeContent_126","SECTION 13.1.1","da5cd0db-9380-4b2d-ba4c-d096e959ebbb","NarrativeContent"
"<div></div>","13.1.2","Contraception","NarrativeContent_127","SECTION 13.1.2","aa786a09-16d5-49ca-9892-f52e561cc72a","NarrativeContent"
"<div></div>","13.1.3","Pregnancy Testing","NarrativeContent_128","SECTION 13.1.3","1d88bff1-1b40-4196-8264-1538a07e657c","NarrativeContent"
"<div></div>","13.2","Clinical Laboratory Tests","NarrativeContent_129","SECTION 13.2","7bd301f6-d3f3-4528-b38f-034ea6994a88","NarrativeContent"
"<div></div>","13.3","Country/Region-Specific Differences","NarrativeContent_130","SECTION 13.3","8823aa2e-fe31-41d2-9f87-5af6f9492d92","NarrativeContent"
"<div></div>","13.4","Prior Protocol Amendments","NarrativeContent_131","SECTION 13.4","efb0deb2-7934-4cf2-801b-58d93766f296","NarrativeContent"
"<div></div>","14","APPENDIX: GLOSSARY OF TERMS","NarrativeContent_132","SECTION 14","7a56444e-0881-4093-befd-6d2c36089fff","NarrativeContent"
"<div></div>","15","APPENDIX: REFERENCES","NarrativeContent_133","SECTION 15","fdc24d53-2988-4c95-9227-f5833ff226a7","NarrativeContent"
