"uuid:ID","name","synonyms","reference","instanceType","id","label"
"be12245e-5673-47c0-9cab-c08882f60030","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","BiomedicalConcept_3","Diastolic Blood Pressure"
"9d84f916-4c4c-4371-8dd4-0a2f943fa5bd","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","BiomedicalConcept_4","Temperature"
"4c7d810a-c472-4309-8584-db569b60b107","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","BiomedicalConcept_5","Weight"
"fbae9566-7221-4788-889d-88b47226495a","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","BiomedicalConcept_6","Height"
"deff578d-6a88-4a5a-9906-50aa3b06a92e","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma"
"58a19158-600c-4bca-a560-c4aeaa53aef8","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","BiomedicalConcept_8","Albumin Presence in Urine"
"0ff9eae6-d9d0-4ea1-9847-62d9c75cf16e","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma"
"0b2e7956-2aec-4047-9466-b38b857632e2","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma"
"26739401-0b12-464f-9622-f55d3a8a8f8f","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","BiomedicalConcept_11","Creatinine Concentration in Urine"
"466043b9-69a5-4c45-8345-3218621e341b","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","BiomedicalConcept_12","Potassium Concentration in Urine"
"595b6d29-7bd3-4504-9770-6cc825095c50","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","BiomedicalConcept_13","Sodium Concentration in Urine"
"5d8aafac-4dd3-4dd6-928d-2c43945023c1","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","BiomedicalConcept_14","Systolic Blood Pressure"
"6a90bd00-d626-4781-bbd2-fd55f20aeea3","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","BiomedicalConcept_15","Diastolic Blood Pressure"
"ed53a6d1-097c-427c-9960-1008ef5a26f5","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","BiomedicalConcept_16","Heart Rate"
"dae92d54-0789-46a7-a136-6f03983344a6","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","BiomedicalConcept_17","Systolic Blood Pressure"
"db8de1d7-6151-4b2c-a16a-37f91bb8aec3","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","BiomedicalConcept_18","Diastolic Blood Pressure"
"c6bd55ad-6265-49dd-bf12-bc810ef5890e","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","BiomedicalConcept_19","Heart Rate"
