"id","description","instanceType","label","reference","name","uuid:ID"
"BiomedicalConceptSurrogate_28","Potassium","BiomedicalConceptSurrogate","Potassium","None set","Potassium","b96b4703-ab97-4546-81bf-e2a528ad42f2"
"BiomedicalConceptSurrogate_29","Chloride","BiomedicalConceptSurrogate","Chloride","None set","Chloride","b02b250d-c67b-48fc-8971-b668d5455913"
"BiomedicalConceptSurrogate_30","Calcium","BiomedicalConceptSurrogate","Calcium","None set","Calcium","1ddc411e-4f86-4e3d-8b6a-33ecb9efa93f"
"BiomedicalConceptSurrogate_31","Phosphorus","BiomedicalConceptSurrogate","Phosphorus","None set","Phosphorus","090a7f61-746a-4b05-b1b9-f7d46f30a274"
"BiomedicalConceptSurrogate_32","Plasma Glucose","BiomedicalConceptSurrogate","Plasma Glucose","None set","Plasma Glucose","62beb141-cb56-4188-aa72-241c99d7ae10"
"BiomedicalConceptSurrogate_33","Blood urea nitrogen (BUN)","BiomedicalConceptSurrogate","Blood urea nitrogen (BUN)","None set","Blood urea nitrogen (BUN)","710e147a-d791-4d6d-a77f-39f13bee9292"
"BiomedicalConceptSurrogate_34","Uric acid","BiomedicalConceptSurrogate","Uric acid","None set","Uric acid","26c0addd-9e73-4bc1-9885-7ab93a5ed09b"
"BiomedicalConceptSurrogate_35","Total cholesterol","BiomedicalConceptSurrogate","Total cholesterol","None set","Total cholesterol","08c2cf31-59a3-420b-84c9-2c1536622871"
"BiomedicalConceptSurrogate_36","Total protein","BiomedicalConceptSurrogate","Total protein","None set","Total protein","82b7ffc1-db07-4a71-9aab-254e7c5ae3de"
"BiomedicalConceptSurrogate_37","Albumin","BiomedicalConceptSurrogate","Albumin","None set","Albumin","e43107a5-3e4c-4923-9889-245ff9bbeeb7"
"BiomedicalConceptSurrogate_38","Total bilirubin","BiomedicalConceptSurrogate","Total bilirubin","None set","Total bilirubin","98f969dc-bcb8-4cea-8ad8-5f44ca3476a4"
"BiomedicalConceptSurrogate_39","Alkaline phosphatase (ALP)","BiomedicalConceptSurrogate","Alkaline phosphatase (ALP)","None set","Alkaline phosphatase (ALP)","3eb03e50-40e2-4f36-b082-cdb253bdd7be"
"BiomedicalConceptSurrogate_40","Aspartate aminotransferase (AST)","BiomedicalConceptSurrogate","Aspartate aminotransferase (AST)","None set","Aspartate aminotransferase (AST)","47b80848-d2d4-4b43-bc60-2054217d1e76"
"BiomedicalConceptSurrogate_41","Alanine aminotransferase (ALT)","BiomedicalConceptSurrogate","Alanine aminotransferase (ALT)","None set","Alanine aminotransferase (ALT)","88cb1da9-e74b-4e75-b412-c39badff75f0"
"BiomedicalConceptSurrogate_42","Creatinine","BiomedicalConceptSurrogate","Creatinine","None set","Creatinine","4ceaeee7-41d3-46ea-9af3-089836b6d10d"
"BiomedicalConceptSurrogate_43","Urinalysisa Gamma-glutamyl transferase (GGT)","BiomedicalConceptSurrogate","Urinalysisa Gamma-glutamyl transferase (GGT)","None set","Urinalysisa Gamma-glutamyl transferase (GGT)","2ce31e68-7cd0-4124-85d8-9d1f4d809d84"
"BiomedicalConceptSurrogate_44","Insulin","BiomedicalConceptSurrogate","Insulin","None set","Insulin","0cef18d0-7437-4be1-92ff-3df3e200eda1"
"BiomedicalConceptSurrogate_45","Protein","BiomedicalConceptSurrogate","Protein","None set","Protein","4f3c4fa2-9b17-426a-b5d9-d699a3f18757"
"BiomedicalConceptSurrogate_46","Glucose","BiomedicalConceptSurrogate","Glucose","None set","Glucose","e61145d2-0b67-4e33-9831-ccbadb54078e"
"BiomedicalConceptSurrogate_47","Ketones","BiomedicalConceptSurrogate","Ketones","None set","Ketones","83907a59-5419-457a-bff5-a259afc502d3"
"BiomedicalConceptSurrogate_48","Bilirubin","BiomedicalConceptSurrogate","Bilirubin","None set","Bilirubin","4ca734a9-aa9b-4de8-8233-c58fb8cee893"
"BiomedicalConceptSurrogate_49","Urobilinogen","BiomedicalConceptSurrogate","Urobilinogen","None set","Urobilinogen","1ebbe38e-03c8-4720-81c6-fba8fd0dbc8d"
"BiomedicalConceptSurrogate_50","Blood","BiomedicalConceptSurrogate","Blood","None set","Blood","a136918c-3570-413b-a6c0-c5341e63b369"
"BiomedicalConceptSurrogate_51","Nitrite","BiomedicalConceptSurrogate","Nitrite","None set","Nitrite","543e2bad-61de-4bdb-b468-7020cc0aa813"
"BiomedicalConceptSurrogate_52","HbA1c","BiomedicalConceptSurrogate","HbA1c","None set","HbA1c","b229ddaf-ae3a-47c2-8e7c-76ba22a6d81d"
"BiomedicalConceptSurrogate_1","Weight","BiomedicalConceptSurrogate","Weight","None set","Weight","072cdebf-1cf4-415d-982a-41844ec790ba"
