"id","description","instanceType","label","name","text","identifier","uuid:ID"
"EligibilityCriterion_11","Site personal criterion","EligibilityCriterion","","EXC11","<p>are investigative site personnel directly affiliated with this study and their immediate families. Immediate family is defined as a spouse, biological or legal guardian, child, or sibling</p>","11","b6e5b210-241b-41d6-8177-066a001efdee"
"EligibilityCriterion_12","Lilly employee criterion","EligibilityCriterion","","EXC12","<p>are Lilly employees</p>","12","e1db03e9-eaf7-4bb9-9e8f-3ed3cefa877c"
"EligibilityCriterion_13","Other study critierion","EligibilityCriterion","","EXC13","<p>are currently enrolled in a clinical trial involving an investigational product or any other type of medical research judged not to be scientifically or medically compatible with this study</p>","13","efc06de7-6dc7-440c-aacb-415961063647"
"EligibilityCriterion_14","Previous study criterion","EligibilityCriterion","","EXC14","<p>have participated, within the last 4 months, in a clinical trial involving an investigational product. If the previous investigational product has a long half-life, 4 months or 5 half-lives (whichever is longer) should have passed from the last dose of investigational product</p>","14","f4c36b44-da27-4000-95d1-dd7f096339db"
"EligibilityCriterion_15","Same product critierion","EligibilityCriterion","","EXC15","<p>have previously completed or withdrawn from this study or any other study investigating LY900018, and have previously received LY900018</p>","15","2f542241-247b-475c-8527-dd6f3e7357e6"
"EligibilityCriterion_16","Sensititivity criterion","EligibilityCriterion","","EXC16","<p>have known allergies or sensitivity to LY900018, glucagon, related compounds, or any components of the formulation, or history of significant atopy</p>","16","a9c452ef-6760-432c-9cd6-09c1708e4dee"
"EligibilityCriterion_17","ECG abnormaility criterion","EligibilityCriterion","","EXC17","<p>have an abnormality in the 12-lead ECG that, in the opinion of the investigator, increases the risks associated with participating in the study</p>","17","8650bdee-5cb4-447e-9866-ed161386d9b3"
"EligibilityCriterion_18","","EligibilityCriterion","","EXC18","<p>any significant changes in insulin regimen and/or unstable blood glucose control within the past 3 months prior to screening as assessed by the investigator</p>","18","e73326f5-8074-4b33-ae34-6a585cce8742"
"EligibilityCriterion_19","","EligibilityCriterion","","EXC19","<p>have received a total daily dose of insulin &gt;1.2 U/kg at the time of screening</p>","19","6cdde94a-a5f8-4ff9-883f-2d3c1e27f101"
"EligibilityCriterion_20","","EligibilityCriterion","","EXC20","<p>have poorly controlled hypertension (ie, supine systolic BP &gt;165 mm Hg or supine diastolic BP &gt;95 mm Hg) at screening, or a change in antihypertensive medications within 30 days prior to screening</p>","20","3e24a7fb-5446-4a4f-99ae-490276b3b24d"
"EligibilityCriterion_21","","EligibilityCriterion","","EXC21","<p>have a history of pheochromocytoma (ie, adrenal gland tumor) or insulinoma</p>","21","80e5e2e8-a2c0-4c0b-8d2c-3b41b3d6915f"
"EligibilityCriterion_22","","EligibilityCriterion","","EXC22","<p>have a history of an episode of severe hypoglycemia (as defined by an episode that required third party assistance for treatment) in the 1 month prior to screening or have a history of loss of consciousness within the last 2 years induced other than by hypoglycemia</p>","22","2511c325-0bec-45b5-b149-ee5acb22ccfd"
"EligibilityCriterion_23","Epilepsy criterion","EligibilityCriterion","","EXC23","<p>have a history of epilepsy or seizure disorder</p>","23","bec5f796-ee13-4e35-b379-3bf0fefc7dd9"
"EligibilityCriterion_24","Medical conditions criterion","EligibilityCriterion","","EXC24","<p>have a history or presence of cardiovascular, respiratory, hepatic, renal, gastrointestinal, endocrine (apart from T1DM or T2DM), hematological, or neurological disorders capable of significantly altering the absorption, metabolism, or elimination of drugs; of constituting a risk when taking the investigational product; or of interfering with the interpretation of data</p>","24","9f78d2e6-225b-42e2-8a1f-597aa781a6ef"
"EligibilityCriterion_25","Physciatric criterion","EligibilityCriterion","","EXC25","<p>have known or ongoing psychiatric disorders that, in the opinion of the investigator, may preclude the patient from following and completing the protocol</p>","25","406d23a2-9027-4cbe-a20c-03d918437557"
"EligibilityCriterion_26","Drug abuse criterion","EligibilityCriterion","","EXC26","<p>regularly use known drugs of abuse and/or show positive findings on urinary drug screening</p>","26","0a9d971d-953b-457f-ad51-e2c150a868fc"
"EligibilityCriterion_27","HIV criterion","EligibilityCriterion","","EXC27","<p>show evidence of human immunodeficiency virus (HIV) infection and/or positive HIV antibodies and/or antigen</p>","27","6ed3968c-c1e0-46ae-a614-7d5dcb377136"
"EligibilityCriterion_28","Hep C criterion","EligibilityCriterion","","EXC28","<p>show evidence of hepatitis C and/or positive hepatitis C antibody</p>","28","e8737d91-5229-4b80-86a1-630c2cadaea2"
"EligibilityCriterion_29","Hep B criterion","EligibilityCriterion","","EXC29","<p>show evidence of hepatitis B and/or positive hepatitis B surface antigen</p>","29","d198ba9b-849b-43c2-bd88-81d4272019ea"
"EligibilityCriterion_30","Syphillia criterion","EligibilityCriterion","","EXC30","<p>show evidence of syphilis and/or are positive for syphilis test</p>","30","5c644ed1-a24f-48e8-bb5f-dba768f69f3e"
"EligibilityCriterion_31","","EligibilityCriterion","","EXC31","<p>are women who are lactating</p>","31","62cba030-fc41-4edf-866e-32571bf31180"
"EligibilityCriterion_32","","EligibilityCriterion","","EXC32","<p>use of daily systemic beta-blocker, indomethacin, warfarin, anticholinergic drugs</p>","32","8367b3d0-a66c-4455-a57e-1fd43407214a"
"EligibilityCriterion_33","Blood donation criterion","EligibilityCriterion","","EXC33","<p>have donated 400 mL or more blood in the last 12 weeks (males) or in the last 16 weeks (females), or any blood donation (including apheresis) within the last 4 weeks, or total volume of blood donation within 12 months is 1200 mL (males)/800 mL (females) or more at screening</p>","33","7d9336cc-0bfa-4cff-a5da-eaf9d0dcbde7"
"EligibilityCriterion_34","Alcohol critierion","EligibilityCriterion","","EXC34","<p>have an average weekly alcohol intake that exceeds 21 units per week (males up to age 65) and 14 units per week (males over 65 and females), or are unwilling to stop alcohol consumption from Day -2 to discharge from CRU in each period (1 unit = 12 oz or 360 mL of beer; 5 oz or 150 mL of wine; 1.5 oz or 45 mL of distilled spirits)</p>","34","d1a05dad-52a7-447c-8105-8e419112a2b0"
"EligibilityCriterion_35","Unsuitable criterion","EligibilityCriterion","","EXC35","<p>in the opinion of the investigator or sponsor, are unsuitable for inclusion in the study</p>","35","99b84b08-4efc-4a55-966f-a68d8b3bf95c"
"EligibilityCriterion_36","","EligibilityCriterion","","EXC36","<p>have pre-proliferative and proliferative retinopathy or maculopathy requiring treatment or not clinically stable in the last 6 months, or patients with active changes in subjective eye symptoms as determined by the investigator if an eye exam has not been performed in the last 6 months. Note: If an eye examination has been performed no more than 6 months before screening, it will not have to be repeated; however, the investigator will need to confirm via interview that there is no change in subjective symptoms.</p>","36","2a02faf2-0238-49f3-abd9-525a1600a858"
