"decode","uuid:ID","instanceType","codeSystem","codeSystemVersion","id","code"
"Parallel Study","d6592d13-c843-4607-96cc-df0c788cb126","Code","http://www.cdisc.org","2023-12-15","Code_141","C82639"
"Visit","d01a32d8-1fe4-42ba-935b-85ee8e4e975f","Code","http://www.cdisc.org","2023-12-15","Code_83","C25716"
"Clinic","59e56866-84d2-4b2e-9311-8776944b6809","Code","http://www.cdisc.org","2023-12-15","Code_84","C51282"
"In Person","5e3e7603-ea22-44a3-9ace-7d9270e9ae7d","Code","http://www.cdisc.org","2023-12-15","Code_85","C175574"
"Visit","246120f6-f4ff-42e9-88bf-bfdfaf664b11","Code","http://www.cdisc.org","2023-12-15","Code_86","C25716"
"Clinic","5f37731b-220d-4a93-ab69-6ecf76b9a3ce","Code","http://www.cdisc.org","2023-12-15","Code_87","C51282"
"In Person","08aad806-c49d-4bab-b0d0-066bc484c8f2","Code","http://www.cdisc.org","2023-12-15","Code_88","C175574"
"Visit","82bbcdaa-7943-471b-8d60-6538e167f0d6","Code","http://www.cdisc.org","2023-12-15","Code_89","C25716"
"Clinic","0c9fcfba-ab28-4fab-8082-9b487aeb167e","Code","http://www.cdisc.org","2023-12-15","Code_90","C51282"
"In Person","8d3bf402-80d9-4277-b284-49e95f2c8dab","Code","http://www.cdisc.org","2023-12-15","Code_91","C175574"
"Visit","e60b670f-d93d-40e5-b5f5-d416c89ce370","Code","http://www.cdisc.org","2023-12-15","Code_92","C25716"
"Clinic","38877a6a-97f4-4ce5-bf81-fda7de818bda","Code","http://www.cdisc.org","2023-12-15","Code_93","C51282"
"In Person","6cd7d5c9-7671-4602-ad4c-18c3ee820f5a","Code","http://www.cdisc.org","2023-12-15","Code_94","C175574"
"Visit","d4b31dcc-429a-46f2-a336-89b070b64396","Code","http://www.cdisc.org","2023-12-15","Code_95","C25716"
"Clinic","25bc61dd-860f-43fe-b6ca-e910a2d7ad58","Code","http://www.cdisc.org","2023-12-15","Code_96","C51282"
"In Person","dbeeebc8-7e2c-4f7e-a1af-8460fb67be6a","Code","http://www.cdisc.org","2023-12-15","Code_97","C175574"
"Visit","06d2e9c5-1097-40c9-b6d1-8704a7976331","Code","http://www.cdisc.org","2023-12-15","Code_98","C25716"
"Clinic","7585cd8a-1f7b-4c52-84c5-3d3e9c782854","Code","http://www.cdisc.org","2023-12-15","Code_99","C51282"
"In Person","e9e167cf-deaa-461d-9024-409a2d262bd0","Code","http://www.cdisc.org","2023-12-15","Code_100","C175574"
"Visit","20b66fbb-8366-42e6-b214-83e1b2d9d232","Code","http://www.cdisc.org","2023-12-15","Code_101","C25716"
"Clinic","1e84fa51-0a06-49d1-8235-d8e80584e42c","Code","http://www.cdisc.org","2023-12-15","Code_102","C51282"
"In Person","1bab6767-b3fd-4d20-95c9-77d39ba03410","Code","http://www.cdisc.org","2023-12-15","Code_103","C175574"
"Telephone Call","58dcafe3-51d8-44e7-82a0-38fff82cc343","Code","http://www.cdisc.org","2023-12-15","Code_104","C171537"
"Visit","783fbcb9-f7dc-4e91-850c-efe74023b5c0","Code","http://www.cdisc.org","2023-12-15","Code_105","C25716"
"Clinic","ea89db45-a60d-4967-9ea3-e727902dd759","Code","http://www.cdisc.org","2023-12-15","Code_106","C51282"
"In Person","5ece3a91-a258-4dfa-8285-417845976261","Code","http://www.cdisc.org","2023-12-15","Code_107","C175574"
"Telephone Call","33d960d2-7308-4fb3-9ecb-c19301fd9fc7","Code","http://www.cdisc.org","2023-12-15","Code_108","C171537"
"Visit","3d414432-370d-4915-b629-3de069e7062c","Code","http://www.cdisc.org","2023-12-15","Code_109","C25716"
"Clinic","51e70289-7ae6-4f17-a5f4-588d08a8b36b","Code","http://www.cdisc.org","2023-12-15","Code_110","C51282"
"In Person","d0f9bc70-2cc7-4d69-8c95-70d8e71951de","Code","http://www.cdisc.org","2023-12-15","Code_111","C175574"
"Telephone Call","4fa0a0ac-5e77-4c58-9223-464baae51dfe","Code","http://www.cdisc.org","2023-12-15","Code_112","C171537"
"Visit","a528cb9b-9e28-4b1b-b34a-95ba4c9c70cd","Code","http://www.cdisc.org","2023-12-15","Code_113","C25716"
"Clinic","00b69f56-a5df-418e-a2e8-161da07d647a","Code","http://www.cdisc.org","2023-12-15","Code_114","C51282"
"In Person","a9798dc7-86bb-48fc-8353-3e1963b3d62f","Code","http://www.cdisc.org","2023-12-15","Code_115","C175574"
"Telephone Call","0da8a909-52f3-4727-b0dd-58b072eac423","Code","http://www.cdisc.org","2023-12-15","Code_116","C171537"
"Visit","065b1fb1-4124-431d-8418-7742eb70a520","Code","http://www.cdisc.org","2023-12-15","Code_117","C25716"
"Clinic","b56d66d7-d374-4e50-9faf-cb650cdd082f","Code","http://www.cdisc.org","2023-12-15","Code_118","C51282"
"In Person","47543226-1c49-4e38-a960-c41e5bbcf9de","Code","http://www.cdisc.org","2023-12-15","Code_119","C175574"
"Visit","68c2cfc1-063f-4a45-ab64-75912697267a","Code","http://www.cdisc.org","2023-12-15","Code_120","C25716"
"Clinic","f344db91-4326-4f8d-beeb-f3dd705335fa","Code","http://www.cdisc.org","2023-12-15","Code_121","C51282"
"In Person","c786a198-dd1c-4d8b-b552-7a12bc989f39","Code","http://www.cdisc.org","2023-12-15","Code_122","C175574"
"CT of head without contrast","ca389657-cc3e-4b57-801b-bc44b5bd770d","Code","SNOMED","January 31, 2018","Code_80","383371000119108"
"Subject Supine","2539a94e-c979-4ad5-afa3-da75bc733f9e","Code","SPONSOR","12","Code_81","123"
"Subject Standing","561befa4-1723-49ec-afda-6ec28dc99d6d","Code","SPONSOR","12","Code_82","124"
"Male","5acdd5a8-3622-41d8-aeb1-045905000165","Code","http://www.cdisc.org","2023-12-15","Code_429","C20197"
"Female","694e68d9-f759-4ddb-bd04-b64baa08019f","Code","http://www.cdisc.org","2023-12-15","Code_430","C16576"
"Sex","f632dc3f-bc37-4642-87f5-288beff28c52","Code","http://www.cdisc.org","2023-12-15","Code_431","C28421"
"Sex","c1b4c644-2ef0-48ac-a459-c72b1587b85a","Code","http://www.cdisc.org","2023-12-15","Code_432","C28421"
"Race","858d7ff0-da1b-40d2-b85c-4ae4a86cafd6","Code","http://www.cdisc.org","2023-12-15","Code_433","C17049"
"Race","0e53d685-2ec4-4d16-a6eb-54dd0cd6867d","Code","http://www.cdisc.org","2023-12-15","Code_434","C17049"
"TEMP","c0673e5b-860a-4f85-a24b-9a4715b01a52","Code","http://www.cdisc.org","2023-12-15","Code_435","C174446"
"Clinical Test Result","804ac082-94d9-4fea-b8e4-5bc0838d74d9","Code","http://www.cdisc.org","2023-12-15","Code_436","C77140"
"Degree Celsius","b1c45f92-c0cf-43cb-b074-f3a781e0b283","Code","http://www.cdisc.org","2023-12-15","Code_437","C42559"
"Degree Fahrenheit","768f58a6-8ffc-4e2d-bac2-778b37e4e0fc","Code","http://www.cdisc.org","2023-12-15","Code_438","C44277"
"Kelvin","1ec63339-dc32-4c83-ad71-fd459600e673","Code","http://www.cdisc.org","2023-12-15","Code_439","C42537"
"Unit of Temperature","a8a41ee8-6542-4e88-a9e4-6b210c8a765c","Code","http://www.cdisc.org","2023-12-15","Code_440","C44276"
"Axilla","52de87e2-1f7a-496c-8b2e-e6ad96cb9abe","Code","http://www.cdisc.org","2023-12-15","Code_441","C12674"
"Ear","de596347-224e-4552-969d-ca4ae5d60f4b","Code","http://www.cdisc.org","2023-12-15","Code_442","C12394"
"Forehead","6684842f-6420-4995-b89a-e0d8cd6732ef","Code","http://www.cdisc.org","2023-12-15","Code_443","C89803"
"Oral Cavity","c151b7f8-bf03-4c66-9075-904e16dfc4be","Code","http://www.cdisc.org","2023-12-15","Code_444","C12421"
"Rectum","49839dd8-b05e-4e41-8f73-de5d4b96bcd4","Code","http://www.cdisc.org","2023-12-15","Code_445","C12390"
"Anatomic Site","700824ab-c881-49c3-8aa4-f2faf7df77c1","Code","http://www.cdisc.org","2023-12-15","Code_446","C13717"
"TEMP","ee268b24-f2a6-46e9-8139-f59fdae85c41","Code","http://www.cdisc.org","2023-12-15","Code_447","C174446"
"WEIGHT","d1000806-ccae-4309-a602-396bb6f3158f","Code","http://www.cdisc.org","2023-12-15","Code_448","C25208"
"Clinical Test Result","50cf4ed9-7720-4e3c-b5f5-2e103c9f6672","Code","http://www.cdisc.org","2023-12-15","Code_449","C77140"
"Pound","38c984f4-c1b3-47c4-88df-597d518b5315","Code","http://www.cdisc.org","2023-12-15","Code_450","C48531"
"Gram","5c7705ef-cb2e-4b07-8ee0-ba7bfc0873b6","Code","http://www.cdisc.org","2023-12-15","Code_451","C48155"
"Kilogram","da40e384-e903-445d-a9d4-7582796b5dfa","Code","http://www.cdisc.org","2023-12-15","Code_452","C28252"
"Unit of Weight","d7ad97a6-c04c-4e9c-8464-4f7670e44034","Code","http://www.cdisc.org","2023-12-15","Code_453","C48208"
"WEIGHT","ed3fcc03-7be2-4394-8e5f-307579c273b4","Code","http://www.cdisc.org","2023-12-15","Code_454","C25208"
"HEIGHT","4177c516-00a4-4496-b148-05404d771f7c","Code","http://www.cdisc.org","2023-12-15","Code_455","C25347"
"Clinical Test Result","31d9968d-782e-4bdc-ade6-aaa3b7f08047","Code","http://www.cdisc.org","2023-12-15","Code_456","C77140"
"Centimeter","97f106c0-4c63-4204-9873-aa0bae4eb311","Code","http://www.cdisc.org","2023-12-15","Code_457","C49668"
"Inch","d238134e-e56b-4566-8203-f53536594c40","Code","http://www.cdisc.org","2023-12-15","Code_458","C48500"
"Meter","77a47d3c-eab2-42d7-89ab-e6bdd0013352","Code","http://www.cdisc.org","2023-12-15","Code_459","C41139"
"Unit of Height","28c07fcc-0137-4ef2-8513-a75ce3b16d8d","Code","http://www.cdisc.org","2023-12-15","Code_460","C168688"
"HEIGHT","a412207c-18e3-474b-99d1-31542bbbacea","Code","http://www.cdisc.org","2023-12-15","Code_461","C25347"
"ALT","a6e2a31a-cd9a-4b66-849a-47dd76fdaecb","Code","http://www.cdisc.org","2023-12-15","Code_462","C64433"
"Laboratory Test Result","2ec840ab-3900-4895-9077-f441d8bb4594","Code","http://www.cdisc.org","2023-12-15","Code_463","C36292"
"Unit per Liter","2f80d243-7a0d-4ac4-957d-e81ffb80f575","Code","http://www.cdisc.org","2023-12-15","Code_464","C67456"
"Microkatal per Liter","f8b288e6-7754-4fe0-ba79-8e4453489063","Code","http://www.cdisc.org","2023-12-15","Code_465","C67397"
"International Unit per Liter","a1328099-eaec-4495-8d11-1e0df8503037","Code","http://www.cdisc.org","2023-12-15","Code_466","C67376"
"Nanokatal per Liter","a7c95c29-7cb5-401f-9f64-5cc9cb7092e0","Code","http://www.cdisc.org","2023-12-15","Code_467","C70510"
"Unit of Catalytic Activity Concentration","59bce9a2-7248-419e-a73b-e1a1031671a3","Code","http://www.cdisc.org","2023-12-15","Code_468","C67365"
"Biospecimen Type","2da33dc8-40f0-4386-ab5d-45c87e23ae9c","Code","http://www.cdisc.org","2023-12-15","Code_469","C70713"
"No","33102b86-7f99-42a5-afee-d025f392376a","Code","http://www.cdisc.org","2023-12-15","Code_470","C49487"
"Yes","c7ddd06f-5b6f-408a-a60e-27050ae730c9","Code","http://www.cdisc.org","2023-12-15","Code_471","C49488"
"Laboratory Test Fasting Status","037b28ba-60fc-4466-89ca-af34208d584c","Code","http://www.cdisc.org","2023-12-15","Code_472","C83309"
"ALT","9270f0dd-5718-46da-bfdb-a2d08b535bfc","Code","http://www.cdisc.org","2023-12-15","Code_473","C64433"
"ALB","82227695-dbd9-4c89-bfe8-affca98a1fb4","Code","http://www.cdisc.org","2023-12-15","Code_474","C64431"
"Laboratory Test Result","af551cdf-26b7-4a91-b99e-8c707e43e335","Code","http://www.cdisc.org","2023-12-15","Code_475","C36292"
"Biospecimen Type","c0095d0a-7587-4a50-b39d-0d2025dfa5ec","Code","http://www.cdisc.org","2023-12-15","Code_476","C70713"
"No","8c98e255-1e23-4bd4-b7c9-e144a8e78838","Code","http://www.cdisc.org","2023-12-15","Code_477","C49487"
"Yes","2ad7283a-a0b3-4346-95b9-239c3d514ab1","Code","http://www.cdisc.org","2023-12-15","Code_478","C49488"
"Laboratory Test Fasting Status","3d23a02b-b986-4bc9-9bd9-da8518ba922b","Code","http://www.cdisc.org","2023-12-15","Code_479","C83309"
"ALB","32b50f58-3680-4f04-99de-ef1a4ab2a5fb","Code","http://www.cdisc.org","2023-12-15","Code_480","C64431"
"ALP","4b792e50-f3ce-425c-9e33-bedce84aa8c4","Code","http://www.cdisc.org","2023-12-15","Code_481","C64432"
"Laboratory Test Result","bf1db115-ef41-4fba-ac53-d522710329a2","Code","http://www.cdisc.org","2023-12-15","Code_482","C36292"
"Unit per Liter","5afcfeb0-c44f-4d13-9837-3ed81452f386","Code","http://www.cdisc.org","2023-12-15","Code_483","C67456"
"Microkatal per Liter","d3ee826a-a51f-4572-ab0f-37d193fa11a1","Code","http://www.cdisc.org","2023-12-15","Code_484","C67397"
"International Unit per Liter","18f3ff16-52c5-41bc-9ba1-e39b508d6d0b","Code","http://www.cdisc.org","2023-12-15","Code_485","C67376"
"Unit of Catalytic Activity Concentration","d0cde111-65a3-44ac-b25f-7eafaecd6e36","Code","http://www.cdisc.org","2023-12-15","Code_486","C67365"
"Biospecimen Type","81663385-c2b3-423e-8052-ba48162d63b6","Code","http://www.cdisc.org","2023-12-15","Code_487","C70713"
"No","c67b36b3-a032-49a8-9547-7721405d4820","Code","http://www.cdisc.org","2023-12-15","Code_488","C49487"
"Yes","115c58cf-c563-4d68-b060-0fc28bd3f486","Code","http://www.cdisc.org","2023-12-15","Code_489","C49488"
"Laboratory Test Fasting Status","9bf7c5f7-592f-423d-affd-a399b5fa7af3","Code","http://www.cdisc.org","2023-12-15","Code_490","C83309"
"ALP","9b2e0e49-847d-4120-8ba1-abe8bebe7cc1","Code","http://www.cdisc.org","2023-12-15","Code_491","C64432"
"AST","99b3557c-e053-40a5-a2cc-fe35fe6713bd","Code","http://www.cdisc.org","2023-12-15","Code_492","C64467"
"Laboratory Test Result","8e18e629-3d3b-4356-acc1-4e98ea6e1751","Code","http://www.cdisc.org","2023-12-15","Code_493","C36292"
"Unit per Liter","9cebc6c0-c9c7-41d4-afa4-2316896d6646","Code","http://www.cdisc.org","2023-12-15","Code_494","C67456"
"Microkatal per Liter","45ffd6d3-eaee-4fd5-9e76-9f388d15dec0","Code","http://www.cdisc.org","2023-12-15","Code_495","C67397"
"International Unit per Liter","c690ec5e-1e61-45cc-a422-ec7c3e88f1fe","Code","http://www.cdisc.org","2023-12-15","Code_496","C67376"
"Unit of Catalytic Activity Concentration","d0ca10c8-258b-45fb-8d36-81cab221ded8","Code","http://www.cdisc.org","2023-12-15","Code_497","C67365"
"Biospecimen Type","07514911-3940-4ec2-a924-d4dca4f418ec","Code","http://www.cdisc.org","2023-12-15","Code_498","C70713"
"No","cd262545-4cc9-4217-982b-dfb1389e087f","Code","http://www.cdisc.org","2023-12-15","Code_499","C49487"
"Yes","830ebf59-fe96-4c53-b4fd-b1387ed7683e","Code","http://www.cdisc.org","2023-12-15","Code_500","C49488"
"Laboratory Test Fasting Status","4a754caa-d5a3-4dc2-b06b-6a81e07dabbd","Code","http://www.cdisc.org","2023-12-15","Code_501","C83309"
"AST","f307a0a6-cf1c-4e62-87a2-93efb0acdc43","Code","http://www.cdisc.org","2023-12-15","Code_502","C64467"
"CREAT","23e0e00d-df18-429e-a395-20028810ba6c","Code","http://www.cdisc.org","2023-12-15","Code_503","C64547"
"Laboratory Test Result","956c50ad-8b84-4f35-b5a6-eef902af0552","Code","http://www.cdisc.org","2023-12-15","Code_504","C36292"
"Milligram per Deciliter","8f85a504-a535-4218-bf96-525d301766d4","Code","http://www.cdisc.org","2023-12-15","Code_505","C67015"
"Microgram per Milliliter","e91a1488-9c18-4952-a168-8f9636248e50","Code","http://www.cdisc.org","2023-12-15","Code_506","C64572"
"Millimole per Liter","30c8c303-dc04-4811-a936-f0d99bfacb9e","Code","http://www.cdisc.org","2023-12-15","Code_507","C64387"
"Micromole per Liter","e7c296bc-e3b7-43e5-89a1-962fbfd18f69","Code","http://www.cdisc.org","2023-12-15","Code_508","C48508"
"Unit of Concentration","b97a379f-5707-403d-849c-9c5c78c877e9","Code","http://www.cdisc.org","2023-12-15","Code_509","C48207"
"Biospecimen Type","5c4c7a95-d084-4a60-984b-6ab8b543bfce","Code","http://www.cdisc.org","2023-12-15","Code_510","C70713"
"No","5b06c9d0-6c01-4125-bb72-68f02c40d5ca","Code","http://www.cdisc.org","2023-12-15","Code_511","C49487"
"Yes","79a8ddfe-8df7-4333-91fc-8e87003ca175","Code","http://www.cdisc.org","2023-12-15","Code_512","C49488"
"Laboratory Test Fasting Status","79abdfca-287b-4eda-920c-85b8468ad938","Code","http://www.cdisc.org","2023-12-15","Code_513","C83309"
"CREAT","8f867cc8-e623-4d08-9ea4-1787fd1416f7","Code","http://www.cdisc.org","2023-12-15","Code_514","C64547"
"K","a591f466-5e3d-4663-9f74-f3081225d3e0","Code","http://www.cdisc.org","2023-12-15","Code_515","C64853"
"Laboratory Test Result","4904b5f6-de2c-4816-b34f-872f2ce4b50a","Code","http://www.cdisc.org","2023-12-15","Code_516","C36292"
"Milliequivalent per Liter","62edc6f1-a658-4611-9fb5-2f9d69c59347","Code","http://www.cdisc.org","2023-12-15","Code_517","C67474"
"Milliequivalent per Deciliter","cb067864-415d-4469-ab98-d1f94f1d6a13","Code","http://www.cdisc.org","2023-12-15","Code_518","C67473"
"Millimole per Liter","2ca43504-2bf7-4aad-b3dd-a21749440f3c","Code","http://www.cdisc.org","2023-12-15","Code_519","C64387"
"Molarity Unit","a7e38602-3112-4458-989e-fb8a25ed366b","Code","http://www.cdisc.org","2023-12-15","Code_520","C64567"
"Biospecimen Type","4660a297-23ea-4874-af17-8e22582a0a65","Code","http://www.cdisc.org","2023-12-15","Code_521","C70713"
"No","650c2ce3-eac5-430f-b12f-2401064c6528","Code","http://www.cdisc.org","2023-12-15","Code_522","C49487"
"Yes","76e5250e-d628-4b6a-bc79-cfb8d068b144","Code","http://www.cdisc.org","2023-12-15","Code_523","C49488"
"Laboratory Test Fasting Status","0493e76b-d3f7-4ec0-b280-ff214bda354f","Code","http://www.cdisc.org","2023-12-15","Code_524","C83309"
"K","a23f95bd-2bf2-4f23-9c36-f9465b4bcc63","Code","http://www.cdisc.org","2023-12-15","Code_525","C64853"
"SODIUM","ecfcceb0-ad85-4841-b466-82463779806e","Code","http://www.cdisc.org","2023-12-15","Code_526","C64809"
"Laboratory Test Result","121c268c-034d-459b-b20c-f8c3a053a815","Code","http://www.cdisc.org","2023-12-15","Code_527","C36292"
"Milliequivalent per Liter","6fed3cfc-4e8b-4b88-81a8-1a081557d926","Code","http://www.cdisc.org","2023-12-15","Code_528","C67474"
"Milliequivalent per Deciliter","3dec0730-fa99-42f3-85a8-782140fb4a45","Code","http://www.cdisc.org","2023-12-15","Code_529","C67473"
"Millimole per Liter","a75e9e87-af62-43dc-8fdb-7ca259f6f3c5","Code","http://www.cdisc.org","2023-12-15","Code_530","C64387"
"Molarity Unit","b6f00d3d-cff6-48ef-97f8-1c39a301e0ff","Code","http://www.cdisc.org","2023-12-15","Code_531","C64567"
"Biospecimen Type","797918b9-ad3e-4406-8228-be023b2745f4","Code","http://www.cdisc.org","2023-12-15","Code_532","C70713"
"No","9ab9733b-f3e4-426c-bf93-ed9042eca5ad","Code","http://www.cdisc.org","2023-12-15","Code_533","C49487"
"Yes","8d9f096d-99bd-49a7-87eb-4e9f5989382b","Code","http://www.cdisc.org","2023-12-15","Code_534","C49488"
"Laboratory Test Fasting Status","8946e4c2-2a15-450d-9fc8-429e81f6f9d8","Code","http://www.cdisc.org","2023-12-15","Code_535","C83309"
"SODIUM","a326d3c1-e942-4da5-a387-cb4bbb9fb148","Code","http://www.cdisc.org","2023-12-15","Code_536","C64809"
"HBA1C","32693a4e-2442-4f0a-aea7-7d674f762335","Code","http://www.cdisc.org","2023-12-15","Code_537","C64849"
"Laboratory Test Result","bebe0519-3adc-4331-9aed-d122c0a8876f","Code","http://www.cdisc.org","2023-12-15","Code_538","C36292"
"Gram per Deciliter","a9513bc0-82a3-4b07-9661-571d0bb22a71","Code","http://www.cdisc.org","2023-12-15","Code_539","C64783"
"LBORRESU","75e9e0a9-d95d-4c59-8a46-c8551e60a6af","Code","http://www.cdisc.org","2023-12-15","Code_540","No Concept Code"
"Biospecimen Type","25408db6-0945-448d-a8ad-cb7a9dc78bed","Code","http://www.cdisc.org","2023-12-15","Code_541","C70713"
"No","720b008a-20eb-4d43-a95e-426022fb2b60","Code","http://www.cdisc.org","2023-12-15","Code_542","C49487"
"Yes","f8f70dd0-8b71-4174-a89c-bf09e665ae83","Code","http://www.cdisc.org","2023-12-15","Code_543","C49488"
"Laboratory Test Fasting Status","cca7f043-b229-4c32-aeba-50391ff5ff5c","Code","http://www.cdisc.org","2023-12-15","Code_544","C83309"
"HBA1C","2ee008f8-b957-47c1-aeea-f9264f77cdb8","Code","http://www.cdisc.org","2023-12-15","Code_545","C64849"
"Adverse Event Verbatim Description","dc55abb8-5850-4ec5-af19-00ea90962e8c","Code","http://www.cdisc.org","2023-12-15","Code_145","C78541"
"Adverse Event Dictionary Derived Term","858c4a2f-5690-415b-8aa9-c3e75bb5d45e","Code","http://www.cdisc.org","2023-12-15","Code_146","C83344"
"No","e36ba7d9-0def-4ea2-8536-3c9b8e0f91c6","Code","http://www.cdisc.org","2023-12-15","Code_147","C49487"
"Yes","ff7256a7-0321-4776-b196-f49089caceda","Code","http://www.cdisc.org","2023-12-15","Code_148","C49488"
"Adverse Event Pre-specified","4a3de760-b563-4f30-bee6-c2b3bb7c7b2b","Code","http://www.cdisc.org","2023-12-15","Code_149","C87840"
"Adverse Event Location","13cecf5a-dc67-4e12-8571-965653302954","Code","http://www.cdisc.org","2023-12-15","Code_150","C83205"
"Severity of Adverse Event","065a1766-7828-458c-b714-c29df2642319","Code","http://www.cdisc.org","2023-12-15","Code_151","C53253"
"No","5ea8fa0b-f998-4788-9825-a1491254f07f","Code","http://www.cdisc.org","2023-12-15","Code_152","C49487"
"Yes","a68c66a5-d7ed-4754-8ed0-728d320da60e","Code","http://www.cdisc.org","2023-12-15","Code_153","C49488"
"Seriousness of Adverse Event","80a05a81-26e1-4446-9a0f-d6ad597f4b83","Code","http://www.cdisc.org","2023-12-15","Code_154","C53252"
"Adverse Event Action Taken with Study Treatment","5e3b91fc-5d78-4632-8ccc-687e650c53fc","Code","http://www.cdisc.org","2023-12-15","Code_155","C83013"
"Other Actions taken in Response to Adverse Event","01440101-f7e5-43fd-818e-6fe3f23b1e2a","Code","http://www.cdisc.org","2023-12-15","Code_156","C83109"
"Adverse Event Attribution to Product or Procedure","b0993c35-4d0f-4701-8ee8-04b8713f19b8","Code","http://www.cdisc.org","2023-12-15","Code_157","C41358"
"Adverse Event Relationship to Non Study Treatment","3cdb7e76-830f-43e5-98e4-f8a2feb89f3f","Code","http://www.cdisc.org","2023-12-15","Code_158","C83210"
"Adverse Event Pattern","86de9fa2-da14-4989-be9b-be410edf4615","Code","http://www.cdisc.org","2023-12-15","Code_159","C83208"
"Adverse Event Outcome","95e1feab-c5fc-4fa4-9d89-f2983ad2b185","Code","http://www.cdisc.org","2023-12-15","Code_160","C49489"
"No","b77ccf22-2253-44ef-b11b-c61632a14679","Code","http://www.cdisc.org","2023-12-15","Code_161","C49487"
"Yes","03f42b5d-0db8-4157-9653-a1373e74d5a7","Code","http://www.cdisc.org","2023-12-15","Code_162","C49488"
"Adverse Event Involves Cancer","2d01752e-2053-4086-af2b-75dfb5ea1aed","Code","http://www.cdisc.org","2023-12-15","Code_163","C83211"
"No","2d86c636-9ff3-456f-853f-e63d41d4b844","Code","http://www.cdisc.org","2023-12-15","Code_164","C49487"
"Yes","dc828f1a-430f-4f93-956d-e261ac07a1aa","Code","http://www.cdisc.org","2023-12-15","Code_165","C49488"
"Adverse Event Seriousness Due to Congenital Anomaly","933a29e0-45c1-4dcc-af5b-a13bee34db48","Code","http://www.cdisc.org","2023-12-15","Code_166","C83117"
"No","53d31353-cb50-4378-aecf-e7275f6be9a1","Code","http://www.cdisc.org","2023-12-15","Code_167","C49487"
"Yes","25e5f640-0444-4bba-852f-4821d4ed350f","Code","http://www.cdisc.org","2023-12-15","Code_168","C49488"
"Disabling Adverse Event","e4157861-1cda-4d55-9ead-fa409ed59f8a","Code","http://www.cdisc.org","2023-12-15","Code_169","C113380"
"No","d8c06bc9-da6b-4578-8536-a6d5c6839885","Code","http://www.cdisc.org","2023-12-15","Code_170","C49487"
"Yes","f6ad745d-cb31-4f27-9546-38f6e1135cdb","Code","http://www.cdisc.org","2023-12-15","Code_171","C49488"
"Death Related to Adverse Event","bedb9b19-2c35-46b2-b50e-6229c9e78ced","Code","http://www.cdisc.org","2023-12-15","Code_172","C48275"
