"reference","name","uuid:ID","instanceType","label","synonyms","id"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","bd612f58-50fa-4911-853f-7a8394cb8024","BiomedicalConcept","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept_7"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","eb86b45c-9a04-4c8c-86e0-e6797712979d","BiomedicalConcept","Albumin Measurement","['Albumin']","BiomedicalConcept_8"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","c18e5b6c-1741-4bb1-87ef-b10116a9610a","BiomedicalConcept","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept_9"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","b8bdae46-0612-47a0-8ab9-5521287e724a","BiomedicalConcept","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept_10"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","d57ab753-debf-481b-b6ed-5c2e2242db5b","BiomedicalConcept","Creatinine Measurement","['Creatinine']","BiomedicalConcept_11"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","e1834054-e21c-4699-b44e-bea88caf2e31","BiomedicalConcept","Potassium Measurement","['Potassium', 'K']","BiomedicalConcept_12"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","35cb4790-61ce-4c38-a1ea-f71db8c988d0","BiomedicalConcept","Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept_13"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","Systolic Blood Pressure","1d42c89d-0c23-4440-8a0f-138bedf6138d","BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept_14"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","Diastolic Blood Pressure","0e71e8fe-0055-4dce-9343-62df076f52df","BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept_15"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","Heart Rate","3aa2f84e-2400-41dd-b09f-ce843ad78f42","BiomedicalConcept","Heart Rate","","BiomedicalConcept_16"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","Systolic Blood Pressure","27e8b749-1a7d-4763-ac7d-a11e46a7729e","BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept_17"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","Diastolic Blood Pressure","22f2af2e-a278-4fc6-8f25-06cf06563a66","BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept_18"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","Heart Rate","996039eb-c72b-41be-b455-67d327fdcbdf","BiomedicalConcept","Heart Rate","","BiomedicalConcept_19"
