"label","isRequired","name","uuid:ID","datatype","instanceType","isEnabled","id"
"Laboratory Test Result","True","Laboratory Test Result","bb6896b0-068a-47db-bbc3-6ffab7f87121","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_125"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","ea62351c-fd4c-426e-bca9-d80ab23b9ceb","boolean","BiomedicalConceptProperty","True","BiomedicalConceptProperty_126"
"Molarity Unit","True","Molarity Unit","90634dc8-3bad-4ead-b1eb-dff93698a4ad","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_127"
"Biospecimen Type","True","Biospecimen Type","32816ac0-4603-4003-b453-92a555129837","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_128"
"Laboratory Test Result","True","Laboratory Test Result","74e97e5b-dfd1-4345-94fd-bee398cc3823","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_129"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","5400c832-ccf2-4865-8927-d1ba83dd61b3","boolean","BiomedicalConceptProperty","True","BiomedicalConceptProperty_130"
"Molarity Unit","True","Molarity Unit","940d605b-1add-497c-bf0e-23c40fc4d60f","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_131"
"Biospecimen Type","True","Biospecimen Type","65035d0a-ae76-4fce-aedf-fe7b4db0acb7","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_132"
"Adverse Event Verbatim Description","True","Adverse Event Verbatim Description","679acfd4-e611-4840-92ab-f1e06b7a4b50","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_1"
"Adverse Event Dictionary Derived Term","True","Adverse Event Dictionary Derived Term","aa88f49b-8765-4b1f-8e27-23fba9cb4317","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_2"
"Adverse Event Category","True","Adverse Event Category","4e05637d-47f0-4694-92de-ebbf36887609","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_3"
"Adverse Event Subcategory","True","Adverse Event Subcategory","6e1981dc-e877-4fba-aa48-1e9b1ed92308","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_4"
"Adverse Event Pre-specified","True","Adverse Event Pre-specified","216c876f-d557-4ae0-a8ee-d6b987e59165","boolean","BiomedicalConceptProperty","True","BiomedicalConceptProperty_5"
"Severity of Adverse Event","True","Severity of Adverse Event","0e0205f8-9498-4d99-893c-916cf6b0e251","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_6"
"Adverse Event Toxicity Grade","True","Adverse Event Toxicity Grade","65c825eb-f1f2-4767-b2d6-0277d18ece2d","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_7"
"Seriousness of Adverse Event","True","Seriousness of Adverse Event","46455103-31ca-43a5-86e6-6fd45dc17455","boolean","BiomedicalConceptProperty","True","BiomedicalConceptProperty_8"
"Adverse Event Action Taken with Study Treatment","True","Adverse Event Action Taken with Study Treatment","72c00db0-76ee-4968-ac02-13918125e7c1","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_9"
"Adverse Event Attribution to Product or Procedure","True","Adverse Event Attribution to Product or Procedure","a6c2e1e1-e41e-4209-8b53-0184837a9ef1","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_10"
"Adverse Event Pattern","True","Adverse Event Pattern","04906309-3f9d-46b4-a7aa-87b0f04ff8c3","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_11"
"Adverse Event Outcome","True","Adverse Event Outcome","23103757-aa63-4af7-bda3-89bbf9330290","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_12"
"Adverse Event Start Date Time","True","Adverse Event Start Date Time","e4838883-6257-4c9c-b304-e4ae5896de0e","datetime","BiomedicalConceptProperty","True","BiomedicalConceptProperty_13"
"Adverse Event End Date Time","True","Adverse Event End Date Time","0dfa8988-a9bf-4a6d-986c-e55f4480baa3","datetime","BiomedicalConceptProperty","True","BiomedicalConceptProperty_14"
"Vital Signs Result","True","Vital Signs Result","39c5589a-03cf-4e2f-9466-232d36623bae","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_15"
"Unit of Pressure","True","Unit of Pressure","e6493d91-6de6-4263-880c-ca1c37412f2c","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_16"
"Vital Signs Location","True","Vital Signs Location","0fdeb418-ae77-4df4-bb58-74aebe658741","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_17"
"Vital Signs Laterality","True","Vital Signs Laterality","f1103362-3d27-434d-8f10-22b40cc26e37","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_18"
"Test Method","True","Test Method","d2479d41-3b89-4bc4-997c-cf707ca8946e","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_19"
"Vital Signs Position","True","Vital Signs Position","1c219661-aa4c-4989-82fa-da93f3736149","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_20"
"Vital Signs Result","True","Vital Signs Result","9dbc82be-8293-4ac3-8539-87dcb343e500","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_21"
"Unit of Pressure","True","Unit of Pressure","e9208b2d-5583-4f35-815b-61ef193f46da","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_22"
"Vital Signs Location","True","Vital Signs Location","b2ffe884-610e-4740-be3c-1afc9ee5ac36","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_23"
"Vital Signs Laterality","True","Vital Signs Laterality","6a900da4-f974-4b3a-8cc2-71eac21f41ed","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_24"
"Test Method","True","Test Method","0751e684-1029-426c-9a21-f68c55540e00","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_25"
"Vital Signs Position","True","Vital Signs Position","513dd9e1-e422-47ca-b9d1-5e79837c3fa6","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_26"
"Vital Signs Result","True","Vital Signs Result","cd14cc2a-fbb5-4383-bfb3-06cb060cfc8c","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_27"
"Unit of Temperature","True","Unit of Temperature","62bbc9c7-862e-4fe3-a857-c079ce5c7cf5","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_28"
"Vital Signs Location","True","Vital Signs Location","e842a201-711b-4e91-8159-c651b647360c","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_29"
"Vital Signs Result","True","Vital Signs Result","7ff4c7bc-76f2-4527-89b1-818613f082a3","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_30"
"Unit of Weight","True","Unit of Weight","d17deb2c-0904-48dc-85e4-1e18c68337c8","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_31"
"Vital Signs Result","True","Vital Signs Result","79da7552-c4f4-46ba-a9b5-38efb2571653","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_32"
"Unit of Height","True","Unit of Height","9801e9bb-70c5-427c-89c1-2f65783ff582","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_33"
"Laboratory Test Result","True","Laboratory Test Result","86cd520f-aef8-4374-9395-1d59b0374e22","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_34"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","1251e38b-406c-440f-998c-c5351d589de8","boolean","BiomedicalConceptProperty","True","BiomedicalConceptProperty_35"
"Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","a8e842aa-b1d8-42c2-b208-3ec36d02ec95","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_36"
"Biospecimen Type","True","Biospecimen Type","adbe9884-c9b9-4f19-9605-cfaec7c2114c","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_37"
"Laboratory Test Result","True","Laboratory Test Result","ed5e3768-bb65-454e-b59d-5756097f0104","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_38"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","40abf11b-f5be-467a-80aa-b6bd7fbbe178","boolean","BiomedicalConceptProperty","True","BiomedicalConceptProperty_39"
"Unit of Concentration","True","Unit of Concentration","a1dc1c36-fa6f-4381-834b-33e0abb19ded","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_40"
"Biospecimen Type","True","Biospecimen Type","4b879f1c-7380-4d7f-b4fb-5b0036ac7090","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_41"
"Laboratory Test Result","True","Laboratory Test Result","ffb35299-fbac-40c6-8c6b-43b48ec2bb68","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_42"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","eb5e26d3-694f-44b7-b3f4-4754f1fee5e9","boolean","BiomedicalConceptProperty","True","BiomedicalConceptProperty_43"
"Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","d2aaf1fa-f363-47d1-bc52-d4269fa4f986","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_44"
"Biospecimen Type","True","Biospecimen Type","fc7bcba7-99b7-43fc-ba67-27b127d744ed","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_45"
"Laboratory Test Result","True","Laboratory Test Result","a58fdcd3-af68-46ab-9fe2-eecf67187a5c","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_46"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","1ad68bdc-0628-4b4b-9884-d724235adce8","boolean","BiomedicalConceptProperty","True","BiomedicalConceptProperty_47"
"Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","27ba4ae2-3116-4bc8-bfe7-7d79526d39cd","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_48"
"Biospecimen Type","True","Biospecimen Type","cd10cc96-7b6b-4c81-a137-1a96798918ae","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_49"
"Laboratory Test Result","True","Laboratory Test Result","8d60a9b3-b487-4484-a2e9-a30cbdb9e70f","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_50"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","5a4aeae7-9f53-4762-ade5-19e1c44eb709","boolean","BiomedicalConceptProperty","True","BiomedicalConceptProperty_51"
"Unit of Concentration","True","Unit of Concentration","536a1f2e-a7a4-475e-a3bc-d4f36b0f0ec0","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_52"
"Biospecimen Type","True","Biospecimen Type","37c5a2e5-12bb-4d69-81b8-eb6d46642d01","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_53"
"Laboratory Test Result","True","Laboratory Test Result","a910723d-4e04-412f-a39a-a6bf26f77dd8","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_54"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","930c6af2-cc23-4e70-b424-806f9e77467e","boolean","BiomedicalConceptProperty","True","BiomedicalConceptProperty_55"
"Molarity Unit","True","Molarity Unit","58f02120-0f8a-4db9-8f14-3a4a21a24863","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_56"
"Biospecimen Type","True","Biospecimen Type","fbe77715-e60e-4e38-ab3b-415beeb9cde8","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_57"
"Laboratory Test Result","True","Laboratory Test Result","0fb62eed-08c4-4bff-8f19-0836ef14a272","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_58"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","dbb7f775-eb79-4f0a-a8ef-554925e1d4ed","boolean","BiomedicalConceptProperty","True","BiomedicalConceptProperty_59"
"Molarity Unit","True","Molarity Unit","5beb7a4f-906b-4a6c-804e-9a9cf6e03dac","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_60"
"Biospecimen Type","True","Biospecimen Type","9bd1ea61-3e66-456e-ba8d-c3591ee7a880","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_61"
"Vital Signs Result","True","Vital Signs Result","f9013adb-39b4-4fe5-b910-fade1c956521","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_62"
"Unit of Pressure","True","Unit of Pressure","514b4ba4-57bc-4dd4-856b-aa91b3169989","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_63"
"Vital Signs Location","True","Vital Signs Location","90d883ae-7e99-4555-b53f-45054c8850df","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_64"
"Vital Signs Laterality","True","Vital Signs Laterality","146f2cbf-c24a-447d-a4e0-359512266539","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_65"
"Test Method","True","Test Method","4b632d7e-e68e-4017-b157-5454e590c0e0","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_66"
"Vital Signs Position","True","Vital Signs Position","373d6536-4129-4717-864e-54594ce76694","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_67"
"Vital Signs Result","True","Vital Signs Result","83637907-44f2-4709-bada-a5af5615df0a","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_68"
"Unit of Pressure","True","Unit of Pressure","305b0b22-9930-46fe-aa51-8859df6b00a3","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_69"
"Vital Signs Location","True","Vital Signs Location","abcee005-fadf-41dc-8696-ee434bc267f4","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_70"
"Vital Signs Laterality","True","Vital Signs Laterality","966f6dbc-0d6a-418f-99d2-907777c6af5a","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_71"
"Test Method","True","Test Method","14db2838-9190-4718-a995-46856b38dfeb","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_72"
"Vital Signs Position","True","Vital Signs Position","dccd47df-21d5-4ff0-9da0-9a3bb1d088ee","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_73"
"Vital Signs Result","True","Vital Signs Result","0b13f073-ce21-471e-85fd-7970b889d2f7","integer","BiomedicalConceptProperty","True","BiomedicalConceptProperty_74"
"Count per Minute","True","Count per Minute","4694d6dd-5a71-484b-95eb-179874320f8f","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_75"
"Vital Signs Location","True","Vital Signs Location","c18870e2-0ba1-4958-a905-8617be48b3f8","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_76"
"Vital Signs Laterality","True","Vital Signs Laterality","9bc7c899-30bd-4a23-9bdd-f79d966ac078","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_77"
"Test Method","True","Test Method","b1aacdcb-69c2-42f0-8262-e378a4b5bc89","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_78"
"Vital Signs Position","True","Vital Signs Position","72c1fdd8-9ca3-45b5-949b-b21173111895","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_79"
"Vital Signs Result","True","Vital Signs Result","2f99253e-acbe-43e7-87b0-6ec12f34f697","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_80"
"Unit of Pressure","True","Unit of Pressure","3d9e8c32-dd06-43b9-a258-04e5d1ffdc4e","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_81"
"Vital Signs Location","True","Vital Signs Location","9f6d71d0-a8ff-4826-875d-6b04a0e98e4e","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_82"
"Vital Signs Laterality","True","Vital Signs Laterality","cc117ac5-97d5-4569-a425-b9bb83f1a1e5","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_83"
"Test Method","True","Test Method","cd505d5b-ed9a-43e7-bfd6-6068c659b6b6","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_84"
"Vital Signs Position","True","Vital Signs Position","ef231b56-4f59-4f91-a526-aab46e896bc2","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_85"
"Vital Signs Result","True","Vital Signs Result","1e0e8203-a205-4dcc-bd25-f0a003f7a1fd","decimal","BiomedicalConceptProperty","True","BiomedicalConceptProperty_86"
"Unit of Pressure","True","Unit of Pressure","61b3413b-759e-428f-86ed-68ac097e3583","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_87"
"Vital Signs Location","True","Vital Signs Location","e4c35308-6178-4f4a-9616-6f154478a109","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_88"
"Vital Signs Laterality","True","Vital Signs Laterality","2f4d73fe-dc45-4bec-bdc6-aba518eb7458","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_89"
"Test Method","True","Test Method","633b6f7b-9a77-43ba-88f1-c5e3f99a9fb0","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_90"
"Vital Signs Position","True","Vital Signs Position","ae8ca5b3-2daf-40bf-aecd-a9daa25af1c3","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_91"
"Vital Signs Result","True","Vital Signs Result","a127b8c2-7e83-4d89-b1db-01b0ca768741","integer","BiomedicalConceptProperty","True","BiomedicalConceptProperty_92"
"Count per Minute","True","Count per Minute","38e3a696-3a73-4552-9d7a-42fa4c88b098","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_93"
"Vital Signs Location","True","Vital Signs Location","2e1c550b-65bc-4b94-a486-246f47926438","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_94"
"Vital Signs Laterality","True","Vital Signs Laterality","a2136f2f-7c66-4a4b-896c-192429acdb67","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_95"
"Test Method","True","Test Method","76d33089-56f7-40ab-bb29-7d78cdba1363","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_96"
"Vital Signs Position","True","Vital Signs Position","e6a77961-a587-48a8-a9e5-fde07a1e386f","string","BiomedicalConceptProperty","True","BiomedicalConceptProperty_97"
