"code","decode","uuid:ID","codeSystem","instanceType","codeSystemVersion","id"
"C36292","Laboratory Test Result","d5ea31cd-9287-49ac-957a-1f457ac97ffd","NCI Thesaurus","Code","","Code_316"
"C83309","Laboratory Test Fasting Status","6e602b14-2e8e-48e3-9f96-96112165d20f","NCI Thesaurus","Code","","Code_317"
"C48207","Unit of Concentration","5b67b8fb-05d6-4214-bd10-ea0373b99313","NCI Thesaurus","Code","","Code_318"
"C70713","Biospecimen Type","7861d3cf-b944-4cbe-a248-49aafeac45d3","NCI Thesaurus","Code","","Code_319"
"C64547","Creatinine Measurement","6808f17d-9d67-44cc-b6a4-3e19350abad6","NCI Thesaurus","Code","","Code_315"
"C36292","Laboratory Test Result","6efaec34-a121-40d7-abb8-e3c2f5d6aa5a","NCI Thesaurus","Code","","Code_321"
"C83309","Laboratory Test Fasting Status","188430db-3b6e-48ac-b641-456198fc752d","NCI Thesaurus","Code","","Code_322"
"C64567","Molarity Unit","0b0f5290-aef7-4f3d-91cd-6cbc1031045d","NCI Thesaurus","Code","","Code_323"
"C70713","Biospecimen Type","5f499e57-53e4-4710-beda-2229713da2a7","NCI Thesaurus","Code","","Code_324"
"C64853","Potassium Measurement","4fc10d48-b65d-44ff-bd42-9585a186ac2b","NCI Thesaurus","Code","","Code_320"
"C36292","Laboratory Test Result","dd5c445d-40a2-45a7-b90e-02e2a3f39339","NCI Thesaurus","Code","","Code_326"
"C83309","Laboratory Test Fasting Status","631ff7db-e20d-4919-93e4-73525fab4e6c","NCI Thesaurus","Code","","Code_327"
"C64567","Molarity Unit","1a917c7f-138a-46e9-b520-dd293f42dd1a","NCI Thesaurus","Code","","Code_328"
"C70713","Biospecimen Type","731fff26-7aa8-451f-8d35-82e0e2550491","NCI Thesaurus","Code","","Code_329"
"C64809","Sodium Measurement","78c79b18-de26-4a93-85b6-e781659259ed","NCI Thesaurus","Code","","Code_325"
"C78541","Adverse Event Verbatim Description","ffed9702-0284-4ea9-8a3d-8ccca33ca4b9","NCI Thesaurus","Code","","Code_145"
"C83344","Adverse Event Dictionary Derived Term","ac3aa207-6d79-4c88-a4b8-84cee8eb808e","NCI Thesaurus","Code","","Code_146"
"C83198","Adverse Event Category","b2973177-33b7-4015-bed6-347ddd4296b7","NCI Thesaurus","Code","","Code_147"
"C83212","Adverse Event Subcategory","0124d310-cb7c-4a65-9ec2-330e978dc031","NCI Thesaurus","Code","","Code_148"
"C87840","Adverse Event Pre-specified","9a52354f-1bf7-4582-aed9-6a380c7cce04","NCI Thesaurus","Code","","Code_149"
"C53253","Severity of Adverse Event","67a6250c-7b86-40d7-9cb2-a726f1580d04","NCI Thesaurus","Code","","Code_150"
"C78605","Adverse Event Toxicity Grade","d5411964-c0ad-4280-8d51-9a9c7931be24","NCI Thesaurus","Code","","Code_151"
"C53252","Seriousness of Adverse Event","7d18f4db-1ac8-4f70-95d5-dd431ec10d88","NCI Thesaurus","Code","","Code_152"
"C83013","Adverse Event Action Taken with Study Treatment","975069ed-5a74-4ecb-a04a-38226bdfa8fa","NCI Thesaurus","Code","","Code_153"
"C41358","Adverse Event Attribution to Product or Procedure","abd7baf6-b1b3-4fc4-b90a-d04fb0ce8501","NCI Thesaurus","Code","","Code_154"
"C71325","Intermittent","07f2fd63-cd83-432a-85a3-b24a870a76f6","http://www.cdisc.org","Code","2023-09-29","Code_155"
"C83208","Adverse Event Pattern","2bb356f0-3e64-4827-b9ff-1eccdac9d354","NCI Thesaurus","Code","","Code_156"
"C49489","Adverse Event Outcome","0674db77-3e45-4f6d-a76d-a972d62b9f6b","NCI Thesaurus","Code","","Code_157"
"C83215","Adverse Event Start Date Time","d9275756-685c-4611-bd3e-456dd26e9dc5","NCI Thesaurus","Code","","Code_158"
"C83201","Adverse Event End Date Time","3f693500-47da-41b8-9661-3368186736d9","NCI Thesaurus","Code","","Code_159"
"C41331","Adverse Event","f92480d4-1656-42f0-8c45-9c55a9e09cd1","NCI Thesaurus","Code","","Code_144"
"C173522","Vital Signs Result","3fa1be91-c785-44d0-8568-a02a9851581e","NCI Thesaurus","Code","","Code_161"
"C42547","Pascal","a2dcb276-a24a-4ed8-aa57-eb22f1a453b3","http://www.cdisc.org","Code","2023-09-29","Code_162"
"C49669","Unit of Pressure","35d33c4e-3fe9-4cd9-ac31-a398133ef189","NCI Thesaurus","Code","","Code_163"
"C83088","Vital Signs Location","721414d0-8463-485f-94af-19e197ed9341","NCI Thesaurus","Code","","Code_164"
"C123975","Vital Signs Laterality","9e2d1c37-4633-40aa-bf9a-b3c258643b42","NCI Thesaurus","Code","","Code_165"
"C82535","Test Method","d9a8b876-b428-41a2-b183-43b45f1622f9","NCI Thesaurus","Code","","Code_166"
"C83114","Vital Signs Position","6b0d1dec-ee59-4804-9bf6-05a87ce75f7c","NCI Thesaurus","Code","","Code_167"
"C25298","Systolic Blood Pressure","2d47aef9-51f5-4693-bfd8-8bdbfe6272a2","NCI Thesaurus","Code","","Code_160"
"C173522","Vital Signs Result","a2b97a7d-f053-4aaf-9432-4f746f54c25d","NCI Thesaurus","Code","","Code_169"
"C42547","Pascal","1642c0cc-909e-4b63-ae79-9a57637e05e2","http://www.cdisc.org","Code","2023-09-29","Code_170"
"C49669","Unit of Pressure","e0bbabbc-1817-4606-a4d9-58b8cd79eb72","NCI Thesaurus","Code","","Code_171"
"C83088","Vital Signs Location","0e61698d-4334-41f4-a5b7-1634367612ac","NCI Thesaurus","Code","","Code_172"
"C123975","Vital Signs Laterality","e6502f37-117b-4922-9faf-ea998de358b4","NCI Thesaurus","Code","","Code_173"
"C82535","Test Method","63e96bee-2271-49bf-bec5-b4793880d005","NCI Thesaurus","Code","","Code_174"
"C83114","Vital Signs Position","20ee4f7c-beb5-4494-95af-2cbb26dbb363","NCI Thesaurus","Code","","Code_175"
"C25299","Diastolic Blood Pressure","3af488d1-fe54-4712-b08e-3174ebe85bc7","NCI Thesaurus","Code","","Code_168"
"C173522","Vital Signs Result","f6bc9503-f667-40bd-a40c-3a1e486b1ec1","NCI Thesaurus","Code","","Code_177"
"C42537","Kelvin","618b3b77-0bbf-48d2-a706-a0c4a9cecaf1","http://www.cdisc.org","Code","2023-09-29","Code_178"
"C44276","Unit of Temperature","b74203cf-2b7c-4300-9a7e-33c625703bda","NCI Thesaurus","Code","","Code_179"
"C83088","Vital Signs Location","27a7a1a5-ca88-4f7b-abfe-3e6944cfe84d","NCI Thesaurus","Code","","Code_180"
"C174446","Body Temperature","33eeb235-ef64-44d3-872d-242826f5aa12","NCI Thesaurus","Code","","Code_176"
"C173522","Vital Signs Result","054fbee9-d53a-4acc-a645-e48d53f2e9ea","NCI Thesaurus","Code","","Code_182"
"C28252","Kilogram","db0042aa-6a3a-4219-a08b-23161af39a0d","http://www.cdisc.org","Code","2023-09-29","Code_183"
"C48155","Gram","a8e962e4-4ade-428c-b336-060cf9ec8703","http://www.cdisc.org","Code","2023-09-29","Code_184"
"C48531","Pound","6fa13fb9-1626-452b-9193-599ad5abcaf7","http://www.cdisc.org","Code","2023-09-29","Code_185"
"C48208","Unit of Weight","a2268dec-f46b-404f-9a1b-1fff36cf8724","NCI Thesaurus","Code","","Code_186"
"C81328","Body Weight","c6aec7b1-3d34-456f-bc5b-f97901e2f9a1","NCI Thesaurus","Code","","Code_181"
"C173522","Vital Signs Result","80ba54fc-1c75-4046-94a8-9c0a14c2a78c","NCI Thesaurus","Code","","Code_188"
"C49668","Centimeter","ef26ae2c-b185-43e7-aa58-3ebb42cf68dd","http://www.cdisc.org","Code","2023-09-29","Code_189"
"C48500","Inch","4b8523f5-9119-4c65-b7c5-bb7187af2b46","http://www.cdisc.org","Code","2023-09-29","Code_190"
"C28251","Millimeter","eec8d444-d1bd-4b94-a3ae-ef20638b79af","http://www.cdisc.org","Code","2023-09-29","Code_191"
"C41139","Meter","d5d07759-3b06-472f-8773-8b4e6a57e505","http://www.cdisc.org","Code","2023-09-29","Code_192"
"C168688","Unit of Height","a41f54a6-cdc6-4190-ba95-3c676a6f52c2","NCI Thesaurus","Code","","Code_193"
"C164634","Body Height","a7b66fae-9838-4b5b-874a-2000ca33b3c0","NCI Thesaurus","Code","","Code_187"
"C36292","Laboratory Test Result","845b7956-40de-4ff8-9488-bcbd95f1c3b3","NCI Thesaurus","Code","","Code_195"
"C83309","Laboratory Test Fasting Status","6b429198-1435-4469-b6e7-075d18608ef4","NCI Thesaurus","Code","","Code_196"
"C67365","Unit of Catalytic Activity Concentration","02d4a18e-58df-43d1-af4d-19fa25291f1e","NCI Thesaurus","Code","","Code_197"
"C70713","Biospecimen Type","e55b09c8-eba1-4b49-9481-1bb8e1ba06fc","NCI Thesaurus","Code","","Code_198"
"C64433","Alanine Aminotransferase Measurement","c393be7d-787a-403e-a47e-f357f6022b66","NCI Thesaurus","Code","","Code_194"
"C36292","Laboratory Test Result","1e1a8454-f073-4f8f-a85e-2a95d0c88293","NCI Thesaurus","Code","","Code_200"
"C83309","Laboratory Test Fasting Status","27ddae42-20ed-4980-854a-fb34df89d6e4","NCI Thesaurus","Code","","Code_201"
"C48207","Unit of Concentration","3570166c-1915-4aed-b823-ff66732ba04b","NCI Thesaurus","Code","","Code_202"
"C70713","Biospecimen Type","3d142590-308b-42c9-8e6c-7b89b43e2727","NCI Thesaurus","Code","","Code_203"
"C64431","Albumin Measurement","1b8a3c02-c921-4e57-b18a-ae8b966756c1","NCI Thesaurus","Code","","Code_199"
"C36292","Laboratory Test Result","8f614f90-27e9-4732-9740-8e8c3e9279f6","NCI Thesaurus","Code","","Code_205"
"C83309","Laboratory Test Fasting Status","e1176854-1933-4909-af70-6eda6eb52896","NCI Thesaurus","Code","","Code_206"
"C67365","Unit of Catalytic Activity Concentration","f4134853-3c90-4881-8662-58b1a35929d1","NCI Thesaurus","Code","","Code_207"
"C70713","Biospecimen Type","3b86b29b-6807-49e5-a76c-065e46349d2e","NCI Thesaurus","Code","","Code_208"
"C64432","Alkaline Phosphatase Measurement","2a138b31-805b-47d5-859a-2d0217419df2","NCI Thesaurus","Code","","Code_204"
"C36292","Laboratory Test Result","70a2921e-1fba-4286-92fe-5c522857dd27","NCI Thesaurus","Code","","Code_210"
"C83309","Laboratory Test Fasting Status","36ef2abd-e6b1-4737-b97b-5ac186228af4","NCI Thesaurus","Code","","Code_211"
"C67365","Unit of Catalytic Activity Concentration","af13efd8-8acf-4d92-b945-1aa50b12f4b4","NCI Thesaurus","Code","","Code_212"
"C70713","Biospecimen Type","90e607d9-c59d-4dc4-aeaf-c9e285d80f3e","NCI Thesaurus","Code","","Code_213"
"C64467","Aspartate Aminotransferase Measurement","58d02c5e-2533-4c28-9d30-46ab821e3a9a","NCI Thesaurus","Code","","Code_209"
"C36292","Laboratory Test Result","f5437455-9b42-4178-bf11-e76a91cc93fd","NCI Thesaurus","Code","","Code_215"
"C83309","Laboratory Test Fasting Status","4c32f4ee-3255-447e-9ea3-880f0194156e","NCI Thesaurus","Code","","Code_216"
"C48207","Unit of Concentration","9b2583bc-3659-47f1-9323-22b60cae3dec","NCI Thesaurus","Code","","Code_217"
"C70713","Biospecimen Type","c77d4dd2-c499-44d9-989f-497be9d0637e","NCI Thesaurus","Code","","Code_218"
"C64547","Creatinine Measurement","1ba0bc13-2547-4b8a-8ec4-948f168f4da9","NCI Thesaurus","Code","","Code_214"
"C36292","Laboratory Test Result","0ebfd58f-8ca8-4a87-84eb-75b0da62c3ba","NCI Thesaurus","Code","","Code_220"
"C83309","Laboratory Test Fasting Status","158f7bb2-2415-4a94-afc1-264d8c488ff6","NCI Thesaurus","Code","","Code_221"
"C64567","Molarity Unit","97f4aee0-f0c7-4d73-92ea-9b1cca5dfb93","NCI Thesaurus","Code","","Code_222"
"C70713","Biospecimen Type","28e4b01a-6314-48ab-b063-540a7c4e8a7b","NCI Thesaurus","Code","","Code_223"
"C64853","Potassium Measurement","5611f533-20e6-4440-923f-6e61c7ebf53c","NCI Thesaurus","Code","","Code_219"
"C36292","Laboratory Test Result","92a48392-e50e-4a45-8a27-3bf816917830","NCI Thesaurus","Code","","Code_225"
"C83309","Laboratory Test Fasting Status","faf4de43-f03d-410c-b10e-7a7fa908fc41","NCI Thesaurus","Code","","Code_226"
"C64567","Molarity Unit","e928ee74-bf75-43d5-bc9e-69d77a5aa825","NCI Thesaurus","Code","","Code_227"
"C70713","Biospecimen Type","0c84c1c2-292f-421a-a965-cd813cc9a78c","NCI Thesaurus","Code","","Code_228"
"C64809","Sodium Measurement","d2674648-085f-4f36-9da3-d41090cb953c","NCI Thesaurus","Code","","Code_224"
"C173522","Vital Signs Result","a66211fe-6a46-4e11-ad09-7550db9ab640","NCI Thesaurus","Code","","Code_230"
"C42547","Pascal","35896baa-a625-454d-81a8-ce302b1d605c","http://www.cdisc.org","Code","2023-09-29","Code_231"
"C49669","Unit of Pressure","1f283145-f2ec-4a7f-9da6-78b524fe162c","NCI Thesaurus","Code","","Code_232"
"C83088","Vital Signs Location","0cf18c4e-c820-422a-8bd4-60ce755e8192","NCI Thesaurus","Code","","Code_233"
"C123975","Vital Signs Laterality","d6facfb0-92f2-4952-84c7-c97358181ff1","NCI Thesaurus","Code","","Code_234"
"C82535","Test Method","5b778764-12bc-4b85-96f7-43d125fd1981","NCI Thesaurus","Code","","Code_235"
"C83114","Vital Signs Position","2720d076-7301-4227-896e-ad10a5efe4b2","NCI Thesaurus","Code","","Code_236"
"C25298","Systolic Blood Pressure","9a18e35b-b699-44a4-a022-ae1c1691735d","NCI Thesaurus","Code","","Code_229"
"C173522","Vital Signs Result","a5d0321f-1488-4a86-be10-fecfbf9c8844","NCI Thesaurus","Code","","Code_238"
"C42547","Pascal","093792b9-ddf7-4ff6-beb1-ea0db7838843","http://www.cdisc.org","Code","2023-09-29","Code_239"
"C49669","Unit of Pressure","8cf40461-d849-408f-9163-b948d6858633","NCI Thesaurus","Code","","Code_240"
"C83088","Vital Signs Location","6c581c8d-928d-457f-9b15-aae0ad2f5f97","NCI Thesaurus","Code","","Code_241"
"C123975","Vital Signs Laterality","9a0bf5d9-d7a4-47d2-a10e-a81be64bb4d4","NCI Thesaurus","Code","","Code_242"
"C82535","Test Method","11032aac-8df0-440f-bc16-b06f979d6bc3","NCI Thesaurus","Code","","Code_243"
"C83114","Vital Signs Position","e419d8f0-15fa-486b-9bb3-50ce5a451ecb","NCI Thesaurus","Code","","Code_244"
"C25299","Diastolic Blood Pressure","6fb0a6fa-0ef7-4ef5-8f3c-8d65d7d5a200","NCI Thesaurus","Code","","Code_237"
"C173522","Vital Signs Result","b735319b-cbbe-4354-bec1-7378ecbaec5c","NCI Thesaurus","Code","","Code_246"
