"sectionNumber","name","uuid:ID","sectionTitle","instanceType","text","id"
"6.6.3","SECTION 6.6.3","fba29d00-264b-4f97-a6bb-09cd46d96545","Blinding and Unblinding","NarrativeContent","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent_45"
"6.7","SECTION 6.7","6923eaef-7c51-48fb-a068-d7f2b8249e4f","Trial Intervention Compliance","NarrativeContent","<div></div>","NarrativeContent_46"
"6.8","SECTION 6.8","d93c0833-a9ae-4106-9eab-afe26f890416","Concomitant Therapy","NarrativeContent","<div></div>","NarrativeContent_47"
"6.8.1","SECTION 6.8.1","89554a77-dc0e-4ebb-84a5-62ed677fa7b1","Prohibited Concomitant Therapy","NarrativeContent","<div></div>","NarrativeContent_48"
"6.8.2","SECTION 6.8.2","c6f8175d-e6fa-4db7-8dd9-5e0883ce53c8","Permitted Concomitant Therapy","NarrativeContent","<div></div>","NarrativeContent_49"
"6.8.3","SECTION 6.8.3","c566ffe9-10bb-4e59-af76-52e0f7a02e19","Rescue Therapy","NarrativeContent","<div></div>","NarrativeContent_50"
"6.8.4","SECTION 6.8.4","ac98f94b-7cd3-4c40-8546-61c619cf65b8","Other Therapy","NarrativeContent","<div></div>","NarrativeContent_51"
"7","SECTION 7","dc5586f9-9a4d-4be3-afa5-5b266a674b7e","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent","<div></div>","NarrativeContent_52"
"7.1","SECTION 7.1","003f5ffc-a741-4eb0-b42a-9e9a087741dd","Discontinuation of Trial Intervention","NarrativeContent","<div></div>","NarrativeContent_53"
"7.1.1","SECTION 7.1.1","fa3d588d-4dc6-475b-99c9-417208d84575","Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent","<div></div>","NarrativeContent_54"
"7.1.2","SECTION 7.1.2","c85ebec2-1139-4f71-ae0b-02a87706a4bd","Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent","<div></div>","NarrativeContent_55"
"7.1.3","SECTION 7.1.3","c238317d-bdd7-4763-b3c9-826d67d123eb","Rechallenge","NarrativeContent","<div></div>","NarrativeContent_56"
"7.2","SECTION 7.2","4d78cf2e-aea4-476b-b956-8532153535e0","Participant Withdrawal from the Trial","NarrativeContent","<div></div>","NarrativeContent_57"
"7.3","SECTION 7.3","ce7e6979-c888-4fa4-8e4e-6bc5b075d51a","Lost to Follow-Up","NarrativeContent","<div></div>","NarrativeContent_58"
"7.4","SECTION 7.4","a21f6690-c678-4ac4-b746-28b3f212d6cc","Trial Stopping Rules","NarrativeContent","<div></div>","NarrativeContent_59"
"8","SECTION 8","bd812027-58f4-4d16-a77a-b04f17968d87","TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent","<div></div>","NarrativeContent_60"
"8.1","SECTION 8.1","910922d9-1a50-4a3c-a158-b905e4a53b5e","Screening/Baseline Assessments and Procedures","NarrativeContent","<div></div>","NarrativeContent_61"
"8.2","SECTION 8.2","9d9abc2e-5791-40e4-ac97-0e3dbe248743","Efficacy Assessments and Procedures","NarrativeContent","<div></div>","NarrativeContent_62"
"8.3","SECTION 8.3","544dbd24-d5b0-4bda-a4e3-07d63322b120","Safety Assessments and Procedures","NarrativeContent","<div></div>","NarrativeContent_63"
"8.3.1","SECTION 8.3.1","302fd4cb-a52a-4e84-8f6e-54bcb2175509","Physical Examination","NarrativeContent","<div></div>","NarrativeContent_64"
"8.3.2","SECTION 8.3.2","93fce9cd-da54-4232-b794-5b185ee8cfea","Vital Signs","NarrativeContent","<div></div>","NarrativeContent_65"
"8.3.3","SECTION 8.3.3","cf7cacb4-f6f0-483d-ad5a-a0ba1a5c51d3","Electrocardiograms","NarrativeContent","<div></div>","NarrativeContent_66"
"8.3.4","SECTION 8.3.4","6d7d4ca0-27b4-4b87-9b89-04ca77daf427","Clinical Laboratory Assessments","NarrativeContent","<div></div>","NarrativeContent_67"
"8.3.5","SECTION 8.3.5","803086cd-7fbc-43d8-b51d-59372b8ac008","Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent","<div></div>","NarrativeContent_68"
"8.4","SECTION 8.4","0d2b5610-15e9-45a8-866f-61fc1725b5f6","Adverse Events and Serious Adverse Events","NarrativeContent","<div></div>","NarrativeContent_69"
"8.4.1","SECTION 8.4.1","6313674e-1e17-48cc-bf80-468b7a70d582","Definitions of AE and SAE","NarrativeContent","<div></div>","NarrativeContent_70"
"8.4.2","SECTION 8.4.2","c843248c-a118-46d1-bd02-bb08607dcea5","Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent","<div></div>","NarrativeContent_71"
"8.4.3","SECTION 8.4.3","d39928eb-4b7a-4d79-9ede-34863e4c752b","Identifying AEs and SAEs","NarrativeContent","<div></div>","NarrativeContent_72"
"8.4.4","SECTION 8.4.4","b7adb3fc-34a8-4f5a-b83e-cdb1876eb974","Recording of AEs and SAEs","NarrativeContent","<div></div>","NarrativeContent_73"
"8.4.5","SECTION 8.4.5","acfa4506-3825-46f5-a117-534c60ea5c6e","Follow-up of AEs and SAEs","NarrativeContent","<div></div>","NarrativeContent_74"
"8.4.6","SECTION 8.4.6","f89ded47-2c19-4b8e-b221-9b8fd086746d","Reporting of SAEs","NarrativeContent","<div></div>","NarrativeContent_75"
"8.4.7","SECTION 8.4.7","c736e4a6-a90c-4abe-acdd-1d88b7f93bde","Regulatory Reporting Requirements for SAEs","NarrativeContent","<div></div>","NarrativeContent_76"
"8.4.8","SECTION 8.4.8","e67c9453-dfc0-4d49-a996-6b34b1444343","Serious and Unexpected Adverse Reaction Reporting","NarrativeContent","<div></div>","NarrativeContent_77"
"8.4.9","SECTION 8.4.9","66dbfa79-c42a-4533-8bae-d26a3d174ac0","Adverse Events of Special Interest","NarrativeContent","<div></div>","NarrativeContent_78"
"8.4.10","SECTION 8.4.10","7760e321-83f1-4df7-b188-940edf5a0da5","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent","<div></div>","NarrativeContent_79"
"8.5","SECTION 8.5","c98229a8-4aa9-4f8b-8758-5ebdcc993384","Pregnancy and Postpartum Information","NarrativeContent","<div></div>","NarrativeContent_80"
"8.5.1","SECTION 8.5.1","51a81dc1-651c-4812-a3bf-e3b1a5c01a3e","Participants Who Become Pregnant During the Trial","NarrativeContent","<div></div>","NarrativeContent_81"
"8.5.2","SECTION 8.5.2","426befcd-2fbc-4707-b999-3aa20552ddfd","Participants Whose Partners Become Pregnant","NarrativeContent","<div></div>","NarrativeContent_82"
"8.6","SECTION 8.6","8ec227dd-c0fe-4423-af21-2d2c0b7d9762","Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent","<div></div>","NarrativeContent_83"
"8.6.1","SECTION 8.6.1","081dd1f8-00ad-43a1-a710-7be694e1c7b5","Definition of Medical Device Product Complaints","NarrativeContent","<div></div>","NarrativeContent_84"
"8.6.2","SECTION 8.6.2","9289f456-dae8-4e64-a053-7950557e1c91","Recording of Medical Device Product Complaints","NarrativeContent","<div></div>","NarrativeContent_85"
"8.6.3","SECTION 8.6.3","d0b0525c-25a0-46fc-9596-b47213dd5a24","Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent","<div></div>","NarrativeContent_86"
"8.6.4","SECTION 8.6.4","5d683e0c-55c3-48f7-9d33-d6b26e485a0b","Follow-Up of Medical Device Product Complaints","NarrativeContent","<div></div>","NarrativeContent_87"
"8.6.5","SECTION 8.6.5","559e0963-8033-46ce-a42b-d383d40696c7","Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent","<div></div>","NarrativeContent_88"
"8.7","SECTION 8.7","19c03563-d1a0-4b52-9520-a56c83d68a5e","Pharmacokinetics","NarrativeContent","<div></div>","NarrativeContent_89"
"8.8","SECTION 8.8","5ce7b18e-7502-4c69-b9d4-b61aa138451f","Genetics","NarrativeContent","<div></div>","NarrativeContent_90"
"8.9","SECTION 8.9","950b9ae2-3792-40e4-855b-a32045d0533b","Biomarkers","NarrativeContent","<div></div>","NarrativeContent_91"
"8.1","SECTION 8.1","39fa77ae-dd4f-412d-a811-4ec9b8d87270","Immunogenicity Assessments","NarrativeContent","<div></div>","NarrativeContent_92"
"8.1.1","SECTION 8.1.1","aa0126d8-7cb7-4a87-b26c-9409af6645ef","Medical Resource Utilisation and Health Economics","NarrativeContent","<div></div>","NarrativeContent_93"
"9","SECTION 9","89e5eb88-3b7f-4bf6-961c-11c4d159facc","STATISTICAL CONSIDERATIONS","NarrativeContent","<div></div>","NarrativeContent_94"
"9.1","SECTION 9.1","bfe189a2-10a9-4701-b74c-fe0e04f3618e","Analysis Sets","NarrativeContent","<div></div>","NarrativeContent_95"
"9.2","SECTION 9.2","46c0a4ec-476b-4eaf-813c-433976ef2289","Analyses Supporting Primary Objective(s)","NarrativeContent","<div></div>","NarrativeContent_96"
"9.2.1","SECTION 9.2.1","b6cd3c22-4c76-44b9-9a60-02a03d5a45f2","Statistical Model, Hypothesis, and Method of Analysis","NarrativeContent","<div></div>","NarrativeContent_97"
"9.2.2","SECTION 9.2.2","1bdcd2a7-a3b6-4ca6-8bcc-e00da0b1dbb7","Handling of Intercurrent Events of Primary Estimand(s)","NarrativeContent","<div></div>","NarrativeContent_98"
"9.2.3","SECTION 9.2.3","9b896107-fbd3-4836-80ec-c046e430b5c2","Handling of Missing Data","NarrativeContent","<div></div>","NarrativeContent_99"
"9.2.4","SECTION 9.2.4","13ffe4ec-e82b-4404-a532-c98b18221b01","Sensitivity Analysis","NarrativeContent","<div></div>","NarrativeContent_100"
"9.2.5","SECTION 9.2.5","d579b777-770b-46b9-8150-002eb3652dc1","Supplementary Analysis","NarrativeContent","<div></div>","NarrativeContent_101"
"9.3","SECTION 9.3","514a018f-abf1-4501-9533-367c03e80c20","Analysis Supporting Secondary Objective(s)","NarrativeContent","<div></div>","NarrativeContent_102"
"9.4","SECTION 9.4","31b54544-629c-42e2-bf87-7ac18f4876c1","Analysis of Exploratory Objective(s)","NarrativeContent","<div></div>","NarrativeContent_103"
"9.5","SECTION 9.5","6cbaa691-ebf7-45af-ac40-77ac09662248","Safety Analyses","NarrativeContent","<div></div>","NarrativeContent_104"
"9.6","SECTION 9.6","bfe9dc79-be85-4ffb-8a45-e55d40ff0490","Other Analyses","NarrativeContent","<div></div>","NarrativeContent_105"
"9.7","SECTION 9.7","f7869464-a7a1-4545-87ae-4387832f689c","Interim Analyses","NarrativeContent","<div></div>","NarrativeContent_106"
"9.8","SECTION 9.8","142ae14e-bc16-4103-ab77-6978768c86dd","Sample Size Determination","NarrativeContent","<div></div>","NarrativeContent_107"
"9.9","SECTION 9.9","4c2b661d-fb2f-4b57-b996-0924434b55c9","Protocol Deviations","NarrativeContent","<div></div>","NarrativeContent_108"
"10","SECTION 10","6a83f3fe-6bf7-4797-afdd-2544d1c84f19","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","NarrativeContent","<div></div>","NarrativeContent_109"
"10.1","SECTION 10.1","983f67ba-3c2b-4e44-87be-0fb9333202e8","Regulatory and Ethical Considerations","NarrativeContent","<div></div>","NarrativeContent_110"
"10.2","SECTION 10.2","6bfb6f8f-7f61-4cf2-ac61-4dea9f189d97","Committees","NarrativeContent","<div></div>","NarrativeContent_111"
"10.3","SECTION 10.3","5d31a7aa-96fd-4d82-bb36-bf3ff7cfdb5c","Informed Consent Process","NarrativeContent","<div></div>","NarrativeContent_112"
"10.4","SECTION 10.4","0a2cef97-f3ba-413b-a128-cabbebe9bd41","Data Protection","NarrativeContent","<div></div>","NarrativeContent_113"
"10.5","SECTION 10.5","0257db3b-c83f-435e-9c7f-bd069d881e05","Early Site Closure or Trial Termination","NarrativeContent","<div></div>","NarrativeContent_114"
"11","SECTION 11","d25711bc-04b3-4991-897c-4d9f94955ad3","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","NarrativeContent","<div></div>","NarrativeContent_115"
"11.1","SECTION 11.1","9ab9026a-8892-47b0-8d4a-985c9b819222","Quality Tolerance Limits","NarrativeContent","<div></div>","NarrativeContent_116"
"11.2","SECTION 11.2","0cce8f6c-e8a9-4028-af47-063cf26a21e2","Data Quality Assurance","NarrativeContent","<div></div>","NarrativeContent_117"
"11.3","SECTION 11.3","5ff2ed48-299a-4bed-9d40-59dcb8651d62","Source Data","NarrativeContent","<div></div>","NarrativeContent_118"
"12","SECTION 12","cfae472c-807d-4b72-9652-b621efd95005","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","NarrativeContent","<div></div>","NarrativeContent_119"
"12.1","SECTION 12.1","6ddaba01-173d-4360-af6e-968398bf4ddf","Further Details and Clarifications on the AE Definition","NarrativeContent","<div></div>","NarrativeContent_120"
"12.2","SECTION 12.2","9ee177ef-9caf-46a8-a437-0790dc65d169","Further Details and Clarifications on the SAE Definition","NarrativeContent","<div></div>","NarrativeContent_121"
"12.3","SECTION 12.3","4829e631-5a04-4154-80fd-60c584bf52f2","Severity","NarrativeContent","<div></div>","NarrativeContent_122"
"12.4","SECTION 12.4","d7cddf09-cc3e-49fc-8f64-28e4b04fbd23","Causality","NarrativeContent","<div></div>","NarrativeContent_123"
"13","SECTION 13","5723ad59-bed7-4b9a-b929-2953bf3bb2fe","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","NarrativeContent","<div></div>","NarrativeContent_124"
"13.1","SECTION 13.1","13b5d913-0a2c-40aa-8687-48be76562664","Contraception and Pregnancy Testing","NarrativeContent","<div></div>","NarrativeContent_125"
"13.1.1","SECTION 13.1.1","2c077ca0-fa67-4d4b-ac11-161c406cf909","Definitions Related to Childbearing Potential","NarrativeContent","<div></div>","NarrativeContent_126"
"13.1.2","SECTION 13.1.2","6aa3d47f-6d4e-4c9b-8619-8da47b5f0b16","Contraception","NarrativeContent","<div></div>","NarrativeContent_127"
"13.1.3","SECTION 13.1.3","3c807071-54b2-49b5-b847-19d937c24637","Pregnancy Testing","NarrativeContent","<div></div>","NarrativeContent_128"
"13.2","SECTION 13.2","0fb9f238-cd09-4ebb-b022-400f5601c758","Clinical Laboratory Tests","NarrativeContent","<div></div>","NarrativeContent_129"
"13.3","SECTION 13.3","8c980d85-e9a6-43a1-b992-ba24d14517a3","Country/Region-Specific Differences","NarrativeContent","<div></div>","NarrativeContent_130"
"13.4","SECTION 13.4","efa3e0dd-ba63-4467-ab4f-c2afd981f671","Prior Protocol Amendments","NarrativeContent","<div></div>","NarrativeContent_131"
"14","SECTION 14","0890d996-439b-40af-9712-ce63ed4767b4","APPENDIX: GLOSSARY OF TERMS","NarrativeContent","<div></div>","NarrativeContent_132"
"15","SECTION 15","a7b4a930-b9c6-44c4-8522-52b8ca869a47","APPENDIX: REFERENCES","NarrativeContent","<div></div>","NarrativeContent_133"
