"reference","synonyms","label","instanceType","name","uuid:ID","id"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept","Potassium Concentration in Urine","fe5e74de-b2e1-4293-9444-8807d613bbac","BiomedicalConcept_30"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept","Sodium Concentration in Urine","5751d20f-d02c-4572-96ac-84ad6e70cef9","BiomedicalConcept_31"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","43857b9c-d17f-4170-b0c7-56c5f8a1f78f","BiomedicalConcept_32"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","BiomedicalConcept","Adverse Event Prespecified","04987142-a4f6-413d-ba3e-d3185a242e6b","BiomedicalConcept_1"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","5d93b9a6-38bf-46de-9f1a-26295830c56e","BiomedicalConcept_2"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","a6eeea4a-e93b-4e6b-921e-148c66c687fd","BiomedicalConcept_3"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept","Temperature","6cde9ea5-b7f9-4d3f-b2d6-ce49f06fc4b7","BiomedicalConcept_4"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","Weight","BiomedicalConcept","Weight","0776c4ce-5e58-4360-81a4-36148db0789d","BiomedicalConcept_5"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","Height","BiomedicalConcept","Height","5a8d7b0e-9124-488a-b6ee-39601f898840","BiomedicalConcept_6"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","7b77a72e-e689-4ee7-b102-db20a3a72cca","BiomedicalConcept_7"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept","Albumin Presence in Urine","09f64d3c-f577-4f08-9fe1-dc4ee4ed4d92","BiomedicalConcept_8"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","79d14451-518f-46d0-9f9f-0ac7dc489498","BiomedicalConcept_9"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","507c730a-1016-4795-99ce-c5fe0b7df60f","BiomedicalConcept_10"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept","Creatinine Concentration in Urine","b221785e-8c2c-4245-8270-1804b6317140","BiomedicalConcept_11"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept","Potassium Concentration in Urine","223ce5f7-6fcc-4276-8266-53de0091ad62","BiomedicalConcept_12"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept","Sodium Concentration in Urine","7817d089-7cd8-4f53-905e-3dac14ea0947","BiomedicalConcept_13"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","c329866d-9e25-4dc3-bbbf-04c04289eadc","BiomedicalConcept_14"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","e494d2e1-c6fc-449e-a6a2-770e49bd8aca","BiomedicalConcept_15"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","Heart Rate","BiomedicalConcept","Heart Rate","313fdc51-8e86-4522-8283-54836b6b163a","BiomedicalConcept_16"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","6ce468c6-aedb-4837-9a67-52920a6a2d30","BiomedicalConcept_17"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","73cdc0ce-a4a9-4f17-b5a7-c593de791cd7","BiomedicalConcept_18"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","Heart Rate","BiomedicalConcept","Heart Rate","2a1aaf50-e87e-4258-aa30-02d468c03405","BiomedicalConcept_19"
