"uuid:ID","instanceType","label","id","name","synonyms","reference"
"b132dad3-b217-4530-8b33-3db5bf589e58","BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_30","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"35a410f1-d335-4f53-801d-1b203e153102","BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_31","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"fefbb4fb-46c9-46c2-9ebd-42fc9b31b481","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_32","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"b6ae1f85-12cb-4b10-a44e-279aba654bd7","BiomedicalConcept","Adverse Event Prespecified","BiomedicalConcept_1","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"a809b68e-6eef-424d-abf2-234875ccb50f","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_2","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"8e65686a-0511-45c8-9f7a-213cef21e332","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_3","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"4daf4dc0-a490-494f-bbc2-3a5f73de906c","BiomedicalConcept","Temperature","BiomedicalConcept_4","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"6146a52a-2a9f-46cf-8558-5e1a55a6edda","BiomedicalConcept","Weight","BiomedicalConcept_5","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"d03fa5fc-9f6d-469f-98a1-687da7833a5f","BiomedicalConcept","Height","BiomedicalConcept_6","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"e24e8f81-5f00-49f1-8348-df1738e1bd29","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"352b21ac-9cfd-454f-9f3a-ed9c4da752a1","BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_8","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"08821ee3-0c64-4768-8ae2-bd092ad351cc","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"4b7eb93b-765c-4444-b5bb-da708bd2b665","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"45aa7083-ee55-465c-93c2-8d7c2cac18b2","BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_11","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"85868fec-7573-47ac-bbb9-96817436a1ed","BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_12","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"811f8605-5b3e-466e-bc2c-bdc2776ee515","BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_13","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"005e0cf2-0e02-4a6e-a0d9-bdee08724cf7","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_14","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"e09ab412-c8d5-4f20-873e-ea32533c8410","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_15","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"865f00aa-288a-4b3c-beb3-eda6591ec12d","BiomedicalConcept","Heart Rate","BiomedicalConcept_16","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"d83c51a8-b3e9-412f-9547-25449bff106d","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_17","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"7bc3edea-256a-4dd7-85cb-49985de5f4d4","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_18","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"4eb95d52-1758-4a65-9615-3995e92fb688","BiomedicalConcept","Heart Rate","BiomedicalConcept_19","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
