"label","id","name","synonyms","reference","instanceType","uuid:ID"
"Temperature","BiomedicalConcept_4","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","adea8900-a5fe-41cf-bd36-3646bb12162f"
"Weight","BiomedicalConcept_5","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","06ae142c-4433-4495-af64-38226aeb1562"
"Height","BiomedicalConcept_6","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","ac020694-d7ee-4d5e-86fd-4b15a53fe431"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","9f6fcfcb-d12a-49aa-90a9-7b9e334689c1"
"Albumin Presence in Urine","BiomedicalConcept_8","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","4fc9bd76-57ef-4099-9864-f9a0b5217824"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","a4794f7a-7496-4098-89bd-8953fcb626fb"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","f0241225-ff79-454d-ada4-2ad30e9ef5f1"
"Creatinine Concentration in Urine","BiomedicalConcept_11","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","158e71cc-e4d9-454a-886a-81c402aa5166"
"Potassium Concentration in Urine","BiomedicalConcept_12","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","3a095309-15ae-4f00-98b6-a844e63bf567"
"Sodium Concentration in Urine","BiomedicalConcept_13","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","768dcc06-aa1d-4117-b90a-d3e78c34d46f"
"Systolic Blood Pressure","BiomedicalConcept_14","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","23b67bb3-d252-4d4d-a5d8-ca3e5ae14699"
"Diastolic Blood Pressure","BiomedicalConcept_15","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","0d976b95-0bca-4396-8e5c-dff87c9d74b2"
"Heart Rate","BiomedicalConcept_16","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","20790e12-98ce-4c31-a50e-41c5a4e0bf85"
"Systolic Blood Pressure","BiomedicalConcept_17","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","fc3e9ef4-4e45-401e-80fc-65664599cce3"
"Diastolic Blood Pressure","BiomedicalConcept_18","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","087141a7-435c-471c-903d-13173898d4d8"
"Heart Rate","BiomedicalConcept_19","Heart Rate","['Heart Rate']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","282500d8-e6a2-43af-8fcb-8bdcc8904f92"
