"uuid:ID","reference","id","instanceType","name","label","synonyms"
"a70ba3cf-e7f2-48b4-9794-7571dfacdf5b","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept_30","BiomedicalConcept","Potassium Concentration in Urine","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']"
"3c29e02b-1394-4996-aa10-94edfa654468","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept_31","BiomedicalConcept","Sodium Concentration in Urine","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']"
"21ea6e7e-71e8-453f-a5f7-5b82aa5a5a84","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept_32","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']"
"f747e0da-15ee-4eb5-937c-47007f0677fb","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept_1","BiomedicalConcept","Adverse Event Prespecified","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']"
"a7903050-7302-4e89-aef2-c9d42fb9a62e","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_2","BiomedicalConcept","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"0ee67947-5a0d-4e80-8e7d-466b893be8f6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_3","BiomedicalConcept","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
"27b7f7c8-2b64-4b9d-80c6-e54be0053185","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_4","BiomedicalConcept","Temperature","Temperature","['Temperature', 'Body Temperature']"
"1c8dd288-43ff-4fee-ba8b-84cb9b459da1","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_5","BiomedicalConcept","Weight","Weight","['Weight', 'Body Weight']"
"51dfaad1-e5b0-4a78-bcd4-0869c99dc226","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_6","BiomedicalConcept","Height","Height","['Height', 'Body Height']"
"59e952d3-150b-4b89-bda7-08c48faad879","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept_7","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"39af2d03-c56a-404d-82ad-03e398689138","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept_8","BiomedicalConcept","Albumin Presence in Urine","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']"
"5e6227dd-53f2-4b14-a54e-93b8142fa305","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept_9","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"bca2ca1b-4dd8-49f4-8ec2-6892c2d58fa4","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept_10","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"104f7940-43fe-4754-ac97-03dd812b2d03","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept_11","BiomedicalConcept","Creatinine Concentration in Urine","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']"
"952c7de0-4f9d-48f6-82db-42bc4bcf28bd","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept_12","BiomedicalConcept","Potassium Concentration in Urine","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']"
"89a5399d-49e6-449b-9f83-5434eb86511f","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept_13","BiomedicalConcept","Sodium Concentration in Urine","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']"
"db8b4e31-0624-4e12-84d0-b1c582f6171f","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_14","BiomedicalConcept","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"6219c1fc-b287-41bc-9f43-16bfb65c000e","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_15","BiomedicalConcept","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
"81492336-b8a6-4744-baa6-018182e51604","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept_16","BiomedicalConcept","Heart Rate","Heart Rate","['Heart Rate']"
"dfad4654-7dd8-4ead-8017-91d4fdea7159","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_17","BiomedicalConcept","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"584428e2-dd2b-4f61-9e4f-8355dfa64070","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_18","BiomedicalConcept","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
"523f81e4-36b6-4406-8312-93d0b524ecd3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept_19","BiomedicalConcept","Heart Rate","Heart Rate","['Heart Rate']"
