"name","reference","instanceType","uuid:ID","id","label","synonyms"
"Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","e6a5e536-3b95-45c0-8d91-1f92a39adec5","BiomedicalConcept_4","Temperature","['Temperature', 'Body Temperature']"
"Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","9b3fe02c-a884-44dd-b994-0e42d7855e69","BiomedicalConcept_5","Weight","['Weight', 'Body Weight']"
"Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","043fe991-1a53-46fe-b164-d52025466762","BiomedicalConcept_6","Height","['Height', 'Body Height']"
"Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","792ecb67-8ff9-444c-82c0-5361b05f9bfe","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","e8f9d445-7d75-4ecc-a676-7b7949aa629e","BiomedicalConcept_8","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']"
"Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","c45e73fe-6eac-430e-945e-cc8a141ed276","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","a5b63fd1-6fdd-4450-83ed-dfc5396cc165","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","659c4fb6-7d1b-4f54-ad55-3933fe0d5c24","BiomedicalConcept_11","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']"
"Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","e9b396cf-f432-4be3-8299-5920088f74b5","BiomedicalConcept_12","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']"
"Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","dba7082c-a73d-4e54-9a06-5b3bc48cb173","BiomedicalConcept_13","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","4acd4219-52a3-4cdf-bbf4-9f60f4b2245e","BiomedicalConcept_14","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","d55740ff-0a7e-4a6a-9297-871cef1e3de4","BiomedicalConcept_15","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
"Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","8908a8a2-6a2d-4e03-80a8-0b22b8828db7","BiomedicalConcept_16","Heart Rate","['Heart Rate']"
"Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","60490b58-e3fc-4d2e-8db4-24d76b0147d9","BiomedicalConcept_17","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","f4a88a0b-5595-4a38-a80c-bf95d3fa7cc9","BiomedicalConcept_18","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
"Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","2aa903da-cd22-4004-bbd7-9783f73efc47","BiomedicalConcept_19","Heart Rate","['Heart Rate']"
