"decode","instanceType","codeSystem","uuid:ID","id","code","codeSystemVersion"
"No","Code","http://www.cdisc.org","0a1098d0-50da-4717-ab94-791793583abf","Code_499","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","9c77b901-dfc7-467a-a014-e49857f0b035","Code_500","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","http://www.cdisc.org","0b9bfcb7-8ac0-47a2-99a8-564f25eee454","Code_501","C83309","2023-12-15"
"AST","Code","http://www.cdisc.org","258a239f-a910-47f4-bde2-8e896284e80c","Code_502","C64467","2023-12-15"
"CREAT","Code","http://www.cdisc.org","3d3d56b0-0767-47db-8541-90fd3ccf79ed","Code_503","C64547","2023-12-15"
"Laboratory Test Result","Code","http://www.cdisc.org","b974df4c-5429-42c6-978e-07cda51b9f64","Code_504","C36292","2023-12-15"
"Milligram per Deciliter","Code","http://www.cdisc.org","93526615-efc3-4750-a9c7-c1386ee90f48","Code_505","C67015","2023-12-15"
"Microgram per Milliliter","Code","http://www.cdisc.org","d37ddb45-c4f2-4a2c-94b1-5c5c14665c95","Code_506","C64572","2023-12-15"
"Millimole per Liter","Code","http://www.cdisc.org","55fd9d9c-100a-43df-a460-5b4e86f64428","Code_507","C64387","2023-12-15"
"Micromole per Liter","Code","http://www.cdisc.org","92c04129-d206-48b3-9b7c-ea28586a8dd6","Code_508","C48508","2023-12-15"
"Unit of Concentration","Code","http://www.cdisc.org","a34c5d16-7c2c-4031-95e3-9cef655090d5","Code_509","C48207","2023-12-15"
"Biospecimen Type","Code","http://www.cdisc.org","b63245f4-964e-4155-841b-f7b358ba96b0","Code_510","C70713","2023-12-15"
"No","Code","http://www.cdisc.org","e694f059-3551-4ea6-85f1-27487489d1b9","Code_511","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","7fffabd7-c0f5-4c47-835a-1169b2305049","Code_512","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","http://www.cdisc.org","47e87dae-5e9c-4738-84eb-28a4a4e721a9","Code_513","C83309","2023-12-15"
"CREAT","Code","http://www.cdisc.org","aaa26283-7d63-4837-947e-990ee58d1419","Code_514","C64547","2023-12-15"
"K","Code","http://www.cdisc.org","83b5a077-78bf-44c8-87e1-64e149dfaab2","Code_515","C64853","2023-12-15"
"Laboratory Test Result","Code","http://www.cdisc.org","746f36a6-6091-4ea6-9733-e9d83ab1ebae","Code_516","C36292","2023-12-15"
"Milliequivalent per Liter","Code","http://www.cdisc.org","6c8745d9-b557-4e7d-811c-96c4e8dd254e","Code_517","C67474","2023-12-15"
"Milliequivalent per Deciliter","Code","http://www.cdisc.org","2282ffc6-2884-41cb-8992-aa67c18a8a62","Code_518","C67473","2023-12-15"
"Millimole per Liter","Code","http://www.cdisc.org","1f78048b-f978-4e2b-8bc7-20a8a3bde342","Code_519","C64387","2023-12-15"
"Molarity Unit","Code","http://www.cdisc.org","e2ae9ee9-acd3-401d-8214-022370ca7778","Code_520","C64567","2023-12-15"
"Biospecimen Type","Code","http://www.cdisc.org","43243913-ebe7-40f0-9dc3-42ea08d9c2e0","Code_521","C70713","2023-12-15"
"No","Code","http://www.cdisc.org","b8accc89-e5d8-4ad7-b764-22df4beba895","Code_522","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","dd0d5512-3c1a-41c5-b625-4ce2c9c5f25e","Code_523","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","http://www.cdisc.org","413d0fa9-5ae2-4e0f-90d7-e6a9d8b133ed","Code_524","C83309","2023-12-15"
"K","Code","http://www.cdisc.org","935ca2ab-81b3-4524-8f07-7c38c8879bd6","Code_525","C64853","2023-12-15"
"SODIUM","Code","http://www.cdisc.org","65b90a9c-0843-4489-816a-69d4bdb34b21","Code_526","C64809","2023-12-15"
"Laboratory Test Result","Code","http://www.cdisc.org","ec3a8f15-7e28-40ae-ae39-8317d0508fb4","Code_527","C36292","2023-12-15"
"Milliequivalent per Liter","Code","http://www.cdisc.org","637271d1-b05b-4e97-960b-5c15ab2ccdbe","Code_528","C67474","2023-12-15"
"Milliequivalent per Deciliter","Code","http://www.cdisc.org","e93c9397-237e-4682-b0fe-7a8461fd5110","Code_529","C67473","2023-12-15"
"Millimole per Liter","Code","http://www.cdisc.org","e9b55bff-7d60-4c82-85a9-015813667605","Code_530","C64387","2023-12-15"
"Molarity Unit","Code","http://www.cdisc.org","41810043-f51c-4b8f-b856-455e6b5e4435","Code_531","C64567","2023-12-15"
"Biospecimen Type","Code","http://www.cdisc.org","37e4e87c-2d13-4bfa-8491-01dec9d29da2","Code_532","C70713","2023-12-15"
"No","Code","http://www.cdisc.org","cc09772e-acb3-475b-ba87-9849dee8eefe","Code_533","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","ec6572e2-e5b2-4509-87a2-697aa963af3c","Code_534","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","http://www.cdisc.org","b28f7de5-49f1-40b6-9694-9eb246c963c2","Code_535","C83309","2023-12-15"
"SODIUM","Code","http://www.cdisc.org","e9369490-7ae4-471f-ab9b-d71d5db7826c","Code_536","C64809","2023-12-15"
"HBA1C","Code","http://www.cdisc.org","7b8291d5-3524-4b8a-ac6f-65f1c46d5d89","Code_537","C64849","2023-12-15"
"Laboratory Test Result","Code","http://www.cdisc.org","8734149d-9edd-4a26-9684-56b6d283da5a","Code_538","C36292","2023-12-15"
"Gram per Deciliter","Code","http://www.cdisc.org","49309334-7fc2-4c27-b7d9-bf7339a7aaf6","Code_539","C64783","2023-12-15"
"LBORRESU","Code","http://www.cdisc.org","77216947-4382-4302-b514-f26aa1ca5148","Code_540","No Concept Code","2023-12-15"
"Biospecimen Type","Code","http://www.cdisc.org","285914a6-55d2-4f49-bde5-e38e8f14fcdd","Code_541","C70713","2023-12-15"
"No","Code","http://www.cdisc.org","3418c418-711e-4754-bcb0-c61ca68cada2","Code_542","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","7f4ad199-19ec-446d-abfb-5d7a54327991","Code_543","C49488","2023-12-15"
"Laboratory Test Fasting Status","Code","http://www.cdisc.org","83177f59-34c0-45ce-93c1-4f344eef083b","Code_544","C83309","2023-12-15"
"HBA1C","Code","http://www.cdisc.org","ac359a9f-f46e-4e3f-b7f6-2568083be92f","Code_545","C64849","2023-12-15"
"Adverse Event Verbatim Description","Code","http://www.cdisc.org","a637d9b2-b3e7-4283-807d-8e181fdd0041","Code_145","C78541","2023-12-15"
"Adverse Event Dictionary Derived Term","Code","http://www.cdisc.org","1fe1ebaa-aabe-484e-a71e-b107eeee940e","Code_146","C83344","2023-12-15"
"No","Code","http://www.cdisc.org","663fa159-1bcd-4f70-ba5d-9628410fab1d","Code_147","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","47f93877-d8e7-4138-83ab-fbde5648680b","Code_148","C49488","2023-12-15"
"Adverse Event Pre-specified","Code","http://www.cdisc.org","9d6dec13-aaf2-48fd-a0dd-951c68260bb0","Code_149","C87840","2023-12-15"
"Adverse Event Location","Code","http://www.cdisc.org","9afbacdc-631e-426f-9241-6ea28a2b1ea4","Code_150","C83205","2023-12-15"
"Severity of Adverse Event","Code","http://www.cdisc.org","44832a85-e599-4473-96eb-cbf4f7795c72","Code_151","C53253","2023-12-15"
"No","Code","http://www.cdisc.org","471a3a5d-9628-4c27-90c5-9cfeae1083c8","Code_152","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","71cc9c9f-1c6a-4be8-b05f-5ac119eee9fc","Code_153","C49488","2023-12-15"
"Seriousness of Adverse Event","Code","http://www.cdisc.org","552d62ff-01ef-4c48-9400-9f40c49b913d","Code_154","C53252","2023-12-15"
"Adverse Event Action Taken with Study Treatment","Code","http://www.cdisc.org","faa9d60a-48c2-4781-a2ee-91c8756cfa73","Code_155","C83013","2023-12-15"
"Other Actions taken in Response to Adverse Event","Code","http://www.cdisc.org","4274bffc-0910-43d9-a368-9028b00cb2a1","Code_156","C83109","2023-12-15"
"Adverse Event Attribution to Product or Procedure","Code","http://www.cdisc.org","ceb4c682-c6fb-46fc-8933-5a1dbd2d0399","Code_157","C41358","2023-12-15"
"Adverse Event Relationship to Non Study Treatment","Code","http://www.cdisc.org","ded926fc-15a4-4442-97bf-d82a0671827e","Code_158","C83210","2023-12-15"
"Adverse Event Pattern","Code","http://www.cdisc.org","785466b4-493f-4550-ba07-a084832a6667","Code_159","C83208","2023-12-15"
"Adverse Event Outcome","Code","http://www.cdisc.org","301f69cc-4b40-4156-ae36-27dce2f40c77","Code_160","C49489","2023-12-15"
"No","Code","http://www.cdisc.org","b0d173b1-896a-42a7-8cf5-958ab9abff04","Code_161","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","b6361a8f-f4eb-4a0c-8935-d2b76865341f","Code_162","C49488","2023-12-15"
"Adverse Event Involves Cancer","Code","http://www.cdisc.org","61c5d94d-568b-4feb-a25b-42a832396b40","Code_163","C83211","2023-12-15"
"No","Code","http://www.cdisc.org","5b0bd54b-0b9d-4f36-bbda-62a7cf607589","Code_164","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","213a9250-b835-409e-b92d-545c9e99b168","Code_165","C49488","2023-12-15"
"Adverse Event Seriousness Due to Congenital Anomaly","Code","http://www.cdisc.org","c6470e8c-1c72-4104-b6f9-cc845e15e536","Code_166","C83117","2023-12-15"
"No","Code","http://www.cdisc.org","3588f9bb-c880-4aa5-b2bc-409875e92fc8","Code_167","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","513229b6-5cec-41e6-a2e3-f7a7c98f80ed","Code_168","C49488","2023-12-15"
"Disabling Adverse Event","Code","http://www.cdisc.org","4f86dc7d-70d1-4a81-af3d-5642b81dd3ac","Code_169","C113380","2023-12-15"
"No","Code","http://www.cdisc.org","8fd3b420-17c0-46ea-9447-bc48f7cf755e","Code_170","C49487","2023-12-15"
"Yes","Code","http://www.cdisc.org","282f409c-a9a1-4a30-94cd-6e23762fe5a0","Code_171","C49488","2023-12-15"
