"id","description","label","reference","name","instanceType","uuid:ID"
"BiomedicalConceptSurrogate_14","Hemoglobin","Hemoglobin","None set","Hemoglobin","BiomedicalConceptSurrogate","4aee1f47-3586-4983-9884-8aa34eee975c"
"BiomedicalConceptSurrogate_15","Erythrocyte count (RBC)","Erythrocyte count (RBC)","None set","Erythrocyte count (RBC)","BiomedicalConceptSurrogate","2548cf8c-0336-43ab-b719-0831e5a48cdd"
"BiomedicalConceptSurrogate_16","Mean cell volume","Mean cell volume","None set","Mean cell volume","BiomedicalConceptSurrogate","f893273f-3631-45ac-942f-983dfcc0e60e"
"BiomedicalConceptSurrogate_17","Mean cell hemoglobin","Mean cell hemoglobin","None set","Mean cell hemoglobin","BiomedicalConceptSurrogate","cd5d5277-360c-41e6-a8cd-a8e982cc526c"
"BiomedicalConceptSurrogate_18","Mean cell hemoglobin concentration","Mean cell hemoglobin concentration","None set","Mean cell hemoglobin concentration","BiomedicalConceptSurrogate","28243a5b-95fb-4315-aa8f-ade13734c3fd"
"BiomedicalConceptSurrogate_19","Platelets","Platelets","None set","Platelets","BiomedicalConceptSurrogate","e1492140-5139-4e3e-8fe5-bc2e2c1f423b"
"BiomedicalConceptSurrogate_20","Leukocytes (WBC)","Leukocytes (WBC)","None set","Leukocytes (WBC)","BiomedicalConceptSurrogate","080fc027-5a8b-464e-b6d1-b43ae38d5fa3"
"BiomedicalConceptSurrogate_21","Cell morphology","Cell morphology","None set","Cell morphology","BiomedicalConceptSurrogate","dbb065a3-e84d-44e8-8f47-3399155ad88c"
"BiomedicalConceptSurrogate_22","Neutrophils","Neutrophils","None set","Neutrophils","BiomedicalConceptSurrogate","35c02ad4-520f-4aa0-a33e-c79c08e61443"
"BiomedicalConceptSurrogate_23","Lymphocytes","Lymphocytes","None set","Lymphocytes","BiomedicalConceptSurrogate","2274399d-a029-4a23-b316-44c4852518fc"
"BiomedicalConceptSurrogate_24","Monocytes","Monocytes","None set","Monocytes","BiomedicalConceptSurrogate","af4a91e6-cd30-4e4a-9f80-eb9e220f16c1"
"BiomedicalConceptSurrogate_25","Eosinophils","Eosinophils","None set","Eosinophils","BiomedicalConceptSurrogate","ed49ffaa-9aa4-4ca7-bdfc-e2d81f68970e"
"BiomedicalConceptSurrogate_26","Basophils","Basophils","None set","Basophils","BiomedicalConceptSurrogate","3c8c0c54-d9c2-4c88-8e31-f0f0e36ae950"
"BiomedicalConceptSurrogate_27","Sodium","Sodium","None set","Sodium","BiomedicalConceptSurrogate","fd4eed22-0860-42d4-9ff0-6e2d2b71c86a"
"BiomedicalConceptSurrogate_28","Potassium","Potassium","None set","Potassium","BiomedicalConceptSurrogate","1141dec2-e60f-478d-a7f7-5f536e968715"
"BiomedicalConceptSurrogate_29","Chloride","Chloride","None set","Chloride","BiomedicalConceptSurrogate","ea5b4e20-142a-4733-bfc8-0adc47f9ee6b"
"BiomedicalConceptSurrogate_30","Calcium","Calcium","None set","Calcium","BiomedicalConceptSurrogate","f6d20a9c-8764-4c92-a91a-056520138f07"
"BiomedicalConceptSurrogate_31","Phosphorus","Phosphorus","None set","Phosphorus","BiomedicalConceptSurrogate","2f3ad643-8852-4a10-b99a-c31d0c71b89d"
"BiomedicalConceptSurrogate_32","Plasma Glucose","Plasma Glucose","None set","Plasma Glucose","BiomedicalConceptSurrogate","cba12e44-54d8-4815-818e-5716a4598c4f"
"BiomedicalConceptSurrogate_33","Blood urea nitrogen (BUN)","Blood urea nitrogen (BUN)","None set","Blood urea nitrogen (BUN)","BiomedicalConceptSurrogate","53a00cd0-e624-43a7-a724-8cca70560e6a"
"BiomedicalConceptSurrogate_34","Uric acid","Uric acid","None set","Uric acid","BiomedicalConceptSurrogate","d4f34078-a2d4-48a7-ba2b-01f4aa872f2a"
"BiomedicalConceptSurrogate_35","Total cholesterol","Total cholesterol","None set","Total cholesterol","BiomedicalConceptSurrogate","47ba5b56-bb41-4431-940f-da292d1c68a1"
"BiomedicalConceptSurrogate_36","Total protein","Total protein","None set","Total protein","BiomedicalConceptSurrogate","cb3c36b0-14d2-4384-8a5e-3ffd70f699dc"
"BiomedicalConceptSurrogate_37","Albumin","Albumin","None set","Albumin","BiomedicalConceptSurrogate","3df154ae-052a-4c75-9c1d-e138825fcdb6"
"BiomedicalConceptSurrogate_38","Total bilirubin","Total bilirubin","None set","Total bilirubin","BiomedicalConceptSurrogate","4dc85269-bef2-4b1c-b82e-908a4813f094"
"BiomedicalConceptSurrogate_39","Alkaline phosphatase (ALP)","Alkaline phosphatase (ALP)","None set","Alkaline phosphatase (ALP)","BiomedicalConceptSurrogate","8350d49d-b961-4e48-a5b0-5f2c8fef0ae2"
"BiomedicalConceptSurrogate_40","Aspartate aminotransferase (AST)","Aspartate aminotransferase (AST)","None set","Aspartate aminotransferase (AST)","BiomedicalConceptSurrogate","4edcfca9-1dab-4f4e-b966-ce2ff67bdeeb"
"BiomedicalConceptSurrogate_41","Alanine aminotransferase (ALT)","Alanine aminotransferase (ALT)","None set","Alanine aminotransferase (ALT)","BiomedicalConceptSurrogate","41ba3522-0612-47e5-bd47-19bfd2380a8f"
"BiomedicalConceptSurrogate_42","Creatinine","Creatinine","None set","Creatinine","BiomedicalConceptSurrogate","213a989a-fead-4010-a20f-dba81595438e"
"BiomedicalConceptSurrogate_43","Urinalysisa Gamma-glutamyl transferase (GGT)","Urinalysisa Gamma-glutamyl transferase (GGT)","None set","Urinalysisa Gamma-glutamyl transferase (GGT)","BiomedicalConceptSurrogate","3ebf1e41-566c-44c1-ba57-060709f037d0"
"BiomedicalConceptSurrogate_44","Insulin","Insulin","None set","Insulin","BiomedicalConceptSurrogate","57e302f5-415c-4fbe-8073-8faf28bcf889"
"BiomedicalConceptSurrogate_45","Protein","Protein","None set","Protein","BiomedicalConceptSurrogate","094dabec-7743-4fd9-80ae-9eec3108afc7"
"BiomedicalConceptSurrogate_46","Glucose","Glucose","None set","Glucose","BiomedicalConceptSurrogate","df288389-5e10-4fb7-9bc1-e544b9119a91"
"BiomedicalConceptSurrogate_47","Ketones","Ketones","None set","Ketones","BiomedicalConceptSurrogate","e30aef25-47b5-4647-9c41-a5af6305d449"
"BiomedicalConceptSurrogate_48","Bilirubin","Bilirubin","None set","Bilirubin","BiomedicalConceptSurrogate","92dcc449-5e02-46ff-9cd9-1a8c4082f99b"
"BiomedicalConceptSurrogate_49","Urobilinogen","Urobilinogen","None set","Urobilinogen","BiomedicalConceptSurrogate","24edb74c-322d-4a7b-838d-cdc5d560d0df"
"BiomedicalConceptSurrogate_50","Blood","Blood","None set","Blood","BiomedicalConceptSurrogate","4ed9b949-7df3-4418-a113-18179dc7f6b1"
"BiomedicalConceptSurrogate_51","Nitrite","Nitrite","None set","Nitrite","BiomedicalConceptSurrogate","565294e4-8d82-482f-9229-ff766ab0b112"
"BiomedicalConceptSurrogate_52","HbA1c","HbA1c","None set","HbA1c","BiomedicalConceptSurrogate","aaa322ae-7715-4476-95d7-1a553e965d10"
"BiomedicalConceptSurrogate_1","Weight","Weight","None set","Weight","BiomedicalConceptSurrogate","62d28b20-a991-430c-ae6e-d4c816cc9190"
