"decode","id","instanceType","codeSystemVersion","code","codeSystem","uuid:ID"
"Visit","Code_108","Code","2023-09-29","C25716","http://www.cdisc.org","53cbf78f-0726-406a-8275-ac3c600fc382"
"Clinic","Code_109","Code","2023-09-29","C51282","http://www.cdisc.org","b729eed7-8958-4b43-a573-7a327a4127f8"
"In Person","Code_110","Code","2023-09-29","C175574","http://www.cdisc.org","6a925aa8-1079-4489-ad1a-525a4b2de642"
"Visit","Code_111","Code","2023-09-29","C25716","http://www.cdisc.org","ba9a6f4c-65d7-490f-8ce6-d6a42e7263c0"
"Clinic","Code_112","Code","2023-09-29","C51282","http://www.cdisc.org","cc76c797-18bc-49ad-b268-cfa40922695b"
"In Person","Code_113","Code","2023-09-29","C175574","http://www.cdisc.org","b5ba5c20-cdb6-4bd9-b2b4-275f77763ffa"
"Visit","Code_114","Code","2023-09-29","C25716","http://www.cdisc.org","e2bc75d0-0bc5-496f-a867-994f2de5cd58"
"Ambulatory Care Facility","Code_115","Code","2023-09-29","C16281","http://www.cdisc.org","d2398940-cd80-47f6-aff7-d0d5845699a6"
"In Person","Code_116","Code","2023-09-29","C175574","http://www.cdisc.org","871b49f8-03a1-4b17-8aeb-9343a8ac27ea"
"Obtaining Consent","Code_88","Code","January 31, 2018","414925007","SNOMED","ea353c0b-5623-474c-9092-3902082b2da2"
"Randomization","Code_92","Code","12","0001","SPONSOR","9d99d1a7-fab5-43e4-b8be-e5fcebdb2937"
"Admission procedure","Code_89","Code","January 31, 2018","305056002","SNOMED","5409fc94-2df9-44b3-b387-838ed30ccdb9"
"Patient Discharge","Code_90","Code","January 31, 2018","58000006","SNOMED","56ad11cb-746f-4b5a-a5e0-6c4aa4ba6d0b"
"Physical examination procedure","Code_93","Code","January 31, 2018","5880005","SNOMED","9f47f259-b7d9-4e3b-865a-28ed47a3c78c"
"Injection site assessment","Code_94","Code","12","0003","SPONSOR","e37b87d9-4288-4511-95f1-d2d1c6c1fa9d"
"Nasal site inspection","Code_95","Code","12","0004","SPONSOR","cc7876ad-9095-4bf8-8f0e-1c9b3aa0d397"
"Meal","Code_91","Code","12","0002","SPONSOR","bcdf111a-7b12-4676-999f-37d29b27d8a8"
"Clinical Test Result","Code_132","Code","","C77140","NCI Thesaurus","e7af7819-636f-4127-b923-24bcee6b7a79"
"Beats per Minute","Code_133","Code","2023-09-29","C49673","http://www.cdisc.org","f82c19e2-090f-4ce7-b41f-aa634dae1c0b"
"Count per Minute","Code_134","Code","","C73688","NCI Thesaurus","856da8e5-80bc-463b-a463-488082404b9d"
"Anatomic Site","Code_135","Code","","C13717","NCI Thesaurus","b5cd970a-0a1b-4f20-8401-4ddad1366bb4"
"Laterality","Code_136","Code","","C25185","NCI Thesaurus","ca035470-5797-4356-9fda-881a53b7d424"
"Test Method","Code_137","Code","","C82535","NCI Thesaurus","baa2f42e-43b6-45d7-8dc3-032b5af439e1"
"Body Position","Code_138","Code","","C62164","NCI Thesaurus","69e076e0-6045-437e-93c5-2b932cc4eba6"
"Pulse Rate","Code_131","Code","","C49676","NCI Thesaurus","5d610aca-b670-4082-9a2d-769c522451ff"
"Clinical Test Result","Code_140","Code","","C77140","NCI Thesaurus","e78e6f18-4ed4-45da-953e-910e43bdde5b"
"Kelvin","Code_141","Code","2023-09-29","C42537","http://www.cdisc.org","5e9663df-ca71-4225-9834-f7354c4fdeb8"
"Unit of Temperature","Code_142","Code","","C44276","NCI Thesaurus","1301ee2b-db5d-4c33-997f-2a0ec9c4490c"
"Anatomic Site","Code_143","Code","","C13717","NCI Thesaurus","0000fa52-cb74-471f-a4a9-ded538ca5c0f"
"Body Temperature","Code_139","Code","","C174446","NCI Thesaurus","36c48aaf-bccb-464e-8b6f-c578b5368249"
"Laboratory Test Result","Code_145","Code","","C36292","NCI Thesaurus","50b8ec3c-5295-4496-ba06-8997829e196e"
"Laboratory Test Fasting Status","Code_146","Code","","C83309","NCI Thesaurus","cb82c8dd-933f-4eaf-ade3-bf4dfceddc12"
"Biospecimen Type","Code_147","Code","","C70713","NCI Thesaurus","710c2249-05a1-439e-a199-cac3718bea0b"
"Specific Gravity","Code_144","Code","","C64832","NCI Thesaurus","8cbc0a7c-eb3d-43cb-a74a-aa759f318eac"
"Laboratory Test Result","Code_149","Code","","C36292","NCI Thesaurus","9e1f188e-3869-41c3-87de-076fe16627dc"
"Laboratory Test Fasting Status","Code_150","Code","","C83309","NCI Thesaurus","dd7de007-acff-4591-8ed3-c3aea37b8173"
"Biospecimen Type","Code_151","Code","","C70713","NCI Thesaurus","b54dfe46-d9ed-40e5-9bfc-85d72ce42c2a"
"pH","Code_148","Code","","C45997","NCI Thesaurus","527fbb4c-efcc-445c-acc1-ad25a5707d9e"
"Experimental Arm","Code_117","Code","2023-09-29","C174266","http://www.cdisc.org","e71eaf46-50e8-43ff-93c0-71b732cb7c5f"
"Data Generated Within Study","Code_118","Code","2023-09-29","C188866","http://www.cdisc.org","a9c145b8-5955-473a-9c0b-2b27dfcd07d1"
"Experimental Arm","Code_119","Code","2023-09-29","C174266","http://www.cdisc.org","f340bae8-b96d-41d0-a186-9455c2238782"
"Data Generated Within Study","Code_120","Code","2023-09-29","C188866","http://www.cdisc.org","20c9f141-a6f5-4de2-9df8-f7e70eb4e74f"
"Open Label Study","Code_126","Code","2023-09-29","C49659","http://www.cdisc.org","11b2c0b5-2f8f-42ac-afc7-c4f5b98de4fd"
"Trial Screening","Code_121","Code","2023-09-29","C48262","http://www.cdisc.org","6bb3a287-8c63-4ff3-b993-d21a7c2a81fb"
"Treatment Epoch","Code_122","Code","2023-09-29","C101526","http://www.cdisc.org","b6ede0be-493e-425d-ab42-10ec40fdd81f"
"Washout Period","Code_123","Code","2023-09-29","C42872","http://www.cdisc.org","9deac638-568d-4d32-87a0-984b66bc9f96"
"Treatment Epoch","Code_124","Code","2023-09-29","C101526","http://www.cdisc.org","2cc2fff0-9e4d-44e9-82e5-730bb01cb9e0"
"Clinical Study Follow-up","Code_125","Code","2023-09-29","C99158","http://www.cdisc.org","253cd7e4-e654-4c77-81d3-6d207f577def"
"Diabetes mellitus type 1","Code_152","Code","January 31, 2018","46635009","SNOMED","707a9a10-96a9-46a0-afac-6d564e95b798"
"Diabetes mellitus type 2","Code_153","Code","January 31, 2018","44054006","SNOMED","55587af9-7d06-4098-95a7-9669b8a604b4"
"Experimental Intervention","Code_159","Code","2023-09-29","C41161","http://www.cdisc.org","eb8bc352-ca4e-4d9f-9c98-4321facf95a6"
"Pharmacologic Substance","Code_160","Code","2023-09-29","C1909","http://www.cdisc.org","eceaf09e-2f1c-48e5-926b-84b78e1d99ef"
"Day","Code_163","Code","2023-09-29","C25301","http://www.cdisc.org","0aa78ea7-e602-4f7b-b445-61879ed8fa30"
"B","Code_158","Code","12","A","SPONSOR","f91c614e-47fb-4b19-b25e-827e3e0b9953"
"Day","Code_154","Code","2023-09-29","C25301","http://www.cdisc.org","3777f2ae-4730-40ad-a0b3-01b6535b7122"
"Milligram","Code_156","Code","2023-09-29","C28253","http://www.cdisc.org","4ecc394c-5e93-471c-b730-d0c9a0802cbe"
"Nasal Route of Administration","Code_155","Code","2023-09-29","C38284","http://www.cdisc.org","4ad0ff5f-6126-4784-83fb-72becc803d48"
"Once","Code_157","Code","2023-09-29","C64576","http://www.cdisc.org","9ceb4ec5-1999-45ab-ad4f-7b9dd352b29b"
"IMP","Code_162","Code","2023-09-29","C99909x1","http://www.cdisc.org","b15d3060-450f-4545-aa7d-5db054bdb7f1"
"B","Code_161","Code","None set","A","FDA","f6a06819-afef-4cc9-b309-8da741697396"
"Experimental Intervention","Code_169","Code","2023-09-29","C41161","http://www.cdisc.org","98a011d7-4707-4af9-8410-164864119c76"
"Pharmacologic Substance","Code_170","Code","2023-09-29","C1909","http://www.cdisc.org","c3d8b5dc-7ffd-4ca2-98dc-59d67c2c2b20"
"Day","Code_173","Code","2023-09-29","C25301","http://www.cdisc.org","315a5b01-5169-4c21-936d-42f56ad4d49a"
"B","Code_168","Code","12","A","SPONSOR","593a9ea9-bfe9-4dc1-8825-4fcc4b280acc"
"Day","Code_164","Code","2023-09-29","C25301","http://www.cdisc.org","42a9db3d-29ff-4e6f-9142-894ba0208179"
"Milligram","Code_166","Code","2023-09-29","C28253","http://www.cdisc.org","9f7cdf5c-fe0c-4c5e-a91f-24df00f5ed1c"
"Intramuscular Route of Administration","Code_165","Code","2023-09-29","C28161","http://www.cdisc.org","da9cc90c-0358-401f-8029-633383d9f552"
"Once","Code_167","Code","2023-09-29","C64576","http://www.cdisc.org","73eebe87-f162-4894-a65c-843849b9930e"
"IMP","Code_172","Code","2023-09-29","C99909x1","http://www.cdisc.org","4663efbc-013e-4605-a8bb-f05c23e0b917"
"B","Code_171","Code","None set","A","FDA","78e782b6-00ed-44c0-8ff9-52678a91c9bf"
"Trial Primary Objective","Code_178","Code","2023-09-29","C85826","http://www.cdisc.org","be2d42b4-a5aa-4fe2-af3f-2ccf47714ee4"
"Primary Endpoint","Code_177","Code","2023-09-29","C94496","http://www.cdisc.org","55cb1a46-3ea0-4c15-ad1c-d3d0d0d095ae"
"Trial Secondary Objective","Code_180","Code","2023-09-29","C85827","http://www.cdisc.org","85e73dbb-942e-4ddf-9765-cbbb8040f488"
"Secondary Endpoint","Code_179","Code","2023-09-29","C139173","http://www.cdisc.org","1adf547b-6afd-426e-bc3c-b931a508131b"
"Trial Secondary Objective","Code_182","Code","2023-09-29","C85827","http://www.cdisc.org","df17e5e2-503f-4beb-aceb-04562dcb6347"
"Secondary Endpoint","Code_181","Code","2023-09-29","C139173","http://www.cdisc.org","5fc54548-ab78-4b20-986a-9741537b0cb7"
"Trial Secondary Objective","Code_184","Code","2023-09-29","C85827","http://www.cdisc.org","29a0fba5-113c-490a-aacd-491ac18119e6"
"Secondary Endpoint","Code_183","Code","2023-09-29","C139173","http://www.cdisc.org","c92c623e-e7f0-4132-9dd9-562d50415830"
"Trial Secondary Objective","Code_186","Code","2023-09-29","C85827","http://www.cdisc.org","8fa62418-88e4-4b56-82cc-c6088a5994a9"
"Exploratory Endpoint","Code_185","Code","2023-09-29","C170559","http://www.cdisc.org","376245dd-4f8d-4935-99e3-e73e72366bf8"
"Trial Secondary Objective","Code_188","Code","2023-09-29","C85827","http://www.cdisc.org","c1907c88-890c-452a-a139-377400dd2a98"
"Exploratory Endpoint","Code_187","Code","2023-09-29","C170559","http://www.cdisc.org","bd4defd3-a1cd-4b70-a2ff-51cfd8383bb7"
"Inclusion Criteria","Code_189","Code","2023-09-29","C25532","http://www.cdisc.org","37d418d8-c965-413d-ae5b-3fe772d95457"
"Inclusion Criteria","Code_190","Code","2023-09-29","C25532","http://www.cdisc.org","e34ac90e-c02e-4c78-a62a-41eab35a54f5"
"Inclusion Criteria","Code_191","Code","2023-09-29","C25532","http://www.cdisc.org","f36d5b3a-94c4-497b-ba82-8904147cd2b5"
"Inclusion Criteria","Code_192","Code","2023-09-29","C25532","http://www.cdisc.org","cb5fc599-7cb0-4d85-b803-2f080d860b7c"
"Inclusion Criteria","Code_193","Code","2023-09-29","C25532","http://www.cdisc.org","09d3c032-dae2-431d-87a5-ebc8683cea56"
"Inclusion Criteria","Code_194","Code","2023-09-29","C25532","http://www.cdisc.org","0abe9ff2-9459-4d47-963f-0beee8406e1e"
"Inclusion Criteria","Code_195","Code","2023-09-29","C25532","http://www.cdisc.org","d425302a-fd51-4280-be16-15f7abcd97bb"
"Inclusion Criteria","Code_196","Code","2023-09-29","C25532","http://www.cdisc.org","8d494440-77bb-46c2-b834-0f77791e59b0"
"Inclusion Criteria","Code_197","Code","2023-09-29","C25532","http://www.cdisc.org","ea0fc104-1b95-4723-9ced-1765781306f7"
"Inclusion Criteria","Code_198","Code","2023-09-29","C25532","http://www.cdisc.org","498b7915-8c0d-419f-b1df-efe2e1bb95e2"
"Exclusion Criteria","Code_199","Code","2023-09-29","C25370","http://www.cdisc.org","10e2d8f7-77dc-454b-ad22-a4f16f44e9a7"
"Exclusion Criteria","Code_200","Code","2023-09-29","C25370","http://www.cdisc.org","d654e306-6833-4399-878d-1c7d9b55b6f8"
"Exclusion Criteria","Code_201","Code","2023-09-29","C25370","http://www.cdisc.org","45b99ac4-7f97-4af2-935b-f95a8a67b909"
"Exclusion Criteria","Code_202","Code","2023-09-29","C25370","http://www.cdisc.org","8cb8af6b-3c49-4080-a410-0e426f233f8d"
"Exclusion Criteria","Code_203","Code","2023-09-29","C25370","http://www.cdisc.org","2d3d4ae7-ff30-4bd8-8df3-aca2603b1b23"
"Exclusion Criteria","Code_204","Code","2023-09-29","C25370","http://www.cdisc.org","b7560b73-aff9-47e4-852c-32b48ae690ed"
"Exclusion Criteria","Code_205","Code","2023-09-29","C25370","http://www.cdisc.org","270b10b1-d204-46a1-be95-668cdbbb5350"
"Exclusion Criteria","Code_206","Code","2023-09-29","C25370","http://www.cdisc.org","d3c44d59-4084-4355-ac42-4333f3567c65"
"Exclusion Criteria","Code_207","Code","2023-09-29","C25370","http://www.cdisc.org","bf732abb-a814-48fd-afe3-656340709fc1"
"Exclusion Criteria","Code_208","Code","2023-09-29","C25370","http://www.cdisc.org","6086ee97-07af-462a-adb1-1ffaf0b1cdaf"
"Exclusion Criteria","Code_209","Code","2023-09-29","C25370","http://www.cdisc.org","28809761-6907-41a4-9fe1-3cce0de4c6e2"
"Exclusion Criteria","Code_210","Code","2023-09-29","C25370","http://www.cdisc.org","cf1444f2-fc06-47e2-a160-857bf5412bb9"
"Exclusion Criteria","Code_211","Code","2023-09-29","C25370","http://www.cdisc.org","326f924d-5eb5-421c-a8a8-62d94a81ff3e"
"Exclusion Criteria","Code_212","Code","2023-09-29","C25370","http://www.cdisc.org","6bc48c8e-c114-4399-9690-c4721cf22619"
"Exclusion Criteria","Code_213","Code","2023-09-29","C25370","http://www.cdisc.org","c6941f1c-a595-4b68-bbc0-9bf71278c41f"
"Exclusion Criteria","Code_214","Code","2023-09-29","C25370","http://www.cdisc.org","8dd77a92-f537-421d-abb7-66365e9d7625"
"Exclusion Criteria","Code_215","Code","2023-09-29","C25370","http://www.cdisc.org","03186ea8-0a33-4dfd-b0e9-a073b99eeb2d"
"Exclusion Criteria","Code_216","Code","2023-09-29","C25370","http://www.cdisc.org","5ce3ae1a-6e54-4658-8826-ccf7e3709b1e"
"Exclusion Criteria","Code_217","Code","2023-09-29","C25370","http://www.cdisc.org","f91ad71f-89a2-40eb-bf0b-811ce3f82c20"
"Exclusion Criteria","Code_218","Code","2023-09-29","C25370","http://www.cdisc.org","ba3b7a7b-4a11-4e31-a3e1-23b9f07708e4"
"Exclusion Criteria","Code_219","Code","2023-09-29","C25370","http://www.cdisc.org","22a72a0e-de28-43ef-9c8c-54499cb3bf31"
"Exclusion Criteria","Code_220","Code","2023-09-29","C25370","http://www.cdisc.org","e31e3d15-7b62-46f8-b07d-a4c90f735250"
"Exclusion Criteria","Code_221","Code","2023-09-29","C25370","http://www.cdisc.org","3d138ab3-0567-4cca-93f9-1b026bd83927"
"Exclusion Criteria","Code_222","Code","2023-09-29","C25370","http://www.cdisc.org","acc8aa5b-1229-4ecc-813b-46fb256095c9"
"Exclusion Criteria","Code_223","Code","2023-09-29","C25370","http://www.cdisc.org","3188ea93-c1b1-4eba-9594-cf55e837fa5f"
"Exclusion Criteria","Code_224","Code","2023-09-29","C25370","http://www.cdisc.org","930c7718-e632-4eb9-b706-8ebcd941741b"
"Year","Code_175","Code","2023-09-29","C29848","http://www.cdisc.org","fbabac05-e850-48fb-97a7-36a97bc9e8c4"
"Year","Code_176","Code","2023-09-29","C29848","http://www.cdisc.org","dd61c6fb-5b26-4f78-a55c-e0e79ad75b1b"
"Before","Code_8","Code","2023-09-29","C201357","http://www.cdisc.org","afeb6b25-1fdb-46ce-abb4-05daa853a728"
"Start to Start","Code_9","Code","2023-09-29","C201355","http://www.cdisc.org","59ad3c68-0673-48d9-a3dc-e6daee68dd03"
"Before","Code_11","Code","2023-09-29","C201357","http://www.cdisc.org","a641801c-0dda-4243-834a-6b8d3d18ccac"
"Start to Start","Code_12","Code","2023-09-29","C201355","http://www.cdisc.org","5c508629-d1fc-4dd0-a1a4-29a2bfc7bfd8"
"Before","Code_13","Code","2023-09-29","C201357","http://www.cdisc.org","8371d3ed-643d-4e66-bea3-46a34eaa1f8d"
"Start to Start","Code_14","Code","2023-09-29","C201355","http://www.cdisc.org","5bb8cbc2-349b-4bec-af2d-9553713105df"
"Before","Code_15","Code","2023-09-29","C201357","http://www.cdisc.org","bc4ce770-93de-4c3a-a5ca-6c4c427fa0db"
"Start to Start","Code_16","Code","2023-09-29","C201355","http://www.cdisc.org","59482220-f601-4b9d-bde7-12a4463353d9"
"Before","Code_17","Code","2023-09-29","C201357","http://www.cdisc.org","cfe038aa-54dd-4f64-93a3-a5aa66c9e130"
"Start to Start","Code_18","Code","2023-09-29","C201355","http://www.cdisc.org","619d5dbe-e91a-4efa-b809-b8a1f8ff0789"
"Fixed Reference","Code_19","Code","2023-09-29","C201358","http://www.cdisc.org","14599368-d871-4700-98bb-5bef2d0ac04c"
"Start to Start","Code_20","Code","2023-09-29","C201355","http://www.cdisc.org","94a5844a-1ac2-4f72-95c6-a8fb2602aebb"
"After","Code_21","Code","2023-09-29","C201356","http://www.cdisc.org","96ac2b8a-10cd-4fe0-863d-1a42a8b709bd"
"Start to Start","Code_22","Code","2023-09-29","C201355","http://www.cdisc.org","7700f5cb-4369-47b7-8b11-afd3cebc4bd8"
"After","Code_23","Code","2023-09-29","C201356","http://www.cdisc.org","3f301994-d8eb-4b91-9ed1-ea0f6fe9156b"
"Start to Start","Code_24","Code","2023-09-29","C201355","http://www.cdisc.org","c5701be5-d328-43f8-935f-75b04c0ed921"
"After","Code_26","Code","2023-09-29","C201356","http://www.cdisc.org","87e17785-297e-4dad-92c2-ef4894b066be"
"Start to Start","Code_27","Code","2023-09-29","C201355","http://www.cdisc.org","7b37c765-3922-4e3c-a73c-56709f827c29"
"After","Code_28","Code","2023-09-29","C201356","http://www.cdisc.org","a501535a-1db4-4005-a64f-18fe8d084080"
"Start to Start","Code_29","Code","2023-09-29","C201355","http://www.cdisc.org","33f7a551-d223-47d6-bc41-4198157524e5"
"After","Code_30","Code","2023-09-29","C201356","http://www.cdisc.org","503535d8-dfa5-4ab4-be81-fdefdec249f0"
"Start to Start","Code_31","Code","2023-09-29","C201355","http://www.cdisc.org","196af399-cdc6-40c0-8912-9b504153026a"
"After","Code_32","Code","2023-09-29","C201356","http://www.cdisc.org","de77519f-497d-4ab4-a476-d64c41de092d"
"Start to Start","Code_33","Code","2023-09-29","C201355","http://www.cdisc.org","9cb84de0-114c-4eed-a537-3c0149c7b143"
"After","Code_34","Code","2023-09-29","C201356","http://www.cdisc.org","fbe32b4b-e4cf-4bcb-9707-f34756eee158"
"Start to Start","Code_35","Code","2023-09-29","C201355","http://www.cdisc.org","dfa02e29-c9c8-4bfd-bad2-a0919783f268"
"After","Code_36","Code","2023-09-29","C201356","http://www.cdisc.org","7e29fea2-eb83-4f9d-9950-0c4a8bcd252f"
"Start to Start","Code_37","Code","2023-09-29","C201355","http://www.cdisc.org","53a2dc35-642b-447e-9344-6c963fd43b37"
"After","Code_39","Code","2023-09-29","C201356","http://www.cdisc.org","9e70cddc-87af-4b28-95e5-9c067182172e"
"Start to Start","Code_40","Code","2023-09-29","C201355","http://www.cdisc.org","a52f0b53-c9b0-4818-a127-2558e824752a"
"Before","Code_71","Code","2023-09-29","C201357","http://www.cdisc.org","d6a6debd-43f5-4b6b-9146-e8cba1dc8ba0"
"Start to Start","Code_72","Code","2023-09-29","C201355","http://www.cdisc.org","3ecfa175-1a38-4299-a940-6bc297a6ff04"
"Before","Code_73","Code","2023-09-29","C201357","http://www.cdisc.org","77758171-3a9d-44c1-a4be-a45de71df76a"
"Start to Start","Code_74","Code","2023-09-29","C201355","http://www.cdisc.org","8b095d83-4fc1-4483-981f-83048a1cd8b7"
"Before","Code_75","Code","2023-09-29","C201357","http://www.cdisc.org","537cf2ac-7ced-4f33-be62-b199029068eb"
"Start to Start","Code_76","Code","2023-09-29","C201355","http://www.cdisc.org","2db0e1a3-e293-4700-bfc9-e18d4a18d871"
"Fixed Reference","Code_77","Code","2023-09-29","C201358","http://www.cdisc.org","c66c6329-1c48-48df-bf63-63e109e60a7e"
"Start to Start","Code_78","Code","2023-09-29","C201355","http://www.cdisc.org","5c4a797a-95b0-4798-aa5e-1440f016ce0b"
"After","Code_79","Code","2023-09-29","C201356","http://www.cdisc.org","d52b0319-910e-49fc-8985-01495a4231c4"
"Start to Start","Code_80","Code","2023-09-29","C201355","http://www.cdisc.org","4c7a212f-9676-482f-a08d-6122cdaf33fe"
"Before","Code_41","Code","2023-09-29","C201357","http://www.cdisc.org","ba3683cb-b9a4-4d1d-b1d7-86eaf6c244ab"
"Start to Start","Code_42","Code","2023-09-29","C201355","http://www.cdisc.org","37480fd8-f27e-4fe0-a015-7279d4d57012"
"Fixed Reference","Code_43","Code","2023-09-29","C201358","http://www.cdisc.org","fa555859-c9cd-4bdd-8c03-589653bb24d5"
"Start to Start","Code_44","Code","2023-09-29","C201355","http://www.cdisc.org","4d0f5329-a1df-4ef9-87fd-6fc6b2956f2e"
"After","Code_45","Code","2023-09-29","C201356","http://www.cdisc.org","b21df62e-b42a-4c07-9b05-ef165303ead6"
"Start to Start","Code_46","Code","2023-09-29","C201355","http://www.cdisc.org","00f09478-cfa7-4a58-bc81-c358d3c5a26c"
"After","Code_47","Code","2023-09-29","C201356","http://www.cdisc.org","d239dd39-53d5-439f-8906-c212f8564e5e"
"Start to Start","Code_48","Code","2023-09-29","C201355","http://www.cdisc.org","713e2e2e-4d21-4857-8eca-9193f0ac0a36"
"After","Code_49","Code","2023-09-29","C201356","http://www.cdisc.org","dbe5a1c3-7b7c-49e7-8da0-b8c5e6bb3597"
"Start to Start","Code_50","Code","2023-09-29","C201355","http://www.cdisc.org","475119ed-fce7-4a48-8596-1879877f6b68"
"After","Code_51","Code","2023-09-29","C201356","http://www.cdisc.org","973a28cd-5ca1-4751-9e64-e19e20a14f5a"
"Start to Start","Code_52","Code","2023-09-29","C201355","http://www.cdisc.org","744fda95-4afb-4795-827f-e7c40e43516a"
"After","Code_53","Code","2023-09-29","C201356","http://www.cdisc.org","9ee4e4eb-0822-4fee-885f-a856ee1b9e75"
"Start to Start","Code_54","Code","2023-09-29","C201355","http://www.cdisc.org","31164117-dc71-4e9e-998a-5aaf5938408b"
"After","Code_55","Code","2023-09-29","C201356","http://www.cdisc.org","47371991-8dea-4b38-a041-feb91ad953f4"
"Start to Start","Code_56","Code","2023-09-29","C201355","http://www.cdisc.org","cc6ca5f5-6213-4c71-8d12-1b910598640f"
"After","Code_57","Code","2023-09-29","C201356","http://www.cdisc.org","e553ba36-227c-41e4-b725-c81e9de94d1c"
"Start to Start","Code_58","Code","2023-09-29","C201355","http://www.cdisc.org","9b83884a-fd54-47d1-bb29-f2d6f9f1e7ca"
"After","Code_59","Code","2023-09-29","C201356","http://www.cdisc.org","020d9099-d66a-41d1-94f8-25847a55f08f"
"Start to Start","Code_60","Code","2023-09-29","C201355","http://www.cdisc.org","47970396-9c5b-4904-acf8-3c74cd16f1fd"
"After","Code_61","Code","2023-09-29","C201356","http://www.cdisc.org","188f08a1-d555-42c4-9e82-5efd6b462235"
"Start to Start","Code_62","Code","2023-09-29","C201355","http://www.cdisc.org","63743ff1-8793-42a6-a59b-522ead149297"
"After","Code_63","Code","2023-09-29","C201356","http://www.cdisc.org","a384afe7-1914-43e0-b727-a755008a85ae"
"Start to Start","Code_64","Code","2023-09-29","C201355","http://www.cdisc.org","adbb8be9-d733-4608-964a-6508d45ff3b4"
"After","Code_65","Code","2023-09-29","C201356","http://www.cdisc.org","b109464f-2903-4f15-82c6-c658997c3051"
"Start to Start","Code_66","Code","2023-09-29","C201355","http://www.cdisc.org","12216df7-4da7-4c7a-8911-a0a4b7726b22"
"After","Code_67","Code","2023-09-29","C201356","http://www.cdisc.org","c47884cf-1234-46a4-b216-134b762f8c6c"
