"reference","instanceType","id","uuid:ID","name","label","synonyms"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","BiomedicalConcept_30","02e71445-349f-4129-8e7d-6421099587c3","Potassium Concentration in Urine","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","BiomedicalConcept_31","cbdbc2da-16eb-4b45-950e-aad6e92bac6f","Sodium Concentration in Urine","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","BiomedicalConcept_32","25c00c8d-8cf6-45af-9a96-3f171f76a2b5","Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","BiomedicalConcept_1","5e4f1fdc-6788-4f8b-8a7c-f38172f4be83","Adverse Event Prespecified","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","BiomedicalConcept_2","cfc03e94-5676-4e11-b5f1-6042ebe9e78b","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","BiomedicalConcept_3","84ae8c35-a995-4b42-abbe-e040eda047f8","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","BiomedicalConcept_4","1f21df24-7564-4b45-b8dd-a65bd9905691","Temperature","Temperature","['Temperature', 'Body Temperature']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","BiomedicalConcept_5","97aa69ee-5778-4a96-b154-165394706320","Weight","Weight","['Weight', 'Body Weight']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","BiomedicalConcept_6","db6f85eb-2e70-482d-9473-ddef3b61fb62","Height","Height","['Height', 'Body Height']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","BiomedicalConcept_7","a840ce87-e4ec-4e26-b282-7c0d26ccd6d4","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","BiomedicalConcept_8","a1420c57-a263-4126-a278-23ff2fa81c66","Albumin Presence in Urine","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","BiomedicalConcept_9","ad49207f-b4f8-4745-9667-d8d3179e3879","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","BiomedicalConcept_10","9c646921-5d0e-4812-8a2e-c20f7c2803ad","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","BiomedicalConcept_11","3a962d60-9d3d-49e6-813a-6af37544f781","Creatinine Concentration in Urine","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","BiomedicalConcept_12","30e07e66-f3c6-41b9-88a6-059b7f1b3fa5","Potassium Concentration in Urine","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","BiomedicalConcept_13","28cc5af1-f127-4beb-b067-4a3fc9d382bd","Sodium Concentration in Urine","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","BiomedicalConcept_14","06b3f69a-68d3-4062-b2db-12ac9c5fd1e1","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","BiomedicalConcept_15","8890a4f3-e624-49ca-843f-54697ce00498","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","BiomedicalConcept_16","b056b42e-f334-43d5-abc7-4c9f4e3ca936","Heart Rate","Heart Rate","['Heart Rate']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","BiomedicalConcept_17","f74a9346-9c41-479f-bda9-34bdd91e3f0d","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","BiomedicalConcept_18","f74472ac-be9c-4d15-a118-cb4bdc1f0abf","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","BiomedicalConcept_19","d4608449-3708-4963-bd4e-fb71f3abe860","Heart Rate","Heart Rate","['Heart Rate']"
