"name","uuid:ID","synonyms","id","label","reference","instanceType"
"Potassium Concentration in Urine","e46811ac-40ab-44e3-9e6a-7dfe6adc53b7","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_30","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept"
"Sodium Concentration in Urine","0f9faa81-7bd3-4f53-a3f7-ff6558698d51","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_31","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept"
"Hemoglobin A1C Concentration in Blood","08fe331a-0040-4249-aab8-b0f161edc054","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_32","Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept"
"Adverse Event Prespecified","3fca1b69-a413-414a-a68a-e70aee2ef6cd","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept"
"Systolic Blood Pressure","eb45d728-7c52-497b-9956-5ea32cf32c2d","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"Diastolic Blood Pressure","700524a0-e3a7-48d6-8f22-716bd4726dc9","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"Temperature","113e4617-bb31-4328-b36e-2f391bc3a4a2","['Temperature', 'Body Temperature']","BiomedicalConcept_4","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept"
"Weight","6661a0c8-b93d-485a-80d8-a39abb09eefa","['Weight', 'Body Weight']","BiomedicalConcept_5","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept"
"Height","2d1de387-86cf-4463-9fb7-efe2d09bc4f9","['Height', 'Body Height']","BiomedicalConcept_6","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","b40cca4c-bf85-4a41-a086-a5fb7c88b2d6","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept"
"Albumin Presence in Urine","ce881b69-5f8e-4b66-88ad-b7182a0272ce","['Albumin', 'Albumin Measurement']","BiomedicalConcept_8","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","e5d000ec-ad71-47e8-9042-1dd08a55d10f","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","cfbbef14-6da5-450f-a389-29dcc5781a12","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept"
"Creatinine Concentration in Urine","09860e8c-f2e2-4e97-b760-74e7909bbd7f","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept"
"Potassium Concentration in Urine","450b3e6e-4404-4970-a001-abfbf4f961bd","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_12","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept"
"Sodium Concentration in Urine","9df56955-718b-43fd-a886-cf99d641e11b","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_13","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept"
"Systolic Blood Pressure","b17447f0-e91d-4fcf-be86-d5f4f394e75f","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_14","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"Diastolic Blood Pressure","f29537ab-c272-409e-9d1c-e759e195ebb1","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_15","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"Heart Rate","fc1eda37-6f64-4a90-b6f3-4989a59c3a6c","['Heart Rate']","BiomedicalConcept_16","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept"
"Systolic Blood Pressure","1d62eb7a-5976-465a-b859-3c6a4c5137e3","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_17","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"Diastolic Blood Pressure","94460d62-b1bb-4e00-9537-6c8f90978946","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_18","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"Heart Rate","41a106b1-f414-4490-95fe-56d3d9bc316d","['Heart Rate']","BiomedicalConcept_19","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept"
