"reference","id","label","uuid:ID","synonyms","name","instanceType"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept_30","Potassium Concentration in Urine","6eb96990-aa7e-4c60-894d-02c769e71d4c","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept_31","Sodium Concentration in Urine","48acbd0b-9526-4693-8099-9c43f0207448","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept_32","Hemoglobin A1C Concentration in Blood","592628b1-b54e-4b68-bd22-5fd33828ea1f","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept_1","Adverse Event Prespecified","01e2f895-e8dd-4910-b1f7-cf3aecbb9354","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_2","Systolic Blood Pressure","69e337ee-3918-4bf1-8f54-5f5c50f8ac98","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_3","Diastolic Blood Pressure","8ca81498-f26f-4e0d-9514-cf93f68897fc","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_4","Temperature","8fc07af0-2332-465b-a56f-0ff12e1a376a","['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_5","Weight","f5b6fe92-3566-401c-8cea-48f2e7e7b370","['Weight', 'Body Weight']","Weight","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_6","Height","54db80a7-440d-4800-9846-b97e2e159b77","['Height', 'Body Height']","Height","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","4ad81d71-a606-4eca-9017-b394642e23a5","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept_8","Albumin Presence in Urine","d99e0d8e-52c8-4a63-b050-336f616fe5fd","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","67a0e96a-753f-44da-9cc7-d512b8ebcbf4","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","bb7570e2-49d4-41ca-ac78-c94afb1f4852","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept_11","Creatinine Concentration in Urine","551b98e2-e060-4bc4-9cec-37e340a29aa2","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept_12","Potassium Concentration in Urine","ed897740-f8e6-491d-b737-52bacd32974c","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept_13","Sodium Concentration in Urine","5ff524ec-5cba-4ed3-9712-5abe503c067f","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_14","Systolic Blood Pressure","ea70201f-52a6-412a-ae7a-3e6730464e14","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_15","Diastolic Blood Pressure","3cf80de0-40b9-46cf-b9bc-68be07efd2ed","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept_16","Heart Rate","2947b102-7228-4bc0-82db-1cf45fbe5721","['Heart Rate']","Heart Rate","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept_17","Systolic Blood Pressure","73d7d535-ffd2-4694-9eb4-7c24bfca85f8","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept_18","Diastolic Blood Pressure","748a2a54-b99c-41bd-9782-2256be9bf19a","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","BiomedicalConcept"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept_19","Heart Rate","805e62c4-8bf8-40af-85f7-5f2e4bd8bbc4","['Heart Rate']","Heart Rate","BiomedicalConcept"
