"id","label","reference","instanceType","name","synonyms","uuid:ID"
"BiomedicalConcept_5","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept","Body Weight","['Weight']","5a984e22-d66a-4621-8b95-00d4b297f481"
"BiomedicalConcept_6","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept","Body Height","['Height']","9ff55e4b-0c63-4c8a-bf2e-d47ff6717e04"
"BiomedicalConcept_7","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","96a833c7-fbcf-4167-a333-6f52a13afcaa"
"BiomedicalConcept_8","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","Albumin Measurement","['Albumin']","5210aa08-fb11-4932-a5d0-17c462e080d2"
"BiomedicalConcept_9","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","5bbf36d4-0af9-4a4b-ae21-b2a4fd19706e"
"BiomedicalConcept_10","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","32427376-f317-499f-9e54-1b711417fe7e"
"BiomedicalConcept_11","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","Creatinine Measurement","['Creatinine']","70d2701f-980a-4574-8431-2e7a6a3407f3"
"BiomedicalConcept_12","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","Potassium Measurement","['Potassium', 'K']","1f1d2c1e-93ab-47e3-94d8-71c4d738b021"
"BiomedicalConcept_13","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept","Sodium Measurement","['Sodium', 'NA']","23a70b31-b79b-4a48-b1b3-68c8add8fe7a"
"BiomedicalConcept_14","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","7ad9c7b1-a84b-48c4-ba09-959d35aa07d1"
"BiomedicalConcept_15","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","f7112c0a-9cbf-41eb-aab6-a13df657c8c6"
"BiomedicalConcept_16","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept","Heart Rate","","556368fe-0293-4b55-88bf-30ae36cb7f71"
"BiomedicalConcept_17","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","ef23b3e8-e6c6-4304-83d5-c6b6f4edf2ca"
"BiomedicalConcept_18","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","5c97f214-3b0b-4ac1-935a-e1be2fecd26e"
"BiomedicalConcept_19","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept","Heart Rate","","393fca07-e1a5-40cd-9b65-f783517707f0"
