"name","uuid:ID","sectionTitle","sectionNumber","id","text","instanceType"
"SECTION 6.5","4f464379-f0d6-4a29-afa8-e75868074526","Preparation, Handling, Storage and Accountability","6.5","NarrativeContent_38","<div></div>","NarrativeContent"
"SECTION 6.5.1","9e0e8583-6395-44e2-9591-509348f4989a","Preparation of Trial Intervention","6.5.1","NarrativeContent_39","<div></div>","NarrativeContent"
"SECTION 6.5.2","8f3f3049-4674-41a2-85bc-20091a543def","Handling and Storage of Trial Intervention","6.5.2","NarrativeContent_40","<div></div>","NarrativeContent"
"SECTION 6.5.3","6c00f913-8e58-4881-a72f-6ab811883afc","Accountability of Trial Intervention","6.5.3","NarrativeContent_41","<div></div>","NarrativeContent"
"SECTION 6.6","11cf9bec-d19b-457d-8602-ee488e1147b4","Participant Assignment, Randomisation and Blinding","6.6","NarrativeContent_42","<div></div>","NarrativeContent"
"SECTION 6.6.1","51cd93dc-b414-4cf1-a51f-975394ec7b42","Participant Assignment","6.6.1","NarrativeContent_43","<div></div>","NarrativeContent"
"SECTION 6.6.2","4b5775ae-7acc-4723-a7c7-38e2019b6f97","Randomisation","6.6.2","NarrativeContent_44","<div></div>","NarrativeContent"
"SECTION 6.6.3","59260133-afe1-427b-b227-a9bb0809e807","Blinding and Unblinding","6.6.3","NarrativeContent_45","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","NarrativeContent"
"SECTION 6.7","e336b727-20cd-47cc-b20e-4223e680d2fd","Trial Intervention Compliance","6.7","NarrativeContent_46","<div></div>","NarrativeContent"
"SECTION 6.8","8b631722-72e3-4e3a-b698-359f8f362ea9","Concomitant Therapy","6.8","NarrativeContent_47","<div></div>","NarrativeContent"
"SECTION 6.8.1","d2daf670-f809-4ea7-bdfb-eeecd873daf6","Prohibited Concomitant Therapy","6.8.1","NarrativeContent_48","<div></div>","NarrativeContent"
"SECTION 6.8.2","27d90d3f-66fa-4d87-978c-995b9953633f","Permitted Concomitant Therapy","6.8.2","NarrativeContent_49","<div></div>","NarrativeContent"
"SECTION 6.8.3","78fb4c55-7c3d-47ad-9f9c-c51b2f34ef38","Rescue Therapy","6.8.3","NarrativeContent_50","<div></div>","NarrativeContent"
"SECTION 6.8.4","6149fb2b-2171-4382-9744-93d171053eea","Other Therapy","6.8.4","NarrativeContent_51","<div></div>","NarrativeContent"
"SECTION 7","67874625-87d7-411d-98ab-55802d8ab7e5","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7","NarrativeContent_52","<div></div>","NarrativeContent"
"SECTION 7.1","fa11e18c-c813-4d34-91a6-bdba6d7a3deb","Discontinuation of Trial Intervention","7.1","NarrativeContent_53","<div></div>","NarrativeContent"
"SECTION 7.1.1","afb6e69a-5e98-4c8b-b687-4167019e6202","Criteria for Permanent Discontinuation of Trial Intervention","7.1.1","NarrativeContent_54","<div></div>","NarrativeContent"
"SECTION 7.1.2","5dd0893a-1c75-451c-88ed-5d301f3a92df","Temporary Discontinuation or Interruption of Trial Intervention","7.1.2","NarrativeContent_55","<div></div>","NarrativeContent"
"SECTION 7.1.3","3a24da7d-300f-4d6a-9939-f3d76c72b6a9","Rechallenge","7.1.3","NarrativeContent_56","<div></div>","NarrativeContent"
"SECTION 7.2","5d91e72f-92da-4986-b64a-e7688b917438","Participant Withdrawal from the Trial","7.2","NarrativeContent_57","<div></div>","NarrativeContent"
"SECTION 7.3","907a8b4b-ac36-4ef0-b35b-460fdd3db236","Lost to Follow-Up","7.3","NarrativeContent_58","<div></div>","NarrativeContent"
"SECTION 7.4","98cd033b-191f-4547-925f-6ee6d3d53b2d","Trial Stopping Rules","7.4","NarrativeContent_59","<div></div>","NarrativeContent"
"SECTION 8","04522c85-1d86-45eb-8c5a-87e35b995828","TRIAL ASSESSMENTS AND PROCEDURES","8","NarrativeContent_60","<div></div>","NarrativeContent"
"SECTION 8.1","b34ce82f-9b4a-49dc-baec-335fd348ead0","Screening/Baseline Assessments and Procedures","8.1","NarrativeContent_61","<div></div>","NarrativeContent"
"SECTION 8.2","824bc15a-c40d-41a8-a63b-2b83e9475a7a","Efficacy Assessments and Procedures","8.2","NarrativeContent_62","<div></div>","NarrativeContent"
"SECTION 8.3","f5c636bd-0482-40b9-9473-b2ba0f778a08","Safety Assessments and Procedures","8.3","NarrativeContent_63","<div></div>","NarrativeContent"
"SECTION 8.3.1","676a6822-5b15-41c7-8507-e4c120478f45","Physical Examination","8.3.1","NarrativeContent_64","<div></div>","NarrativeContent"
"SECTION 8.3.2","0d623593-b2c7-43ca-ba2a-268977002972","Vital Signs","8.3.2","NarrativeContent_65","<div></div>","NarrativeContent"
"SECTION 8.3.3","f200f3a3-bfcd-4f55-ae50-822e07d9a4a2","Electrocardiograms","8.3.3","NarrativeContent_66","<div></div>","NarrativeContent"
"SECTION 8.3.4","11a2671e-441b-471f-9911-2a171c57dca7","Clinical Laboratory Assessments","8.3.4","NarrativeContent_67","<div></div>","NarrativeContent"
"SECTION 8.3.5","8e57a6c1-4423-458f-abed-bff00505905b","Suicidal Ideation and Behaviour Risk Monitoring","8.3.5","NarrativeContent_68","<div></div>","NarrativeContent"
"SECTION 8.4","8112558f-af44-42e3-989f-0f4fb6181ea0","Adverse Events and Serious Adverse Events","8.4","NarrativeContent_69","<div></div>","NarrativeContent"
"SECTION 8.4.1","2175f5c5-f9d8-48af-9b6b-6802093e3b70","Definitions of AE and SAE","8.4.1","NarrativeContent_70","<div></div>","NarrativeContent"
"SECTION 8.4.2","e9fb4b2b-9fec-492a-b3a6-8827eef3ca27","Time Period and Frequency for Collecting AE and SAE Information","8.4.2","NarrativeContent_71","<div></div>","NarrativeContent"
"SECTION 8.4.3","42378196-404b-4062-a0f7-233853c06d7b","Identifying AEs and SAEs","8.4.3","NarrativeContent_72","<div></div>","NarrativeContent"
"SECTION 8.4.4","df304fb9-fba4-4412-8807-f07065ba2749","Recording of AEs and SAEs","8.4.4","NarrativeContent_73","<div></div>","NarrativeContent"
"SECTION 8.4.5","0943f8e1-edfd-4a3b-b1d8-c39969914158","Follow-up of AEs and SAEs","8.4.5","NarrativeContent_74","<div></div>","NarrativeContent"
"SECTION 8.4.6","13ea5ff7-4b71-41e7-951f-e5eb5cfd0638","Reporting of SAEs","8.4.6","NarrativeContent_75","<div></div>","NarrativeContent"
"SECTION 8.4.7","bc3352b5-4979-4353-9d04-11c9e01f3743","Regulatory Reporting Requirements for SAEs","8.4.7","NarrativeContent_76","<div></div>","NarrativeContent"
"SECTION 8.4.8","d526333e-70f8-4fbe-8eba-58e77b4dec74","Serious and Unexpected Adverse Reaction Reporting","8.4.8","NarrativeContent_77","<div></div>","NarrativeContent"
"SECTION 8.4.9","ae4222f9-8612-4577-9941-65254b7b634a","Adverse Events of Special Interest","8.4.9","NarrativeContent_78","<div></div>","NarrativeContent"
"SECTION 8.4.10","eeca26f0-25bc-4e45-bd80-66741ec9cfd6","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","8.4.10","NarrativeContent_79","<div></div>","NarrativeContent"
"SECTION 8.5","64d37446-8ec9-46ba-bfe3-23d972c10ea2","Pregnancy and Postpartum Information","8.5","NarrativeContent_80","<div></div>","NarrativeContent"
"SECTION 8.5.1","ba0ce3ba-178b-4503-9bdb-247645271031","Participants Who Become Pregnant During the Trial","8.5.1","NarrativeContent_81","<div></div>","NarrativeContent"
"SECTION 8.5.2","a3d48401-b369-4278-af1b-69d27367ccc5","Participants Whose Partners Become Pregnant","8.5.2","NarrativeContent_82","<div></div>","NarrativeContent"
"SECTION 8.6","40cbfdfc-d24f-4680-8aad-d86fff795c55","Medical Device Product Complaints for Drug/Device Combination Products","8.6","NarrativeContent_83","<div></div>","NarrativeContent"
"SECTION 8.6.1","c8cd1de1-0f53-41ee-ae1c-f4e2f260118e","Definition of Medical Device Product Complaints","8.6.1","NarrativeContent_84","<div></div>","NarrativeContent"
"SECTION 8.6.2","4f00344a-758f-443e-9581-0bdc7882dfd3","Recording of Medical Device Product Complaints","8.6.2","NarrativeContent_85","<div></div>","NarrativeContent"
"SECTION 8.6.3","01fe046d-d76a-41be-ad4a-ee5610f37fcb","Time Period and Frequency for Collecting Medical Device Product Complaints .","8.6.3","NarrativeContent_86","<div></div>","NarrativeContent"
"SECTION 8.6.4","97debef4-eef9-4ee7-b998-366c91e8b7d7","Follow-Up of Medical Device Product Complaints","8.6.4","NarrativeContent_87","<div></div>","NarrativeContent"
"SECTION 8.6.5","f8c5a2d9-ad8d-4ca8-b068-8d60b188e33e","Regulatory Reporting Requirements for Medical Device Product Complaints","8.6.5","NarrativeContent_88","<div></div>","NarrativeContent"
"SECTION 8.7","7a080331-7fff-4ca5-ba27-294d743e26d2","Pharmacokinetics","8.7","NarrativeContent_89","<div></div>","NarrativeContent"
"SECTION 8.8","4dd48be8-6638-41b4-ab64-ab20d031039f","Genetics","8.8","NarrativeContent_90","<div></div>","NarrativeContent"
"SECTION 8.9","80fca1dc-86e8-4df8-acd2-8b4710910df3","Biomarkers","8.9","NarrativeContent_91","<div></div>","NarrativeContent"
"SECTION 8.1","f6786063-7dda-4cb0-81f9-ae59bc48f394","Immunogenicity Assessments","8.1","NarrativeContent_92","<div></div>","NarrativeContent"
"SECTION 8.1.1","b424b11a-522b-4d5b-b864-23c61371ea6f","Medical Resource Utilisation and Health Economics","8.1.1","NarrativeContent_93","<div></div>","NarrativeContent"
"SECTION 9","4a6c8eea-44b2-42f7-bc5a-ab8122caaa2d","STATISTICAL CONSIDERATIONS","9","NarrativeContent_94","<div></div>","NarrativeContent"
"SECTION 9.1","ef55eee2-2bb4-41a3-9959-9d75a4762d2a","Analysis Sets","9.1","NarrativeContent_95","<div></div>","NarrativeContent"
"SECTION 9.2","a6e7e60a-ef63-40df-8b74-4eac2bc664cc","Analyses Supporting Primary Objective(s)","9.2","NarrativeContent_96","<div></div>","NarrativeContent"
"SECTION 9.2.1","7fd914af-5da4-4b91-bcc7-999580dff6a4","Statistical Model, Hypothesis, and Method of Analysis","9.2.1","NarrativeContent_97","<div></div>","NarrativeContent"
"SECTION 9.2.2","36d5bf52-9ca6-4615-928d-42112a3440ce","Handling of Intercurrent Events of Primary Estimand(s)","9.2.2","NarrativeContent_98","<div></div>","NarrativeContent"
"SECTION 9.2.3","30be28b8-448f-4b92-9977-175948d7cb00","Handling of Missing Data","9.2.3","NarrativeContent_99","<div></div>","NarrativeContent"
"SECTION 9.2.4","df24696f-b9ed-493a-9192-7d9755d78a72","Sensitivity Analysis","9.2.4","NarrativeContent_100","<div></div>","NarrativeContent"
"SECTION 9.2.5","9941a076-5b3d-47c7-b770-49a0eb99a386","Supplementary Analysis","9.2.5","NarrativeContent_101","<div></div>","NarrativeContent"
"SECTION 9.3","fbeda4b8-7280-429f-884f-bf64a84b13aa","Analysis Supporting Secondary Objective(s)","9.3","NarrativeContent_102","<div></div>","NarrativeContent"
"SECTION 9.4","87345fdc-e307-48d7-b544-a950c4f6daf9","Analysis of Exploratory Objective(s)","9.4","NarrativeContent_103","<div></div>","NarrativeContent"
"SECTION 9.5","9d7b9374-f7c1-4c04-80a2-9a55d1684231","Safety Analyses","9.5","NarrativeContent_104","<div></div>","NarrativeContent"
"SECTION 9.6","a2ca7fd5-7e2c-478a-8478-94d2ba08fd56","Other Analyses","9.6","NarrativeContent_105","<div></div>","NarrativeContent"
"SECTION 9.7","070206ed-5e1c-4297-93e1-6d47008306b6","Interim Analyses","9.7","NarrativeContent_106","<div></div>","NarrativeContent"
"SECTION 9.8","a1d0097f-d10c-4123-9c87-c7ea927237ca","Sample Size Determination","9.8","NarrativeContent_107","<div></div>","NarrativeContent"
"SECTION 9.9","4985f1b4-20f2-4a07-a961-3dc72c237545","Protocol Deviations","9.9","NarrativeContent_108","<div></div>","NarrativeContent"
"SECTION 10","22f67dff-e0af-43cf-8cb8-d3fdbe29b307","GENERAL CONSIDERATIONS: REGULATORY, ETHICAL, AND TRIAL OVERSIGHT","10","NarrativeContent_109","<div></div>","NarrativeContent"
"SECTION 10.1","dd9e8316-a603-487b-a053-ee214e0b1580","Regulatory and Ethical Considerations","10.1","NarrativeContent_110","<div></div>","NarrativeContent"
"SECTION 10.2","828a3e95-7f81-4e5d-9a78-b7191103672d","Committees","10.2","NarrativeContent_111","<div></div>","NarrativeContent"
"SECTION 10.3","38876a4e-4439-408e-aab9-152a24cd376d","Informed Consent Process","10.3","NarrativeContent_112","<div></div>","NarrativeContent"
"SECTION 10.4","6bfc57b3-d79d-4db0-8d3f-959e77c5d0be","Data Protection","10.4","NarrativeContent_113","<div></div>","NarrativeContent"
"SECTION 10.5","9a4cd449-6143-49a4-9408-a5b8fb16a0e2","Early Site Closure or Trial Termination","10.5","NarrativeContent_114","<div></div>","NarrativeContent"
"SECTION 11","40934b00-3b05-4bea-809d-a19ffd605f9d","GENERAL CONSIDERATIONS: RISK MANAGEMENT AND QUALITY ASSURANCE","11","NarrativeContent_115","<div></div>","NarrativeContent"
"SECTION 11.1","68aab7da-4d92-42d0-8943-bbee0edaaaf1","Quality Tolerance Limits","11.1","NarrativeContent_116","<div></div>","NarrativeContent"
"SECTION 11.2","f194780c-5966-4d74-a833-2d08b59893b9","Data Quality Assurance","11.2","NarrativeContent_117","<div></div>","NarrativeContent"
"SECTION 11.3","7fb232da-5983-4314-af15-866ce4804f23","Source Data","11.3","NarrativeContent_118","<div></div>","NarrativeContent"
"SECTION 12","ec406bda-af01-450e-9954-2f5cf8502169","APPENDIX: ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS - DEFINITIONS, SEVERITY, AND CAUSALITY","12","NarrativeContent_119","<div></div>","NarrativeContent"
"SECTION 12.1","652d068b-df97-4f5e-b727-3e535dfe7890","Further Details and Clarifications on the AE Definition","12.1","NarrativeContent_120","<div></div>","NarrativeContent"
"SECTION 12.2","899495f8-7d1d-4b76-8084-27ab76e407ef","Further Details and Clarifications on the SAE Definition","12.2","NarrativeContent_121","<div></div>","NarrativeContent"
"SECTION 12.3","0434baaa-757d-44c1-9dda-8d25109468a5","Severity","12.3","NarrativeContent_122","<div></div>","NarrativeContent"
"SECTION 12.4","4cdcd0b1-da43-4091-aa6b-bc47b15e80a2","Causality","12.4","NarrativeContent_123","<div></div>","NarrativeContent"
"SECTION 13","d0c48e5d-cabe-4a1a-ad95-fe976e32599a","APPENDIX: DEFINITIONS AND SUPPORTING OPERATIONAL DETAILS","13","NarrativeContent_124","<div></div>","NarrativeContent"
"SECTION 13.1","cde09e5f-1549-4f58-b970-397d9833ecbf","Contraception and Pregnancy Testing","13.1","NarrativeContent_125","<div></div>","NarrativeContent"
"SECTION 13.1.1","e2e9bb65-e7e4-4983-9afe-4a469074d3ca","Definitions Related to Childbearing Potential","13.1.1","NarrativeContent_126","<div></div>","NarrativeContent"
"SECTION 13.1.2","49914bcd-1296-45fc-8ee7-30c9df204b0c","Contraception","13.1.2","NarrativeContent_127","<div></div>","NarrativeContent"
"SECTION 13.1.3","dfd25cc0-f421-4707-9e83-8298bd4c5ed1","Pregnancy Testing","13.1.3","NarrativeContent_128","<div></div>","NarrativeContent"
"SECTION 13.2","4dc5a005-f1fa-414a-b56a-3d86a236c7eb","Clinical Laboratory Tests","13.2","NarrativeContent_129","<div></div>","NarrativeContent"
"SECTION 13.3","d81241ab-a040-4c08-adfb-a9e27ae32ac6","Country/Region-Specific Differences","13.3","NarrativeContent_130","<div></div>","NarrativeContent"
"SECTION 13.4","a84fb4db-de13-428e-898e-a7917fe03344","Prior Protocol Amendments","13.4","NarrativeContent_131","<div></div>","NarrativeContent"
"SECTION 14","aa010132-9767-4166-b2fa-cf69aeb87974","APPENDIX: GLOSSARY OF TERMS","14","NarrativeContent_132","<div></div>","NarrativeContent"
"SECTION 15","6c6381e5-8dd0-4947-9d57-a69843dca398","APPENDIX: REFERENCES","15","NarrativeContent_133","<div></div>","NarrativeContent"
