"name","uuid:ID","isRequired","label","id","instanceType","datatype","isEnabled"
"Laboratory Test Result","e4b37d77-0c7a-4209-bc18-5897d7f1ab3c","True","Laboratory Test Result","BiomedicalConceptProperty_117","BiomedicalConceptProperty","decimal","True"
"Laboratory Test Fasting Status","cb74f23b-8df8-4064-822c-406e18598569","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_118","BiomedicalConceptProperty","boolean","True"
"Unit of Catalytic Activity Concentration","140c23fa-f21e-4c8b-94c0-861c6fe041ff","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_119","BiomedicalConceptProperty","string","True"
"Biospecimen Type","62c0098c-8a46-4749-93a3-c21c35efc679","True","Biospecimen Type","BiomedicalConceptProperty_120","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","ba644c62-8e0b-4904-8b51-4e84fa4b62c1","True","Laboratory Test Result","BiomedicalConceptProperty_121","BiomedicalConceptProperty","string","True"
"Laboratory Test Fasting Status","5e893b78-53b8-48b0-9fbe-90c8e6b44f2b","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_122","BiomedicalConceptProperty","boolean","True"
"Unit of Concentration","10b0b089-98f9-46fd-8c0b-bf81a6d2bc63","True","Unit of Concentration","BiomedicalConceptProperty_123","BiomedicalConceptProperty","string","True"
"Biospecimen Type","1b333030-0f90-4fa3-be41-6c00721a4ce1","True","Biospecimen Type","BiomedicalConceptProperty_124","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","d5a87984-6b78-4d33-bd54-f98c1bf88e6c","True","Laboratory Test Result","BiomedicalConceptProperty_125","BiomedicalConceptProperty","decimal","True"
"Laboratory Test Fasting Status","24fbdee1-c945-44cb-b0cb-9463984cc319","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_126","BiomedicalConceptProperty","boolean","True"
"Molarity Unit","13cfbd76-26cc-48d5-b042-448994ddc76d","True","Molarity Unit","BiomedicalConceptProperty_127","BiomedicalConceptProperty","string","True"
"Biospecimen Type","de4abb37-8d02-4bbf-a394-f48786bcba08","True","Biospecimen Type","BiomedicalConceptProperty_128","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","75067ad7-a8df-4202-b46a-31f63cab9fa7","True","Laboratory Test Result","BiomedicalConceptProperty_129","BiomedicalConceptProperty","decimal","True"
"Laboratory Test Fasting Status","c85fae5a-6e35-4ba8-b629-658009b38d3b","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_130","BiomedicalConceptProperty","boolean","True"
"Molarity Unit","8aedaa88-e60d-41e1-b61c-d2ad1d7e318f","True","Molarity Unit","BiomedicalConceptProperty_131","BiomedicalConceptProperty","string","True"
"Biospecimen Type","d6e1223c-f025-4a2f-adfa-77c6098fdbfd","True","Biospecimen Type","BiomedicalConceptProperty_132","BiomedicalConceptProperty","string","True"
"Adverse Event Verbatim Description","68234d11-4807-4918-a671-c73de9d0da0e","True","Adverse Event Verbatim Description","BiomedicalConceptProperty_1","BiomedicalConceptProperty","string","True"
"Adverse Event Dictionary Derived Term","8080f0cb-08bc-4206-b618-ffbf1931553e","True","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2","BiomedicalConceptProperty","string","True"
"Adverse Event Category","19ecf93a-8555-4a0b-b3a0-4a9202b1e601","True","Adverse Event Category","BiomedicalConceptProperty_3","BiomedicalConceptProperty","string","True"
"Adverse Event Subcategory","55a5413e-a10a-4ff3-b391-6611475b8b46","True","Adverse Event Subcategory","BiomedicalConceptProperty_4","BiomedicalConceptProperty","string","True"
"Adverse Event Pre-specified","8385ae43-c009-4fb0-a3ea-3650e51fc881","True","Adverse Event Pre-specified","BiomedicalConceptProperty_5","BiomedicalConceptProperty","boolean","True"
"Severity of Adverse Event","23695d36-ef8b-4d82-b532-9844d5611ec1","True","Severity of Adverse Event","BiomedicalConceptProperty_6","BiomedicalConceptProperty","string","True"
"Adverse Event Toxicity Grade","2c98aac2-83c1-4081-9312-ba831a5a3a94","True","Adverse Event Toxicity Grade","BiomedicalConceptProperty_7","BiomedicalConceptProperty","string","True"
"Seriousness of Adverse Event","88c5ebaa-aedc-4e7a-95fa-c27245baeb65","True","Seriousness of Adverse Event","BiomedicalConceptProperty_8","BiomedicalConceptProperty","boolean","True"
"Adverse Event Action Taken with Study Treatment","476988cd-fec7-4256-99fe-1070eeca5eea","True","Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty_9","BiomedicalConceptProperty","string","True"
"Adverse Event Attribution to Product or Procedure","3695ad68-a4c8-415b-ab8f-3fcad0a26d9c","True","Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty_10","BiomedicalConceptProperty","string","True"
"Adverse Event Pattern","00d86854-7bc1-4c0d-862d-5e7b79c60f70","True","Adverse Event Pattern","BiomedicalConceptProperty_11","BiomedicalConceptProperty","string","True"
"Adverse Event Outcome","aef6f253-f1bb-4954-8d32-1b43b8106fc9","True","Adverse Event Outcome","BiomedicalConceptProperty_12","BiomedicalConceptProperty","string","True"
"Adverse Event Start Date Time","094324a1-e48e-484e-a067-30e658c5524a","True","Adverse Event Start Date Time","BiomedicalConceptProperty_13","BiomedicalConceptProperty","datetime","True"
"Adverse Event End Date Time","7b474199-d1d4-4392-a5a9-c5edbc0d6e2b","True","Adverse Event End Date Time","BiomedicalConceptProperty_14","BiomedicalConceptProperty","datetime","True"
"Vital Signs Result","a44c9796-b4bf-49fb-b44d-f5f67c170a7a","True","Vital Signs Result","BiomedicalConceptProperty_15","BiomedicalConceptProperty","decimal","True"
"Unit of Pressure","14d75a0a-6efe-4141-85f4-c2f4d60d6bbd","True","Unit of Pressure","BiomedicalConceptProperty_16","BiomedicalConceptProperty","string","True"
"Vital Signs Location","d1e0966a-ae15-4eb9-9db1-b186aa9034c9","True","Vital Signs Location","BiomedicalConceptProperty_17","BiomedicalConceptProperty","string","True"
"Vital Signs Laterality","8960c2ac-fd67-413a-b4c6-e9a7c48b36ce","True","Vital Signs Laterality","BiomedicalConceptProperty_18","BiomedicalConceptProperty","string","True"
"Test Method","5366ac98-747a-4ba9-86c5-400d47b28704","True","Test Method","BiomedicalConceptProperty_19","BiomedicalConceptProperty","string","True"
"Vital Signs Position","026fcfd9-a1e5-4f2a-a123-ce1e47562037","True","Vital Signs Position","BiomedicalConceptProperty_20","BiomedicalConceptProperty","string","True"
"Vital Signs Result","8491da41-0c86-4390-9e69-ec20505c97b9","True","Vital Signs Result","BiomedicalConceptProperty_21","BiomedicalConceptProperty","decimal","True"
"Unit of Pressure","37e9dcf2-933e-4ded-97ce-b80649d54ba9","True","Unit of Pressure","BiomedicalConceptProperty_22","BiomedicalConceptProperty","string","True"
"Vital Signs Location","321d5cde-5abc-4669-8172-18731b671f65","True","Vital Signs Location","BiomedicalConceptProperty_23","BiomedicalConceptProperty","string","True"
"Vital Signs Laterality","92f169b5-34d8-4607-b2e9-f41265d40a16","True","Vital Signs Laterality","BiomedicalConceptProperty_24","BiomedicalConceptProperty","string","True"
"Test Method","ad2feb03-d513-4443-baf8-0e3094526b50","True","Test Method","BiomedicalConceptProperty_25","BiomedicalConceptProperty","string","True"
"Vital Signs Position","4c6a8a82-3e3e-44d0-907a-961893d13de6","True","Vital Signs Position","BiomedicalConceptProperty_26","BiomedicalConceptProperty","string","True"
"Vital Signs Result","bfdf79da-2966-44c9-800c-ad4e3848693b","True","Vital Signs Result","BiomedicalConceptProperty_27","BiomedicalConceptProperty","decimal","True"
"Unit of Temperature","d8e963db-c50f-4ffe-b6e7-9b3e316ead07","True","Unit of Temperature","BiomedicalConceptProperty_28","BiomedicalConceptProperty","string","True"
"Vital Signs Location","b0a4e698-6d9d-4675-be70-4815d2a5b5a6","True","Vital Signs Location","BiomedicalConceptProperty_29","BiomedicalConceptProperty","string","True"
"Vital Signs Result","0d4545d3-3887-406a-9802-a2988ccb3ece","True","Vital Signs Result","BiomedicalConceptProperty_30","BiomedicalConceptProperty","decimal","True"
"Unit of Weight","bd87b0e5-8a04-429d-b890-32fd3d60dfca","True","Unit of Weight","BiomedicalConceptProperty_31","BiomedicalConceptProperty","string","True"
"Vital Signs Result","3cb77c61-54b2-444c-8998-3e2fb796e41b","True","Vital Signs Result","BiomedicalConceptProperty_32","BiomedicalConceptProperty","decimal","True"
"Unit of Height","4f354801-9479-4aa8-a0db-2265fe507756","True","Unit of Height","BiomedicalConceptProperty_33","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","fdeecf0c-3cb8-49ba-9fd7-9c323b2e0576","True","Laboratory Test Result","BiomedicalConceptProperty_34","BiomedicalConceptProperty","decimal","True"
"Laboratory Test Fasting Status","229faa9f-adea-4ac1-9b9c-47a38ffe7c6f","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_35","BiomedicalConceptProperty","boolean","True"
"Unit of Catalytic Activity Concentration","6250a125-8cf3-43bf-9915-9f51fa275410","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_36","BiomedicalConceptProperty","string","True"
"Biospecimen Type","cff64722-f315-4cc1-8b8b-7e32e84d0f79","True","Biospecimen Type","BiomedicalConceptProperty_37","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","46464ae4-1eeb-4975-ae4f-c4efe2b946a9","True","Laboratory Test Result","BiomedicalConceptProperty_38","BiomedicalConceptProperty","string","True"
"Laboratory Test Fasting Status","993d0bca-5c2b-4aa1-a2d8-fcc77aac8951","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_39","BiomedicalConceptProperty","boolean","True"
"Unit of Concentration","bc87976a-2ecb-40d4-9797-003dfed8730a","True","Unit of Concentration","BiomedicalConceptProperty_40","BiomedicalConceptProperty","string","True"
"Biospecimen Type","23e5ebc8-6ebe-4a19-a42f-fb0424041478","True","Biospecimen Type","BiomedicalConceptProperty_41","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","9379abbf-3cbe-4f93-99da-c5d73b34c9d1","True","Laboratory Test Result","BiomedicalConceptProperty_42","BiomedicalConceptProperty","decimal","True"
"Laboratory Test Fasting Status","1bb9f911-702a-4291-ad5b-43f39e05ff24","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_43","BiomedicalConceptProperty","boolean","True"
"Unit of Catalytic Activity Concentration","48ce9ec0-2b12-4102-a5f4-c12bc676cdad","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_44","BiomedicalConceptProperty","string","True"
"Biospecimen Type","d4c44f2b-4c39-45f2-a80f-3d610ea10198","True","Biospecimen Type","BiomedicalConceptProperty_45","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","0039e295-4713-4167-8eae-9dc0d908ca6e","True","Laboratory Test Result","BiomedicalConceptProperty_46","BiomedicalConceptProperty","decimal","True"
"Laboratory Test Fasting Status","a3fc2e1d-33b2-4abd-8f23-e06747f9786e","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_47","BiomedicalConceptProperty","boolean","True"
"Unit of Catalytic Activity Concentration","087c1a91-e872-46d9-8756-4c20e1f40072","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_48","BiomedicalConceptProperty","string","True"
"Biospecimen Type","3aafbf91-2a51-47ce-a60b-cb3d61c471bb","True","Biospecimen Type","BiomedicalConceptProperty_49","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","1e6c242b-1052-40e7-b140-9bff54271135","True","Laboratory Test Result","BiomedicalConceptProperty_50","BiomedicalConceptProperty","string","True"
"Laboratory Test Fasting Status","40e03481-d0f2-4f53-b5fe-26fe5703351d","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_51","BiomedicalConceptProperty","boolean","True"
"Unit of Concentration","d667fb0c-815d-44f0-9bee-b4e4571691ff","True","Unit of Concentration","BiomedicalConceptProperty_52","BiomedicalConceptProperty","string","True"
"Biospecimen Type","5f25353a-fa8d-4a26-9e19-789732cd9fcc","True","Biospecimen Type","BiomedicalConceptProperty_53","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","eaa568d1-9074-4b57-9439-8f062e126782","True","Laboratory Test Result","BiomedicalConceptProperty_54","BiomedicalConceptProperty","decimal","True"
"Laboratory Test Fasting Status","513f99f5-d6c4-4f26-9fd8-565b2a62aefc","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_55","BiomedicalConceptProperty","boolean","True"
"Molarity Unit","991e35e0-4fb2-4a01-93d2-2dae80df0d8d","True","Molarity Unit","BiomedicalConceptProperty_56","BiomedicalConceptProperty","string","True"
"Biospecimen Type","067d00d4-0486-47a6-a521-9598971c39a2","True","Biospecimen Type","BiomedicalConceptProperty_57","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","fd316797-edb3-4a7c-b146-092a76fc8338","True","Laboratory Test Result","BiomedicalConceptProperty_58","BiomedicalConceptProperty","decimal","True"
"Laboratory Test Fasting Status","3587620b-72a6-4142-9397-f8be06dcf6e0","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_59","BiomedicalConceptProperty","boolean","True"
"Molarity Unit","a106ad09-1bb5-4f06-bcda-5c85e03bc768","True","Molarity Unit","BiomedicalConceptProperty_60","BiomedicalConceptProperty","string","True"
"Biospecimen Type","c4985a1b-dbf8-401f-bd8c-5da240312921","True","Biospecimen Type","BiomedicalConceptProperty_61","BiomedicalConceptProperty","string","True"
"Vital Signs Result","2c56ade4-3fda-417b-af31-0c7aed77f495","True","Vital Signs Result","BiomedicalConceptProperty_62","BiomedicalConceptProperty","decimal","True"
"Unit of Pressure","2340344b-f507-4be1-ad16-64a174c7b81a","True","Unit of Pressure","BiomedicalConceptProperty_63","BiomedicalConceptProperty","string","True"
"Vital Signs Location","50911809-2080-4ed0-8ad6-b66c5254f7d2","True","Vital Signs Location","BiomedicalConceptProperty_64","BiomedicalConceptProperty","string","True"
"Vital Signs Laterality","22a5a689-cd6a-4652-9b24-a40b0315edf1","True","Vital Signs Laterality","BiomedicalConceptProperty_65","BiomedicalConceptProperty","string","True"
"Test Method","7c3a3ec6-50f5-4134-8aeb-d73fefb3c48e","True","Test Method","BiomedicalConceptProperty_66","BiomedicalConceptProperty","string","True"
"Vital Signs Position","f6d265d1-8972-46a1-8e2e-02c569bda94c","True","Vital Signs Position","BiomedicalConceptProperty_67","BiomedicalConceptProperty","string","True"
"Vital Signs Result","77beb3ff-f6cc-4764-a0c7-b505c6d6d4c3","True","Vital Signs Result","BiomedicalConceptProperty_68","BiomedicalConceptProperty","decimal","True"
"Unit of Pressure","741a351a-54c6-4093-83ab-05fafba6c5e2","True","Unit of Pressure","BiomedicalConceptProperty_69","BiomedicalConceptProperty","string","True"
"Vital Signs Location","aec506b0-7f2d-4c46-94f2-43392dae9236","True","Vital Signs Location","BiomedicalConceptProperty_70","BiomedicalConceptProperty","string","True"
"Vital Signs Laterality","1b95cb1e-29e5-4613-926d-8e3c6ca286d9","True","Vital Signs Laterality","BiomedicalConceptProperty_71","BiomedicalConceptProperty","string","True"
"Test Method","82cd1b61-3b06-471f-a66f-a1a8065cb85c","True","Test Method","BiomedicalConceptProperty_72","BiomedicalConceptProperty","string","True"
"Vital Signs Position","24d3f5e1-c898-4312-b95f-9aab84e266b3","True","Vital Signs Position","BiomedicalConceptProperty_73","BiomedicalConceptProperty","string","True"
"Vital Signs Result","e3aa06aa-3d49-413c-9888-bf6f05384736","True","Vital Signs Result","BiomedicalConceptProperty_74","BiomedicalConceptProperty","integer","True"
"Count per Minute","d3646c5a-9c59-4973-8989-becb19253269","True","Count per Minute","BiomedicalConceptProperty_75","BiomedicalConceptProperty","string","True"
"Vital Signs Location","0a4e3dc4-a61f-4b17-b301-037eb737d646","True","Vital Signs Location","BiomedicalConceptProperty_76","BiomedicalConceptProperty","string","True"
"Vital Signs Laterality","1c2c29d7-0fcc-4e54-970b-b1d5629c07b4","True","Vital Signs Laterality","BiomedicalConceptProperty_77","BiomedicalConceptProperty","string","True"
"Test Method","c0cce2b7-f0f8-4c43-b0f2-615a39f28684","True","Test Method","BiomedicalConceptProperty_78","BiomedicalConceptProperty","string","True"
"Vital Signs Position","9dbce267-1900-4c3b-b507-f076c6f9c131","True","Vital Signs Position","BiomedicalConceptProperty_79","BiomedicalConceptProperty","string","True"
"Vital Signs Result","ddb20f15-aa36-474e-9fe1-f36248f5e7b2","True","Vital Signs Result","BiomedicalConceptProperty_80","BiomedicalConceptProperty","decimal","True"
"Unit of Pressure","b2274b3a-f1f3-460f-aae4-377e1a415dab","True","Unit of Pressure","BiomedicalConceptProperty_81","BiomedicalConceptProperty","string","True"
"Vital Signs Location","a3fe0483-84ff-4cc8-b24f-bc32cdbb7872","True","Vital Signs Location","BiomedicalConceptProperty_82","BiomedicalConceptProperty","string","True"
"Vital Signs Laterality","7fb8526f-ba66-4721-b2b7-8aa16617a3e8","True","Vital Signs Laterality","BiomedicalConceptProperty_83","BiomedicalConceptProperty","string","True"
"Test Method","2c246afc-98f2-45a0-b8d5-46206e44783c","True","Test Method","BiomedicalConceptProperty_84","BiomedicalConceptProperty","string","True"
"Vital Signs Position","b1ebf7c1-11b5-4d36-9eed-58cbc566f082","True","Vital Signs Position","BiomedicalConceptProperty_85","BiomedicalConceptProperty","string","True"
"Vital Signs Result","17871f82-0a96-4de9-bc2e-a489edd29c5a","True","Vital Signs Result","BiomedicalConceptProperty_86","BiomedicalConceptProperty","decimal","True"
"Unit of Pressure","689105b6-02f3-4b6f-924b-b47201aa8169","True","Unit of Pressure","BiomedicalConceptProperty_87","BiomedicalConceptProperty","string","True"
"Vital Signs Location","4bf2e246-d420-4b60-9acc-fd840d13c56d","True","Vital Signs Location","BiomedicalConceptProperty_88","BiomedicalConceptProperty","string","True"
"Vital Signs Laterality","17beef70-1660-478c-9707-a87f01a5e098","True","Vital Signs Laterality","BiomedicalConceptProperty_89","BiomedicalConceptProperty","string","True"
"Test Method","c12f96b2-0cdd-4316-9c3f-80d38edae61b","True","Test Method","BiomedicalConceptProperty_90","BiomedicalConceptProperty","string","True"
"Vital Signs Position","2431229f-9c8c-4321-ae74-098682c2e1aa","True","Vital Signs Position","BiomedicalConceptProperty_91","BiomedicalConceptProperty","string","True"
"Vital Signs Result","e0346ed6-790e-40fb-9a68-517494790907","True","Vital Signs Result","BiomedicalConceptProperty_92","BiomedicalConceptProperty","integer","True"
"Count per Minute","7009a3fb-61f9-4c6c-9715-367bc3fdde9b","True","Count per Minute","BiomedicalConceptProperty_93","BiomedicalConceptProperty","string","True"
"Vital Signs Location","272ca8b0-2f46-498e-8c70-3611621c9e77","True","Vital Signs Location","BiomedicalConceptProperty_94","BiomedicalConceptProperty","string","True"
"Vital Signs Laterality","b7f8e26e-e3a0-4b3c-9533-eef7f7404984","True","Vital Signs Laterality","BiomedicalConceptProperty_95","BiomedicalConceptProperty","string","True"
"Test Method","8d421925-afd8-4e4b-968c-2c7353d5cabb","True","Test Method","BiomedicalConceptProperty_96","BiomedicalConceptProperty","string","True"
"Vital Signs Position","541e0727-1891-4d9b-9ae7-3d5cb9e3060b","True","Vital Signs Position","BiomedicalConceptProperty_97","BiomedicalConceptProperty","string","True"
