"name","uuid:ID","synonyms","id","label","reference","instanceType"
"Albumin Presence in Urine","57cfa9ae-0c4b-4cb3-a98b-f440a404d158","['Albumin', 'Albumin Measurement']","BiomedicalConcept_8","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","1285d328-a2aa-414d-ba8e-32af0930da16","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","02dd1e13-f34a-4795-bcd6-8bf0dc63d7d0","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept"
"Creatinine Concentration in Urine","463042c2-841e-412c-b656-dc753fcb455f","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept"
"Potassium Concentration in Urine","37ceca42-fd31-4c57-aad6-c7c67bd6f0c0","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_12","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept"
"Sodium Concentration in Urine","129d6014-a475-4476-a503-b5e5599cdb67","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_13","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept"
"Systolic Blood Pressure","a51184eb-f917-4a19-a8ce-e6a6c145a91b","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_14","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"Diastolic Blood Pressure","5e819bdd-a84d-440b-add8-c574a5441887","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_15","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"Heart Rate","fc86e953-9d5d-4b37-a8d6-f95bf1a7f456","['Heart Rate']","BiomedicalConcept_16","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept"
"Systolic Blood Pressure","0d49c3d3-2fc3-4b68-adeb-99dca5900415","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_17","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept"
"Diastolic Blood Pressure","ad748834-904d-4f26-8fc3-8727ab86712d","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_18","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept"
"Heart Rate","7b5932f3-bcc8-4451-b35c-b0db936598f3","['Heart Rate']","BiomedicalConcept_19","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept"
